,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,25715,1,0.17481274456244666
1,NARRATOR,Other,Unknown,25711,5,0.7717151363317097
2,NARRATOR,Other,Unknown,25706,10,1.4506670825473824
3,NARRATOR,Other,Unknown,25701,15,2.04696277785009
4,NARRATOR,Other,Unknown,25696,20,2.579281417442249
5,NARRATOR,Other,Unknown,25686,30,3.5405168277996792
6,NARRATOR,Other,Unknown,25676,40,3.2440753240680538
7,NARRATOR,Other,Unknown,25666,50,3.0945387640523214
8,NARRATOR,Other,Unknown,25656,60,2.962425290988579
9,NARRATOR,Other,Unknown,25646,70,2.913966573284413
10,NARRATOR,Response,Anger,25715,1,0.09806122721939274
11,NARRATOR,Response,Anger,25711,5,0.47794996243162274
12,NARRATOR,Response,Anger,25706,10,0.9420110696230661
13,NARRATOR,Response,Anger,25701,15,1.3909864340007911
14,NARRATOR,Response,Anger,25696,20,1.824797966274354
15,NARRATOR,Response,Anger,25686,30,2.6417776260981145
16,NARRATOR,Response,Anger,25676,40,2.631819021873055
17,NARRATOR,Response,Anger,25666,50,2.449996815325784
18,NARRATOR,Response,Anger,25656,60,2.2898668182602586
19,NARRATOR,Response,Anger,25646,70,2.2374802661786686
20,NARRATOR,Response,Anticipation,25715,1,0.13455073892009048
21,NARRATOR,Response,Anticipation,25711,5,0.6615636503866866
22,NARRATOR,Response,Anticipation,25706,10,1.3071954872001863
23,NARRATOR,Response,Anticipation,25701,15,1.92464973537795
24,NARRATOR,Response,Anticipation,25696,20,2.5093744862840768
25,NARRATOR,Response,Anticipation,25686,30,3.5786884711863975
26,NARRATOR,Response,Anticipation,25676,40,3.1947717451144215
27,NARRATOR,Response,Anticipation,25666,50,2.667705977020935
28,NARRATOR,Response,Anticipation,25656,60,2.2527685023368256
29,NARRATOR,Response,Anticipation,25646,70,2.1207597375006446
30,NARRATOR,Response,Arousal,25715,1,0.3503415128099263
31,NARRATOR,Response,Arousal,25711,5,1.6430459557881656
32,NARRATOR,Response,Arousal,25706,10,3.1492336274394463
33,NARRATOR,Response,Arousal,25701,15,4.444070839977028
34,NARRATOR,Response,Arousal,25696,20,5.429336777190908
35,NARRATOR,Response,Arousal,25686,30,6.687498478902355
36,NARRATOR,Response,Arousal,25676,40,3.6291277876125143
37,NARRATOR,Response,Arousal,25666,50,2.562976914436036
38,NARRATOR,Response,Arousal,25656,60,2.146081780852562
39,NARRATOR,Response,Arousal,25646,70,2.05050601819271
40,NARRATOR,Response,Disgust,25715,1,0.06567012605694714
41,NARRATOR,Response,Disgust,25711,5,0.32257690568713837
42,NARRATOR,Response,Disgust,25706,10,0.6368941366555134
43,NARRATOR,Response,Disgust,25701,15,0.9428650272631257
44,NARRATOR,Response,Disgust,25696,20,1.2399039140893082
45,NARRATOR,Response,Disgust,25686,30,1.810193447619434
