,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,64605,1,0.1596469499145188
1,NARRATOR,Other,Unknown,64601,5,0.722178500684752
2,NARRATOR,Other,Unknown,64596,10,1.3847956104344241
3,NARRATOR,Other,Unknown,64591,15,2.006076990583768
4,NARRATOR,Other,Unknown,64586,20,2.593805737200862
5,NARRATOR,Other,Unknown,64576,30,3.6847044030348695
6,NARRATOR,Other,Unknown,64566,40,3.502269279118855
7,NARRATOR,Other,Unknown,64556,50,3.324005829855155
8,NARRATOR,Other,Unknown,64546,60,3.1555674028156826
9,NARRATOR,Other,Unknown,64536,70,3.094483067641427
10,NARRATOR,Response,Anger,64605,1,0.018257566750948643
11,NARRATOR,Response,Anger,64601,5,0.09008102486443778
12,NARRATOR,Response,Anger,64596,10,0.17831538932954585
13,NARRATOR,Response,Anger,64591,15,0.2649759442801082
14,NARRATOR,Response,Anger,64586,20,0.35017319637627353
15,NARRATOR,Response,Anger,64576,30,0.515265680762233
16,NARRATOR,Response,Anger,64566,40,0.6052645709763285
17,NARRATOR,Response,Anger,64556,50,0.6559698424664107
18,NARRATOR,Response,Anger,64546,60,0.6965479452407259
19,NARRATOR,Response,Anger,64536,70,0.7114488110363132
20,NARRATOR,Response,Anticipation,64605,1,0.03533774637830549
21,NARRATOR,Response,Anticipation,64601,5,0.17231247906976224
22,NARRATOR,Response,Anticipation,64596,10,0.338365254801151
23,NARRATOR,Response,Anticipation,64591,15,0.4997525157966387
24,NARRATOR,Response,Anticipation,64586,20,0.6545238502524687
25,NARRATOR,Response,Anticipation,64576,30,0.9524148822251717
26,NARRATOR,Response,Anticipation,64566,40,1.045737869143225
27,NARRATOR,Response,Anticipation,64556,50,1.0879081422252548
28,NARRATOR,Response,Anticipation,64546,60,1.1275472966177442
29,NARRATOR,Response,Anticipation,64536,70,1.142254121789776
30,NARRATOR,Response,Arousal,64605,1,0.08948912967863754
31,NARRATOR,Response,Arousal,64601,5,0.41634830830191316
32,NARRATOR,Response,Arousal,64596,10,0.7964954037593791
33,NARRATOR,Response,Arousal,64591,15,1.1473040999141402
34,NARRATOR,Response,Arousal,64586,20,1.4726771596043577
35,NARRATOR,Response,Arousal,64576,30,2.0528826676943264
36,NARRATOR,Response,Arousal,64566,40,1.9111894758769123
37,NARRATOR,Response,Arousal,64556,50,1.8344408500957021
38,NARRATOR,Response,Arousal,64546,60,1.814368020338599
39,NARRATOR,Response,Arousal,64536,70,1.8138479367453864
40,NARRATOR,Response,Disgust,64605,1,0.014191242076911463
41,NARRATOR,Response,Disgust,64601,5,0.0700587328583084
42,NARRATOR,Response,Disgust,64596,10,0.13904238472223215
43,NARRATOR,Response,Disgust,64591,15,0.20670866379728942
44,NARRATOR,Response,Disgust,64586,20,0.273959475019169
45,NARRATOR,Response,Disgust,64576,30,0.40696244025635725
46,NARRATOR,Response,Disgust,64566,40,0.4899007860348868
47,NARRATOR,Response,Disgust,64556,50,0.5461910050110373
48,NARRATOR,Response,Disgust,64546,60,0.5918782230330469
49,NARRATOR,Response,Disgust,64536,70,0.6078677571629694
50,NARRATOR,Response,Dominance,64605,1,0.1384666271006557
51,NARRATOR,Response,Dominance,64601,5,0.6116430604616405
52,NARRATOR,Response,Dominance,64596,10,1.1480913527125138
53,NARRATOR,Response,Dominance,64591,15,1.6263081561413666
54,NARRATOR,Response,Dominance,64586,20,2.041296792507782
55,NARRATOR,Response,Dominance,64576,30,2.742578061129267
56,NARRATOR,Response,Dominance,64566,40,2.316946819919672
57,NARRATOR,Response,Dominance,64556,50,2.168850022580502
58,NARRATOR,Response,Dominance,64546,60,2.1163711454490843
59,NARRATOR,Response,Dominance,64536,70,2.103005706482067
60,NARRATOR,Response,Fear,64605,1,0.022301196961862862
61,NARRATOR,Response,Fear,64601,5,0.10891705988977421
62,NARRATOR,Response,Fear,64596,10,0.21458851620438243
63,NARRATOR,Response,Fear,64591,15,0.3184683045656117
64,NARRATOR,Response,Fear,64586,20,0.4216477579490871
65,NARRATOR,Response,Fear,64576,30,0.6222810014735395
66,NARRATOR,Response,Fear,64566,40,0.7177347344988516
67,NARRATOR,Response,Fear,64556,50,0.7704632952979619
68,NARRATOR,Response,Fear,64546,60,0.8146457674454218
69,NARRATOR,Response,Fear,64536,70,0.8306093573832894
70,NARRATOR,Response,Joy,64605,1,0.02753016673371258
71,NARRATOR,Response,Joy,64601,5,0.1335731667116864
72,NARRATOR,Response,Joy,64596,10,0.2627677086249874
73,NARRATOR,Response,Joy,64591,15,0.3888685446027688
74,NARRATOR,Response,Joy,64586,20,0.5119958377706413
75,NARRATOR,Response,Joy,64576,30,0.7496189030396437
76,NARRATOR,Response,Joy,64566,40,0.846824024257862
77,NARRATOR,Response,Joy,64556,50,0.8973906503909173
78,NARRATOR,Response,Joy,64546,60,0.9365837421164511
79,NARRATOR,Response,Joy,64536,70,0.950662135067967
80,NARRATOR,Response,Sadness,64605,1,0.024606941569172053
81,NARRATOR,Response,Sadness,64601,5,0.12072877851248144
82,NARRATOR,Response,Sadness,64596,10,0.23692117285040568
83,NARRATOR,Response,Sadness,64591,15,0.35057460648952316
84,NARRATOR,Response,Sadness,64586,20,0.4635204104096217
85,NARRATOR,Response,Sadness,64576,30,0.6860259545202524
86,NARRATOR,Response,Sadness,64566,40,0.8003182724357023
87,NARRATOR,Response,Sadness,64556,50,0.8711515062087783
88,NARRATOR,Response,Sadness,64546,60,0.9231694130196672
89,NARRATOR,Response,Sadness,64536,70,0.9395129643357296
90,NARRATOR,Response,Surprise,64605,1,0.022164177823457313
91,NARRATOR,Response,Surprise,64601,5,0.10951183526246605
92,NARRATOR,Response,Surprise,64596,10,0.21695530326076876
93,NARRATOR,Response,Surprise,64591,15,0.32248894133706807
94,NARRATOR,Response,Surprise,64586,20,0.4270425931263845
95,NARRATOR,Response,Surprise,64576,30,0.6331235711731931
96,NARRATOR,Response,Surprise,64566,40,0.7379613365742004
97,NARRATOR,Response,Surprise,64556,50,0.787364260730634
98,NARRATOR,Response,Surprise,64546,60,0.8256883937575252
99,NARRATOR,Response,Surprise,64536,70,0.8393699313027949
100,NARRATOR,Response,Trust,64605,1,0.039653508288012125
101,NARRATOR,Response,Trust,64601,5,0.1920338391648934
102,NARRATOR,Response,Trust,64596,10,0.3761355720416292
103,NARRATOR,Response,Trust,64591,15,0.5524800881956595
104,NARRATOR,Response,Trust,64586,20,0.7233467578434362
105,NARRATOR,Response,Trust,64576,30,1.047310089619305
106,NARRATOR,Response,Trust,64566,40,1.1214689804247975
107,NARRATOR,Response,Trust,64556,50,1.1534165216478371
108,NARRATOR,Response,Trust,64546,60,1.1842440954150997
109,NARRATOR,Response,Trust,64536,70,1.1978633852498966
110,NARRATOR,Response,Valence,64605,1,0.15427705871322803
111,NARRATOR,Response,Valence,64601,5,0.6669255297883937
112,NARRATOR,Response,Valence,64596,10,1.2425529876839616
113,NARRATOR,Response,Valence,64591,15,1.746899929950213
114,NARRATOR,Response,Valence,64586,20,2.1809797922161356
115,NARRATOR,Response,Valence,64576,30,2.901169859241782
116,NARRATOR,Response,Valence,64566,40,2.39635203313226
117,NARRATOR,Response,Valence,64556,50,2.2403956614985203
118,NARRATOR,Response,Valence,64546,60,2.185228099255224
119,NARRATOR,Response,Valence,64536,70,2.171638105079723
120,NARRATOR,Stimulus,Anger,64605,1,0.45743278304126517
121,NARRATOR,Stimulus,Anger,64601,5,2.280294356002641
122,NARRATOR,Stimulus,Anger,64596,10,4.546263813112236
123,NARRATOR,Stimulus,Anger,64591,15,6.740985178668688
124,NARRATOR,Stimulus,Anger,64586,20,8.765372115969967
125,NARRATOR,Stimulus,Anger,64576,30,11.959258720742506
126,NARRATOR,Stimulus,Anger,64566,40,5.9409829577787
127,NARRATOR,Stimulus,Anger,64556,50,2.7530591919422744
128,NARRATOR,Stimulus,Anger,64546,60,1.3379126621198616
129,NARRATOR,Stimulus,Anger,64536,70,1.0064890327833451
130,NARRATOR,Stimulus,Anticipation,64605,1,0.6455284969674235
131,NARRATOR,Stimulus,Anticipation,64601,5,3.2268230313294
132,NARRATOR,Stimulus,Anticipation,64596,10,6.442475585294199
133,NARRATOR,Stimulus,Anticipation,64591,15,9.535148900873061
134,NARRATOR,Stimulus,Anticipation,64586,20,12.156362030136714
135,NARRATOR,Stimulus,Anticipation,64576,30,15.049222226690546
136,NARRATOR,Stimulus,Anticipation,64566,40,3.4996841583913105
137,NARRATOR,Stimulus,Anticipation,64556,50,0.7333604956039984
138,NARRATOR,Stimulus,Anticipation,64546,60,0.16312422116174177
139,NARRATOR,Stimulus,Anticipation,64536,70,0.08779066855714285
140,NARRATOR,Stimulus,Arousal,64605,1,0.9987143830338496
141,NARRATOR,Stimulus,Arousal,64601,5,4.990606591316814
142,NARRATOR,Stimulus,Arousal,64596,10,9.96708622707249
143,NARRATOR,Stimulus,Arousal,64591,15,14.550008838783441
144,NARRATOR,Stimulus,Arousal,64586,20,15.915452462493914
145,NARRATOR,Stimulus,Arousal,64576,30,15.978555602814177
146,NARRATOR,Stimulus,Arousal,64566,40,0.04208766682392609
147,NARRATOR,Stimulus,Arousal,64556,50,0.0
148,NARRATOR,Stimulus,Arousal,64546,60,0.0
149,NARRATOR,Stimulus,Arousal,64536,70,0.0
