,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,9680,1,0.11596067210703456
1,NARRATOR,Other,Unknown,9676,5,0.536470974923138
2,NARRATOR,Other,Unknown,9671,10,1.0237696710664614
3,NARRATOR,Other,Unknown,9666,15,1.475560510574839
4,NARRATOR,Other,Unknown,9661,20,1.9130321702249045
5,NARRATOR,Other,Unknown,9651,30,2.734279032872491
6,NARRATOR,Other,Unknown,9641,40,2.8182784808277948
7,NARRATOR,Other,Unknown,9631,50,2.7906761926158783
8,NARRATOR,Other,Unknown,9621,60,2.744316507424706
9,NARRATOR,Other,Unknown,9611,70,2.719088792560021
10,NARRATOR,Response,Anger,9680,1,0.10147313150891792
11,NARRATOR,Response,Anger,9676,5,0.4990699631713438
12,NARRATOR,Response,Anger,9671,10,0.9774806395393526
13,NARRATOR,Response,Anger,9666,15,1.437949284088561
14,NARRATOR,Response,Anger,9661,20,1.8804120748216395
15,NARRATOR,Response,Anger,9651,30,2.6949103654974946
16,NARRATOR,Response,Anger,9641,40,2.6716170797770684
17,NARRATOR,Response,Anger,9631,50,2.4614448797513275
18,NARRATOR,Response,Anger,9621,60,2.2678788643219825
19,NARRATOR,Response,Anger,9611,70,2.196336451517334
20,NARRATOR,Response,Anticipation,9680,1,0.19779970219180137
21,NARRATOR,Response,Anticipation,9676,5,0.983816137956026
22,NARRATOR,Response,Anticipation,9671,10,1.940772698087773
23,NARRATOR,Response,Anticipation,9666,15,2.8500622411762353
24,NARRATOR,Response,Anticipation,9661,20,3.7004122791682357
25,NARRATOR,Response,Anticipation,9651,30,5.128835757323373
26,NARRATOR,Response,Anticipation,9641,40,4.067453043193706
27,NARRATOR,Response,Anticipation,9631,50,3.091080437364165
28,NARRATOR,Response,Anticipation,9621,60,2.4557461198505144
29,NARRATOR,Response,Anticipation,9611,70,2.28439572618988
30,NARRATOR,Response,Arousal,14901,1,0.042573137547860365
31,NARRATOR,Response,Arousal,14897,5,0.1969723596397268
32,NARRATOR,Response,Arousal,14892,10,0.37210926514043285
33,NARRATOR,Response,Arousal,14887,15,0.5318563372511409
34,NARRATOR,Response,Arousal,14882,20,0.6853671492839147
35,NARRATOR,Response,Arousal,14872,30,0.9776708618466379
36,NARRATOR,Response,Arousal,14862,40,1.045880263109966
37,NARRATOR,Response,Arousal,14852,50,1.0595243865929616
38,NARRATOR,Response,Arousal,14842,60,1.0727906804756984
39,NARRATOR,Response,Arousal,14832,70,1.0766949044930751
40,NARRATOR,Response,Disgust,9680,1,0.06473856721411256
41,NARRATOR,Response,Disgust,9676,5,0.3209981226497437
42,NARRATOR,Response,Disgust,9671,10,0.6294415405883637
43,NARRATOR,Response,Disgust,9666,15,0.9285052928298436
44,NARRATOR,Response,Disgust,9661,20,1.2157360776204846
45,NARRATOR,Response,Disgust,9651,30,1.7599835623234479
46,NARRATOR,Response,Disgust,9641,40,1.8683296524462443
47,NARRATOR,Response,Disgust,9631,50,1.8631951428751166
48,NARRATOR,Response,Disgust,9621,60,1.8437171340720144
49,NARRATOR,Response,Disgust,9611,70,1.8343303069253978
50,NARRATOR,Response,Dominance,9680,1,0.5553379093479667
51,NARRATOR,Response,Dominance,9676,5,2.6009796655703448
52,NARRATOR,Response,Dominance,9671,10,4.930386090779147
53,NARRATOR,Response,Dominance,9666,15,6.641846728969703
54,NARRATOR,Response,Dominance,9661,20,7.606385693749527
55,NARRATOR,Response,Dominance,9651,30,8.486135445091218
56,NARRATOR,Response,Dominance,9641,40,3.266434482914859
57,NARRATOR,Response,Dominance,9631,50,2.3304517239726366
58,NARRATOR,Response,Dominance,9621,60,2.07414542556406
59,NARRATOR,Response,Dominance,9611,70,1.9998200587113613
