,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,7939,1,0.12867421843184987
1,NARRATOR,Other,Unknown,7935,5,0.5763237286515588
2,NARRATOR,Other,Unknown,7930,10,1.0648846975759176
3,NARRATOR,Other,Unknown,7925,15,1.5162788266996796
4,NARRATOR,Other,Unknown,7920,20,1.9437598237021925
5,NARRATOR,Other,Unknown,7910,30,2.7517450889463944
6,NARRATOR,Other,Unknown,7900,40,2.8115456755008794
7,NARRATOR,Other,Unknown,7890,50,2.821164142983088
8,NARRATOR,Other,Unknown,7880,60,2.7420306565519184
9,NARRATOR,Other,Unknown,7870,70,2.6970422157694114
10,NARRATOR,Response,Anger,7939,1,0.11907987795065841
11,NARRATOR,Response,Anger,7935,5,0.5817378983736673
12,NARRATOR,Response,Anger,7930,10,1.1176195936685518
13,NARRATOR,Response,Anger,7925,15,1.613033480204937
14,NARRATOR,Response,Anger,7920,20,2.0736410525718108
15,NARRATOR,Response,Anger,7910,30,2.8944249514033555
16,NARRATOR,Response,Anger,7900,40,2.7294401009921807
17,NARRATOR,Response,Anger,7890,50,2.4892224896690864
18,NARRATOR,Response,Anger,7880,60,2.243783536554899
19,NARRATOR,Response,Anger,7870,70,2.14516711004983
20,NARRATOR,Response,Anticipation,7939,1,0.13374717382622076
21,NARRATOR,Response,Anticipation,7935,5,0.6625653550956955
22,NARRATOR,Response,Anticipation,7930,10,1.3053651481691377
23,NARRATOR,Response,Anticipation,7925,15,1.910655487981733
24,NARRATOR,Response,Anticipation,7920,20,2.4726924234667593
25,NARRATOR,Response,Anticipation,7910,30,3.4557468389569994
26,NARRATOR,Response,Anticipation,7900,40,3.0700075417807784
27,NARRATOR,Response,Anticipation,7890,50,2.5735417003366092
28,NARRATOR,Response,Anticipation,7880,60,2.249829883229525
29,NARRATOR,Response,Anticipation,7870,70,2.149734744999448
30,NARRATOR,Response,Arousal,7939,1,0.3197264359990099
31,NARRATOR,Response,Arousal,7935,5,1.4929190980987916
32,NARRATOR,Response,Arousal,7930,10,2.8156311934188216
33,NARRATOR,Response,Arousal,7925,15,3.849407245341626
34,NARRATOR,Response,Arousal,7920,20,4.575566584460811
35,NARRATOR,Response,Arousal,7910,30,5.487061838158203
36,NARRATOR,Response,Arousal,7900,40,3.0721279373697072
37,NARRATOR,Response,Arousal,7890,50,2.2365004836106985
38,NARRATOR,Response,Arousal,7880,60,1.9518111183987845
39,NARRATOR,Response,Arousal,7870,70,1.8883817825449434
40,NARRATOR,Response,Disgust,7939,1,0.09195501835036052
41,NARRATOR,Response,Disgust,7935,5,0.44728550674612205
42,NARRATOR,Response,Disgust,7930,10,0.8687312120417272
43,NARRATOR,Response,Disgust,7925,15,1.26289929168493
44,NARRATOR,Response,Disgust,7920,20,1.628616111185335
45,NARRATOR,Response,Disgust,7910,30,2.310105942873569
46,NARRATOR,Response,Disgust,7900,40,2.3324599218149227
47,NARRATOR,Response,Disgust,7890,50,2.2353932097977833
48,NARRATOR,Response,Disgust,7880,60,2.1019868956669603
49,NARRATOR,Response,Disgust,7870,70,2.0309314900237596
50,NARRATOR,Response,Dominance,7939,1,0.4213610999606849
51,NARRATOR,Response,Dominance,7935,5,1.9128293606185818
52,NARRATOR,Response,Dominance,7930,10,3.5148529304896075
53,NARRATOR,Response,Dominance,7925,15,4.601440042257626
54,NARRATOR,Response,Dominance,7920,20,5.255217496313453
55,NARRATOR,Response,Dominance,7910,30,5.926865314394211
56,NARRATOR,Response,Dominance,7900,40,2.7933079061615587
57,NARRATOR,Response,Dominance,7890,50,2.1834257876199854
58,NARRATOR,Response,Dominance,7880,60,2.0192580259288024
59,NARRATOR,Response,Dominance,7870,70,1.959148634432093
60,NARRATOR,Response,Fear,7939,1,0.13085603708370533
61,NARRATOR,Response,Fear,7935,5,0.6373347170195613
