,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.19378042040976654
1,NARRATOR,Other,Unknown,3,0.5501238368898185
2,NARRATOR,Other,Unknown,5,0.8927278080309234
3,NARRATOR,Other,Unknown,7,1.2215713269542532
4,NARRATOR,Other,Unknown,9,1.5364882693796957
5,NARRATOR,Other,Unknown,16,2.529736388701385
6,NARRATOR,Other,Unknown,21,3.179877922918316
7,NARRATOR,Other,Unknown,26,3.793878266187507
8,NARRATOR,Other,Unknown,31,4.375326945863241
9,NARRATOR,Response,Anger,1,0.02667827864101718
10,NARRATOR,Response,Anger,3,0.08002669617754866
11,NARRATOR,Response,Anger,5,0.13336402903837127
12,NARRATOR,Response,Anger,7,0.1861604360119117
13,NARRATOR,Response,Anger,9,0.23841917733691637
14,NARRATOR,Response,Anger,16,0.4212023042205604
15,NARRATOR,Response,Anger,21,0.5516674818699825
16,NARRATOR,Response,Anger,26,0.676321612964081
17,NARRATOR,Response,Anger,31,0.797184249421203
18,NARRATOR,Response,Anticipation,1,0.07304600773671786
19,NARRATOR,Response,Anticipation,3,0.2150008064281534
20,NARRATOR,Response,Anticipation,5,0.3522094974028542
21,NARRATOR,Response,Anticipation,7,0.4842066417597978
22,NARRATOR,Response,Anticipation,9,0.6143054373117148
23,NARRATOR,Response,Anticipation,16,1.061227715107674
24,NARRATOR,Response,Anticipation,21,1.372509806725435
25,NARRATOR,Response,Anticipation,26,1.667336014127194
26,NARRATOR,Response,Anticipation,31,1.9541229192107692
27,NARRATOR,Response,Arousal,1,0.19294163477855353
28,NARRATOR,Response,Arousal,3,0.5619950326713192
29,NARRATOR,Response,Arousal,5,0.9179169982660582
30,NARRATOR,Response,Arousal,7,1.2641494600550052
31,NARRATOR,Response,Arousal,9,1.6001813728349998
32,NARRATOR,Response,Arousal,16,2.666506877876204
33,NARRATOR,Response,Arousal,21,3.287786211890097
34,NARRATOR,Response,Arousal,26,3.8358518955384295
35,NARRATOR,Response,Arousal,31,4.314615881285011
36,NARRATOR,Response,Disgust,1,0.020840997156419978
37,NARRATOR,Response,Disgust,3,0.06252354975843122
38,NARRATOR,Response,Disgust,5,0.10420674814303849
39,NARRATOR,Response,Disgust,7,0.1458904729333328
40,NARRATOR,Response,Disgust,9,0.18757460353431957
41,NARRATOR,Response,Disgust,16,0.3334704861587605
42,NARRATOR,Response,Disgust,21,0.43768099825039897
43,NARRATOR,Response,Disgust,26,0.5352042563149262
44,NARRATOR,Response,Disgust,31,0.6284931408678064
45,NARRATOR,Response,Dominance,1,0.2881316001024231
46,NARRATOR,Response,Dominance,3,0.8153497675950417
47,NARRATOR,Response,Dominance,5,1.3189371113309343
48,NARRATOR,Response,Dominance,7,1.7935335676230062
49,NARRATOR,Response,Dominance,9,2.239414054988378
50,NARRATOR,Response,Dominance,16,3.4838136408690974
51,NARRATOR,Response,Dominance,21,4.116105512133452
52,NARRATOR,Response,Dominance,26,4.631572931142543
53,NARRATOR,Response,Dominance,31,5.07805405450959
54,NARRATOR,Response,Fear,1,0.04800489435188267
55,NARRATOR,Response,Fear,3,0.14354615499158713
56,NARRATOR,Response,Fear,5,0.23822328894608652
57,NARRATOR,Response,Fear,7,0.33117653360491583
58,NARRATOR,Response,Fear,9,0.42313649241795137
59,NARRATOR,Response,Fear,16,0.7419915464143447
60,NARRATOR,Response,Fear,21,0.9682587943837758
61,NARRATOR,Response,Fear,26,1.1866733925283481
62,NARRATOR,Response,Fear,31,1.3989137273167465
63,NARRATOR,Response,Joy,1,0.05050746124926518
64,NARRATOR,Response,Joy,3,0.1472723730004507
65,NARRATOR,Response,Joy,5,0.2409686381983134
66,NARRATOR,Response,Joy,7,0.33262415722769895
67,NARRATOR,Response,Joy,9,0.4236486932743288
68,NARRATOR,Response,Joy,16,0.739801930697633
69,NARRATOR,Response,Joy,21,0.959568877412881
70,NARRATOR,Response,Joy,26,1.170970243006863
71,NARRATOR,Response,Joy,31,1.3780702581969555
72,NARRATOR,Response,Sadness,1,0.04547204488314725
73,NARRATOR,Response,Sadness,3,0.134112084960384
74,NARRATOR,Response,Sadness,5,0.22075862733949891
75,NARRATOR,Response,Sadness,7,0.3069803205889688
76,NARRATOR,Response,Sadness,9,0.39248641606249896
77,NARRATOR,Response,Sadness,16,0.6795986150119395
78,NARRATOR,Response,Sadness,21,0.8770887079220993
79,NARRATOR,Response,Sadness,26,1.0655591453386812
80,NARRATOR,Response,Sadness,31,1.2493164052995418
81,NARRATOR,Response,Surprise,1,0.05420835724549294
82,NARRATOR,Response,Surprise,3,0.16089567428638987
83,NARRATOR,Response,Surprise,5,0.2648673708975761
84,NARRATOR,Response,Surprise,7,0.3682837163362883
85,NARRATOR,Response,Surprise,9,0.4710840391782906
86,NARRATOR,Response,Surprise,16,0.8174429494147168
87,NARRATOR,Response,Surprise,21,1.0546193509479764
88,NARRATOR,Response,Surprise,26,1.2797275732902642
89,NARRATOR,Response,Surprise,31,1.4988174214377368
90,NARRATOR,Response,Trust,1,0.08637430824968755
91,NARRATOR,Response,Trust,3,0.25474162679556667
92,NARRATOR,Response,Trust,5,0.42020128532105033
93,NARRATOR,Response,Trust,7,0.5818950587584689
94,NARRATOR,Response,Trust,9,0.7399392501329686
95,NARRATOR,Response,Trust,16,1.268336781429733
96,NARRATOR,Response,Trust,21,1.6220384810675827
97,NARRATOR,Response,Trust,26,1.9564619560182765
98,NARRATOR,Response,Trust,31,2.270171973990214
99,NARRATOR,Response,Valence,1,0.3324207828793005
100,NARRATOR,Response,Valence,3,0.9310712715996967
101,NARRATOR,Response,Valence,5,1.5003371043568745
102,NARRATOR,Response,Valence,7,2.039838089525732
103,NARRATOR,Response,Valence,9,2.5438887172555886
104,NARRATOR,Response,Valence,16,3.8993987199204705
105,NARRATOR,Response,Valence,21,4.532432021912576
106,NARRATOR,Response,Valence,26,5.017375342583301
107,NARRATOR,Response,Valence,31,5.430731077377716
108,NARRATOR,Stimulus,Anger,1,0.23949949813889762
109,NARRATOR,Stimulus,Anger,3,0.7179997925468299
110,NARRATOR,Stimulus,Anger,5,1.194018370570739
111,NARRATOR,Stimulus,Anger,7,1.6668742462805317
112,NARRATOR,Stimulus,Anger,9,2.1351506848089548
113,NARRATOR,Stimulus,Anger,16,3.7188007996936947
114,NARRATOR,Stimulus,Anger,21,4.765088563627234
115,NARRATOR,Stimulus,Anger,26,5.73648654789165
116,NARRATOR,Stimulus,Anger,31,6.63096203445637
117,NARRATOR,Stimulus,Anticipation,1,0.3569081190081507
118,NARRATOR,Stimulus,Anticipation,3,1.07086522736546
119,NARRATOR,Stimulus,Anticipation,5,1.7841176981967193
120,NARRATOR,Stimulus,Anticipation,7,2.4912115006059143
121,NARRATOR,Stimulus,Anticipation,9,3.1878139118326856
122,NARRATOR,Stimulus,Anticipation,16,5.511697399069594
123,NARRATOR,Stimulus,Anticipation,21,6.9853488547464
124,NARRATOR,Stimulus,Anticipation,26,8.240460904201807
125,NARRATOR,Stimulus,Anticipation,31,9.266910934219348
126,NARRATOR,Stimulus,Arousal,1,0.7366340664028166
127,NARRATOR,Stimulus,Arousal,3,2.2069208447766013
128,NARRATOR,Stimulus,Arousal,5,3.6741793112150485
129,NARRATOR,Stimulus,Arousal,7,5.1293898688643225
130,NARRATOR,Stimulus,Arousal,9,6.551248304616469
131,NARRATOR,Stimulus,Arousal,16,10.43726238062276
132,NARRATOR,Stimulus,Arousal,21,11.752743490666939
133,NARRATOR,Stimulus,Arousal,26,12.310919839191225
134,NARRATOR,Stimulus,Arousal,31,12.480859678741421
135,NARRATOR,Stimulus,Disgust,1,0.17324829112685158
136,NARRATOR,Stimulus,Disgust,3,0.5197955559486914
137,NARRATOR,Stimulus,Disgust,5,0.8653833642500843
138,NARRATOR,Stimulus,Disgust,7,1.208892878441107
139,NARRATOR,Stimulus,Disgust,9,1.549114198250725
140,NARRATOR,Stimulus,Disgust,16,2.716441841059987
141,NARRATOR,Stimulus,Disgust,21,3.5143072221570244
142,NARRATOR,Stimulus,Disgust,26,4.273500710410597
143,NARRATOR,Stimulus,Disgust,31,4.991575479892408
144,NARRATOR,Stimulus,Dominance,1,0.9265743522312078
145,NARRATOR,Stimulus,Dominance,3,2.771009615310007
146,NARRATOR,Stimulus,Dominance,5,4.606340155955194
147,NARRATOR,Stimulus,Dominance,7,6.428979336416121
148,NARRATOR,Stimulus,Dominance,9,8.21570095493372
149,NARRATOR,Stimulus,Dominance,16,11.983004475160685
150,NARRATOR,Stimulus,Dominance,21,12.441687966550182
