,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,19435,1,0.11064051031769051
1,NARRATOR,Other,Unknown,19431,5,0.518274684371585
2,NARRATOR,Other,Unknown,19426,10,0.9915971268597914
3,NARRATOR,Other,Unknown,19421,15,1.4350519057581304
4,NARRATOR,Other,Unknown,19416,20,1.8568841814709534
5,NARRATOR,Other,Unknown,19406,30,2.645434340117288
6,NARRATOR,Other,Unknown,19396,40,2.6964425536576306
7,NARRATOR,Other,Unknown,19386,50,2.6568353824776874
8,NARRATOR,Other,Unknown,19376,60,2.599710812652598
9,NARRATOR,Other,Unknown,19366,70,2.566921889151342
10,NARRATOR,Response,Anger,19435,1,0.030192780087233532
11,NARRATOR,Response,Anger,19431,5,0.14432246935355736
12,NARRATOR,Response,Anger,19426,10,0.27962844613883675
13,NARRATOR,Response,Anger,19421,15,0.4108950864533805
14,NARRATOR,Response,Anger,19416,20,0.5378247049000663
15,NARRATOR,Response,Anger,19406,30,0.7691075325009766
16,NARRATOR,Response,Anger,19396,40,0.8517850988200937
17,NARRATOR,Response,Anger,19386,50,0.8975197624066454
18,NARRATOR,Response,Anger,19376,60,0.9484090352195587
19,NARRATOR,Response,Anger,19366,70,0.9688442606635213
20,NARRATOR,Response,Anticipation,19435,1,0.05419733982588143
21,NARRATOR,Response,Anticipation,19431,5,0.2608415706330614
22,NARRATOR,Response,Anticipation,19426,10,0.504116934473518
23,NARRATOR,Response,Anticipation,19421,15,0.7378907325765998
24,NARRATOR,Response,Anticipation,19416,20,0.9642065896768224
25,NARRATOR,Response,Anticipation,19406,30,1.3896121815774831
26,NARRATOR,Response,Anticipation,19396,40,1.4858723723694998
27,NARRATOR,Response,Anticipation,19386,50,1.5338275810606503
28,NARRATOR,Response,Anticipation,19376,60,1.578939470281543
29,NARRATOR,Response,Anticipation,19366,70,1.598100333492409
30,NARRATOR,Response,Arousal,27696,1,0.16011010712684576
31,NARRATOR,Response,Arousal,27692,5,0.7915141574177469
32,NARRATOR,Response,Arousal,27687,10,1.5709960097271622
33,NARRATOR,Response,Arousal,27682,15,2.3345573584097603
34,NARRATOR,Response,Arousal,27677,20,3.071618373979366
35,NARRATOR,Response,Arousal,27667,30,4.444578099967233
36,NARRATOR,Response,Arousal,27657,40,4.118108728528716
37,NARRATOR,Response,Arousal,27647,50,3.485976388034264
38,NARRATOR,Response,Arousal,27637,60,2.912996110802304
39,NARRATOR,Response,Arousal,27627,70,2.7020791799120474
40,NARRATOR,Response,Disgust,19435,1,0.020874007665414984
41,NARRATOR,Response,Disgust,19431,5,0.09869065547547003
42,NARRATOR,Response,Disgust,19426,10,0.18979386159421252
43,NARRATOR,Response,Disgust,19421,15,0.278398477823949
44,NARRATOR,Response,Disgust,19416,20,0.3650833877785436
45,NARRATOR,Response,Disgust,19406,30,0.5309096817162644
46,NARRATOR,Response,Disgust,19396,40,0.6106704038519843
47,NARRATOR,Response,Disgust,19386,50,0.658960657503451
48,NARRATOR,Response,Disgust,19376,60,0.7029154296057256
49,NARRATOR,Response,Disgust,19366,70,0.7202051082886171
50,NARRATOR,Response,Dominance,19435,1,0.18024720835812108
51,NARRATOR,Response,Dominance,19431,5,0.7867183288828027
52,NARRATOR,Response,Dominance,19426,10,1.4610154376438202
53,NARRATOR,Response,Dominance,19421,15,2.0120679640148786
54,NARRATOR,Response,Dominance,19416,20,2.464706671693811
55,NARRATOR,Response,Dominance,19406,30,3.211668454492984
56,NARRATOR,Response,Dominance,19396,40,2.612989950497155
57,NARRATOR,Response,Dominance,19386,50,2.4189372867098013
58,NARRATOR,Response,Dominance,19376,60,2.3396522536635223
59,NARRATOR,Response,Dominance,19366,70,2.3139772048217995
60,NARRATOR,Response,Fear,19435,1,0.03649649559071315
61,NARRATOR,Response,Fear,19431,5,0.17813997064254847
62,NARRATOR,Response,Fear,19426,10,0.3473030346308624
63,NARRATOR,Response,Fear,19421,15,0.5132163316488841
64,NARRATOR,Response,Fear,19416,20,0.6759826207172825
65,NARRATOR,Response,Fear,19406,30,0.9794733965770785
66,NARRATOR,Response,Fear,19396,40,1.0868003301033073
67,NARRATOR,Response,Fear,19386,50,1.1300766907313222
68,NARRATOR,Response,Fear,19376,60,1.1917851183811732
69,NARRATOR,Response,Fear,19366,70,1.2150273745548716
70,NARRATOR,Response,Joy,19435,1,0.04495246564917155
71,NARRATOR,Response,Joy,19431,5,0.21263733855895034
72,NARRATOR,Response,Joy,19426,10,0.41071992865131085
73,NARRATOR,Response,Joy,19421,15,0.5994390020804973
74,NARRATOR,Response,Joy,19416,20,0.7811552536297068
75,NARRATOR,Response,Joy,19406,30,1.1350572721431313
76,NARRATOR,Response,Joy,19396,40,1.2403288366885747
77,NARRATOR,Response,Joy,19386,50,1.2967566525493068
78,NARRATOR,Response,Joy,19376,60,1.3379743565409759
79,NARRATOR,Response,Joy,19366,70,1.3579824873741004
80,NARRATOR,Response,Sadness,19435,1,0.03358564910067968
81,NARRATOR,Response,Sadness,19431,5,0.16425772462473517
82,NARRATOR,Response,Sadness,19426,10,0.3236350087995306
83,NARRATOR,Response,Sadness,19421,15,0.4810747886299862
84,NARRATOR,Response,Sadness,19416,20,0.634131206463047
85,NARRATOR,Response,Sadness,19406,30,0.9220582857945044
86,NARRATOR,Response,Sadness,19396,40,1.0345774146644495
87,NARRATOR,Response,Sadness,19386,50,1.0707253424308851
88,NARRATOR,Response,Sadness,19376,60,1.108139098820744
89,NARRATOR,Response,Sadness,19366,70,1.124828707234475
90,NARRATOR,Response,Surprise,19435,1,0.027159057495898267
91,NARRATOR,Response,Surprise,19431,5,0.13365860012409037
92,NARRATOR,Response,Surprise,19426,10,0.26326820458429445
93,NARRATOR,Response,Surprise,19421,15,0.39028545428051886
94,NARRATOR,Response,Surprise,19416,20,0.5134209871537534
95,NARRATOR,Response,Surprise,19406,30,0.7521908689308718
96,NARRATOR,Response,Surprise,19396,40,0.8671912926678812
97,NARRATOR,Response,Surprise,19386,50,0.9409453066224706
98,NARRATOR,Response,Surprise,19376,60,1.003412917544154
99,NARRATOR,Response,Surprise,19366,70,1.0258763387093432
100,NARRATOR,Response,Trust,19435,1,0.06489263602523901
101,NARRATOR,Response,Trust,19431,5,0.30545862995618905
102,NARRATOR,Response,Trust,19426,10,0.588948813850957
103,NARRATOR,Response,Trust,19421,15,0.8555680643286124
104,NARRATOR,Response,Trust,19416,20,1.105678911626746
105,NARRATOR,Response,Trust,19406,30,1.5768950134971051
106,NARRATOR,Response,Trust,19396,40,1.6311608009745127
107,NARRATOR,Response,Trust,19386,50,1.6357067151239733
108,NARRATOR,Response,Trust,19376,60,1.6387403001899103
109,NARRATOR,Response,Trust,19366,70,1.6481049790957423
110,NARRATOR,Response,Valence,19435,1,0.19463693384529676
111,NARRATOR,Response,Valence,19431,5,0.839202125977971
112,NARRATOR,Response,Valence,19426,10,1.5438912309482506
113,NARRATOR,Response,Valence,19421,15,2.112704810710064
114,NARRATOR,Response,Valence,19416,20,2.5693325415060446
115,NARRATOR,Response,Valence,19406,30,3.3309992991599353
116,NARRATOR,Response,Valence,19396,40,2.6622398435045787
117,NARRATOR,Response,Valence,19386,50,2.484395416050739
118,NARRATOR,Response,Valence,19376,60,2.404290922913276
119,NARRATOR,Response,Valence,19366,70,2.3753137287229733
120,NARRATOR,Stimulus,Anger,19435,1,0.4993181508863854
121,NARRATOR,Stimulus,Anger,19431,5,2.4909126837798006
122,NARRATOR,Stimulus,Anger,19426,10,4.94491785350038
123,NARRATOR,Stimulus,Anger,19421,15,7.234528641654294
124,NARRATOR,Stimulus,Anger,19416,20,9.189270205830251
125,NARRATOR,Stimulus,Anger,19406,30,11.920014259760979
126,NARRATOR,Stimulus,Anger,19396,40,5.293862946387742
127,NARRATOR,Stimulus,Anger,19386,50,2.106454667330929
128,NARRATOR,Stimulus,Anger,19376,60,0.8573696496238236
129,NARRATOR,Stimulus,Anger,19366,70,0.6044058740474599
130,NARRATOR,Stimulus,Anticipation,19435,1,0.6696916125731465
131,NARRATOR,Stimulus,Anticipation,19431,5,3.343793782968237
132,NARRATOR,Stimulus,Anticipation,19426,10,6.658420601503431
133,NARRATOR,Stimulus,Anticipation,19421,15,9.66988473049636
134,NARRATOR,Stimulus,Anticipation,19416,20,11.892372410855682
135,NARRATOR,Stimulus,Anticipation,19406,30,13.840568620125758
136,NARRATOR,Stimulus,Anticipation,19396,40,2.94510156874729
137,NARRATOR,Stimulus,Anticipation,19386,50,0.5436331353599537
138,NARRATOR,Stimulus,Anticipation,19376,60,0.07769330287651276
