,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,12003,1,0.11783081161494645
1,NARRATOR,Other,Unknown,11999,5,0.5226384357856105
2,NARRATOR,Other,Unknown,11994,10,0.9903856131156884
3,NARRATOR,Other,Unknown,11989,15,1.433272565333242
4,NARRATOR,Other,Unknown,11984,20,1.8581361686220461
5,NARRATOR,Other,Unknown,11974,30,2.660969838977824
6,NARRATOR,Other,Unknown,11964,40,2.675744128661182
7,NARRATOR,Other,Unknown,11954,50,2.5527375870158995
8,NARRATOR,Other,Unknown,11944,60,2.4250398234324666
9,NARRATOR,Other,Unknown,11934,70,2.3836635717049464
10,NARRATOR,Response,Anger,12003,1,0.10161960576107108
11,NARRATOR,Response,Anger,11999,5,0.4974414106101953
12,NARRATOR,Response,Anger,11994,10,0.9828829058484542
13,NARRATOR,Response,Anger,11989,15,1.456791654793141
14,NARRATOR,Response,Anger,11984,20,1.9142718416470748
15,NARRATOR,Response,Anger,11974,30,2.796016122791757
16,NARRATOR,Response,Anger,11964,40,2.917781480418413
17,NARRATOR,Response,Anger,11954,50,2.8050015183946133
18,NARRATOR,Response,Anger,11944,60,2.6674677859339857
19,NARRATOR,Response,Anger,11934,70,2.6216776641852126
20,NARRATOR,Response,Anticipation,12003,1,0.1400067474121854
21,NARRATOR,Response,Anticipation,11999,5,0.694541307470072
22,NARRATOR,Response,Anticipation,11994,10,1.3785646537638738
23,NARRATOR,Response,Anticipation,11989,15,2.0462269125421555
24,NARRATOR,Response,Anticipation,11984,20,2.686580096267767
25,NARRATOR,Response,Anticipation,11974,30,3.87111879555589
26,NARRATOR,Response,Anticipation,11964,40,3.670718258165734
27,NARRATOR,Response,Anticipation,11954,50,3.1555176812277437
28,NARRATOR,Response,Anticipation,11944,60,2.774074704147587
29,NARRATOR,Response,Anticipation,11934,70,2.641447285495391
30,NARRATOR,Response,Arousal,12003,1,0.36834095415244433
31,NARRATOR,Response,Arousal,11999,5,1.7677066134413166
32,NARRATOR,Response,Arousal,11994,10,3.436630549616764
33,NARRATOR,Response,Arousal,11989,15,4.911267645875432
34,NARRATOR,Response,Arousal,11984,20,6.117114063402383
35,NARRATOR,Response,Arousal,11974,30,7.792842483637924
36,NARRATOR,Response,Arousal,11964,40,4.497508483035596
37,NARRATOR,Response,Arousal,11954,50,2.9183603960928295
38,NARRATOR,Response,Arousal,11944,60,2.3042806048783775
39,NARRATOR,Response,Arousal,11934,70,2.1630069991205447
40,NARRATOR,Response,Disgust,12003,1,0.06075479028086962
41,NARRATOR,Response,Disgust,11999,5,0.30301770433120023
42,NARRATOR,Response,Disgust,11994,10,0.6007582619828878
43,NARRATOR,Response,Disgust,11989,15,0.8914797088113373
44,NARRATOR,Response,Disgust,11984,20,1.1744170288116036
45,NARRATOR,Response,Disgust,11974,30,1.7318096611172826
46,NARRATOR,Response,Disgust,11964,40,1.937394544016192
47,NARRATOR,Response,Disgust,11954,50,1.973882384723309
48,NARRATOR,Response,Disgust,11944,60,1.9672507500220875
49,NARRATOR,Response,Disgust,11934,70,1.96663662760257
50,NARRATOR,Response,Dominance,12003,1,0.5098050693779022
51,NARRATOR,Response,Dominance,11999,5,2.412084107487833
52,NARRATOR,Response,Dominance,11994,10,4.643493573960951
53,NARRATOR,Response,Dominance,11989,15,6.441466792273181
