,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.15313288521493945
1,NARRATOR,Other,Unknown,3,0.431426362698882
2,NARRATOR,Other,Unknown,5,0.6962483929964383
3,NARRATOR,Other,Unknown,7,0.9563591477298005
4,NARRATOR,Other,Unknown,9,1.210364790617164
5,NARRATOR,Other,Unknown,16,2.0463988642354067
6,NARRATOR,Other,Unknown,21,2.608102565256578
7,NARRATOR,Other,Unknown,26,3.147760096179197
8,NARRATOR,Other,Unknown,31,3.66817911320914
9,NARRATOR,Response,Anger,1,0.037070576424400516
10,NARRATOR,Response,Anger,3,0.10977243221884724
11,NARRATOR,Response,Anger,5,0.18097537360429283
12,NARRATOR,Response,Anger,7,0.25113622995651996
13,NARRATOR,Response,Anger,9,0.32073762298344577
14,NARRATOR,Response,Anger,16,0.5606416849244493
15,NARRATOR,Response,Anger,21,0.7292574917180806
16,NARRATOR,Response,Anger,26,0.89379870017176
17,NARRATOR,Response,Anger,31,1.0540901562862146
18,NARRATOR,Response,Anticipation,1,0.05162857373892135
19,NARRATOR,Response,Anticipation,3,0.153914767630573
20,NARRATOR,Response,Anticipation,5,0.25573594689403495
21,NARRATOR,Response,Anticipation,7,0.35648750795057665
22,NARRATOR,Response,Anticipation,9,0.45628728070134655
23,NARRATOR,Response,Anticipation,16,0.800105476621055
24,NARRATOR,Response,Anticipation,21,1.0396901160352903
25,NARRATOR,Response,Anticipation,26,1.2759515777986847
26,NARRATOR,Response,Anticipation,31,1.506603002887102
27,NARRATOR,Response,Arousal,1,0.15771430183736426
28,NARRATOR,Response,Arousal,3,0.45563112624350827
29,NARRATOR,Response,Arousal,5,0.744261928015217
30,NARRATOR,Response,Arousal,7,1.0263946298810847
31,NARRATOR,Response,Arousal,9,1.303020574459967
32,NARRATOR,Response,Arousal,16,2.203950528715979
33,NARRATOR,Response,Arousal,21,2.7747964511275893
34,NARRATOR,Response,Arousal,26,3.2924582531814264
35,NARRATOR,Response,Arousal,31,3.7631903650642387
36,NARRATOR,Response,Disgust,1,0.021445820165114458
37,NARRATOR,Response,Disgust,3,0.06394982720625639
38,NARRATOR,Response,Disgust,5,0.10563383054745505
39,NARRATOR,Response,Disgust,7,0.14706774985051513
40,NARRATOR,Response,Disgust,9,0.18847280897769222
41,NARRATOR,Response,Disgust,16,0.33324593431273186
42,NARRATOR,Response,Disgust,21,0.436194012512915
43,NARRATOR,Response,Disgust,26,0.5385782089221235
44,NARRATOR,Response,Disgust,31,0.6405439394091986
45,NARRATOR,Response,Dominance,1,0.2255114499590371
46,NARRATOR,Response,Dominance,3,0.6388066021546537
47,NARRATOR,Response,Dominance,5,1.033006952567853
48,NARRATOR,Response,Dominance,7,1.4149188793134355
49,NARRATOR,Response,Dominance,9,1.7850391419976999
50,NARRATOR,Response,Dominance,16,2.937444738157711
51,NARRATOR,Response,Dominance,21,3.605691317275623
52,NARRATOR,Response,Dominance,26,4.1790846251342515
53,NARRATOR,Response,Dominance,31,4.676509312722961
54,NARRATOR,Response,Fear,1,0.04394457308962147
55,NARRATOR,Response,Fear,3,0.13099912533424396
56,NARRATOR,Response,Fear,5,0.2174892613285013
57,NARRATOR,Response,Fear,7,0.30203821870550723
58,NARRATOR,Response,Fear,9,0.38561410725585465
59,NARRATOR,Response,Fear,16,0.6712459178734989
60,NARRATOR,Response,Fear,21,0.8685320263504357
61,NARRATOR,Response,Fear,26,1.0602974080940972
62,NARRATOR,Response,Fear,31,1.2453553829745803
63,NARRATOR,Response,Joy,1,0.03929841890273998
64,NARRATOR,Response,Joy,3,0.11714183364935712
65,NARRATOR,Response,Joy,5,0.19376267610758627
66,NARRATOR,Response,Joy,7,0.26996610202309845
67,NARRATOR,Response,Joy,9,0.34549035736663963
68,NARRATOR,Response,Joy,16,0.6052492049778541
69,NARRATOR,Response,Joy,21,0.7880044810378682
70,NARRATOR,Response,Joy,26,0.9674451347501936
71,NARRATOR,Response,Joy,31,1.1433710144251934
72,NARRATOR,Response,Sadness,1,0.04231774185711659
73,NARRATOR,Response,Sadness,3,0.12617527165432008
74,NARRATOR,Response,Sadness,5,0.20912010173056672
75,NARRATOR,Response,Sadness,7,0.2913898893179519
76,NARRATOR,Response,Sadness,9,0.3733661093609016
77,NARRATOR,Response,Sadness,16,0.6532357400566409
78,NARRATOR,Response,Sadness,21,0.8490762900798928
79,NARRATOR,Response,Sadness,26,1.0416065801680314
80,NARRATOR,Response,Sadness,31,1.2317683235497225
81,NARRATOR,Response,Surprise,1,0.03790931454205367
82,NARRATOR,Response,Surprise,3,0.11280460477924627
83,NARRATOR,Response,Surprise,5,0.18665820019185148
84,NARRATOR,Response,Surprise,7,0.25957460751488526
85,NARRATOR,Response,Surprise,9,0.3321275713183839
86,NARRATOR,Response,Surprise,16,0.5817002531426101
87,NARRATOR,Response,Surprise,21,0.7549757200987673
88,NARRATOR,Response,Surprise,26,0.9231193701841779
89,NARRATOR,Response,Surprise,31,1.0869921190426706
90,NARRATOR,Response,Trust,1,0.057028508417589135
91,NARRATOR,Response,Trust,3,0.1689812140601429
92,NARRATOR,Response,Trust,5,0.2792848371022406
93,NARRATOR,Response,Trust,7,0.3878537864923367
94,NARRATOR,Response,Trust,9,0.49505523506032684
95,NARRATOR,Response,Trust,16,0.8589942081233916
96,NARRATOR,Response,Trust,21,1.1110693160019234
97,NARRATOR,Response,Trust,26,1.3581337396781679
98,NARRATOR,Response,Trust,31,1.5987349512652484
99,NARRATOR,Response,Valence,1,0.24953158822423566
100,NARRATOR,Response,Valence,3,0.7000788136918074
101,NARRATOR,Response,Valence,5,1.1251353396880233
102,NARRATOR,Response,Valence,7,1.537222843984591
103,NARRATOR,Response,Valence,9,1.9360447621381285
104,NARRATOR,Response,Valence,16,3.1537526678430963
105,NARRATOR,Response,Valence,21,3.837294904853429
106,NARRATOR,Response,Valence,26,4.41596010648019
107,NARRATOR,Response,Valence,31,4.919329689205623
108,NARRATOR,Stimulus,Anger,1,0.4959621238084436
109,NARRATOR,Stimulus,Anger,3,1.4868080539937891
110,NARRATOR,Stimulus,Anger,5,2.476380058300234
111,NARRATOR,Stimulus,Anger,7,3.463079574579714
112,NARRATOR,Stimulus,Anger,9,4.444340906175138
113,NARRATOR,Stimulus,Anger,16,7.688542954042698
114,NARRATOR,Stimulus,Anger,21,9.634458496985971
115,NARRATOR,Stimulus,Anger,26,11.179751294448856
116,NARRATOR,Stimulus,Anger,31,12.314768913983361
117,NARRATOR,Stimulus,Anticipation,1,0.6427325505954476
118,NARRATOR,Stimulus,Anticipation,3,1.9281747281776347
119,NARRATOR,Stimulus,Anticipation,5,3.212743062422021
120,NARRATOR,Stimulus,Anticipation,7,4.4952306425526976
121,NARRATOR,Stimulus,Anticipation,9,5.77221606739404
122,NARRATOR,Stimulus,Anticipation,16,9.915610356816744
123,NARRATOR,Stimulus,Anticipation,21,12.114950333304796
124,NARRATOR,Stimulus,Anticipation,26,13.501878485394293
125,NARRATOR,Stimulus,Anticipation,31,14.245662301813757
126,NARRATOR,Stimulus,Arousal,1,0.9984111222344876
127,NARRATOR,Stimulus,Arousal,3,2.9947658282728136
128,NARRATOR,Stimulus,Arousal,5,4.990607145157687
129,NARRATOR,Stimulus,Arousal,7,6.984239411349372
130,NARRATOR,Stimulus,Arousal,9,8.968623866119255
131,NARRATOR,Stimulus,Arousal,16,14.377746496931929
132,NARRATOR,Stimulus,Arousal,21,14.782248590382205
133,NARRATOR,Stimulus,Arousal,26,14.796140214459623
134,NARRATOR,Stimulus,Arousal,31,14.796659576143076
135,NARRATOR,Stimulus,Disgust,1,0.34264023171033897
136,NARRATOR,Stimulus,Disgust,3,1.0278731167913644
137,NARRATOR,Stimulus,Disgust,5,1.7126181105122598
138,NARRATOR,Stimulus,Disgust,7,2.3956796670163056
139,NARRATOR,Stimulus,Disgust,9,3.075394150459268
140,NARRATOR,Stimulus,Disgust,16,5.386200599233269
141,NARRATOR,Stimulus,Disgust,21,6.919209488619712
142,NARRATOR,Stimulus,Disgust,26,8.310732385970237
143,NARRATOR,Stimulus,Disgust,31,9.535535128729869
144,NARRATOR,Stimulus,Dominance,1,0.7441889273578153
145,NARRATOR,Stimulus,Dominance,3,2.232577404244246
146,NARRATOR,Stimulus,Dominance,5,3.720530788995636
147,NARRATOR,Stimulus,Dominance,7,5.2064933323377485
148,NARRATOR,Stimulus,Dominance,9,6.684353530637744
149,NARRATOR,Stimulus,Dominance,16,11.366694445739617
150,NARRATOR,Stimulus,Dominance,21,13.43871420539905
151,NARRATOR,Stimulus,Dominance,26,14.369680198725977
152,NARRATOR,Stimulus,Dominance,31,14.687582123280658
153,NARRATOR,Stimulus,Fear,1,0.5777666226619418
154,NARRATOR,Stimulus,Fear,3,1.7321627429249042
155,NARRATOR,Stimulus,Fear,5,2.8844857061849956
156,NARRATOR,Stimulus,Fear,7,4.033186519925114
157,NARRATOR,Stimulus,Fear,9,5.173679804474903
158,NARRATOR,Stimulus,Fear,16,8.8929363076347
159,NARRATOR,Stimulus,Fear,21,10.957560548398108
160,NARRATOR,Stimulus,Fear,26,12.38798709919125
161,NARRATOR,Stimulus,Fear,31,13.300367950608612
162,NARRATOR,Stimulus,Joy,1,0.5478228591817599
163,NARRATOR,Stimulus,Joy,3,1.6431157909832534
164,NARRATOR,Stimulus,Joy,5,2.7376587534871475
165,NARRATOR,Stimulus,Joy,7,3.830520933343813
166,NARRATOR,Stimulus,Joy,9,4.916176275956726
167,NARRATOR,Stimulus,Joy,16,8.50254913283899
168,NARRATOR,Stimulus,Joy,21,10.601291258605418
169,NARRATOR,Stimulus,Joy,26,12.158608774427416
170,NARRATOR,Stimulus,Joy,31,13.211030474330126
171,NARRATOR,Stimulus,Sadness,1,0.5285370965621953
172,NARRATOR,Stimulus,Sadness,3,1.5849373778946507
173,NARRATOR,Stimulus,Sadness,5,2.6400132027044836
174,NARRATOR,Stimulus,Sadness,7,3.6929289833433185
175,NARRATOR,Stimulus,Sadness,9,4.738535100460771
176,NARRATOR,Stimulus,Sadness,16,8.199596324088704
177,NARRATOR,Stimulus,Sadness,21,10.24280820334246
178,NARRATOR,Stimulus,Sadness,26,11.798428213407732
179,NARRATOR,Stimulus,Sadness,31,12.898658387972308
180,NARRATOR,Stimulus,Surprise,1,0.47173752916696043
181,NARRATOR,Stimulus,Surprise,3,1.415166371200393
182,NARRATOR,Stimulus,Surprise,5,2.3582253725633633
183,NARRATOR,Stimulus,Surprise,7,3.298993930375299
184,NARRATOR,Stimulus,Surprise,9,4.2344710809923
185,NARRATOR,Stimulus,Surprise,16,7.39302707947699
186,NARRATOR,Stimulus,Surprise,21,9.383739380434298
187,NARRATOR,Stimulus,Surprise,26,11.023911984280705
188,NARRATOR,Stimulus,Surprise,31,12.285302545928333
189,NARRATOR,Stimulus,Trust,1,0.7017158805501745
190,NARRATOR,Stimulus,Trust,3,2.104529420570636
191,NARRATOR,Stimulus,Trust,5,3.5065610935288074
192,NARRATOR,Stimulus,Trust,7,4.905282885469152
193,NARRATOR,Stimulus,Trust,9,6.295012034164913
194,NARRATOR,Stimulus,Trust,16,10.698102184529622
195,NARRATOR,Stimulus,Trust,21,12.802626245321116
196,NARRATOR,Stimulus,Trust,26,13.954882763250616
197,NARRATOR,Stimulus,Trust,31,14.469775049517223
198,NARRATOR,Stimulus,Valence,1,0.4310142555556742
199,NARRATOR,Stimulus,Valence,3,1.2924156313040513
200,NARRATOR,Stimulus,Valence,5,2.152809434396852
201,NARRATOR,Stimulus,Valence,7,3.011541609910149
202,NARRATOR,Stimulus,Valence,9,3.8661975376734343
203,NARRATOR,Stimulus,Valence,16,6.745471010919639
204,NARRATOR,Stimulus,Valence,21,8.585777253651472
205,NARRATOR,Stimulus,Valence,26,10.153261235755124
206,NARRATOR,Stimulus,Valence,31,11.418409259834167
207,READER,Other,Unknown,1,0.15313288521493945
208,READER,Other,Unknown,3,0.431426362698882
209,READER,Other,Unknown,5,0.6962483929964383
210,READER,Other,Unknown,7,0.9563591477298005
211,READER,Other,Unknown,9,1.210364790617164
212,READER,Other,Unknown,16,2.0463988642354067
213,READER,Other,Unknown,21,2.608102565256578
214,READER,Other,Unknown,26,3.147760096179197
215,READER,Other,Unknown,31,3.66817911320914
216,READER,Response,Anger,1,0.012279052388073907
217,READER,Response,Anger,3,0.035595838256478565
218,READER,Response,Anger,5,0.058309423497061634
219,READER,Response,Anger,7,0.0806044491533911
220,READER,Response,Anger,9,0.10233058815849073
221,READER,Response,Anger,16,0.17469304547694695
222,READER,Response,Anger,21,0.22511659162558403
223,READER,Response,Anger,26,0.27477581107999793
224,READER,Response,Anger,31,0.3230504119583213
225,READER,Response,Anticipation,1,0.01631935648525328
226,READER,Response,Anticipation,3,0.04762883238623566
227,READER,Response,Anticipation,5,0.07842628503201128
228,READER,Response,Anticipation,7,0.10854792593772525
229,READER,Response,Anticipation,9,0.13825632939684757
230,READER,Response,Anticipation,16,0.24022745974015797
231,READER,Response,Anticipation,21,0.3115636327927029
232,READER,Response,Anticipation,26,0.3824129750684878
233,READER,Response,Anticipation,31,0.4528826498498957
234,READER,Response,Arousal,1,0.05626478009129758
235,READER,Response,Arousal,3,0.16154245415479174
236,READER,Response,Arousal,5,0.26218980535906516
237,READER,Response,Arousal,7,0.3593354016120501
238,READER,Response,Arousal,9,0.4528369771509474
239,READER,Response,Arousal,16,0.764025624674942
240,READER,Response,Arousal,21,0.971248226900906
241,READER,Response,Arousal,26,1.1659916425373178
242,READER,Response,Arousal,31,1.3546171467871155
243,READER,Response,Disgust,1,0.006873609550517713
244,READER,Response,Disgust,3,0.020235117750624265
245,READER,Response,Disgust,5,0.03359330753034683
246,READER,Response,Disgust,7,0.04695155490862513
