,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.18650593410656977
1,NARRATOR,Other,Unknown,3,0.5269240604056701
2,NARRATOR,Other,Unknown,5,0.8570169048445971
3,NARRATOR,Other,Unknown,7,1.1831159763208072
4,NARRATOR,Other,Unknown,9,1.5017015869598003
5,NARRATOR,Other,Unknown,16,2.5534832942602264
6,NARRATOR,Other,Unknown,21,3.2561392419211637
7,NARRATOR,Other,Unknown,26,3.9265562849527176
8,NARRATOR,Other,Unknown,31,4.559037549575072
9,NARRATOR,Response,Anger,1,0.0328142703113946
10,NARRATOR,Response,Anger,3,0.0969602864087391
11,NARRATOR,Response,Anger,5,0.1597315392565247
12,NARRATOR,Response,Anger,7,0.22183991927621957
13,NARRATOR,Response,Anger,9,0.28358857544526367
14,NARRATOR,Response,Anger,16,0.4966360577186707
15,NARRATOR,Response,Anger,21,0.6458232370161137
16,NARRATOR,Response,Anger,26,0.7936029955196711
17,NARRATOR,Response,Anger,31,0.9400934206285637
18,NARRATOR,Response,Anticipation,1,0.03450615938331492
19,NARRATOR,Response,Anticipation,3,0.1017417936675824
20,NARRATOR,Response,Anticipation,5,0.1676604077091925
21,NARRATOR,Response,Anticipation,7,0.23263384561072675
22,NARRATOR,Response,Anticipation,9,0.29626867078789687
23,NARRATOR,Response,Anticipation,16,0.5145288130711113
24,NARRATOR,Response,Anticipation,21,0.6675482242604736
25,NARRATOR,Response,Anticipation,26,0.8170466821101978
26,NARRATOR,Response,Anticipation,31,0.9643388806632043
27,NARRATOR,Response,Arousal,1,0.09849178171438024
28,NARRATOR,Response,Arousal,3,0.282364116336851
29,NARRATOR,Response,Arousal,5,0.45895361566681864
30,NARRATOR,Response,Arousal,7,0.6308088469332281
31,NARRATOR,Response,Arousal,9,0.7985552225084085
32,NARRATOR,Response,Arousal,16,1.352780562900138
33,NARRATOR,Response,Arousal,21,1.720092534974761
34,NARRATOR,Response,Arousal,26,2.066010809927427
35,NARRATOR,Response,Arousal,31,2.3951690794806964
36,NARRATOR,Response,Disgust,1,0.018111462559628637
37,NARRATOR,Response,Disgust,3,0.054122744893172724
38,NARRATOR,Response,Disgust,5,0.08991155766719951
39,NARRATOR,Response,Disgust,7,0.12568562078496373
40,NARRATOR,Response,Disgust,9,0.16144794963983267
41,NARRATOR,Response,Disgust,16,0.2861003621665395
42,NARRATOR,Response,Disgust,21,0.3748150886764238
43,NARRATOR,Response,Disgust,26,0.462195975888138
44,NARRATOR,Response,Disgust,31,0.5488415198891909
45,NARRATOR,Response,Dominance,1,0.14890065936700841
46,NARRATOR,Response,Dominance,3,0.4199790523956926
47,NARRATOR,Response,Dominance,5,0.6731771816702056
48,NARRATOR,Response,Dominance,7,0.9169824228075305
49,NARRATOR,Response,Dominance,9,1.153463175801035
50,NARRATOR,Response,Dominance,16,1.8937161899931487
51,NARRATOR,Response,Dominance,21,2.3561546335659775
52,NARRATOR,Response,Dominance,26,2.783092158514232
53,NARRATOR,Response,Dominance,31,3.1770479051476785
54,NARRATOR,Response,Fear,1,0.03584717980125727
55,NARRATOR,Response,Fear,3,0.10707775865829897
56,NARRATOR,Response,Fear,5,0.17699698353154353
57,NARRATOR,Response,Fear,7,0.24650195124536942
58,NARRATOR,Response,Fear,9,0.3158416565479097
59,NARRATOR,Response,Fear,16,0.5555073953884976
60,NARRATOR,Response,Fear,21,0.7236566672862776
61,NARRATOR,Response,Fear,26,0.8901783181893193
62,NARRATOR,Response,Fear,31,1.0536715725118364
63,NARRATOR,Response,Joy,1,0.030068622807435472
64,NARRATOR,Response,Joy,3,0.08973265109760827
65,NARRATOR,Response,Joy,5,0.14851568706557713
66,NARRATOR,Response,Joy,7,0.20681557132218997
67,NARRATOR,Response,Joy,9,0.26477212638581116
68,NARRATOR,Response,Joy,16,0.46319702304734994
69,NARRATOR,Response,Joy,21,0.6027522057414827
70,NARRATOR,Response,Joy,26,0.7401283836537517
71,NARRATOR,Response,Joy,31,0.8771030551561052
72,NARRATOR,Response,Sadness,1,0.03247372816404337
73,NARRATOR,Response,Sadness,3,0.09736075536027056
74,NARRATOR,Response,Sadness,5,0.16163007101757318
75,NARRATOR,Response,Sadness,7,0.2252523763922823
76,NARRATOR,Response,Sadness,9,0.288465057643359
77,NARRATOR,Response,Sadness,16,0.5051298926256372
78,NARRATOR,Response,Sadness,21,0.6566130586513457
79,NARRATOR,Response,Sadness,26,0.8056270165678724
80,NARRATOR,Response,Sadness,31,0.9523604185753899
81,NARRATOR,Response,Surprise,1,0.023327147508449744
82,NARRATOR,Response,Surprise,3,0.06989873280118358
83,NARRATOR,Response,Surprise,5,0.11602337932580184
84,NARRATOR,Response,Surprise,7,0.16189259034482298
85,NARRATOR,Response,Surprise,9,0.20764848453893167
86,NARRATOR,Response,Surprise,16,0.36684619756465603
87,NARRATOR,Response,Surprise,21,0.4800728994453651
88,NARRATOR,Response,Surprise,26,0.5929021967784661
89,NARRATOR,Response,Surprise,31,0.704847273522931
90,NARRATOR,Response,Trust,1,0.046543429800960705
91,NARRATOR,Response,Trust,3,0.13806169641893995
92,NARRATOR,Response,Trust,5,0.22849604843353463
93,NARRATOR,Response,Trust,7,0.3178763730457396
94,NARRATOR,Response,Trust,9,0.406112432069018
95,NARRATOR,Response,Trust,16,0.7050120734712314
96,NARRATOR,Response,Trust,21,0.913016254256561
97,NARRATOR,Response,Trust,26,1.1160083038561366
98,NARRATOR,Response,Trust,31,1.3151209920653846
99,NARRATOR,Response,Valence,1,0.16972401273369042
100,NARRATOR,Response,Valence,3,0.46817918197208047
101,NARRATOR,Response,Valence,5,0.748450261138914
102,NARRATOR,Response,Valence,7,1.0171940080680384
103,NARRATOR,Response,Valence,9,1.274887449250552
104,NARRATOR,Response,Valence,16,2.06705789944585
105,NARRATOR,Response,Valence,21,2.556837432734666
106,NARRATOR,Response,Valence,26,3.0075719838166464
107,NARRATOR,Response,Valence,31,3.4228834814310702
108,NARRATOR,Stimulus,Anger,1,0.6146093741446426
109,NARRATOR,Stimulus,Anger,3,1.8419488352603635
110,NARRATOR,Stimulus,Anger,5,3.066821395345501
111,NARRATOR,Stimulus,Anger,7,4.2886348004795485
112,NARRATOR,Stimulus,Anger,9,5.501304158450287
113,NARRATOR,Stimulus,Anger,16,9.381545610259062
114,NARRATOR,Stimulus,Anger,21,11.457658381006947
115,NARRATOR,Stimulus,Anger,26,12.84741066322733
116,NARRATOR,Stimulus,Anger,31,13.656885243962234
117,NARRATOR,Stimulus,Anticipation,1,0.6568854359595009
118,NARRATOR,Stimulus,Anticipation,3,1.9704844883879324
119,NARRATOR,Stimulus,Anticipation,5,3.2835211675459375
120,NARRATOR,Stimulus,Anticipation,7,4.59489775236656
121,NARRATOR,Stimulus,Anticipation,9,5.898353495253011
122,NARRATOR,Stimulus,Anticipation,16,10.108982288362943
123,NARRATOR,Stimulus,Anticipation,21,12.259686855788374
124,NARRATOR,Stimulus,Anticipation,26,13.524415504378615
125,NARRATOR,Stimulus,Anticipation,31,14.146112683751756
126,NARRATOR,Stimulus,Arousal,1,0.9850454071836403
127,NARRATOR,Stimulus,Arousal,3,2.9539749802563593
128,NARRATOR,Stimulus,Arousal,5,4.922128595285956
129,NARRATOR,Stimulus,Arousal,7,6.887489043836542
130,NARRATOR,Stimulus,Arousal,9,8.84414757749074
131,NARRATOR,Stimulus,Arousal,16,14.092207562768087
132,NARRATOR,Stimulus,Arousal,21,14.536145014829858
133,NARRATOR,Stimulus,Arousal,26,14.554325861141423
134,NARRATOR,Stimulus,Arousal,31,14.554109152577446
135,NARRATOR,Stimulus,Disgust,1,0.40889044904000293
136,NARRATOR,Stimulus,Disgust,3,1.2259440185486998
137,NARRATOR,Stimulus,Disgust,5,2.0419408377278088
138,NARRATOR,Stimulus,Disgust,7,2.8558542205816084
139,NARRATOR,Stimulus,Disgust,9,3.6642069455910806
140,NARRATOR,Stimulus,Disgust,16,6.389861079785711
141,NARRATOR,Stimulus,Disgust,21,8.1460146421955
142,NARRATOR,Stimulus,Disgust,26,9.655555629100915
143,NARRATOR,Stimulus,Disgust,31,10.897572790159648
144,NARRATOR,Stimulus,Dominance,1,0.7318461153852175
145,NARRATOR,Stimulus,Dominance,3,2.1955689046345284
146,NARRATOR,Stimulus,Dominance,5,3.6586285354206383
147,NARRATOR,Stimulus,Dominance,7,5.119351683977088
148,NARRATOR,Stimulus,Dominance,9,6.570338277982517
149,NARRATOR,Stimulus,Dominance,16,11.128432251456184
150,NARRATOR,Stimulus,Dominance,21,13.178332362962964
151,NARRATOR,Stimulus,Dominance,26,14.11683270502375
152,NARRATOR,Stimulus,Dominance,31,14.443683092712927
153,NARRATOR,Stimulus,Fear,1,0.6893895954679989
154,NARRATOR,Stimulus,Fear,3,2.066296312722676
155,NARRATOR,Stimulus,Fear,5,3.4406783267500423
156,NARRATOR,Stimulus,Fear,7,4.811771907128326
157,NARRATOR,Stimulus,Fear,9,6.172132427998956
158,NARRATOR,Stimulus,Fear,16,10.438128780799495
159,NARRATOR,Stimulus,Fear,21,12.47737069110362
160,NARRATOR,Stimulus,Fear,26,13.609798218064364
161,NARRATOR,Stimulus,Fear,31,14.151345542863782
162,NARRATOR,Stimulus,Joy,1,0.5610502055324651
163,NARRATOR,Stimulus,Joy,3,1.6829454358211906
164,NARRATOR,Stimulus,Joy,5,2.803855710618865
165,NARRATOR,Stimulus,Joy,7,3.9220619709971363
166,NARRATOR,Stimulus,Joy,9,5.033499315118116
167,NARRATOR,Stimulus,Joy,16,8.666388259046128
168,NARRATOR,Stimulus,Joy,21,10.759237820702346
169,NARRATOR,Stimulus,Joy,26,12.2811862750848
170,NARRATOR,Stimulus,Joy,31,13.273195978162505
171,NARRATOR,Stimulus,Sadness,1,0.6003147820902706
172,NARRATOR,Stimulus,Sadness,3,1.800641884166518
173,NARRATOR,Stimulus,Sadness,5,3.00028721302566
174,NARRATOR,Stimulus,Sadness,7,4.196979389921275
175,NARRATOR,Stimulus,Sadness,9,5.385325605240908
176,NARRATOR,Stimulus,Sadness,16,9.250083963146965
177,NARRATOR,Stimulus,Sadness,21,11.389381056710372
178,NARRATOR,Stimulus,Sadness,26,12.81681539722911
179,NARRATOR,Stimulus,Sadness,31,13.64817597476674
180,NARRATOR,Stimulus,Surprise,1,0.5031060836877493
181,NARRATOR,Stimulus,Surprise,3,1.509217882412528
182,NARRATOR,Stimulus,Surprise,5,2.5149177402124328
183,NARRATOR,Stimulus,Surprise,7,3.518371373133091
184,NARRATOR,Stimulus,Surprise,9,4.51652872501145
185,NARRATOR,Stimulus,Surprise,16,7.841767299777895
186,NARRATOR,Stimulus,Surprise,21,9.874738557595007
187,NARRATOR,Stimulus,Surprise,26,11.47512394750416
188,NARRATOR,Stimulus,Surprise,31,12.642616399053663
189,NARRATOR,Stimulus,Trust,1,0.7137832195264184
190,NARRATOR,Stimulus,Trust,3,2.1409273525511976
191,NARRATOR,Stimulus,Trust,5,3.5670284013956315
192,NARRATOR,Stimulus,Trust,7,4.990704597522689
193,NARRATOR,Stimulus,Trust,9,6.40321677755381
194,NARRATOR,Stimulus,Trust,16,10.87046966815968
195,NARRATOR,Stimulus,Trust,21,12.921322664525569
196,NARRATOR,Stimulus,Trust,26,13.95031486162015
197,NARRATOR,Stimulus,Trust,31,14.355922951897242
198,NARRATOR,Stimulus,Valence,1,0.49318462082517833
199,NARRATOR,Stimulus,Valence,3,1.4792649238591309
200,NARRATOR,Stimulus,Valence,5,2.46459389145191
201,NARRATOR,Stimulus,Valence,7,3.4472399853863385
202,NARRATOR,Stimulus,Valence,9,4.424552928514041
203,NARRATOR,Stimulus,Valence,16,7.680499310520011
204,NARRATOR,Stimulus,Valence,21,9.661560370485818
205,NARRATOR,Stimulus,Valence,26,11.25006937607993
206,NARRATOR,Stimulus,Valence,31,12.41480608358229
207,READER,Other,Unknown,1,0.18650593410656977
208,READER,Other,Unknown,3,0.5269240604056701
209,READER,Other,Unknown,5,0.8570169048445971
210,READER,Other,Unknown,7,1.1831159763208072
211,READER,Other,Unknown,9,1.5017015869598003
212,READER,Other,Unknown,16,2.5534832942602264
213,READER,Other,Unknown,21,3.2561392419211637
214,READER,Other,Unknown,26,3.9265562849527176
215,READER,Other,Unknown,31,4.559037549575072
216,READER,Response,Anger,1,0.004793476252552654
217,READER,Response,Anger,3,0.013797203561127696
218,READER,Response,Anger,5,0.022794121486327017
219,READER,Response,Anger,7,0.031791736427003205
220,READER,Response,Anger,9,0.040790047952621256
221,READER,Response,Anger,16,0.07228961765817808
222,READER,Response,Anger,21,0.0947945211474808
223,READER,Response,Anger,26,0.11730375926915262
224,READER,Response,Anger,31,0.13981732515112852
225,READER,Response,Anticipation,1,0.007085925076334965
226,READER,Response,Anticipation,3,0.02125786792127115
227,READER,Response,Anticipation,5,0.03519740618714648
228,READER,Response,Anticipation,7,0.04890469636592266
229,READER,Response,Anticipation,9,0.06260770151450967
230,READER,Response,Anticipation,16,0.11055461677390058
231,READER,Response,Anticipation,21,0.14480479686296677
232,READER,Response,Anticipation,26,0.17905692355708983
233,READER,Response,Anticipation,31,0.21188900607760708
234,READER,Response,Arousal,1,0.031104046041770198
235,READER,Response,Arousal,3,0.08318275003730723
236,READER,Response,Arousal,5,0.13300648050815736
237,READER,Response,Arousal,7,0.18145800197769807
238,READER,Response,Arousal,9,0.2295427972397338
239,READER,Response,Arousal,16,0.3944929347799963
240,READER,Response,Arousal,21,0.5087800284177473
241,READER,Response,Arousal,26,0.6192254131701519
242,READER,Response,Arousal,31,0.727651908835899
243,READER,Response,Disgust,1,0.004793476252552654
244,READER,Response,Disgust,3,0.013797203561127696
245,READER,Response,Disgust,5,0.022794121486327017
246,READER,Response,Disgust,7,0.031791736427003205
247,READER,Response,Disgust,9,0.040790047952621256
248,READER,Response,Disgust,16,0.07228961765817808
249,READER,Response,Disgust,21,0.0947945211474808
250,READER,Response,Disgust,26,0.11730375926915262
251,READER,Response,Disgust,31,0.13981732515112852
252,READER,Response,Dominance,1,0.045595333504699354
253,READER,Response,Dominance,3,0.12402665931995287
254,READER,Response,Dominance,5,0.19723391044936114
255,READER,Response,Dominance,7,0.267056459649255
256,READER,Response,Dominance,9,0.3352612215492049
257,READER,Response,Dominance,16,0.5654370065654105
258,READER,Response,Dominance,21,0.722806722784734
259,READER,Response,Dominance,26,0.872368181309091
260,READER,Response,Dominance,31,1.0171972771263769
261,READER,Response,Fear,1,0.008839428901179502
262,READER,Response,Fear,3,0.025902866889574168
263,READER,Response,Fear,5,0.042519213224195704
264,READER,Response,Fear,7,0.05845523834955679
265,READER,Response,Fear,9,0.0743870774590061
266,READER,Response,Fear,16,0.1301492270634138
267,READER,Response,Fear,21,0.16997995277182124
268,READER,Response,Fear,26,0.2091238076810107
269,READER,Response,Fear,31,0.24775573776445595
270,READER,Response,Joy,1,0.005726449078747059
271,READER,Response,Joy,3,0.01664824253646453
272,READER,Response,Joy,5,0.027564653784171823
273,READER,Response,Joy,7,0.03848168166199138
274,READER,Response,Joy,9,0.049399325218608195
