,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.15434554827012492
1,NARRATOR,Other,Unknown,3,0.43042637645386517
2,NARRATOR,Other,Unknown,5,0.6929410873883336
3,NARRATOR,Other,Unknown,7,0.9471298810150602
4,NARRATOR,Other,Unknown,9,1.191451715347639
5,NARRATOR,Other,Unknown,16,1.9725790578977584
6,NARRATOR,Other,Unknown,21,2.4805255959857417
7,NARRATOR,Other,Unknown,26,2.9660523949591586
8,NARRATOR,Other,Unknown,31,3.427628288660066
9,NARRATOR,Response,Anger,1,0.12195599979933378
10,NARRATOR,Response,Anger,3,0.36132958245047264
11,NARRATOR,Response,Anger,5,0.5994050700359079
12,NARRATOR,Response,Anger,7,0.83527932543751
13,NARRATOR,Response,Anger,9,1.069329125588442
14,NARRATOR,Response,Anger,16,1.8597921736853733
15,NARRATOR,Response,Anger,21,2.396362812309749
16,NARRATOR,Response,Anger,26,2.9045680638772517
17,NARRATOR,Response,Anger,31,3.376346428475196
18,NARRATOR,Response,Anticipation,1,0.17942988065504922
19,NARRATOR,Response,Anticipation,3,0.5359960447173651
20,NARRATOR,Response,Anticipation,5,0.8902182303146879
21,NARRATOR,Response,Anticipation,7,1.2418350403737164
22,NARRATOR,Response,Anticipation,9,1.5916026216206567
23,NARRATOR,Response,Anticipation,16,2.7776679654459193
24,NARRATOR,Response,Anticipation,21,3.5797742368389467
25,NARRATOR,Response,Anticipation,26,4.332564492493296
26,NARRATOR,Response,Anticipation,31,5.025421323117148
27,NARRATOR,Response,Arousal,1,0.4388015029017565
28,NARRATOR,Response,Arousal,3,1.2848160639676751
29,NARRATOR,Response,Arousal,5,2.111296180630677
30,NARRATOR,Response,Arousal,7,2.9217755276978394
31,NARRATOR,Response,Arousal,9,3.7120933536534775
32,NARRATOR,Response,Arousal,16,6.093686652668365
33,NARRATOR,Response,Arousal,21,7.296031380766959
34,NARRATOR,Response,Arousal,26,8.161987837013196
35,NARRATOR,Response,Arousal,31,8.795673781247686
36,NARRATOR,Response,Disgust,1,0.0813081985093177
37,NARRATOR,Response,Disgust,3,0.23912029639667606
38,NARRATOR,Response,Disgust,5,0.39593617531285286
39,NARRATOR,Response,Disgust,7,0.5516781830711033
40,NARRATOR,Response,Disgust,9,0.7059301165753438
41,NARRATOR,Response,Disgust,16,1.233586633241476
42,NARRATOR,Response,Disgust,21,1.5986878435777023
43,NARRATOR,Response,Disgust,26,1.9500864477187747
44,NARRATOR,Response,Disgust,31,2.284715851553455
45,NARRATOR,Response,Dominance,1,0.5576514049275443
46,NARRATOR,Response,Dominance,3,1.625776250522815
47,NARRATOR,Response,Dominance,5,2.6613991943077373
48,NARRATOR,Response,Dominance,7,3.672356092079291
49,NARRATOR,Response,Dominance,9,4.652541157048054
50,NARRATOR,Response,Dominance,16,7.415924806863561
51,NARRATOR,Response,Dominance,21,8.547655727735384
52,NARRATOR,Response,Dominance,26,9.241376700636359
53,NARRATOR,Response,Dominance,31,9.712630350695147
54,NARRATOR,Response,Fear,1,0.16141271230676474
55,NARRATOR,Response,Fear,3,0.4774954940667454
56,NARRATOR,Response,Fear,5,0.791149956203455
57,NARRATOR,Response,Fear,7,1.10142623842936
58,NARRATOR,Response,Fear,9,1.406893028594118
59,NARRATOR,Response,Fear,16,2.43844227728899
60,NARRATOR,Response,Fear,21,3.1168961329221654
61,NARRATOR,Response,Fear,26,3.7459859393032153
62,NARRATOR,Response,Fear,31,4.325091372984256
63,NARRATOR,Response,Joy,1,0.1505990864776232
64,NARRATOR,Response,Joy,3,0.450807640078504
65,NARRATOR,Response,Joy,5,0.7496317548720258
66,NARRATOR,Response,Joy,7,1.0451605196389981
67,NARRATOR,Response,Joy,9,1.3386365318665017
68,NARRATOR,Response,Joy,16,2.3391640681098136
69,NARRATOR,Response,Joy,21,3.0175133169782336
70,NARRATOR,Response,Joy,26,3.655186370021219
71,NARRATOR,Response,Joy,31,4.255607290210042
72,NARRATOR,Response,Sadness,1,0.1443992379036259
73,NARRATOR,Response,Sadness,3,0.42791187479147946
74,NARRATOR,Response,Sadness,5,0.7093037575100661
75,NARRATOR,Response,Sadness,7,0.9879311653129075
76,NARRATOR,Response,Sadness,9,1.263276285140264
77,NARRATOR,Response,Sadness,16,2.195566559126859
78,NARRATOR,Response,Sadness,21,2.825195598494109
79,NARRATOR,Response,Sadness,26,3.424053456043885
80,NARRATOR,Response,Sadness,31,3.985277929114351
81,NARRATOR,Response,Surprise,1,0.11343888276069963
82,NARRATOR,Response,Surprise,3,0.3396266896725
83,NARRATOR,Response,Surprise,5,0.5650480173259985
84,NARRATOR,Response,Surprise,7,0.7892122690686039
85,NARRATOR,Response,Surprise,9,1.0122936932433428
86,NARRATOR,Response,Surprise,16,1.7797237392156178
87,NARRATOR,Response,Surprise,21,2.313764693072675
88,NARRATOR,Response,Surprise,26,2.834134287935511
89,NARRATOR,Response,Surprise,31,3.332273139545464
90,NARRATOR,Response,Trust,1,0.190869938945105
91,NARRATOR,Response,Trust,3,0.5713896316480445
92,NARRATOR,Response,Trust,5,0.9501187702223967
93,NARRATOR,Response,Trust,7,1.326404140747352
94,NARRATOR,Response,Trust,9,1.6996703259670287
95,NARRATOR,Response,Trust,16,2.961465117432578
96,NARRATOR,Response,Trust,21,3.803061215578949
97,NARRATOR,Response,Trust,26,4.589329181199967
98,NARRATOR,Response,Trust,31,5.3189040366341
99,NARRATOR,Response,Valence,1,0.5927285224998851
100,NARRATOR,Response,Valence,3,1.7151625024397652
101,NARRATOR,Response,Valence,5,2.799504731032937
102,NARRATOR,Response,Valence,7,3.854802058846097
103,NARRATOR,Response,Valence,9,4.87742897334933
104,NARRATOR,Response,Valence,16,7.689904173657306
105,NARRATOR,Response,Valence,21,8.768621329772298
106,NARRATOR,Response,Valence,26,9.422568339338259
107,NARRATOR,Response,Valence,31,9.877877514670425
108,NARRATOR,Stimulus,Anger,1,0.49288658284216696
109,NARRATOR,Stimulus,Anger,3,1.477407712016967
110,NARRATOR,Stimulus,Anger,5,2.459553072123453
111,NARRATOR,Stimulus,Anger,7,3.436674472488211
112,NARRATOR,Stimulus,Anger,9,4.403324456828344
113,NARRATOR,Stimulus,Anger,16,7.536289232915869
114,NARRATOR,Stimulus,Anger,21,9.343220981205889
115,NARRATOR,Stimulus,Anger,26,10.740871002787586
116,NARRATOR,Stimulus,Anger,31,11.758773854665202
