,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.12709051528257415
1,NARRATOR,Other,Unknown,3,0.3630287439669696
2,NARRATOR,Other,Unknown,5,0.589615379456694
3,NARRATOR,Other,Unknown,7,0.8122468439822849
4,NARRATOR,Other,Unknown,9,1.0305674794313593
5,NARRATOR,Other,Unknown,16,1.7592699586202407
6,NARRATOR,Other,Unknown,21,2.251223784849077
7,NARRATOR,Other,Unknown,26,2.7228076029571655
8,NARRATOR,Other,Unknown,31,3.1788230377470614
9,NARRATOR,Response,Anger,1,0.06308553746250725
10,NARRATOR,Response,Anger,3,0.18789215053011493
11,NARRATOR,Response,Anger,5,0.3121619407413457
12,NARRATOR,Response,Anger,7,0.43544332588443174
13,NARRATOR,Response,Anger,9,0.5578946935421594
14,NARRATOR,Response,Anger,16,0.9765487870308385
15,NARRATOR,Response,Anger,21,1.262928380097342
16,NARRATOR,Response,Anger,26,1.540863184709612
17,NARRATOR,Response,Anger,31,1.8107918815620665
18,NARRATOR,Response,Anticipation,1,0.09123432609623847
19,NARRATOR,Response,Anticipation,3,0.27194286623639236
20,NARRATOR,Response,Anticipation,5,0.45116977822917714
21,NARRATOR,Response,Anticipation,7,0.6282065310480253
22,NARRATOR,Response,Anticipation,9,0.8027763634834681
23,NARRATOR,Response,Anticipation,16,1.3975528739567153
24,NARRATOR,Response,Anticipation,21,1.8002102109772051
25,NARRATOR,Response,Anticipation,26,2.1832187541171857
26,NARRATOR,Response,Anticipation,31,2.543801804878039
27,NARRATOR,Response,Arousal,1,0.2688998426544078
28,NARRATOR,Response,Arousal,3,0.7866788612064008
29,NARRATOR,Response,Arousal,5,1.2863235766856296
30,NARRATOR,Response,Arousal,7,1.778155017247032
31,NARRATOR,Response,Arousal,9,2.256669419690535
32,NARRATOR,Response,Arousal,16,3.766152993173458
33,NARRATOR,Response,Arousal,21,4.640073609373813
34,NARRATOR,Response,Arousal,26,5.33549973684587
35,NARRATOR,Response,Arousal,31,5.895580726287774
36,NARRATOR,Response,Disgust,1,0.04538720546160099
37,NARRATOR,Response,Disgust,3,0.13479382594245026
38,NARRATOR,Response,Disgust,5,0.22341520232886414
39,NARRATOR,Response,Disgust,7,0.31158365429953383
40,NARRATOR,Response,Disgust,9,0.39946530015326764
41,NARRATOR,Response,Disgust,16,0.7015793045577441
42,NARRATOR,Response,Disgust,21,0.9125708385541242
43,NARRATOR,Response,Disgust,26,1.1212709551427054
44,NARRATOR,Response,Disgust,31,1.327052629053035
45,NARRATOR,Response,Dominance,1,0.3589019183092056
46,NARRATOR,Response,Dominance,3,1.0484542854358854
47,NARRATOR,Response,Dominance,5,1.7090762471336134
48,NARRATOR,Response,Dominance,7,2.347443007441374
49,NARRATOR,Response,Dominance,9,2.9637007675648848
50,NARRATOR,Response,Dominance,16,4.802826490833641
51,NARRATOR,Response,Dominance,21,5.720710047346728
52,NARRATOR,Response,Dominance,26,6.354472411562022
53,NARRATOR,Response,Dominance,31,6.82042148781182
54,NARRATOR,Response,Fear,1,0.08270429895468985
55,NARRATOR,Response,Fear,3,0.24510556268402578
56,NARRATOR,Response,Fear,5,0.40531858312063296
57,NARRATOR,Response,Fear,7,0.5634369906008752
58,NARRATOR,Response,Fear,9,0.7194442742831698
59,NARRATOR,Response,Fear,16,1.2476320877372142
60,NARRATOR,Response,Fear,21,1.6069899542569017
61,NARRATOR,Response,Fear,26,1.9522786477712466
62,NARRATOR,Response,Fear,31,2.280961455422234
63,NARRATOR,Response,Joy,1,0.06487432306727221
64,NARRATOR,Response,Joy,3,0.19339252578571034
65,NARRATOR,Response,Joy,5,0.3205249730206465
66,NARRATOR,Response,Joy,7,0.44623005795996856
67,NARRATOR,Response,Joy,9,0.5704720344145302
68,NARRATOR,Response,Joy,16,0.994174365070903
69,NARRATOR,Response,Joy,21,1.2867172349695668
70,NARRATOR,Response,Joy,26,1.5717697040474543
71,NARRATOR,Response,Joy,31,1.8491560749615905
72,NARRATOR,Response,Sadness,1,0.07905618341331888
73,NARRATOR,Response,Sadness,3,0.23545798780138166
74,NARRATOR,Response,Sadness,5,0.39073966421188505
75,NARRATOR,Response,Sadness,7,0.544938605587591
76,NARRATOR,Response,Sadness,9,0.6971907791883585
77,NARRATOR,Response,Sadness,16,1.215680961332041
78,NARRATOR,Response,Sadness,21,1.5747679414284765
79,NARRATOR,Response,Sadness,26,1.9221387770367242
80,NARRATOR,Response,Sadness,31,2.252557332558531
81,NARRATOR,Response,Surprise,1,0.06487432306727221
82,NARRATOR,Response,Surprise,3,0.19421924587854678
83,NARRATOR,Response,Surprise,5,0.3231398517726711
84,NARRATOR,Response,Surprise,7,0.45151696022272536
85,NARRATOR,Response,Surprise,9,0.5793087057390724
86,NARRATOR,Response,Surprise,16,1.0180623197290979
87,NARRATOR,Response,Surprise,21,1.323783178413089
88,NARRATOR,Response,Surprise,26,1.6224063499987627
89,NARRATOR,Response,Surprise,31,1.9103792317643977
90,NARRATOR,Response,Trust,1,0.09447664758584558
91,NARRATOR,Response,Trust,3,0.2819595297711034
92,NARRATOR,Response,Trust,5,0.4680638675983321
93,NARRATOR,Response,Trust,7,0.6517576061452028
94,NARRATOR,Response,Trust,9,0.8332192050797341
95,NARRATOR,Response,Trust,16,1.4535666765738886
96,NARRATOR,Response,Trust,21,1.876544157230365
97,NARRATOR,Response,Trust,26,2.2816613963784165
98,NARRATOR,Response,Trust,31,2.6649973336088655
99,NARRATOR,Response,Valence,1,0.4093948329217703
100,NARRATOR,Response,Valence,3,1.1816621260800328
101,NARRATOR,Response,Valence,5,1.9162235295471284
102,NARRATOR,Response,Valence,7,2.626305316144129
103,NARRATOR,Response,Valence,9,3.306397428630526
104,NARRATOR,Response,Valence,16,5.264398313153591
105,NARRATOR,Response,Valence,21,6.1327798120410275
106,NARRATOR,Response,Valence,26,6.6975032346860806
107,NARRATOR,Response,Valence,31,7.106848935944397
108,NARRATOR,Stimulus,Anger,1,0.29428564462623613
109,NARRATOR,Stimulus,Anger,3,0.8821477084717033
110,NARRATOR,Stimulus,Anger,5,1.467541312516565
111,NARRATOR,Stimulus,Anger,7,2.050954617867629
112,NARRATOR,Stimulus,Anger,9,2.631220470578529
113,NARRATOR,Stimulus,Anger,16,4.609656944141702
114,NARRATOR,Stimulus,Anger,21,5.928597114621866
115,NARRATOR,Stimulus,Anger,26,7.146512991607668
116,NARRATOR,Stimulus,Anger,31,8.227635448688465
117,NARRATOR,Stimulus,Anticipation,1,0.31675993908168915
118,NARRATOR,Stimulus,Anticipation,3,0.9496000994519109
119,NARRATOR,Stimulus,Anticipation,5,1.5817359155120372
120,NARRATOR,Stimulus,Anticipation,7,2.212645777716159
121,NARRATOR,Stimulus,Anticipation,9,2.8407940177569313
122,NARRATOR,Stimulus,Anticipation,16,4.983664259380621
123,NARRATOR,Stimulus,Anticipation,21,6.408877180244795
124,NARRATOR,Stimulus,Anticipation,26,7.716216573236671
125,NARRATOR,Stimulus,Anticipation,31,8.898652451753401
126,NARRATOR,Stimulus,Arousal,1,0.8014530356134473
127,NARRATOR,Stimulus,Arousal,3,2.400754060844524
128,NARRATOR,Stimulus,Arousal,5,3.9962793862667096
129,NARRATOR,Stimulus,Arousal,7,5.588039428769907
130,NARRATOR,Stimulus,Arousal,9,7.170514029648693
131,NARRATOR,Stimulus,Arousal,16,11.898685272092287
132,NARRATOR,Stimulus,Arousal,21,13.542284230726382
133,NARRATOR,Stimulus,Arousal,26,14.1867020783858
134,NARRATOR,Stimulus,Arousal,31,14.417033237111132
135,NARRATOR,Stimulus,Disgust,1,0.20333566629747565
136,NARRATOR,Stimulus,Disgust,3,0.6092243097532466
137,NARRATOR,Stimulus,Disgust,5,1.0133854164772387
138,NARRATOR,Stimulus,Disgust,7,1.4165475470577755
