,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.15792806435449802
1,NARRATOR,Other,Unknown,3,0.44389124215255066
2,NARRATOR,Other,Unknown,5,0.7146545207579789
3,NARRATOR,Other,Unknown,7,0.9806562092396884
4,NARRATOR,Other,Unknown,9,1.240842364336766
5,NARRATOR,Other,Unknown,16,2.0981621800202204
6,NARRATOR,Other,Unknown,21,2.6708763102868147
7,NARRATOR,Other,Unknown,26,3.220415470433993
8,NARRATOR,Other,Unknown,31,3.746365371799448
9,NARRATOR,Response,Anger,1,0.023604216747600444
10,NARRATOR,Response,Anger,3,0.07026265668912189
11,NARRATOR,Response,Anger,5,0.11661715381985528
12,NARRATOR,Response,Anger,7,0.16212824401614234
13,NARRATOR,Response,Anger,9,0.2070858168085131
14,NARRATOR,Response,Anger,16,0.3604093040694017
15,NARRATOR,Response,Anger,21,0.46632652490966353
16,NARRATOR,Response,Anger,26,0.5690331983867231
17,NARRATOR,Response,Anger,31,0.6698719935778839
18,NARRATOR,Response,Anticipation,1,0.04742455778343699
19,NARRATOR,Response,Anticipation,3,0.14090226463214933
20,NARRATOR,Response,Anticipation,5,0.2332963084755005
21,NARRATOR,Response,Anticipation,7,0.32454658958114985
22,NARRATOR,Response,Anticipation,9,0.41517074661100933
23,NARRATOR,Response,Anticipation,16,0.7211646480152372
24,NARRATOR,Response,Anticipation,21,0.9307964806114777
25,NARRATOR,Response,Anticipation,26,1.1306606787908855
26,NARRATOR,Response,Anticipation,31,1.3218208166096233
27,NARRATOR,Response,Arousal,1,0.1264609640647889
28,NARRATOR,Response,Arousal,3,0.37038777758693775
29,NARRATOR,Response,Arousal,5,0.6053563144294396
30,NARRATOR,Response,Arousal,7,0.8326891252779766
31,NARRATOR,Response,Arousal,9,1.0557015000678496
32,NARRATOR,Response,Arousal,16,1.7886547494815541
33,NARRATOR,Response,Arousal,21,2.2564032506513545
34,NARRATOR,Response,Arousal,26,2.6784330341030684
35,NARRATOR,Response,Arousal,31,3.061995599787984
36,NARRATOR,Response,Disgust,1,0.018497186953855268
37,NARRATOR,Response,Disgust,3,0.055356361517192094
38,NARRATOR,Response,Disgust,5,0.09213808254194861
39,NARRATOR,Response,Disgust,7,0.128707963691776
40,NARRATOR,Response,Disgust,9,0.16512790376292513
41,NARRATOR,Response,Disgust,16,0.28870856439557757
42,NARRATOR,Response,Disgust,21,0.3745853573434001
43,NARRATOR,Response,Disgust,26,0.4585969148028141
44,NARRATOR,Response,Disgust,31,0.5420834540439812
45,NARRATOR,Response,Dominance,1,0.21573937378936697
46,NARRATOR,Response,Dominance,3,0.6163092169545337
47,NARRATOR,Response,Dominance,5,0.9892397965767852
48,NARRATOR,Response,Dominance,7,1.3466788946452155
49,NARRATOR,Response,Dominance,9,1.6909341205989694
50,NARRATOR,Response,Dominance,16,2.7460764353169225
51,NARRATOR,Response,Dominance,21,3.3336833334920475
52,NARRATOR,Response,Dominance,26,3.8217793726112324
53,NARRATOR,Response,Dominance,31,4.243100986005454
54,NARRATOR,Response,Fear,1,0.029305637886219187
55,NARRATOR,Response,Fear,3,0.08678186122322043
56,NARRATOR,Response,Fear,5,0.14351921671326157
57,NARRATOR,Response,Fear,7,0.19956396704091622
58,NARRATOR,Response,Fear,9,0.25508351476227537
59,NARRATOR,Response,Fear,16,0.4440542995724504
60,NARRATOR,Response,Fear,21,0.5731236718472633
61,NARRATOR,Response,Fear,26,0.6972636179758009
62,NARRATOR,Response,Fear,31,0.8182997541393006
63,NARRATOR,Response,Joy,1,0.030629342608895792
64,NARRATOR,Response,Joy,3,0.09107336814223421
65,NARRATOR,Response,Joy,5,0.15089538197853086
66,NARRATOR,Response,Joy,7,0.21023212558589205
67,NARRATOR,Response,Joy,9,0.2689633016353979
68,NARRATOR,Response,Joy,16,0.4716555328771607
69,NARRATOR,Response,Joy,21,0.6145177431120779
70,NARRATOR,Response,Joy,26,0.7556866010027505
71,NARRATOR,Response,Joy,31,0.893908111888421
72,NARRATOR,Response,Sadness,1,0.031417962935429145
73,NARRATOR,Response,Sadness,3,0.09328953305243468
74,NARRATOR,Response,Sadness,5,0.15468072571434144
75,NARRATOR,Response,Sadness,7,0.21568154186680036
76,NARRATOR,Response,Sadness,9,0.275930430478431
77,NARRATOR,Response,Sadness,16,0.48161657392516477
78,NARRATOR,Response,Sadness,21,0.6242123426368466
79,NARRATOR,Response,Sadness,26,0.7619637042352525
80,NARRATOR,Response,Sadness,31,0.8953052940479481
81,NARRATOR,Response,Surprise,1,0.02689174128486169
82,NARRATOR,Response,Surprise,3,0.08042945446076788
83,NARRATOR,Response,Surprise,5,0.13381835050579394
84,NARRATOR,Response,Surprise,7,0.1865824993983708
85,NARRATOR,Response,Surprise,9,0.2390568566344646
86,NARRATOR,Response,Surprise,16,0.4205495914696248
87,NARRATOR,Response,Surprise,21,0.545630692469542
88,NARRATOR,Response,Surprise,26,0.6662700416262161
89,NARRATOR,Response,Surprise,31,0.7834765925379205
90,NARRATOR,Response,Trust,1,0.039848015479725545
91,NARRATOR,Response,Trust,3,0.118601625349219
92,NARRATOR,Response,Trust,5,0.19658952689894169
93,NARRATOR,Response,Trust,7,0.27336791472974015
94,NARRATOR,Response,Trust,9,0.349218315372463
95,NARRATOR,Response,Trust,16,0.6069157184655884
96,NARRATOR,Response,Trust,21,0.786484424207885
97,NARRATOR,Response,Trust,26,0.9633929941298585
98,NARRATOR,Response,Trust,31,1.1366050779849985
99,NARRATOR,Response,Valence,1,0.2511958140440524
100,NARRATOR,Response,Valence,3,0.7043391523877628
101,NARRATOR,Response,Valence,5,1.1230728396632659
102,NARRATOR,Response,Valence,7,1.5242112994655501
103,NARRATOR,Response,Valence,9,1.9106295075386723
104,NARRATOR,Response,Valence,16,3.062532890239686
105,NARRATOR,Response,Valence,21,3.6784697304243834
106,NARRATOR,Response,Valence,26,4.18915060295854
107,NARRATOR,Response,Valence,31,4.626453557100723
108,NARRATOR,Stimulus,Anger,1,0.45432916111040933
109,NARRATOR,Stimulus,Anger,3,1.3604907274678306
110,NARRATOR,Stimulus,Anger,5,2.2640346617978238
111,NARRATOR,Stimulus,Anger,7,3.1646964932856707
112,NARRATOR,Stimulus,Anger,9,4.060568661460852
113,NARRATOR,Stimulus,Anger,16,7.0313481364273045
114,NARRATOR,Stimulus,Anger,21,8.835477466816588
115,NARRATOR,Stimulus,Anger,26,10.316192691760309
116,NARRATOR,Stimulus,Anger,31,11.498867841781346
117,NARRATOR,Stimulus,Anticipation,1,0.6193761948028459
118,NARRATOR,Stimulus,Anticipation,3,1.8570970851265718
119,NARRATOR,Stimulus,Anticipation,5,3.0937401915320444
120,NARRATOR,Stimulus,Anticipation,7,4.328094545920806
121,NARRATOR,Stimulus,Anticipation,9,5.555274280348724
122,NARRATOR,Stimulus,Anticipation,16,9.557308127263951
123,NARRATOR,Stimulus,Anticipation,21,11.743090658468173
124,NARRATOR,Stimulus,Anticipation,26,13.199943534949615
125,NARRATOR,Stimulus,Anticipation,31,14.050557737817417
126,NARRATOR,Stimulus,Arousal,1,0.9968588869053024
127,NARRATOR,Stimulus,Arousal,3,2.9894948437350313
128,NARRATOR,Stimulus,Arousal,5,4.980732260816435
129,NARRATOR,Stimulus,Arousal,7,6.969675617906744
130,NARRATOR,Stimulus,Arousal,9,8.951945644982422
131,NARRATOR,Stimulus,Arousal,16,14.451947600364031
132,NARRATOR,Stimulus,Arousal,21,14.925445088870033
133,NARRATOR,Stimulus,Arousal,26,14.942940425730132
134,NARRATOR,Stimulus,Arousal,31,14.943155804942778
135,NARRATOR,Stimulus,Disgust,1,0.3511659678525099
136,NARRATOR,Stimulus,Disgust,3,1.0516476970844801
137,NARRATOR,Stimulus,Disgust,5,1.7509608694248575
138,NARRATOR,Stimulus,Disgust,7,2.448251530835354
139,NARRATOR,Stimulus,Disgust,9,3.142061991748996
140,NARRATOR,Stimulus,Disgust,16,5.488974433777602
141,NARRATOR,Stimulus,Disgust,21,7.030852189427342
142,NARRATOR,Stimulus,Disgust,26,8.419743910076063
143,NARRATOR,Stimulus,Disgust,31,9.630106602512221
144,NARRATOR,Stimulus,Dominance,1,0.8287820301205986
145,NARRATOR,Stimulus,Dominance,3,2.485951995986982
146,NARRATOR,Stimulus,Dominance,5,4.142196116075438
147,NARRATOR,Stimulus,Dominance,7,5.79652477536501
148,NARRATOR,Stimulus,Dominance,9,7.44362007988276
149,NARRATOR,Stimulus,Dominance,16,12.506578691324213
150,NARRATOR,Stimulus,Dominance,21,14.281650052748802
151,NARRATOR,Stimulus,Dominance,26,14.80569324951724
152,NARRATOR,Stimulus,Dominance,31,14.918307271027516
153,NARRATOR,Stimulus,Fear,1,0.5278237736512355
154,NARRATOR,Stimulus,Fear,3,1.5805197288622095
155,NARRATOR,Stimulus,Fear,5,2.629988627486596
156,NARRATOR,Stimulus,Fear,7,3.6759109143006623
157,NARRATOR,Stimulus,Fear,9,4.713782065777637
158,NARRATOR,Stimulus,Fear,16,8.090652029422332
159,NARRATOR,Stimulus,Fear,21,10.025880881653713
160,NARRATOR,Stimulus,Fear,26,11.508738499826476
161,NARRATOR,Stimulus,Fear,31,12.581574271610876
162,NARRATOR,Stimulus,Joy,1,0.5101124819064072
163,NARRATOR,Stimulus,Joy,3,1.5280062953592695
164,NARRATOR,Stimulus,Joy,5,2.5430950439116518
165,NARRATOR,Stimulus,Joy,7,3.555297637607205
166,NARRATOR,Stimulus,Joy,9,4.560821947451612
167,NARRATOR,Stimulus,Joy,16,7.870228534326906
168,NARRATOR,Stimulus,Joy,21,9.839251803041583
169,NARRATOR,Stimulus,Joy,26,11.3927869999177
170,NARRATOR,Stimulus,Joy,31,12.55600010674925
