,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.11167523671275342
1,NARRATOR,Other,Unknown,3,0.31366343549832415
2,NARRATOR,Other,Unknown,5,0.5069577156212948
3,NARRATOR,Other,Unknown,7,0.6969799879731572
4,NARRATOR,Other,Unknown,9,0.882570290609553
5,NARRATOR,Other,Unknown,16,1.501839068872596
6,NARRATOR,Other,Unknown,21,1.91716090712634
7,NARRATOR,Other,Unknown,26,2.3161704280677244
8,NARRATOR,Other,Unknown,31,2.7037194925748698
9,NARRATOR,Response,Anger,1,0.015950089619536718
10,NARRATOR,Response,Anger,3,0.04756128006348363
11,NARRATOR,Response,Anger,5,0.07887638515195838
12,NARRATOR,Response,Anger,7,0.1101784128596888
13,NARRATOR,Response,Anger,9,0.14136559896467832
14,NARRATOR,Response,Anger,16,0.2496008830964988
15,NARRATOR,Response,Anger,21,0.3260060351629889
16,NARRATOR,Response,Anger,26,0.40233895661824376
17,NARRATOR,Response,Anger,31,0.4786097244505761
18,NARRATOR,Response,Anticipation,1,0.0396696447132466
19,NARRATOR,Response,Anticipation,3,0.11791014501682531
20,NARRATOR,Response,Anticipation,5,0.1954280604951668
21,NARRATOR,Response,Anticipation,7,0.27233413139964263
22,NARRATOR,Response,Anticipation,9,0.3490007732020498
23,NARRATOR,Response,Anticipation,16,0.6099931936287781
24,NARRATOR,Response,Anticipation,21,0.7894717339431335
25,NARRATOR,Response,Anticipation,26,0.9624672502514493
26,NARRATOR,Response,Anticipation,31,1.1283927797405924
27,NARRATOR,Response,Arousal,1,0.09938879531044172
28,NARRATOR,Response,Arousal,3,0.28940266755987926
29,NARRATOR,Response,Arousal,5,0.4735293625229879
30,NARRATOR,Response,Arousal,7,0.6545002010096947
31,NARRATOR,Response,Arousal,9,0.8317039607530176
32,NARRATOR,Response,Arousal,16,1.4150263556221698
33,NARRATOR,Response,Arousal,21,1.797288517021559
34,NARRATOR,Response,Arousal,26,2.1565441427230865
35,NARRATOR,Response,Arousal,31,2.4961774895230815
36,NARRATOR,Response,Disgust,1,0.008118679149927484
37,NARRATOR,Response,Disgust,3,0.024355658161653825
38,NARRATOR,Response,Disgust,5,0.040592127818092204
39,NARRATOR,Response,Disgust,7,0.05645206249404888
40,NARRATOR,Response,Disgust,9,0.07231172742599118
