,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.12812886031320064
1,NARRATOR,Other,Unknown,3,0.35882537875993037
2,NARRATOR,Other,Unknown,5,0.5814872516673908
3,NARRATOR,Other,Unknown,7,0.8008311570051682
4,NARRATOR,Other,Unknown,9,1.0160800323727788
5,NARRATOR,Other,Unknown,16,1.7351568976200369
6,NARRATOR,Other,Unknown,21,2.224763328684915
7,NARRATOR,Other,Unknown,26,2.698844189147538
8,NARRATOR,Other,Unknown,31,3.1543411684603817
9,NARRATOR,Response,Anger,1,0.024454268725627868
10,NARRATOR,Response,Anger,3,0.07171440469731505
11,NARRATOR,Response,Anger,5,0.11803908416482092
12,NARRATOR,Response,Anger,7,0.16398149442061755
13,NARRATOR,Response,Anger,9,0.20977633198701123
14,NARRATOR,Response,Anger,16,0.3668408972253041
15,NARRATOR,Response,Anger,21,0.47646139040096436
16,NARRATOR,Response,Anger,26,0.5834333827283923
17,NARRATOR,Response,Anger,31,0.6877856835614607
18,NARRATOR,Response,Anticipation,1,0.04347571507593369
19,NARRATOR,Response,Anticipation,3,0.1301934997976655
20,NARRATOR,Response,Anticipation,5,0.21638382587005942
21,NARRATOR,Response,Anticipation,7,0.30218869054062025
22,NARRATOR,Response,Anticipation,9,0.38740283828210287
23,NARRATOR,Response,Anticipation,16,0.6788295991742826
24,NARRATOR,Response,Anticipation,21,0.8810364407051551
25,NARRATOR,Response,Anticipation,26,1.0781769884377965
26,NARRATOR,Response,Anticipation,31,1.2726149256388148
27,NARRATOR,Response,Arousal,1,0.12510980932057456
28,NARRATOR,Response,Arousal,3,0.36349418960797986
29,NARRATOR,Response,Arousal,5,0.5923244072942652
30,NARRATOR,Response,Arousal,7,0.8154776176162377
31,NARRATOR,Response,Arousal,9,1.0346357022071861
32,NARRATOR,Response,Arousal,16,1.7519951570502705
33,NARRATOR,Response,Arousal,21,2.211849526249053
34,NARRATOR,Response,Arousal,26,2.634079416864502
35,NARRATOR,Response,Arousal,31,3.0179588292987187
36,NARRATOR,Response,Disgust,1,0.015544439939032942
37,NARRATOR,Response,Disgust,3,0.04644946243588126
38,NARRATOR,Response,Disgust,5,0.07709621202816808
