,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.0999490463968085
1,NARRATOR,Other,Unknown,3,0.27762305292984063
2,NARRATOR,Other,Unknown,5,0.4454267078128019
3,NARRATOR,Other,Unknown,7,0.6081891622906741
4,NARRATOR,Other,Unknown,9,0.7665984563874694
5,NARRATOR,Other,Unknown,16,1.3011959968851377
6,NARRATOR,Other,Unknown,21,1.6669220522173347
7,NARRATOR,Other,Unknown,26,2.0200272748747095
8,NARRATOR,Other,Unknown,31,2.363955262365897
9,NARRATOR,Response,Anger,1,0.025388892078969254
10,NARRATOR,Response,Anger,3,0.07426010345698048
11,NARRATOR,Response,Anger,5,0.12173675637212683
12,NARRATOR,Response,Anger,7,0.16843669876259312
13,NARRATOR,Response,Anger,9,0.2141766077881312
14,NARRATOR,Response,Anger,16,0.3704441549484729
15,NARRATOR,Response,Anger,21,0.47890471101051213
16,NARRATOR,Response,Anger,26,0.5839056039336781
17,NARRATOR,Response,Anger,31,0.6873679318667181
18,NARRATOR,Response,Anticipation,1,0.03782347580660803
19,NARRATOR,Response,Anticipation,3,0.11153854482137715
20,NARRATOR,Response,Anticipation,5,0.183178938618173
21,NARRATOR,Response,Anticipation,7,0.25370677161186334
22,NARRATOR,Response,Anticipation,9,0.3234880055295025
23,NARRATOR,Response,Anticipation,16,0.5586222500858479
24,NARRATOR,Response,Anticipation,21,0.716747940609657
25,NARRATOR,Response,Anticipation,26,0.8684301272411767
26,NARRATOR,Response,Anticipation,31,1.016043343882756
27,NARRATOR,Response,Arousal,1,0.10088809105911853
28,NARRATOR,Response,Arousal,3,0.28950532683902086
29,NARRATOR,Response,Arousal,5,0.4668165201772842
30,NARRATOR,Response,Arousal,7,0.6385997786851472
31,NARRATOR,Response,Arousal,9,0.8033330209947177
32,NARRATOR,Response,Arousal,16,1.3259711766232194
33,NARRATOR,Response,Arousal,21,1.653826141563875
34,NARRATOR,Response,Arousal,26,1.9534147435095663
35,NARRATOR,Response,Arousal,31,2.2330800252023972
36,NARRATOR,Response,Disgust,1,0.018371007490916524
37,NARRATOR,Response,Disgust,3,0.05377960891967981
38,NARRATOR,Response,Disgust,5,0.08886253464744015
