,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.18501292577660056
1,NARRATOR,Other,Unknown,3,0.5281390758956586
2,NARRATOR,Other,Unknown,5,0.8571030421975314
3,NARRATOR,Other,Unknown,7,1.1750285285681124
4,NARRATOR,Other,Unknown,9,1.4803919908596246
5,NARRATOR,Other,Unknown,16,2.4505108018874675
6,NARRATOR,Other,Unknown,21,3.0686040672796153
7,NARRATOR,Other,Unknown,26,3.6458391685805216
8,NARRATOR,Other,Unknown,31,4.188351063424522
9,NARRATOR,Response,Anger,1,0.008248519049157828
10,NARRATOR,Response,Anger,3,0.024751004668522016
11,NARRATOR,Response,Anger,5,0.04126075375757403
12,NARRATOR,Response,Anger,7,0.057777766423806456
13,NARRATOR,Response,Anger,9,0.07430204274888803
14,NARRATOR,Response,Anger,16,0.132194211766981
15,NARRATOR,Response,Anger,21,0.17360023880909253
16,NARRATOR,Response,Anger,26,0.20861721679991563
17,NARRATOR,Response,Anger,31,0.23784835800489515
18,NARRATOR,Response,Anticipation,1,0.02145916116492906
19,NARRATOR,Response,Anticipation,3,0.06297285779708565
20,NARRATOR,Response,Anticipation,5,0.10446777458240378
21,NARRATOR,Response,Anticipation,7,0.1459664903139723
22,NARRATOR,Response,Anticipation,9,0.1874689035492087
23,NARRATOR,Response,Anticipation,16,0.33275497878774285
24,NARRATOR,Response,Anticipation,21,0.43655521814215253
25,NARRATOR,Response,Anticipation,26,0.5403739405355845
26,NARRATOR,Response,Anticipation,31,0.6331710543353086
27,NARRATOR,Response,Arousal,1,0.09323683847974769
28,NARRATOR,Response,Arousal,3,0.273161098266774
29,NARRATOR,Response,Arousal,5,0.44962322427476964
30,NARRATOR,Response,Arousal,7,0.6217475458854635
31,NARRATOR,Response,Arousal,9,0.7877620078961098
32,NARRATOR,Response,Arousal,16,1.3279663592822957
33,NARRATOR,Response,Arousal,21,1.6678005555607978
34,NARRATOR,Response,Arousal,26,1.9707957022908416
35,NARRATOR,Response,Arousal,31,2.241614615811272
36,NARRATOR,Response,Disgust,1,0.01176644622562909
37,NARRATOR,Response,Disgust,3,0.0353053279016034
38,NARRATOR,Response,Disgust,5,0.05885218507402075
39,NARRATOR,Response,Disgust,7,0.08240700547708955
40,NARRATOR,Response,Disgust,9,0.10596977672763462
41,NARRATOR,Response,Disgust,16,0.17311523539720466
42,NARRATOR,Response,Disgust,21,0.21904680724119427
43,NARRATOR,Response,Disgust,26,0.25755414272834803
44,NARRATOR,Response,Disgust,31,0.2902851901759066
45,NARRATOR,Response,Dominance,1,0.1587216431547214
46,NARRATOR,Response,Dominance,3,0.44390636517052545
47,NARRATOR,Response,Dominance,5,0.7102492723530247
48,NARRATOR,Response,Dominance,7,0.9612774280479164
49,NARRATOR,Response,Dominance,9,1.1896482931374197
50,NARRATOR,Response,Dominance,16,1.8295878085454098
51,NARRATOR,Response,Dominance,21,2.18875179240548
52,NARRATOR,Response,Dominance,26,2.49325826694525
53,NARRATOR,Response,Dominance,31,2.7633372446771105
54,NARRATOR,Response,Fear,1,0.016739976948693627
55,NARRATOR,Response,Fear,3,0.050224472140933396
56,NARRATOR,Response,Fear,5,0.08371497774476436
57,NARRATOR,Response,Fear,7,0.11721143975213513
58,NARRATOR,Response,Fear,9,0.1507138036586341
59,NARRATOR,Response,Fear,16,0.25673719185747046
60,NARRATOR,Response,Fear,21,0.33161637861864196
61,NARRATOR,Response,Fear,26,0.40610958759086363
62,NARRATOR,Response,Fear,31,0.47774949213162526
63,NARRATOR,Response,Joy,1,0.016739976948693627
64,NARRATOR,Response,Joy,3,0.04850844034070333
65,NARRATOR,Response,Joy,5,0.08025377703964094
66,NARRATOR,Response,Joy,7,0.11200717408272148
67,NARRATOR,Response,Joy,9,0.1437685956872594
68,NARRATOR,Response,Joy,16,0.24922645935466411
69,NARRATOR,Response,Joy,21,0.32383567664514235
70,NARRATOR,Response,Joy,26,0.3983364643248415
71,NARRATOR,Response,Joy,31,0.46047844090730894
72,NARRATOR,Response,Sadness,1,0.025989115415772396
73,NARRATOR,Response,Sadness,3,0.07796124463499556
74,NARRATOR,Response,Sadness,5,0.12992502591820232
75,NARRATOR,Response,Sadness,7,0.18188020159455726
76,NARRATOR,Response,Sadness,9,0.23382651082935121
77,NARRATOR,Response,Sadness,16,0.41556492800508105
78,NARRATOR,Response,Sadness,21,0.5400812338420606
79,NARRATOR,Response,Sadness,26,0.6608051286642027
80,NARRATOR,Response,Sadness,31,0.7795165925456321
81,NARRATOR,Response,Surprise,1,0.0151148953269299
82,NARRATOR,Response,Surprise,3,0.043504288575303904
83,NARRATOR,Response,Surprise,5,0.07186667409898091
84,NARRATOR,Response,Surprise,7,0.10023774182368186
85,NARRATOR,Response,Surprise,9,0.1286174698352443
86,NARRATOR,Response,Surprise,16,0.22801439644870866
87,NARRATOR,Response,Surprise,21,0.29907645083930967
88,NARRATOR,Response,Surprise,26,0.37019163639447117
89,NARRATOR,Response,Surprise,31,0.42893864793842834
90,NARRATOR,Response,Trust,1,0.024497441279650124
91,NARRATOR,Response,Trust,3,0.0715980898450844
92,NARRATOR,Response,Trust,5,0.11792624277066611
93,NARRATOR,Response,Trust,7,0.16423444629264777
94,NARRATOR,Response,Trust,9,0.2098568831738526
95,NARRATOR,Response,Trust,16,0.36167868541656006
96,NARRATOR,Response,Trust,21,0.46954040840847855
97,NARRATOR,Response,Trust,26,0.5774273641517335
98,NARRATOR,Response,Trust,31,0.6724292185500796
99,NARRATOR,Response,Valence,1,0.19027903845643027
100,NARRATOR,Response,Valence,3,0.5244425730045473
101,NARRATOR,Response,Valence,5,0.8298756203085114
102,NARRATOR,Response,Valence,7,1.1196020201219419
103,NARRATOR,Response,Valence,9,1.377101603189281
104,NARRATOR,Response,Valence,16,2.068875037172859
105,NARRATOR,Response,Valence,21,2.437990433748914
106,NARRATOR,Response,Valence,26,2.745291154248177
107,NARRATOR,Response,Valence,31,3.012841740725867
108,NARRATOR,Stimulus,Anger,1,0.20490872843601948
109,NARRATOR,Stimulus,Anger,3,0.6139922936466575
110,NARRATOR,Stimulus,Anger,5,1.0203673284121524
111,NARRATOR,Stimulus,Anger,7,1.4230267092228046
112,NARRATOR,Stimulus,Anger,9,1.8214144371756404
113,NARRATOR,Stimulus,Anger,16,3.151534325026946
114,NARRATOR,Stimulus,Anger,21,4.04278493119205
115,NARRATOR,Stimulus,Anger,26,4.886003952539172
116,NARRATOR,Stimulus,Anger,31,5.669296330469806
117,NARRATOR,Stimulus,Anticipation,1,0.3223098551388637
118,NARRATOR,Stimulus,Anticipation,3,0.9646115849489555
119,NARRATOR,Stimulus,Anticipation,5,1.6040187047185759
120,NARRATOR,Stimulus,Anticipation,7,2.2366555539027657
121,NARRATOR,Stimulus,Anticipation,9,2.861159050029567
122,NARRATOR,Stimulus,Anticipation,16,4.926880274283334
123,NARRATOR,Stimulus,Anticipation,21,6.245868529613876
124,NARRATOR,Stimulus,Anticipation,26,7.405649292918758
125,NARRATOR,Stimulus,Anticipation,31,8.395096887704758
126,NARRATOR,Stimulus,Arousal,1,0.73074947911326
127,NARRATOR,Stimulus,Arousal,3,2.1893095619282517
128,NARRATOR,Stimulus,Arousal,5,3.641665649410776
129,NARRATOR,Stimulus,Arousal,7,5.082081728795821
130,NARRATOR,Stimulus,Arousal,9,6.4846083228496285
131,NARRATOR,Stimulus,Arousal,16,10.322939873950586
132,NARRATOR,Stimulus,Arousal,21,11.655204697567266
133,NARRATOR,Stimulus,Arousal,26,12.200346299440378
134,NARRATOR,Stimulus,Arousal,31,12.413326262780755
135,NARRATOR,Stimulus,Disgust,1,0.11972671933333688
136,NARRATOR,Stimulus,Disgust,3,0.3585747334276409
137,NARRATOR,Stimulus,Disgust,5,0.5966422238945401
138,NARRATOR,Stimulus,Disgust,7,0.830702410523354
139,NARRATOR,Stimulus,Disgust,9,1.0625466692335792
140,NARRATOR,Stimulus,Disgust,16,1.8397030807034136
141,NARRATOR,Stimulus,Disgust,21,2.3620886244035026
142,NARRATOR,Stimulus,Disgust,26,2.8718996705271564
143,NARRATOR,Stimulus,Disgust,31,3.36040273973463
144,NARRATOR,Stimulus,Dominance,1,0.9003712567995876
145,NARRATOR,Stimulus,Dominance,3,2.697581005305698
146,NARRATOR,Stimulus,Dominance,5,4.487403248658556
147,NARRATOR,Stimulus,Dominance,7,6.2680561775943495
148,NARRATOR,Stimulus,Dominance,9,8.01047735419526
149,NARRATOR,Stimulus,Dominance,16,11.830429767353007
150,NARRATOR,Stimulus,Dominance,21,12.377693886820733
