,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.13392652263528926
1,NARRATOR,Other,Unknown,3,0.38376403165434086
2,NARRATOR,Other,Unknown,5,0.6240206570365346
3,NARRATOR,Other,Unknown,7,0.8616356138039359
4,NARRATOR,Other,Unknown,9,1.0943920168624885
5,NARRATOR,Other,Unknown,16,1.8740111101920227
6,NARRATOR,Other,Unknown,21,2.40641991238286
7,NARRATOR,Other,Unknown,26,2.920175669543458
8,NARRATOR,Other,Unknown,31,3.413024804771829
9,NARRATOR,Response,Anger,1,0.02603656290594606
10,NARRATOR,Response,Anger,3,0.07721052307882027
11,NARRATOR,Response,Anger,5,0.12774867813593463
12,NARRATOR,Response,Anger,7,0.17803313046614178
13,NARRATOR,Response,Anger,9,0.22774962801467466
14,NARRATOR,Response,Anger,16,0.3980553540341551
15,NARRATOR,Response,Anger,21,0.5151088713280008
16,NARRATOR,Response,Anger,26,0.6299616041750731
17,NARRATOR,Response,Anger,31,0.7416855880762495
18,NARRATOR,Response,Anticipation,1,0.05202994062187015
19,NARRATOR,Response,Anticipation,3,0.152873090956652
20,NARRATOR,Response,Anticipation,5,0.2519122715905502
21,NARRATOR,Response,Anticipation,7,0.3501050409104051
22,NARRATOR,Response,Anticipation,9,0.4470065412547503
23,NARRATOR,Response,Anticipation,16,0.7733648114099497
24,NARRATOR,Response,Anticipation,21,0.9957169352215958
25,NARRATOR,Response,Anticipation,26,1.2124372809598374
26,NARRATOR,Response,Anticipation,31,1.4208864230715705
27,NARRATOR,Response,Arousal,1,0.16262341334241037
28,NARRATOR,Response,Arousal,3,0.46683027909870684
29,NARRATOR,Response,Arousal,5,0.7579044863106534
30,NARRATOR,Response,Arousal,7,1.0398423602143043
31,NARRATOR,Response,Arousal,9,1.3118119254195213
32,NARRATOR,Response,Arousal,16,2.174849348048913
33,NARRATOR,Response,Arousal,21,2.6947119864643474
34,NARRATOR,Response,Arousal,26,3.146113734380123
35,NARRATOR,Response,Arousal,31,3.5399209388377058
36,NARRATOR,Response,Disgust,1,0.018532901113594576
37,NARRATOR,Response,Disgust,3,0.05490459807488777
38,NARRATOR,Response,Disgust,5,0.09109020938042263
39,NARRATOR,Response,Disgust,7,0.12694288033592535
40,NARRATOR,Response,Disgust,9,0.1627658408167194
41,NARRATOR,Response,Disgust,16,0.2869778855600827
42,NARRATOR,Response,Disgust,21,0.3727667471964076
43,NARRATOR,Response,Disgust,26,0.4577473109620303
44,NARRATOR,Response,Disgust,31,0.5420239276033383
45,NARRATOR,Response,Dominance,1,0.2344453958719131
46,NARRATOR,Response,Dominance,3,0.6583561849424915
47,NARRATOR,Response,Dominance,5,1.050639741797495
48,NARRATOR,Response,Dominance,7,1.4277935087494686
49,NARRATOR,Response,Dominance,9,1.7921623365104724
50,NARRATOR,Response,Dominance,16,2.8754915665047647
51,NARRATOR,Response,Dominance,21,3.4612803730074386
52,NARRATOR,Response,Dominance,26,3.9439072907480535
53,NARRATOR,Response,Dominance,31,4.365114642853555
54,NARRATOR,Response,Fear,1,0.0255809426716208
