,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,46474,1,0.17769012867300846
1,NARRATOR,Other,Unknown,46470,5,0.8285497484164613
2,NARRATOR,Other,Unknown,46465,10,1.6030231755972073
3,NARRATOR,Other,Unknown,46460,15,2.331575866520847
4,NARRATOR,Other,Unknown,46455,20,3.0165280405094763
5,NARRATOR,Other,Unknown,46445,30,4.28159284857983
6,NARRATOR,Other,Unknown,46435,40,3.9761251952125343
7,NARRATOR,Other,Unknown,46425,50,3.67808953236062
8,NARRATOR,Other,Unknown,46415,60,3.377229482770706
9,NARRATOR,Other,Unknown,46405,70,3.2650522336331975
10,NARRATOR,Response,Anger,46474,1,0.10073173256204306
11,NARRATOR,Response,Anger,46470,5,0.4983366486323286
12,NARRATOR,Response,Anger,46465,10,0.9886401830477688
13,NARRATOR,Response,Anger,46460,15,1.4709918762440113
14,NARRATOR,Response,Anger,46455,20,1.9424347514282096
15,NARRATOR,Response,Anger,46445,30,2.847735145769101
16,NARRATOR,Response,Anger,46435,40,2.916517556321618
17,NARRATOR,Response,Anger,46425,50,2.744630658316774
18,NARRATOR,Response,Anger,46415,60,2.5604141948099803
19,NARRATOR,Response,Anger,46405,70,2.4892640856459254
20,NARRATOR,Response,Anticipation,46474,1,0.14499227428720332
21,NARRATOR,Response,Anticipation,46470,5,0.719424996424257
22,NARRATOR,Response,Anticipation,46465,10,1.4291401868556204
23,NARRATOR,Response,Anticipation,46460,15,2.1272223984906087
24,NARRATOR,Response,Anticipation,46455,20,2.8074618573564933
25,NARRATOR,Response,Anticipation,46445,30,4.085166111920598
26,NARRATOR,Response,Anticipation,46435,40,3.785409425603153
27,NARRATOR,Response,Anticipation,46425,50,3.2424475076143424
28,NARRATOR,Response,Anticipation,46415,60,2.830168960014368
29,NARRATOR,Response,Anticipation,46405,70,2.6909550694548665
30,NARRATOR,Response,Arousal,46474,1,0.3400057546842936
31,NARRATOR,Response,Arousal,46470,5,1.6517206573403904
32,NARRATOR,Response,Arousal,46465,10,3.23455440164301
33,NARRATOR,Response,Arousal,46460,15,4.71492948882375
34,NARRATOR,Response,Arousal,46455,20,6.002284939794266
35,NARRATOR,Response,Arousal,46445,30,7.929721631043877
36,NARRATOR,Response,Arousal,46435,40,4.762340350763629
37,NARRATOR,Response,Arousal,46425,50,3.2680422126675652
38,NARRATOR,Response,Arousal,46415,60,2.615348444361313
39,NARRATOR,Response,Arousal,46405,70,2.442165711489051
40,NARRATOR,Response,Disgust,46474,1,0.0628774002680843
41,NARRATOR,Response,Disgust,46470,5,0.3119243085534615
42,NARRATOR,Response,Disgust,46465,10,0.6207818317673472
43,NARRATOR,Response,Disgust,46460,15,0.9274059951347553
44,NARRATOR,Response,Disgust,46455,20,1.2304832392851337
45,NARRATOR,Response,Disgust,46445,30,1.8226920821575188
46,NARRATOR,Response,Disgust,46435,40,2.0158174878773387
47,NARRATOR,Response,Disgust,46425,50,2.042414017761128
48,NARRATOR,Response,Disgust,46415,60,2.042264399630599
49,NARRATOR,Response,Disgust,46405,70,2.0404265453252424
50,NARRATOR,Response,Dominance,46474,1,0.4742663418293047
51,NARRATOR,Response,Dominance,46470,5,2.275888868267413
52,NARRATOR,Response,Dominance,46465,10,4.4195691095219924
53,NARRATOR,Response,Dominance,46460,15,6.348346361135573
54,NARRATOR,Response,Dominance,46455,20,7.82743748882811
55,NARRATOR,Response,Dominance,46445,30,9.57015865958081
56,NARRATOR,Response,Dominance,46435,40,4.3815323931509615
57,NARRATOR,Response,Dominance,46425,50,2.9662638655046623
58,NARRATOR,Response,Dominance,46415,60,2.428647116881839
59,NARRATOR,Response,Dominance,46405,70,2.287621392997392
60,NARRATOR,Response,Fear,46474,1,0.11506460469838337
61,NARRATOR,Response,Fear,46470,5,0.569218695850378
62,NARRATOR,Response,Fear,46465,10,1.1295664962757443
63,NARRATOR,Response,Fear,46460,15,1.679757639850692
64,NARRATOR,Response,Fear,46455,20,2.215928261856859
65,NARRATOR,Response,Fear,46445,30,3.2360041020153036
66,NARRATOR,Response,Fear,46435,40,3.184642849746077
67,NARRATOR,Response,Fear,46425,50,2.887186499747749
68,NARRATOR,Response,Fear,46415,60,2.638819457968136
69,NARRATOR,Response,Fear,46405,70,2.55599207700251
70,NARRATOR,Response,Joy,46474,1,0.11286568943870116
71,NARRATOR,Response,Joy,46470,5,0.5596589089466875
72,NARRATOR,Response,Joy,46465,10,1.1110021897443856
73,NARRATOR,Response,Joy,46460,15,1.65372570116673
74,NARRATOR,Response,Joy,46455,20,2.185666380768978
75,NARRATOR,Response,Joy,46445,30,3.20397035735989
76,NARRATOR,Response,Joy,46435,40,3.206717197564787
77,NARRATOR,Response,Joy,46425,50,2.9720359383771897
78,NARRATOR,Response,Joy,46415,60,2.7500460196392136
79,NARRATOR,Response,Joy,46405,70,2.6673526137430406
80,NARRATOR,Response,Sadness,46474,1,0.10420259398631851
81,NARRATOR,Response,Sadness,46470,5,0.5164456047473869
82,NARRATOR,Response,Sadness,46465,10,1.0257977022613902
83,NARRATOR,Response,Sadness,46460,15,1.5267435697934193
84,NARRATOR,Response,Sadness,46455,20,2.016745889393877
85,NARRATOR,Response,Sadness,46445,30,2.9567163371977427
86,NARRATOR,Response,Sadness,46435,40,3.0090138316909085
87,NARRATOR,Response,Sadness,46425,50,2.8323364958359347
88,NARRATOR,Response,Sadness,46415,60,2.6484675214137465
89,NARRATOR,Response,Sadness,46405,70,2.582870078266585
90,NARRATOR,Response,Surprise,46474,1,0.09134709167130921
91,NARRATOR,Response,Surprise,46470,5,0.45463282106281033
92,NARRATOR,Response,Surprise,46465,10,0.9058790562175345
93,NARRATOR,Response,Surprise,46460,15,1.3536205756812927
94,NARRATOR,Response,Surprise,46455,20,1.7962707489804126
95,NARRATOR,Response,Surprise,46445,30,2.6584368647215357
96,NARRATOR,Response,Surprise,46435,40,2.7989224347019945
97,NARRATOR,Response,Surprise,46425,50,2.677445811739167
98,NARRATOR,Response,Surprise,46415,60,2.5184581417523466
99,NARRATOR,Response,Surprise,46405,70,2.457818482329533
100,NARRATOR,Response,Trust,46474,1,0.14845338624362525
101,NARRATOR,Response,Trust,46470,5,0.7356190858876174
102,NARRATOR,Response,Trust,46465,10,1.4627595098306505
103,NARRATOR,Response,Trust,46460,15,2.179195726100734
104,NARRATOR,Response,Trust,46455,20,2.874422082921608
105,NARRATOR,Response,Trust,46445,30,4.181904763352128
106,NARRATOR,Response,Trust,46435,40,3.8896968993037238
107,NARRATOR,Response,Trust,46425,50,3.348305682422012
108,NARRATOR,Response,Trust,46415,60,2.915097796484569
109,NARRATOR,Response,Trust,46405,70,2.775901507718022
110,NARRATOR,Response,Valence,46474,1,0.5231514595621795
111,NARRATOR,Response,Valence,46470,5,2.4757108692795526
112,NARRATOR,Response,Valence,46465,10,4.790581032106532
113,NARRATOR,Response,Valence,46460,15,6.831177614492309
114,NARRATOR,Response,Valence,46455,20,8.296598359773409
115,NARRATOR,Response,Valence,46445,30,9.896491434888189
116,NARRATOR,Response,Valence,46435,40,4.200147344320585
117,NARRATOR,Response,Valence,46425,50,2.8852439491150035
118,NARRATOR,Response,Valence,46415,60,2.4058859472508223
119,NARRATOR,Response,Valence,46405,70,2.270038580601613
120,NARRATOR,Stimulus,Anger,46474,1,0.47656177679407374
121,NARRATOR,Stimulus,Anger,46470,5,2.3789036171594926
122,NARRATOR,Stimulus,Anger,46465,10,4.740675485792437
123,NARRATOR,Stimulus,Anger,46460,15,7.010263195206949
124,NARRATOR,Stimulus,Anger,46455,20,9.053722015507628
125,NARRATOR,Stimulus,Anger,46445,30,12.130811013803001
126,NARRATOR,Stimulus,Anger,46435,40,5.559463907917739
127,NARRATOR,Stimulus,Anger,46425,50,2.4640667259053837
128,NARRATOR,Stimulus,Anger,46415,60,1.242247718785542
129,NARRATOR,Stimulus,Anger,46405,70,0.9659515414076232
130,NARRATOR,Stimulus,Anticipation,46474,1,0.6261745056264492
131,NARRATOR,Stimulus,Anticipation,46470,5,3.1299497294051624
132,NARRATOR,Stimulus,Anticipation,46465,10,6.242245998016311
133,NARRATOR,Stimulus,Anticipation,46460,15,9.205407559910267
134,NARRATOR,Stimulus,Anticipation,46455,20,11.696793313005783
135,NARRATOR,Stimulus,Anticipation,46445,30,14.495354967141125
136,NARRATOR,Stimulus,Anticipation,46435,40,3.690165082664118
137,NARRATOR,Stimulus,Anticipation,46425,50,0.8462545727058443
138,NARRATOR,Stimulus,Anticipation,46415,60,0.22910864853414342
139,NARRATOR,Stimulus,Anticipation,46405,70,0.14237667718913044
140,NARRATOR,Stimulus,Arousal,46474,1,0.9975926948938503
141,NARRATOR,Stimulus,Arousal,46470,5,4.9870220793367945
142,NARRATOR,Stimulus,Arousal,46465,10,9.957503936677455
143,NARRATOR,Stimulus,Arousal,46460,15,14.35907735249013
144,NARRATOR,Stimulus,Arousal,46455,20,15.452468164300916
145,NARRATOR,Stimulus,Arousal,46445,30,15.503149548956554
146,NARRATOR,Stimulus,Arousal,46435,40,0.07333780793880994
147,NARRATOR,Stimulus,Arousal,46425,50,0.0
148,NARRATOR,Stimulus,Arousal,46415,60,0.0
149,NARRATOR,Stimulus,Arousal,46405,70,0.0
150,NARRATOR,Stimulus,Disgust,46474,1,0.3885438751182114
151,NARRATOR,Stimulus,Disgust,46470,5,1.9411136497284742
152,NARRATOR,Stimulus,Disgust,46465,10,3.8728737126797066
153,NARRATOR,Stimulus,Disgust,46460,15,5.757676737554762
154,NARRATOR,Stimulus,Disgust,46455,20,7.53855933661108
155,NARRATOR,Stimulus,Disgust,46445,30,10.557728696073442
156,NARRATOR,Stimulus,Disgust,46435,40,6.200485029020086
157,NARRATOR,Stimulus,Disgust,46425,50,3.253681622654985
158,NARRATOR,Stimulus,Disgust,46415,60,1.7556646088473886
159,NARRATOR,Stimulus,Disgust,46405,70,1.3830477574342939
160,NARRATOR,Stimulus,Dominance,46474,1,0.8273549001340421
161,NARRATOR,Stimulus,Dominance,46470,5,4.136039886491139
162,NARRATOR,Stimulus,Dominance,46465,10,8.257539020164375
163,NARRATOR,Stimulus,Dominance,46460,15,12.061029177050003
164,NARRATOR,Stimulus,Dominance,46455,20,14.47127028416085
165,NARRATOR,Stimulus,Dominance,46445,30,15.473395820788566
166,NARRATOR,Stimulus,Dominance,46435,40,0.0
167,NARRATOR,Stimulus,Dominance,46425,50,0.0
168,NARRATOR,Stimulus,Dominance,46415,60,0.0
169,NARRATOR,Stimulus,Dominance,46405,70,0.0
170,NARRATOR,Stimulus,Fear,46474,1,0.5402783525352322
171,NARRATOR,Stimulus,Fear,46470,5,2.6957889459215503
172,NARRATOR,Stimulus,Fear,46465,10,5.369488387538669
173,NARRATOR,Stimulus,Fear,46460,15,7.90843121544666
174,NARRATOR,Stimulus,Fear,46455,20,10.114497164119914
175,NARRATOR,Stimulus,Fear,46445,30,13.10493423009716
176,NARRATOR,Stimulus,Fear,46435,40,5.003757756601466
177,NARRATOR,Stimulus,Fear,46425,50,1.8930711373473776
178,NARRATOR,Stimulus,Fear,46415,60,0.8122827638545689
