,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,49504,1,0.10812189754116722
1,NARRATOR,Other,Unknown,49500,5,0.49140487773733127
2,NARRATOR,Other,Unknown,49495,10,0.9416190272181774
3,NARRATOR,Other,Unknown,49490,15,1.3682534448766162
4,NARRATOR,Other,Unknown,49485,20,1.7778355267172385
5,NARRATOR,Other,Unknown,49475,30,2.566863103622317
6,NARRATOR,Other,Unknown,49465,40,2.649736575174894
7,NARRATOR,Other,Unknown,49455,50,2.638353354757409
8,NARRATOR,Other,Unknown,49445,60,2.588005389911025
9,NARRATOR,Other,Unknown,49435,70,2.5626520718652577
10,NARRATOR,Response,Anger,49504,1,0.02225187869501775
11,NARRATOR,Response,Anger,49500,5,0.10910642305357986
12,NARRATOR,Response,Anger,49495,10,0.215612264806651
13,NARRATOR,Response,Anger,49490,15,0.3209983896539687
14,NARRATOR,Response,Anger,49485,20,0.423537456715774
15,NARRATOR,Response,Anger,49475,30,0.6209882648623014
16,NARRATOR,Response,Anger,49465,40,0.7194357968605368
17,NARRATOR,Response,Anger,49455,50,0.7769524471937969
18,NARRATOR,Response,Anger,49445,60,0.8258701606263936
19,NARRATOR,Response,Anger,49435,70,0.8435332313166034
20,NARRATOR,Response,Anticipation,49504,1,0.043162072758045365
21,NARRATOR,Response,Anticipation,49500,5,0.21241439654629385
22,NARRATOR,Response,Anticipation,49495,10,0.4205317880914186
23,NARRATOR,Response,Anticipation,49490,15,0.6251889975254206
24,NARRATOR,Response,Anticipation,49485,20,0.8251131980975713
25,NARRATOR,Response,Anticipation,49475,30,1.2063208645902708
26,NARRATOR,Response,Anticipation,49465,40,1.3237130438337503
27,NARRATOR,Response,Anticipation,49455,50,1.359845442036825
28,NARRATOR,Response,Anticipation,49445,60,1.4017121196104925
29,NARRATOR,Response,Anticipation,49435,70,1.4137776361105536
30,NARRATOR,Response,Arousal,49504,1,0.13399419474240343
31,NARRATOR,Response,Arousal,49500,5,0.6367347993210767
32,NARRATOR,Response,Arousal,49495,10,1.2261252557971298
33,NARRATOR,Response,Arousal,49490,15,1.7693632000396964
34,NARRATOR,Response,Arousal,49485,20,2.2561589578317216
35,NARRATOR,Response,Arousal,49475,30,3.0782278703427295
36,NARRATOR,Response,Arousal,49465,40,2.590744631272156
37,NARRATOR,Response,Arousal,49455,50,2.342318585322183
38,NARRATOR,Response,Arousal,49445,60,2.2553567637589094
39,NARRATOR,Response,Arousal,49435,70,2.230081557451936
40,NARRATOR,Response,Disgust,49504,1,0.014074913439220052
41,NARRATOR,Response,Disgust,49500,5,0.06949784389906412
42,NARRATOR,Response,Disgust,49495,10,0.13767582650102725
43,NARRATOR,Response,Disgust,49490,15,0.20461799190592048
44,NARRATOR,Response,Disgust,49485,20,0.2700505261209505
45,NARRATOR,Response,Disgust,49475,30,0.39824941878459813
46,NARRATOR,Response,Disgust,49465,40,0.46993002208660123
47,NARRATOR,Response,Disgust,49455,50,0.5149966603457159
48,NARRATOR,Response,Disgust,49445,60,0.5608561064460807
49,NARRATOR,Response,Disgust,49435,70,0.578000410601342
50,NARRATOR,Response,Dominance,49504,1,0.2302936691774121
51,NARRATOR,Response,Dominance,49500,5,1.038880892507934
52,NARRATOR,Response,Dominance,49495,10,1.942361863689756
53,NARRATOR,Response,Dominance,49490,15,2.715685620959543
54,NARRATOR,Response,Dominance,49485,20,3.333140560457277
55,NARRATOR,Response,Dominance,49475,30,4.281881284560393
56,NARRATOR,Response,Dominance,49465,40,3.049218850904567
57,NARRATOR,Response,Dominance,49455,50,2.7036867548995915
58,NARRATOR,Response,Dominance,49445,60,2.5601966514113066
59,NARRATOR,Response,Dominance,49435,70,2.517245265303137
60,NARRATOR,Response,Fear,49504,1,0.02420255863866275
61,NARRATOR,Response,Fear,49500,5,0.12060202133266548
62,NARRATOR,Response,Fear,49495,10,0.23958014248648798
63,NARRATOR,Response,Fear,49490,15,0.35583345412852563
64,NARRATOR,Response,Fear,49485,20,0.4704348792390889
65,NARRATOR,Response,Fear,49475,30,0.6953830274141973
66,NARRATOR,Response,Fear,49465,40,0.8108282672735885
67,NARRATOR,Response,Fear,49455,50,0.8746777837401563
68,NARRATOR,Response,Fear,49445,60,0.9199803286187993
69,NARRATOR,Response,Fear,49435,70,0.9349776293139556
70,NARRATOR,Response,Joy,49504,1,0.0332217704548916
71,NARRATOR,Response,Joy,49500,5,0.16307929687289224
72,NARRATOR,Response,Joy,49495,10,0.3236025395616063
73,NARRATOR,Response,Joy,49490,15,0.481410388137638
74,NARRATOR,Response,Joy,49485,20,0.6372558928908673
75,NARRATOR,Response,Joy,49475,30,0.9389448940052803
76,NARRATOR,Response,Joy,49465,40,1.0584865923491482
77,NARRATOR,Response,Joy,49455,50,1.1066733947213894
78,NARRATOR,Response,Joy,49445,60,1.1535389394393052
79,NARRATOR,Response,Joy,49435,70,1.1697660131715564
80,NARRATOR,Response,Sadness,49504,1,0.02207295484869685
81,NARRATOR,Response,Sadness,49500,5,0.10892949621125653
82,NARRATOR,Response,Sadness,49495,10,0.21424164463815745
83,NARRATOR,Response,Sadness,49490,15,0.3172776673566796
84,NARRATOR,Response,Sadness,49485,20,0.41980361161433316
85,NARRATOR,Response,Sadness,49475,30,0.6238195243079897
86,NARRATOR,Response,Sadness,49465,40,0.7434518524038023
87,NARRATOR,Response,Sadness,49455,50,0.8194218451276412
88,NARRATOR,Response,Sadness,49445,60,0.8786778745284645
89,NARRATOR,Response,Sadness,49435,70,0.8992128476018036
90,NARRATOR,Response,Surprise,49504,1,0.025253747810208633
91,NARRATOR,Response,Surprise,49500,5,0.12496285311199747
92,NARRATOR,Response,Surprise,49495,10,0.24901529740208073
93,NARRATOR,Response,Surprise,49490,15,0.3727221860702355
94,NARRATOR,Response,Surprise,49485,20,0.4941302443615474
95,NARRATOR,Response,Surprise,49475,30,0.7342220251565693
96,NARRATOR,Response,Surprise,49465,40,0.8645073959216798
97,NARRATOR,Response,Surprise,49455,50,0.9320121080582954
98,NARRATOR,Response,Surprise,49445,60,0.9895252384717642
99,NARRATOR,Response,Surprise,49435,70,1.0105456403507933
100,NARRATOR,Response,Trust,49504,1,0.04839784359731668
101,NARRATOR,Response,Trust,49500,5,0.23634316342991357
102,NARRATOR,Response,Trust,49495,10,0.4650505705939313
103,NARRATOR,Response,Trust,49490,15,0.688467207369652
104,NARRATOR,Response,Trust,49485,20,0.9062176478139414
105,NARRATOR,Response,Trust,49475,30,1.323517339604331
106,NARRATOR,Response,Trust,49465,40,1.430539712242337
107,NARRATOR,Response,Trust,49455,50,1.4651790529780853
108,NARRATOR,Response,Trust,49445,60,1.4927495365576047
109,NARRATOR,Response,Trust,49435,70,1.5015925984548686
110,NARRATOR,Response,Valence,49504,1,0.25906736336674685
111,NARRATOR,Response,Valence,49500,5,1.1466654442838156
112,NARRATOR,Response,Valence,49495,10,2.1312146384075246
113,NARRATOR,Response,Valence,49490,15,2.9523777940756424
114,NARRATOR,Response,Valence,49485,20,3.5745248811463726
115,NARRATOR,Response,Valence,49475,30,4.514061385660732
116,NARRATOR,Response,Valence,49465,40,3.087499192780272
117,NARRATOR,Response,Valence,49455,50,2.768754702043035
118,NARRATOR,Response,Valence,49445,60,2.635043828334675
119,NARRATOR,Response,Valence,49435,70,2.593614584403453
120,NARRATOR,Stimulus,Anger,49504,1,0.3687607193557263
121,NARRATOR,Stimulus,Anger,49500,5,1.8352806455777697
122,NARRATOR,Stimulus,Anger,49495,10,3.654487660279227
123,NARRATOR,Stimulus,Anger,49490,15,5.4206234076930535
124,NARRATOR,Stimulus,Anger,49485,20,7.07350094609896
125,NARRATOR,Stimulus,Anger,49475,30,9.85913011503902
126,NARRATOR,Stimulus,Anger,49465,40,6.269171786606941
127,NARRATOR,Stimulus,Anger,49455,50,3.702481554428203
128,NARRATOR,Stimulus,Anger,49445,60,2.2156064921027854
129,NARRATOR,Stimulus,Anger,49435,70,1.8051835251279418
130,NARRATOR,Stimulus,Anticipation,49504,1,0.53141983722599
131,NARRATOR,Stimulus,Anticipation,49500,5,2.6543662677296003
