,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,6595,1,0.1798489398530737
1,NARRATOR,Other,Unknown,6591,5,0.8105823670609096
2,NARRATOR,Other,Unknown,6586,10,1.5138298062432434
3,NARRATOR,Other,Unknown,6581,15,2.1571649709024023
4,NARRATOR,Other,Unknown,6576,20,2.749708352556665
5,NARRATOR,Other,Unknown,6566,30,3.8127084542544383
6,NARRATOR,Other,Unknown,6556,40,3.5253908018159184
7,NARRATOR,Other,Unknown,6546,50,3.25962762626514
8,NARRATOR,Other,Unknown,6536,60,2.989097992375481
9,NARRATOR,Other,Unknown,6526,70,2.9037113866689146
10,NARRATOR,Response,Anger,6595,1,0.003981693163617647
11,NARRATOR,Response,Anger,6591,5,0.01991789060673356
12,NARRATOR,Response,Anger,6586,10,0.039859365528510174
13,NARRATOR,Response,Anger,6581,15,0.0598244620296671
14,NARRATOR,Response,Anger,6576,20,0.079813217410365
15,NARRATOR,Response,Anger,6566,30,0.11986185418772283
16,NARRATOR,Response,Anger,6556,40,0.1513023031468385
17,NARRATOR,Response,Anger,6546,50,0.1755851551699263
18,NARRATOR,Response,Anger,6536,60,0.19747008915973385
19,NARRATOR,Response,Anger,6526,70,0.20593408807964586
20,NARRATOR,Response,Anticipation,6595,1,0.012017000458599499
21,NARRATOR,Response,Anticipation,6591,5,0.056447347120204126
22,NARRATOR,Response,Anticipation,6586,10,0.11197924425664074
23,NARRATOR,Response,Anticipation,6581,15,0.1675551990211597
24,NARRATOR,Response,Anticipation,6576,20,0.22317509041763844
25,NARRATOR,Response,Anticipation,6566,30,0.3345461851820902
26,NARRATOR,Response,Anticipation,6556,40,0.41412263812121397
27,NARRATOR,Response,Anticipation,6546,50,0.47184174300117837
28,NARRATOR,Response,Anticipation,6536,60,0.5223041774629419
29,NARRATOR,Response,Anticipation,6526,70,0.5415182127346768
30,NARRATOR,Response,Arousal,6595,1,0.05115312872572957
31,NARRATOR,Response,Arousal,6591,5,0.24938143224888665
32,NARRATOR,Response,Arousal,6586,10,0.4816286203986405
33,NARRATOR,Response,Arousal,6581,15,0.7046820483122213
34,NARRATOR,Response,Arousal,6576,20,0.9251587492134757
35,NARRATOR,Response,Arousal,6566,30,1.3572473233575668
36,NARRATOR,Response,Arousal,6556,40,1.529940057106379
37,NARRATOR,Response,Arousal,6546,50,1.6150914284920015
38,NARRATOR,Response,Arousal,6536,60,1.6748908272689718
39,NARRATOR,Response,Arousal,6526,70,1.6960364037020876
40,NARRATOR,Response,Disgust,6595,1,0.0021424931920483036
41,NARRATOR,Response,Disgust,6591,5,0.010717970972537794
42,NARRATOR,Response,Disgust,6586,10,0.021449720632586117
43,NARRATOR,Response,Disgust,6581,15,0.032195275955293055
44,NARRATOR,Response,Disgust,6576,20,0.042954663983378175
45,NARRATOR,Response,Disgust,6566,30,0.06451504666555047
46,NARRATOR,Response,Disgust,6556,40,0.08177945047144568
47,NARRATOR,Response,Disgust,6546,50,0.09547323981128743
48,NARRATOR,Response,Disgust,6536,60,0.10797632393850527
49,NARRATOR,Response,Disgust,6526,70,0.11284403460740049
50,NARRATOR,Response,Dominance,6595,1,0.08779938809194242
51,NARRATOR,Response,Dominance,6591,5,0.40153780381154275
52,NARRATOR,Response,Dominance,6586,10,0.7500568560577487
53,NARRATOR,Response,Dominance,6581,15,1.0653968178190933
54,NARRATOR,Response,Dominance,6576,20,1.3697623679049444
55,NARRATOR,Response,Dominance,6566,30,1.9367556447269978
56,NARRATOR,Response,Dominance,6556,40,1.959901144521062
57,NARRATOR,Response,Dominance,6546,50,1.9400288619947699
58,NARRATOR,Response,Dominance,6536,60,1.9188667689917283
