,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,13177,1,0.14881697222296525
1,NARRATOR,Other,Unknown,13173,5,0.6846788816485438
2,NARRATOR,Other,Unknown,13168,10,1.2938594275323974
3,NARRATOR,Other,Unknown,13163,15,1.8493896368466296
4,NARRATOR,Other,Unknown,13158,20,2.3638333758232326
5,NARRATOR,Other,Unknown,13148,30,3.29167129040611
6,NARRATOR,Other,Unknown,13138,40,3.119321421065359
7,NARRATOR,Other,Unknown,13128,50,2.9599981589874877
8,NARRATOR,Other,Unknown,13118,60,2.8491723855733797
9,NARRATOR,Other,Unknown,13108,70,2.8121823347074764
10,NARRATOR,Response,Anger,13177,1,0.07171419799701013
11,NARRATOR,Response,Anger,13173,5,0.3502548247405339
12,NARRATOR,Response,Anger,13168,10,0.6891557983674779
13,NARRATOR,Response,Anger,13163,15,1.0193566893225972
14,NARRATOR,Response,Anger,13158,20,1.3401484506882075
15,NARRATOR,Response,Anger,13148,30,1.9638375661025649
16,NARRATOR,Response,Anger,13138,40,2.111272746966138
17,NARRATOR,Response,Anger,13128,50,2.101446706018484
18,NARRATOR,Response,Anger,13118,60,2.046218580144593
19,NARRATOR,Response,Anger,13108,70,2.0276584712541235
20,NARRATOR,Response,Anticipation,13177,1,0.11480157814859389
21,NARRATOR,Response,Anticipation,13173,5,0.5700325711583135
22,NARRATOR,Response,Anticipation,13168,10,1.1317133853816397
23,NARRATOR,Response,Anticipation,13163,15,1.6809373990400653
24,NARRATOR,Response,Anticipation,13158,20,2.2089111580765923
25,NARRATOR,Response,Anticipation,13148,30,3.181513961710329
26,NARRATOR,Response,Anticipation,13138,40,3.165163703253337
27,NARRATOR,Response,Anticipation,13128,50,2.9239431360451333
28,NARRATOR,Response,Anticipation,13118,60,2.685953830346523
29,NARRATOR,Response,Anticipation,13108,70,2.580804613662083
30,NARRATOR,Response,Arousal,13177,1,0.29540340554118416
31,NARRATOR,Response,Arousal,13173,5,1.4232318094047227
32,NARRATOR,Response,Arousal,13168,10,2.7650900208626386
33,NARRATOR,Response,Arousal,13163,15,3.9702677616081212
34,NARRATOR,Response,Arousal,13158,20,5.000268634694014
35,NARRATOR,Response,Arousal,13148,30,6.536622270733156
36,NARRATOR,Response,Arousal,13138,40,4.409674893123952
37,NARRATOR,Response,Arousal,13128,50,3.22642407525493
38,NARRATOR,Response,Arousal,13118,60,2.6277637608104727
39,NARRATOR,Response,Arousal,13108,70,2.4745280977660093
40,NARRATOR,Response,Disgust,13177,1,0.056213242475450786
41,NARRATOR,Response,Disgust,13173,5,0.27670572685345
42,NARRATOR,Response,Disgust,13168,10,0.5492418438302995
43,NARRATOR,Response,Disgust,13163,15,0.8136745371089478
44,NARRATOR,Response,Disgust,13158,20,1.068225719403958
45,NARRATOR,Response,Disgust,13148,30,1.561954101192746
46,NARRATOR,Response,Disgust,13138,40,1.6836394355333963
47,NARRATOR,Response,Disgust,13128,50,1.65122749032279
48,NARRATOR,Response,Disgust,13118,60,1.5795719590228492
49,NARRATOR,Response,Disgust,13108,70,1.5605817559782922
50,NARRATOR,Response,Dominance,13177,1,0.4242106795616231
51,NARRATOR,Response,Dominance,13173,5,1.9983215128946827
52,NARRATOR,Response,Dominance,13168,10,3.8347896658026013
53,NARRATOR,Response,Dominance,13163,15,5.35716236254211
54,NARRATOR,Response,Dominance,13158,20,6.475223450962088
55,NARRATOR,Response,Dominance,13148,30,7.874297870496964
56,NARRATOR,Response,Dominance,13138,40,4.2016503912811745
57,NARRATOR,Response,Dominance,13128,50,3.0262163316071184
