,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,29394,1,0.10069313646936605
1,NARRATOR,Other,Unknown,29390,5,0.4597551344923903
2,NARRATOR,Other,Unknown,29385,10,0.8799454894564697
3,NARRATOR,Other,Unknown,29380,15,1.2804742857820188
4,NARRATOR,Other,Unknown,29375,20,1.6656821987262018
5,NARRATOR,Other,Unknown,29365,30,2.408264069503525
6,NARRATOR,Other,Unknown,29355,40,2.525761323174067
7,NARRATOR,Other,Unknown,29345,50,2.5504366811392734
8,NARRATOR,Other,Unknown,29335,60,2.537354143596787
9,NARRATOR,Other,Unknown,29325,70,2.5273696487963813
10,NARRATOR,Response,Anger,29394,1,0.016840747579253204
11,NARRATOR,Response,Anger,29390,5,0.08190499292175472
12,NARRATOR,Response,Anger,29385,10,0.16146204349225948
13,NARRATOR,Response,Anger,29380,15,0.23961764352346948
14,NARRATOR,Response,Anger,29375,20,0.31701708306319093
15,NARRATOR,Response,Anger,29365,30,0.47007033833492007
16,NARRATOR,Response,Anger,29355,40,0.5622156525546548
17,NARRATOR,Response,Anger,29345,50,0.6207220460746263
18,NARRATOR,Response,Anger,29335,60,0.6673945607449507
19,NARRATOR,Response,Anger,29325,70,0.6835086851564482
20,NARRATOR,Response,Anticipation,29394,1,0.03610573860093853
21,NARRATOR,Response,Anticipation,29390,5,0.17710541930739182
22,NARRATOR,Response,Anticipation,29385,10,0.3498010543407455
23,NARRATOR,Response,Anticipation,29380,15,0.5189367109065576
24,NARRATOR,Response,Anticipation,29375,20,0.6858113793172774
25,NARRATOR,Response,Anticipation,29365,30,1.0066821351250101
26,NARRATOR,Response,Anticipation,29355,40,1.1362157323266324
27,NARRATOR,Response,Anticipation,29345,50,1.196040502911408
28,NARRATOR,Response,Anticipation,29335,60,1.2348645719341889
29,NARRATOR,Response,Anticipation,29325,70,1.2505108714182591
30,NARRATOR,Response,Arousal,29394,1,0.09318680922893713
31,NARRATOR,Response,Arousal,29390,5,0.4373170436046128
32,NARRATOR,Response,Arousal,29385,10,0.8453326065942288
33,NARRATOR,Response,Arousal,29380,15,1.2319499312162059
34,NARRATOR,Response,Arousal,29375,20,1.5961411084977584
35,NARRATOR,Response,Arousal,29365,30,2.2615071530802395
36,NARRATOR,Response,Arousal,29355,40,2.250980430857377
37,NARRATOR,Response,Arousal,29345,50,2.2243921367160846
38,NARRATOR,Response,Arousal,29335,60,2.206900072506621
39,NARRATOR,Response,Arousal,29325,70,2.193571646948191
