,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,4631,1,0.10649364818677756
1,NARRATOR,Other,Unknown,4627,5,0.4461232779065972
2,NARRATOR,Other,Unknown,4622,10,0.8326133615979744
3,NARRATOR,Other,Unknown,4617,15,1.1768523623410723
4,NARRATOR,Other,Unknown,4612,20,1.496647134604956
5,NARRATOR,Other,Unknown,4602,30,2.107372046789046
6,NARRATOR,Other,Unknown,4592,40,2.213230571569723
7,NARRATOR,Other,Unknown,4582,50,2.2846663458319494
8,NARRATOR,Other,Unknown,4572,60,2.323393127972613
9,NARRATOR,Other,Unknown,4562,70,2.329138351603359
10,NARRATOR,Response,Anger,4631,1,0.07891196257340743
11,NARRATOR,Response,Anger,4627,5,0.37912860658874586
12,NARRATOR,Response,Anger,4622,10,0.7341414728138891
13,NARRATOR,Response,Anger,4617,15,1.0518356200201902
14,NARRATOR,Response,Anger,4612,20,1.3346532861544127
15,NARRATOR,Response,Anger,4602,30,1.801825349573262
16,NARRATOR,Response,Anger,4592,40,1.678388528454651
17,NARRATOR,Response,Anger,4582,50,1.4940669466299714
18,NARRATOR,Response,Anger,4572,60,1.4193003943771103
19,NARRATOR,Response,Anger,4562,70,1.3906349985979325
20,NARRATOR,Response,Anticipation,4631,1,0.11044597879448642
21,NARRATOR,Response,Anticipation,4627,5,0.5348588318295285
22,NARRATOR,Response,Anticipation,4622,10,1.0125940697896436
23,NARRATOR,Response,Anticipation,4617,15,1.4384717195770178
24,NARRATOR,Response,Anticipation,4612,20,1.8166702303692541
25,NARRATOR,Response,Anticipation,4602,30,2.439211161972685
26,NARRATOR,Response,Anticipation,4592,40,2.1257989229404317
27,NARRATOR,Response,Anticipation,4582,50,1.7889210877422566
28,NARRATOR,Response,Anticipation,4572,60,1.5279218176168907
29,NARRATOR,Response,Anticipation,4562,70,1.455342528796815
30,NARRATOR,Response,Arousal,4631,1,0.279430700215772
31,NARRATOR,Response,Arousal,4627,5,1.2591353844499178
32,NARRATOR,Response,Arousal,4622,10,2.288978293052843
33,NARRATOR,Response,Arousal,4617,15,3.006698686022162
34,NARRATOR,Response,Arousal,4612,20,3.506010603788289
35,NARRATOR,Response,Arousal,4602,30,4.196043651814817
36,NARRATOR,Response,Arousal,4592,40,2.6487996175875335
37,NARRATOR,Response,Arousal,4582,50,2.14828945736433
38,NARRATOR,Response,Arousal,4572,60,1.9581339180370445
39,NARRATOR,Response,Arousal,4562,70,1.9163874010412905
40,NARRATOR,Response,Disgust,4631,1,0.06714945521730739
41,NARRATOR,Response,Disgust,4627,5,0.31614898682949505
42,NARRATOR,Response,Disgust,4622,10,0.6150003647500741
43,NARRATOR,Response,Disgust,4617,15,0.8971751318681715
44,NARRATOR,Response,Disgust,4612,20,1.1598538442435287
45,NARRATOR,Response,Disgust,4602,30,1.6558563839571074
46,NARRATOR,Response,Disgust,4592,40,1.7073783656835408
47,NARRATOR,Response,Disgust,4582,50,1.6071158699010337
48,NARRATOR,Response,Disgust,4572,60,1.4922068279092613
49,NARRATOR,Response,Disgust,4562,70,1.4356014572038245
50,NARRATOR,Response,Dominance,4631,1,0.38718128673895125
51,NARRATOR,Response,Dominance,4627,5,1.6633319910262785
52,NARRATOR,Response,Dominance,4622,10,2.937486828415062
53,NARRATOR,Response,Dominance,4617,15,3.670631433723337
54,NARRATOR,Response,Dominance,4612,20,4.095325847357237
55,NARRATOR,Response,Dominance,4602,30,4.662696259179979
56,NARRATOR,Response,Dominance,4592,40,2.5913452371945107
57,NARRATOR,Response,Dominance,4582,50,2.297483442553003
58,NARRATOR,Response,Dominance,4572,60,2.224465859548707
59,NARRATOR,Response,Dominance,4562,70,2.1849067131728734
60,NARRATOR,Response,Fear,4631,1,0.11435644965825466
61,NARRATOR,Response,Fear,4627,5,0.5490440994912669
62,NARRATOR,Response,Fear,4622,10,1.0481808716955776
63,NARRATOR,Response,Fear,4617,15,1.4819749822967156
64,NARRATOR,Response,Fear,4612,20,1.869668566884104
65,NARRATOR,Response,Fear,4602,30,2.5136774869314746
66,NARRATOR,Response,Fear,4592,40,2.1455942740114953
67,NARRATOR,Response,Fear,4582,50,1.7563130367782998
68,NARRATOR,Response,Fear,4572,60,1.526171529638772
69,NARRATOR,Response,Fear,4562,70,1.4516447047840393
70,NARRATOR,Response,Joy,37754,1,0.1528769272648367
71,NARRATOR,Response,Joy,37750,5,0.6665762607343138
72,NARRATOR,Response,Joy,37745,10,1.2277323944073082
73,NARRATOR,Response,Joy,37740,15,1.693987616155427
74,NARRATOR,Response,Joy,37735,20,2.076066084438811
75,NARRATOR,Response,Joy,37725,30,2.718688378157452
76,NARRATOR,Response,Joy,37715,40,2.2626653955423026
77,NARRATOR,Response,Joy,37705,50,2.159986151117649
78,NARRATOR,Response,Joy,37695,60,2.1244959377782675
79,NARRATOR,Response,Joy,37685,70,2.113865835568829
80,NARRATOR,Response,Sadness,4631,1,0.09980815327558833
81,NARRATOR,Response,Sadness,4627,5,0.47552124874768154
82,NARRATOR,Response,Sadness,4622,10,0.9108615200493454
83,NARRATOR,Response,Sadness,4617,15,1.3066087782190545
84,NARRATOR,Response,Sadness,4612,20,1.665197120073406
85,NARRATOR,Response,Sadness,4602,30,2.261404317860846
86,NARRATOR,Response,Sadness,4592,40,2.0056071518288117
87,NARRATOR,Response,Sadness,4582,50,1.6513007685181418
88,NARRATOR,Response,Sadness,4572,60,1.4564908691266087
89,NARRATOR,Response,Sadness,4562,70,1.419560496903038
90,NARRATOR,Response,Surprise,4631,1,0.06564310395105526
91,NARRATOR,Response,Surprise,4627,5,0.3175622756130967
92,NARRATOR,Response,Surprise,4622,10,0.6086233799843643
93,NARRATOR,Response,Surprise,4617,15,0.8846704668131475
94,NARRATOR,Response,Surprise,4612,20,1.1493978369706093
95,NARRATOR,Response,Surprise,4602,30,1.646596814057688
96,NARRATOR,Response,Surprise,4592,40,1.7540449837851542
97,NARRATOR,Response,Surprise,4582,50,1.711951732316924
98,NARRATOR,Response,Surprise,4572,60,1.599694732884863
99,NARRATOR,Response,Surprise,4562,70,1.5516240670445358
100,NARRATOR,Response,Trust,4631,1,0.11950828824885668
101,NARRATOR,Response,Trust,4627,5,0.5724027568943068
102,NARRATOR,Response,Trust,4622,10,1.092158010966894
103,NARRATOR,Response,Trust,4617,15,1.558092697798079
104,NARRATOR,Response,Trust,4612,20,1.9717820441427263
105,NARRATOR,Response,Trust,4602,30,2.6646614058138485
106,NARRATOR,Response,Trust,4592,40,2.3877597887428283
107,NARRATOR,Response,Trust,4582,50,2.1123866528942092
108,NARRATOR,Response,Trust,4572,60,1.92763612096298
109,NARRATOR,Response,Trust,4562,70,1.868499487356283
110,NARRATOR,Response,Valence,4631,1,0.4213048440851733
111,NARRATOR,Response,Valence,4627,5,1.7435065385929993
112,NARRATOR,Response,Valence,4622,10,3.0483873211725125
113,NARRATOR,Response,Valence,4617,15,3.8054616917028703
114,NARRATOR,Response,Valence,4612,20,4.233195628527676
115,NARRATOR,Response,Valence,4602,30,4.82189327067685
116,NARRATOR,Response,Valence,4592,40,2.673681058736916
117,NARRATOR,Response,Valence,4582,50,2.380420742031224
118,NARRATOR,Response,Valence,4572,60,2.3055140050344467
119,NARRATOR,Response,Valence,4562,70,2.2730886327988036
120,NARRATOR,Stimulus,Anger,4631,1,0.27477159092376746
121,NARRATOR,Stimulus,Anger,4627,5,1.3698138558595587
122,NARRATOR,Stimulus,Anger,4622,10,2.7089025970453715
123,NARRATOR,Stimulus,Anger,4617,15,3.9683233253450334
124,NARRATOR,Stimulus,Anger,4612,20,5.133881061997404
125,NARRATOR,Stimulus,Anger,4602,30,7.126869573403511
126,NARRATOR,Stimulus,Anger,4592,40,5.512742600251821
127,NARRATOR,Stimulus,Anger,4582,50,3.9354712068651194
128,NARRATOR,Stimulus,Anger,4572,60,2.6893035074923874
129,NARRATOR,Stimulus,Anger,4562,70,2.3701312656024616
130,NARRATOR,Stimulus,Anticipation,4631,1,0.3004033649815243
131,NARRATOR,Stimulus,Anticipation,4627,5,1.4989979734000767
132,NARRATOR,Stimulus,Anticipation,4622,10,2.966415181201079
133,NARRATOR,Stimulus,Anticipation,4617,15,4.36029210131264
134,NARRATOR,Stimulus,Anticipation,4612,20,5.642090671483282
135,NARRATOR,Stimulus,Anticipation,4602,30,7.784692839660205
136,NARRATOR,Stimulus,Anticipation,4592,40,5.54999877783189
137,NARRATOR,Stimulus,Anticipation,4582,50,3.5065271465478673
138,NARRATOR,Stimulus,Anticipation,4572,60,2.346589857103159
139,NARRATOR,Stimulus,Anticipation,4562,70,2.0239795444454374
140,NARRATOR,Stimulus,Arousal,4631,1,0.7320883296274412
141,NARRATOR,Stimulus,Arousal,4627,5,3.6266013968796007
142,NARRATOR,Stimulus,Arousal,4622,10,7.086624447045421
143,NARRATOR,Stimulus,Arousal,4617,15,9.660022042991933
144,NARRATOR,Stimulus,Arousal,4612,20,11.065821174123725
145,NARRATOR,Stimulus,Arousal,4602,30,11.98834291134414
146,NARRATOR,Stimulus,Arousal,4592,40,2.5588382834446253
