,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,49913,1,0.13346233735330879
1,NARRATOR,Other,Unknown,49909,5,0.6139808513597843
2,NARRATOR,Other,Unknown,49904,10,1.1872606643315677
3,NARRATOR,Other,Unknown,49899,15,1.7357541441715696
4,NARRATOR,Other,Unknown,49894,20,2.263910045291562
5,NARRATOR,Other,Unknown,49884,30,3.259468705417376
6,NARRATOR,Other,Unknown,49874,40,3.2584509117626643
7,NARRATOR,Other,Unknown,49864,50,3.1353314177050784
8,NARRATOR,Other,Unknown,49854,60,2.99860478686124
9,NARRATOR,Other,Unknown,49844,70,2.9441776078874033
10,NARRATOR,Response,Anger,49913,1,0.013393783147120317
11,NARRATOR,Response,Anger,49909,5,0.06471261233964234
12,NARRATOR,Response,Anger,49904,10,0.12808677453079298
13,NARRATOR,Response,Anger,49899,15,0.19045464064752748
14,NARRATOR,Response,Anger,49894,20,0.2519690432155309
15,NARRATOR,Response,Anger,49884,30,0.3746602305990339
16,NARRATOR,Response,Anger,49874,40,0.44900230926543955
17,NARRATOR,Response,Anger,49864,50,0.4970423128468159
18,NARRATOR,Response,Anger,49854,60,0.5356514016787621
19,NARRATOR,Response,Anger,49844,70,0.549593640096051
20,NARRATOR,Response,Anticipation,49913,1,0.020124884012588044
21,NARRATOR,Response,Anticipation,49909,5,0.09999122280464118
22,NARRATOR,Response,Anticipation,49904,10,0.19905784633201903
23,NARRATOR,Response,Anticipation,49899,15,0.2968653465157962
24,NARRATOR,Response,Anticipation,49894,20,0.3936321092692731
25,NARRATOR,Response,Anticipation,49884,30,0.584737957536477
26,NARRATOR,Response,Anticipation,49874,40,0.6907032151405631
27,NARRATOR,Response,Anticipation,49864,50,0.7516300197792668
28,NARRATOR,Response,Anticipation,49854,60,0.8075674605600085
29,NARRATOR,Response,Anticipation,49844,70,0.8290204773663152
30,NARRATOR,Response,Arousal,49913,1,0.06912299092569946
31,NARRATOR,Response,Arousal,49909,5,0.3205785459229985
32,NARRATOR,Response,Arousal,49904,10,0.6156615568889203
33,NARRATOR,Response,Arousal,49899,15,0.8928710635433331
34,NARRATOR,Response,Arousal,49894,20,1.1557201952883618
35,NARRATOR,Response,Arousal,49884,30,1.6509843132140738
36,NARRATOR,Response,Arousal,49874,40,1.6946836352146768
37,NARRATOR,Response,Arousal,49864,50,1.703765081281499
38,NARRATOR,Response,Arousal,49854,60,1.7140506541208562
39,NARRATOR,Response,Arousal,49844,70,1.7177670590395167
40,NARRATOR,Response,Disgust,49913,1,0.008776749306202838
41,NARRATOR,Response,Disgust,49909,5,0.041772110784459505
42,NARRATOR,Response,Disgust,49904,10,0.08218629638634928
43,NARRATOR,Response,Disgust,49899,15,0.12183374901777583
44,NARRATOR,Response,Disgust,49894,20,0.1605842512909407
45,NARRATOR,Response,Disgust,49884,30,0.23796870208560741
46,NARRATOR,Response,Disgust,49874,40,0.2870468574530485
47,NARRATOR,Response,Disgust,49864,50,0.3222142994703438
48,NARRATOR,Response,Disgust,49854,60,0.3522959470728315
49,NARRATOR,Response,Disgust,49844,70,0.3629362279429727
50,NARRATOR,Response,Dominance,49913,1,0.11276024351433032
51,NARRATOR,Response,Dominance,49909,5,0.5094274801499509
