,Subject,Category,Feature,n,k,be
0,NARRATOR,Other,Unknown,37864,1,0.11680509614353422
1,NARRATOR,Other,Unknown,37860,5,0.5363908179094343
2,NARRATOR,Other,Unknown,37855,10,1.0299542022956596
3,NARRATOR,Other,Unknown,37850,15,1.4917467665036401
4,NARRATOR,Other,Unknown,37845,20,1.9301750412461618
5,NARRATOR,Other,Unknown,37835,30,2.7573470272056446
6,NARRATOR,Other,Unknown,37825,40,2.754791096278203
7,NARRATOR,Other,Unknown,37815,50,2.7154147655462735
8,NARRATOR,Other,Unknown,37805,60,2.668223255814548
9,NARRATOR,Other,Unknown,37795,70,2.64939534452463
10,NARRATOR,Response,Anger,37864,1,0.020404273027083347
11,NARRATOR,Response,Anger,37860,5,0.10025587574241186
12,NARRATOR,Response,Anger,37855,10,0.19899651761722317
13,NARRATOR,Response,Anger,37850,15,0.2964771574319171
14,NARRATOR,Response,Anger,37845,20,0.39315027474243414
15,NARRATOR,Response,Anger,37835,30,0.5847217163136689
16,NARRATOR,Response,Anger,37825,40,0.6874433035262599
17,NARRATOR,Response,Anger,37815,50,0.7365675164893789
18,NARRATOR,Response,Anger,37805,60,0.7656938908018565
19,NARRATOR,Response,Anger,37795,70,0.7770225021445796
20,NARRATOR,Response,Anticipation,37864,1,0.044541508562792424
21,NARRATOR,Response,Anticipation,37860,5,0.21870322868666425
22,NARRATOR,Response,Anticipation,37855,10,0.432548181290119
23,NARRATOR,Response,Anticipation,37850,15,0.638421048108338
24,NARRATOR,Response,Anticipation,37845,20,0.837267934213942
25,NARRATOR,Response,Anticipation,37835,30,1.2183248051828883
26,NARRATOR,Response,Anticipation,37825,40,1.325080972941081
27,NARRATOR,Response,Anticipation,37815,50,1.349748515849079
28,NARRATOR,Response,Anticipation,37805,60,1.3781824397457096
29,NARRATOR,Response,Anticipation,37795,70,1.3890649966501971
30,NARRATOR,Response,Arousal,37864,1,0.13088816082978172
31,NARRATOR,Response,Arousal,37860,5,0.6219316541810674
32,NARRATOR,Response,Arousal,37855,10,1.197657784747388
33,NARRATOR,Response,Arousal,37850,15,1.7208205862093426
34,NARRATOR,Response,Arousal,37845,20,2.188362022124601
35,NARRATOR,Response,Arousal,37835,30,2.974940270254467
36,NARRATOR,Response,Arousal,37825,40,2.5125927648647277
37,NARRATOR,Response,Arousal,37815,50,2.2889822720822743
38,NARRATOR,Response,Arousal,37805,60,2.1876332485430177
39,NARRATOR,Response,Arousal,37795,70,2.1649734838694537
40,NARRATOR,Response,Disgust,37864,1,0.01453415524995619
41,NARRATOR,Response,Disgust,37860,5,0.07142831582795459
42,NARRATOR,Response,Disgust,37855,10,0.14148340039013874
43,NARRATOR,Response,Disgust,37850,15,0.20989839026838372
44,NARRATOR,Response,Disgust,37845,20,0.27699747084508386
45,NARRATOR,Response,Disgust,37835,30,0.40911944624658125
46,NARRATOR,Response,Disgust,37825,40,0.4851135802778853
47,NARRATOR,Response,Disgust,37815,50,0.527815549664
48,NARRATOR,Response,Disgust,37805,60,0.5653079067329215
49,NARRATOR,Response,Disgust,37795,70,0.5778822244023789
50,NARRATOR,Response,Dominance,37864,1,0.22023581240640616
51,NARRATOR,Response,Dominance,37860,5,0.9945671407658494
52,NARRATOR,Response,Dominance,37855,10,1.8573728408584287
53,NARRATOR,Response,Dominance,37850,15,2.5856756773329934
54,NARRATOR,Response,Dominance,37845,20,3.157645011005905
55,NARRATOR,Response,Dominance,37835,30,4.045084742998028
56,NARRATOR,Response,Dominance,37825,40,2.9153586821110227
57,NARRATOR,Response,Dominance,37815,50,2.587927426289229
58,NARRATOR,Response,Dominance,37805,60,2.461227633730496
59,NARRATOR,Response,Dominance,37795,70,2.4372829920118355
60,NARRATOR,Response,Fear,37864,1,0.024144038348031055
61,NARRATOR,Response,Fear,37860,5,0.11963198577544816
62,NARRATOR,Response,Fear,37855,10,0.23633910262515403
63,NARRATOR,Response,Fear,37850,15,0.3505004406722537
64,NARRATOR,Response,Fear,37845,20,0.4622404806861929
65,NARRATOR,Response,Fear,37835,30,0.6809209035171824
66,NARRATOR,Response,Fear,37825,40,0.7867065271274989
67,NARRATOR,Response,Fear,37815,50,0.8423547508372575
68,NARRATOR,Response,Fear,37805,60,0.8860681825727628
69,NARRATOR,Response,Fear,37795,70,0.9022107809093576
70,NARRATOR,Response,Joy,37864,1,0.03625980055054473
71,NARRATOR,Response,Joy,37860,5,0.17751231657699482
72,NARRATOR,Response,Joy,37855,10,0.35122232217286914
73,NARRATOR,Response,Joy,37850,15,0.5203802367217081
74,NARRATOR,Response,Joy,37845,20,0.6848874671690854
75,NARRATOR,Response,Joy,37835,30,1.0023015411393923
76,NARRATOR,Response,Joy,37825,40,1.12349728365233
77,NARRATOR,Response,Joy,37815,50,1.1771390205663905
78,NARRATOR,Response,Joy,37805,60,1.2218022359799154
79,NARRATOR,Response,Joy,37795,70,1.2384846440984403
80,NARRATOR,Response,Sadness,37864,1,0.025744738329033463
81,NARRATOR,Response,Sadness,37860,5,0.1275599811620396
82,NARRATOR,Response,Sadness,37855,10,0.25159089136082446
83,NARRATOR,Response,Sadness,37850,15,0.3725745395525457
84,NARRATOR,Response,Sadness,37845,20,0.4907900529195792
85,NARRATOR,Response,Sadness,37835,30,0.7189859449807648
86,NARRATOR,Response,Sadness,37825,40,0.8182555110020882
87,NARRATOR,Response,Sadness,37815,50,0.8646576576068012
