,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.1775674160856671
1,NARRATOR,Other,Unknown,3,0.5020070173356301
2,NARRATOR,Other,Unknown,5,0.8099724226442426
3,NARRATOR,Other,Unknown,7,1.114091483187241
4,NARRATOR,Other,Unknown,9,1.4129264936742982
5,NARRATOR,Other,Unknown,16,2.3931322321441217
6,NARRATOR,Other,Unknown,21,3.036396063728799
7,NARRATOR,Other,Unknown,26,3.641833131381528
8,NARRATOR,Other,Unknown,31,4.217467986310789
9,NARRATOR,Response,Anger,1,0.025210300735095375
10,NARRATOR,Response,Anger,3,0.07484748808410299
11,NARRATOR,Response,Anger,5,0.12386485113285133
12,NARRATOR,Response,Anger,7,0.17252664109291463
13,NARRATOR,Response,Anger,9,0.22087963773534736
14,NARRATOR,Response,Anger,16,0.3883500398296062
15,NARRATOR,Response,Anger,21,0.5038137907377311
16,NARRATOR,Response,Anger,26,0.6161996567413562
17,NARRATOR,Response,Anger,31,0.7260301067744533
18,NARRATOR,Response,Anticipation,1,0.044163000362903077
19,NARRATOR,Response,Anticipation,3,0.1315623645032139
20,NARRATOR,Response,Anticipation,5,0.21834460098492545
21,NARRATOR,Response,Anticipation,7,0.3036610006832204
22,NARRATOR,Response,Anticipation,9,0.38831644286547606
23,NARRATOR,Response,Anticipation,16,0.679609367104935
24,NARRATOR,Response,Anticipation,21,0.8817728011620832
25,NARRATOR,Response,Anticipation,26,1.0778301744966319
26,NARRATOR,Response,Anticipation,31,1.268319513960052
27,NARRATOR,Response,Arousal,1,0.13321638568886776
28,NARRATOR,Response,Arousal,3,0.3847347780857327
29,NARRATOR,Response,Arousal,5,0.6263323609661563
30,NARRATOR,Response,Arousal,7,0.8611866102427481
31,NARRATOR,Response,Arousal,9,1.0893536674244337
32,NARRATOR,Response,Arousal,16,1.8180635604078832
33,NARRATOR,Response,Arousal,21,2.2665696738357592
34,NARRATOR,Response,Arousal,26,2.6539890202829146
35,NARRATOR,Response,Arousal,31,2.994209235101844
36,NARRATOR,Response,Disgust,1,0.01609661634222699
37,NARRATOR,Response,Disgust,3,0.047645679953346065
38,NARRATOR,Response,Disgust,5,0.07872391431005847
39,NARRATOR,Response,Disgust,7,0.109469349955244
40,NARRATOR,Response,Disgust,9,0.14006942887789284
41,NARRATOR,Response,Disgust,16,0.2463059464570356
42,NARRATOR,Response,Disgust,21,0.321650055291822
43,NARRATOR,Response,Disgust,26,0.3965129137398857
44,NARRATOR,Response,Disgust,31,0.46985508798127956
45,NARRATOR,Response,Dominance,1,0.21320130339481888
46,NARRATOR,Response,Dominance,3,0.5997851331102126
47,NARRATOR,Response,Dominance,5,0.9544242522758207
48,NARRATOR,Response,Dominance,7,1.2933844048889094
49,NARRATOR,Response,Dominance,9,1.618658193288496
50,NARRATOR,Response,Dominance,16,2.587941514447465
51,NARRATOR,Response,Dominance,21,3.099287608619444
52,NARRATOR,Response,Dominance,26,3.5157951885469276
53,NARRATOR,Response,Dominance,31,3.8728373938270915
54,NARRATOR,Response,Fear,1,0.03252603816355691
55,NARRATOR,Response,Fear,3,0.0956604841519673
56,NARRATOR,Response,Fear,5,0.15723374932888004
57,NARRATOR,Response,Fear,7,0.21808712956223306
58,NARRATOR,Response,Fear,9,0.2783877127209788
59,NARRATOR,Response,Fear,16,0.4857038499720528
60,NARRATOR,Response,Fear,21,0.6303297183585779
61,NARRATOR,Response,Fear,26,0.7703151663537908
62,NARRATOR,Response,Fear,31,0.90655889850305
63,NARRATOR,Response,Joy,1,0.03793699424193401
64,NARRATOR,Response,Joy,3,0.11221315304073384
65,NARRATOR,Response,Joy,5,0.1852294475669672
66,NARRATOR,Response,Joy,7,0.2574320462859627
67,NARRATOR,Response,Joy,9,0.3291673693044211
68,NARRATOR,Response,Joy,16,0.5738941117894737
69,NARRATOR,Response,Joy,21,0.7449781975016294
70,NARRATOR,Response,Joy,26,0.9119078365059197
71,NARRATOR,Response,Joy,31,1.0736266528264766
72,NARRATOR,Response,Sadness,1,0.03133191563893165
73,NARRATOR,Response,Sadness,3,0.0930013867642419
74,NARRATOR,Response,Sadness,5,0.15359330650150532
75,NARRATOR,Response,Sadness,7,0.21369419820467095
76,NARRATOR,Response,Sadness,9,0.2731676975185062
77,NARRATOR,Response,Sadness,16,0.47810726988544544
78,NARRATOR,Response,Sadness,21,0.6202152753825789
79,NARRATOR,Response,Sadness,26,0.7564761333453764
80,NARRATOR,Response,Sadness,31,0.8893146658047157
81,NARRATOR,Response,Surprise,1,0.029674510706108697
82,NARRATOR,Response,Surprise,3,0.08815273778391142
83,NARRATOR,Response,Surprise,5,0.1463679880899933
84,NARRATOR,Response,Surprise,7,0.2040722566918815
85,NARRATOR,Response,Surprise,9,0.2616767270133609
86,NARRATOR,Response,Surprise,16,0.46049580456487194
87,NARRATOR,Response,Surprise,21,0.5986686676287276
88,NARRATOR,Response,Surprise,26,0.7332976174812308
89,NARRATOR,Response,Surprise,31,0.8640375574921563
90,NARRATOR,Response,Trust,1,0.051545539076906885
91,NARRATOR,Response,Trust,3,0.15289699296529874
92,NARRATOR,Response,Trust,5,0.25223996557297446
93,NARRATOR,Response,Trust,7,0.34931631461947765
94,NARRATOR,Response,Trust,9,0.444635741408622
95,NARRATOR,Response,Trust,16,0.7671591628525453
96,NARRATOR,Response,Trust,21,0.9880852786451207
97,NARRATOR,Response,Trust,26,1.1985533539678361
98,NARRATOR,Response,Trust,31,1.3995335934257787
99,NARRATOR,Response,Valence,1,0.2401152385334609
100,NARRATOR,Response,Valence,3,0.6647110281490705
101,NARRATOR,Response,Valence,5,1.0497164405685733
102,NARRATOR,Response,Valence,7,1.415344255436651
103,NARRATOR,Response,Valence,9,1.7674606411440983
104,NARRATOR,Response,Valence,16,2.7826252010187726
105,NARRATOR,Response,Valence,21,3.29318711343886
106,NARRATOR,Response,Valence,26,3.703925677162577
107,NARRATOR,Response,Valence,31,4.054779510530997
108,NARRATOR,Stimulus,Anger,1,0.3832404386831209
