,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.1646070568517487
1,NARRATOR,Other,Unknown,3,0.4525819721764597
2,NARRATOR,Other,Unknown,5,0.7217074013411667
3,NARRATOR,Other,Unknown,7,0.9811310275400493
4,NARRATOR,Other,Unknown,9,1.2263863056463993
5,NARRATOR,Other,Unknown,16,2.01666863969217
6,NARRATOR,Other,Unknown,21,2.5359510662330345
7,NARRATOR,Other,Unknown,26,3.0263753792790196
8,NARRATOR,Other,Unknown,31,3.47910437716169
9,NARRATOR,Response,Anger,1,0.018707395849660982
10,NARRATOR,Response,Anger,3,0.05612087051724328
11,NARRATOR,Response,Anger,5,0.09353252218510841
12,NARRATOR,Response,Anger,7,0.1309422699043438
13,NARRATOR,Response,Anger,9,0.16835003203323742
14,NARRATOR,Response,Anger,16,0.2957578880614254
15,NARRATOR,Response,Anger,21,0.38672078501313095
16,NARRATOR,Response,Anger,26,0.4760761804786675
17,NARRATOR,Response,Anger,31,0.5643874298817994
18,NARRATOR,Response,Anticipation,1,0.04190367291898925
19,NARRATOR,Response,Anticipation,3,0.12220674087855264
20,NARRATOR,Response,Anticipation,5,0.19966893393766458
21,NARRATOR,Response,Anticipation,7,0.2766807041680642
22,NARRATOR,Response,Anticipation,9,0.3535816835368853
23,NARRATOR,Response,Anticipation,16,0.6221188167521036
24,NARRATOR,Response,Anticipation,21,0.8064270818486519
25,NARRATOR,Response,Anticipation,26,0.9836391674680207
26,NARRATOR,Response,Anticipation,31,1.1594551811506357
27,NARRATOR,Response,Arousal,1,0.13253052924783665
28,NARRATOR,Response,Arousal,3,0.3872437535530101
29,NARRATOR,Response,Arousal,5,0.6281633308289799
30,NARRATOR,Response,Arousal,7,0.8583420027200943
31,NARRATOR,Response,Arousal,9,1.0799164427017263
32,NARRATOR,Response,Arousal,16,1.7701079964097517
33,NARRATOR,Response,Arousal,21,2.1909019307724624
34,NARRATOR,Response,Arousal,26,2.5568829781158002
35,NARRATOR,Response,Arousal,31,2.8812958171150282
36,NARRATOR,Response,Disgust,1,0.022114446611666377
37,NARRATOR,Response,Disgust,3,0.06401553297056689
38,NARRATOR,Response,Disgust,5,0.10586544755415539
39,NARRATOR,Response,Disgust,7,0.14723617932948002
40,NARRATOR,Response,Disgust,9,0.18802116686984738
41,NARRATOR,Response,Disgust,16,0.3296454311568404
42,NARRATOR,Response,Disgust,21,0.42759001011497016
43,NARRATOR,Response,Disgust,26,0.5210568925708069
44,NARRATOR,Response,Disgust,31,0.611965036567236
45,NARRATOR,Response,Dominance,1,0.20214441967581118
46,NARRATOR,Response,Dominance,3,0.5733848756766085
47,NARRATOR,Response,Dominance,5,0.9073950596397304
48,NARRATOR,Response,Dominance,7,1.223624429578593
49,NARRATOR,Response,Dominance,9,1.5246844920136347
50,NARRATOR,Response,Dominance,16,2.3721836273798322
51,NARRATOR,Response,Dominance,21,2.836700142222979
52,NARRATOR,Response,Dominance,26,3.2231734839822317
53,NARRATOR,Response,Dominance,31,3.572434273117624
54,NARRATOR,Response,Fear,1,0.023227722527788895
55,NARRATOR,Response,Fear,3,0.0688467666273271
56,NARRATOR,Response,Fear,5,0.11444821195701635
57,NARRATOR,Response,Fear,7,0.15961343122505095
58,NARRATOR,Response,Fear,9,0.2042988111964757
59,NARRATOR,Response,Fear,16,0.3596907300735305
60,NARRATOR,Response,Fear,21,0.4689003372685834
61,NARRATOR,Response,Fear,26,0.5779897947172622
62,NARRATOR,Response,Fear,31,0.6870195432792195
63,NARRATOR,Response,Joy,1,0.04579029304045665
64,NARRATOR,Response,Joy,3,0.13528145859797713
65,NARRATOR,Response,Joy,5,0.21880111952289233
66,NARRATOR,Response,Joy,7,0.2962127834834187
67,NARRATOR,Response,Joy,9,0.3715153014898456
68,NARRATOR,Response,Joy,16,0.628004639994336
69,NARRATOR,Response,Joy,21,0.8080786726091036
70,NARRATOR,Response,Joy,26,0.9861292858605321
71,NARRATOR,Response,Joy,31,1.1609672014272445
72,NARRATOR,Response,Sadness,1,0.0254243707969069
73,NARRATOR,Response,Sadness,3,0.07512427615072417
74,NARRATOR,Response,Sadness,5,0.12436526250125182
75,NARRATOR,Response,Sadness,7,0.17358686381540067
76,NARRATOR,Response,Sadness,9,0.22279963077519543
77,NARRATOR,Response,Sadness,16,0.3914754988972521
78,NARRATOR,Response,Sadness,21,0.5098008408244252
79,NARRATOR,Response,Sadness,26,0.6252615758470836
80,NARRATOR,Response,Sadness,31,0.7375569389106881
81,NARRATOR,Response,Surprise,1,0.023227722527788895
82,NARRATOR,Response,Surprise,3,0.06699194288366336
83,NARRATOR,Response,Surprise,5,0.10566482699142711
84,NARRATOR,Response,Surprise,7,0.1414161368957703
85,NARRATOR,Response,Surprise,9,0.17601339134439853
86,NARRATOR,Response,Surprise,16,0.29684969562047336
87,NARRATOR,Response,Surprise,21,0.3831909403688169
88,NARRATOR,Response,Surprise,26,0.4695561476297691
89,NARRATOR,Response,Surprise,31,0.5540969825242618
90,NARRATOR,Response,Trust,1,0.042882618524122736
91,NARRATOR,Response,Trust,3,0.12570826250927541
92,NARRATOR,Response,Trust,5,0.20427048948190096
93,NARRATOR,Response,Trust,7,0.27895369621897065
94,NARRATOR,Response,Trust,9,0.35117924764185626
95,NARRATOR,Response,Trust,16,0.5950762558738851
96,NARRATOR,Response,Trust,21,0.7617743547312115
97,NARRATOR,Response,Trust,26,0.9256961841505336
98,NARRATOR,Response,Trust,31,1.0854189938584278
99,NARRATOR,Response,Valence,1,0.24524765048274846
100,NARRATOR,Response,Valence,3,0.668854072472129
101,NARRATOR,Response,Valence,5,1.0542941363775904
102,NARRATOR,Response,Valence,7,1.41957214824337
103,NARRATOR,Response,Valence,9,1.7542027194850505
104,NARRATOR,Response,Valence,16,2.6327688903715596
105,NARRATOR,Response,Valence,21,3.089941113997737
106,NARRATOR,Response,Valence,26,3.465998369429829
107,NARRATOR,Response,Valence,31,3.8142982375223067
108,NARRATOR,Stimulus,Anger,1,0.18823932993040646
109,NARRATOR,Stimulus,Anger,3,0.5638776442936677
110,NARRATOR,Stimulus,Anger,5,0.9377642792375365
111,NARRATOR,Stimulus,Anger,7,1.3095793830392362
112,NARRATOR,Stimulus,Anger,9,1.6782374603014634
113,NARRATOR,Stimulus,Anger,16,2.926970971795053
114,NARRATOR,Stimulus,Anger,21,3.7766605031122844
115,NARRATOR,Stimulus,Anger,26,4.583566311591965
116,NARRATOR,Stimulus,Anger,31,5.344918080517268
117,NARRATOR,Stimulus,Anticipation,1,0.3242698631329105
118,NARRATOR,Stimulus,Anticipation,3,0.9708569702352576
119,NARRATOR,Stimulus,Anticipation,5,1.6166322043141648
120,NARRATOR,Stimulus,Anticipation,7,2.258172906211057
121,NARRATOR,Stimulus,Anticipation,9,2.890938669264166
122,NARRATOR,Stimulus,Anticipation,16,5.001973807725136
123,NARRATOR,Stimulus,Anticipation,21,6.345214180970556
124,NARRATOR,Stimulus,Anticipation,26,7.545327439353577
125,NARRATOR,Stimulus,Anticipation,31,8.59516520711952
126,NARRATOR,Stimulus,Arousal,1,0.7473242447834039
127,NARRATOR,Stimulus,Arousal,3,2.2391577170754298
128,NARRATOR,Stimulus,Arousal,5,3.726540804029635
129,NARRATOR,Stimulus,Arousal,7,5.20723557934138
130,NARRATOR,Stimulus,Arousal,9,6.662194998062252
131,NARRATOR,Stimulus,Arousal,16,10.724541064174298
132,NARRATOR,Stimulus,Arousal,21,12.100192537873635
133,NARRATOR,Stimulus,Arousal,26,12.635513098670183
134,NARRATOR,Stimulus,Arousal,31,12.79451348877932
135,NARRATOR,Stimulus,Disgust,1,0.1404187242795568
136,NARRATOR,Stimulus,Disgust,3,0.4205063505937541
137,NARRATOR,Stimulus,Disgust,5,0.6996630046042464
138,NARRATOR,Stimulus,Disgust,7,0.9781921923581238
139,NARRATOR,Stimulus,Disgust,9,1.2556335217916117
140,NARRATOR,Stimulus,Disgust,16,2.2064048657409114
141,NARRATOR,Stimulus,Disgust,21,2.856160589663985
142,NARRATOR,Stimulus,Disgust,26,3.4828285083715227
143,NARRATOR,Stimulus,Disgust,31,4.070138520668855
144,NARRATOR,Stimulus,Dominance,1,0.94599330618515
145,NARRATOR,Stimulus,Dominance,3,2.826081034114962
146,NARRATOR,Stimulus,Dominance,5,4.694909379677279
147,NARRATOR,Stimulus,Dominance,7,6.555628814064107
148,NARRATOR,Stimulus,Dominance,9,8.389920546825742
