,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.15507766852886246
1,NARRATOR,Other,Unknown,3,0.43079830212636727
2,NARRATOR,Other,Unknown,5,0.6899249482869221
3,NARRATOR,Other,Unknown,7,0.937498140106476
4,NARRATOR,Other,Unknown,9,1.1692318838132207
5,NARRATOR,Other,Unknown,16,1.9146139492912164
6,NARRATOR,Other,Unknown,21,2.3931807423501117
7,NARRATOR,Other,Unknown,26,2.8451055774724687
8,NARRATOR,Other,Unknown,31,3.285182552464791
9,NARRATOR,Response,Anger,1,0.04559577555322314
10,NARRATOR,Response,Anger,3,0.13500890552952743
11,NARRATOR,Response,Anger,5,0.22216445698195492
12,NARRATOR,Response,Anger,7,0.3084461602024736
13,NARRATOR,Response,Anger,9,0.3940999837135436
14,NARRATOR,Response,Anger,16,0.6871887144850454
15,NARRATOR,Response,Anger,21,0.8926140056926833
16,NARRATOR,Response,Anger,26,1.0920840945079984
17,NARRATOR,Response,Anger,31,1.2885946831960289
18,NARRATOR,Response,Anticipation,1,0.07551030926551629
19,NARRATOR,Response,Anticipation,3,0.22602515680898683
20,NARRATOR,Response,Anticipation,5,0.3752860671665779
21,NARRATOR,Response,Anticipation,7,0.5239124186133187
22,NARRATOR,Response,Anticipation,9,0.6702135701512111
23,NARRATOR,Response,Anticipation,16,1.168057844453173
24,NARRATOR,Response,Anticipation,21,1.5086020559461248
25,NARRATOR,Response,Anticipation,26,1.8371889841830213
26,NARRATOR,Response,Anticipation,31,2.144816454107065
27,NARRATOR,Response,Arousal,1,0.23608994123145147
28,NARRATOR,Response,Arousal,3,0.6804827257711046
29,NARRATOR,Response,Arousal,5,1.1106749752789673
30,NARRATOR,Response,Arousal,7,1.5284368321645043
31,NARRATOR,Response,Arousal,9,1.9245697839169553
32,NARRATOR,Response,Arousal,16,3.1157544317251418
33,NARRATOR,Response,Arousal,21,3.78495643280487
34,NARRATOR,Response,Arousal,26,4.338868316465638
35,NARRATOR,Response,Arousal,31,4.7923271905434275
36,NARRATOR,Response,Disgust,1,0.030049675679890944
37,NARRATOR,Response,Disgust,3,0.08838710016190428
