,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.11923328027246341
1,NARRATOR,Other,Unknown,3,0.3334808301298119
2,NARRATOR,Other,Unknown,5,0.536678262138751
3,NARRATOR,Other,Unknown,7,0.7325252388752173
4,NARRATOR,Other,Unknown,9,0.9216249963809785
5,NARRATOR,Other,Unknown,16,1.545274251991021
6,NARRATOR,Other,Unknown,21,1.9643221325452722
7,NARRATOR,Other,Unknown,26,2.364326231998423
8,NARRATOR,Other,Unknown,31,2.750472516728437
9,NARRATOR,Response,Anger,1,0.010706992063415702
10,NARRATOR,Response,Anger,3,0.032119602740229916
11,NARRATOR,Response,Anger,5,0.05353037288343035
12,NARRATOR,Response,Anger,7,0.07458196856012901
13,NARRATOR,Response,Anger,9,0.09563210873048804
14,NARRATOR,Response,Anger,16,0.1692785522920487
15,NARRATOR,Response,Anger,21,0.22186984683947428
16,NARRATOR,Response,Anger,26,0.2739010066985329
17,NARRATOR,Response,Anger,31,0.32553904888042445
18,NARRATOR,Response,Anticipation,1,0.03775018517673542
19,NARRATOR,Response,Anticipation,3,0.11209209678858961
20,NARRATOR,Response,Anticipation,5,0.18528412174694936
21,NARRATOR,Response,Anticipation,7,0.25760546110697646
22,NARRATOR,Response,Anticipation,9,0.32925585167264537
23,NARRATOR,Response,Anticipation,16,0.5735591440584512
24,NARRATOR,Response,Anticipation,21,0.7427197857230542
25,NARRATOR,Response,Anticipation,26,0.9068336488316207
26,NARRATOR,Response,Anticipation,31,1.068428118168814
27,NARRATOR,Response,Arousal,1,0.140466264866965
28,NARRATOR,Response,Arousal,3,0.40771649309892743
29,NARRATOR,Response,Arousal,5,0.6634727280152486
30,NARRATOR,Response,Arousal,7,0.9107955468026411
31,NARRATOR,Response,Arousal,9,1.151187473322844
32,NARRATOR,Response,Arousal,16,1.9157812958419178
33,NARRATOR,Response,Arousal,21,2.396605350478668
34,NARRATOR,Response,Arousal,26,2.829801640986278
35,NARRATOR,Response,Arousal,31,3.2231414741830857
36,NARRATOR,Response,Disgust,1,0.007199610616221877
37,NARRATOR,Response,Disgust,3,0.02112279281193509
38,NARRATOR,Response,Disgust,5,0.03504161789868697
39,NARRATOR,Response,Disgust,7,0.04896077965873351
40,NARRATOR,Response,Disgust,9,0.06288027576781684
41,NARRATOR,Response,Disgust,16,0.11160111143847629
42,NARRATOR,Response,Disgust,21,0.14640414276871577
43,NARRATOR,Response,Disgust,26,0.1812091609259973
44,NARRATOR,Response,Disgust,31,0.216016128689144
45,NARRATOR,Response,Dominance,1,0.22871474481116255
46,NARRATOR,Response,Dominance,3,0.6503237598036935
47,NARRATOR,Response,Dominance,5,1.039266675026087
48,NARRATOR,Response,Dominance,7,1.4142181348384588
49,NARRATOR,Response,Dominance,9,1.7765175146952232
50,NARRATOR,Response,Dominance,16,2.848192881358078
51,NARRATOR,Response,Dominance,21,3.4394647461125767
52,NARRATOR,Response,Dominance,26,3.94034017733701
53,NARRATOR,Response,Dominance,31,4.380941789379881
54,NARRATOR,Response,Fear,1,0.01604215009704494
55,NARRATOR,Response,Fear,3,0.04799941074846219
56,NARRATOR,Response,Fear,5,0.0798263342070931
57,NARRATOR,Response,Fear,7,0.1109702942039324
58,NARRATOR,Response,Fear,9,0.14209315808912926
59,NARRATOR,Response,Fear,16,0.24990203363269636
60,NARRATOR,Response,Fear,21,0.3248839601717323
61,NARRATOR,Response,Fear,26,0.39979266504883454
62,NARRATOR,Response,Fear,31,0.47466008534362536
63,NARRATOR,Response,Joy,1,0.032629658579306726
64,NARRATOR,Response,Joy,3,0.09718111456584114
65,NARRATOR,Response,Joy,5,0.1614611132609511
66,NARRATOR,Response,Joy,7,0.2250829299892698
67,NARRATOR,Response,Joy,9,0.2885474748286552
68,NARRATOR,Response,Joy,16,0.5014286300351528
69,NARRATOR,Response,Joy,21,0.6501840001297943
70,NARRATOR,Response,Joy,26,0.7969274018917907
71,NARRATOR,Response,Joy,31,0.941622522066687
72,NARRATOR,Response,Sadness,1,0.01800786982552821
73,NARRATOR,Response,Sadness,3,0.05380454245487411
74,NARRATOR,Response,Sadness,5,0.0893710010957614
75,NARRATOR,Response,Sadness,7,0.12469854517559927
76,NARRATOR,Response,Sadness,9,0.15989507366376582
77,NARRATOR,Response,Sadness,16,0.28028371353314174
78,NARRATOR,Response,Sadness,21,0.3638187059454159
79,NARRATOR,Response,Sadness,26,0.447209401462914
80,NARRATOR,Response,Sadness,31,0.5304843147313693
81,NARRATOR,Response,Surprise,1,0.02841027099644104
82,NARRATOR,Response,Surprise,3,0.08503680392300628
83,NARRATOR,Response,Surprise,5,0.14137301546797862
84,NARRATOR,Response,Surprise,7,0.1972651031338518
85,NARRATOR,Response,Surprise,9,0.2530031920911655
86,NARRATOR,Response,Surprise,16,0.44616541646698377
87,NARRATOR,Response,Surprise,21,0.5820025686681674
88,NARRATOR,Response,Surprise,26,0.7164135233552288
89,NARRATOR,Response,Surprise,31,0.8490657987130467
90,NARRATOR,Response,Trust,1,0.03469689037865927
91,NARRATOR,Response,Trust,3,0.10354920515032993
92,NARRATOR,Response,Trust,5,0.17179271489489936
93,NARRATOR,Response,Trust,7,0.23988406811897622
94,NARRATOR,Response,Trust,9,0.3077960444770741
95,NARRATOR,Response,Trust,16,0.5385947032361247
96,NARRATOR,Response,Trust,21,0.6981340906210735
97,NARRATOR,Response,Trust,26,0.8543357353308263
98,NARRATOR,Response,Trust,31,1.0057094247942937
99,NARRATOR,Response,Valence,1,0.263183774545722
100,NARRATOR,Response,Valence,3,0.7335870028142236
101,NARRATOR,Response,Valence,5,1.164880892058341
102,NARRATOR,Response,Valence,7,1.5785533452911618
103,NARRATOR,Response,Valence,9,1.977026535978512
104,NARRATOR,Response,Valence,16,3.112880016885181
105,NARRATOR,Response,Valence,21,3.708386212489075
106,NARRATOR,Response,Valence,26,4.203354660339907
107,NARRATOR,Response,Valence,31,4.632667401925334
108,NARRATOR,Stimulus,Anger,1,0.19340508015749147
109,NARRATOR,Stimulus,Anger,3,0.5792082345806775
110,NARRATOR,Stimulus,Anger,5,0.9634700005244211
111,NARRATOR,Stimulus,Anger,7,1.3460410687503523
112,NARRATOR,Stimulus,Anger,9,1.7268087480238445
113,NARRATOR,Stimulus,Anger,16,3.0313077088066422
114,NARRATOR,Stimulus,Anger,21,3.9302208767750675
115,NARRATOR,Stimulus,Anger,26,4.791081199480274
116,NARRATOR,Stimulus,Anger,31,5.612232218610639
117,NARRATOR,Stimulus,Anticipation,1,0.28912924187145134
118,NARRATOR,Stimulus,Anticipation,3,0.867276301665876
119,NARRATOR,Stimulus,Anticipation,5,1.4451841870456559
120,NARRATOR,Stimulus,Anticipation,7,2.021133886694357
121,NARRATOR,Stimulus,Anticipation,9,2.5939993418096936
122,NARRATOR,Stimulus,Anticipation,16,4.5515579490453195
123,NARRATOR,Stimulus,Anticipation,21,5.873941750765084
124,NARRATOR,Stimulus,Anticipation,26,7.1066347887226735
125,NARRATOR,Stimulus,Anticipation,31,8.224711919735475
126,NARRATOR,Stimulus,Arousal,1,0.7673498516864876
