,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.1350896298146751
1,NARRATOR,Other,Unknown,3,0.37676501784279254
2,NARRATOR,Other,Unknown,5,0.6079699825594962
3,NARRATOR,Other,Unknown,7,0.8338880460092163
4,NARRATOR,Other,Unknown,9,1.0538353461054746
5,NARRATOR,Other,Unknown,16,1.7702674471063193
6,NARRATOR,Other,Unknown,21,2.245372283908622
7,NARRATOR,Other,Unknown,26,2.696356275770858
8,NARRATOR,Other,Unknown,31,3.1248899816816946
9,NARRATOR,Response,Anger,1,0.010093009194891731
10,NARRATOR,Response,Anger,3,0.02935933370201175
11,NARRATOR,Response,Anger,5,0.0486122934791779
12,NARRATOR,Response,Anger,7,0.06786447855527557
13,NARRATOR,Response,Anger,9,0.08671393103655758
14,NARRATOR,Response,Anger,16,0.15047571503360962
15,NARRATOR,Response,Anger,21,0.19312824538921405
16,NARRATOR,Response,Anger,26,0.2350024911545298
17,NARRATOR,Response,Anger,31,0.27683151862048594
18,NARRATOR,Response,Anticipation,1,0.017301400884899187
19,NARRATOR,Response,Anticipation,3,0.05129151560427364
20,NARRATOR,Response,Anticipation,5,0.08462898248574222
21,NARRATOR,Response,Anticipation,7,0.11769209742191956
22,NARRATOR,Response,Anticipation,9,0.15060366437756786
23,NARRATOR,Response,Anticipation,16,0.2624781179588487
24,NARRATOR,Response,Anticipation,21,0.34016144658520125
25,NARRATOR,Response,Anticipation,26,0.41633523223008345
26,NARRATOR,Response,Anticipation,31,0.49234267515923996
27,NARRATOR,Response,Arousal,1,0.06454562798672335
28,NARRATOR,Response,Arousal,3,0.18840181569183256
29,NARRATOR,Response,Arousal,5,0.30411246606762543
30,NARRATOR,Response,Arousal,7,0.4161397250358802
31,NARRATOR,Response,Arousal,9,0.5243813232243064
32,NARRATOR,Response,Arousal,16,0.8720890535285525
33,NARRATOR,Response,Arousal,21,1.0940303515555783
34,NARRATOR,Response,Arousal,26,1.2974789456098474
35,NARRATOR,Response,Arousal,31,1.4892405479247248
36,NARRATOR,Response,Disgust,1,0.007949866600636957
37,NARRATOR,Response,Disgust,3,0.023849436313243377
38,NARRATOR,Response,Disgust,5,0.03931780241795131
39,NARRATOR,Response,Disgust,7,0.05478221388764683
40,NARRATOR,Response,Disgust,9,0.07024266635815045
41,NARRATOR,Response,Disgust,16,0.12182229564595898
42,NARRATOR,Response,Disgust,21,0.15712677767532407
43,NARRATOR,Response,Disgust,26,0.1908706344423528
44,NARRATOR,Response,Disgust,31,0.223428809915548
45,NARRATOR,Response,Dominance,1,0.10622693527651064
46,NARRATOR,Response,Dominance,3,0.30077226888931957
47,NARRATOR,Response,Dominance,5,0.480441465649472
48,NARRATOR,Response,Dominance,7,0.6508979899771064
49,NARRATOR,Response,Dominance,9,0.8147179848531089
50,NARRATOR,Response,Dominance,16,1.319909927557094
51,NARRATOR,Response,Dominance,21,1.621229264235643
52,NARRATOR,Response,Dominance,26,1.8948528946633512
53,NARRATOR,Response,Dominance,31,2.143799766850976
54,NARRATOR,Response,Fear,1,0.010093009194891731
55,NARRATOR,Response,Fear,3,0.030277947680413156
56,NARRATOR,Response,Fear,5,0.05046143870001667
57,NARRATOR,Response,Fear,7,0.07064347311073886
58,NARRATOR,Response,Fear,9,0.09082404173437984
59,NARRATOR,Response,Fear,16,0.16071835652898264
60,NARRATOR,Response,Fear,21,0.20949569979247185
61,NARRATOR,Response,Fear,26,0.25807455993262046
62,NARRATOR,Response,Fear,31,0.30662671929156654
63,NARRATOR,Response,Joy,1,0.016530572793148013
64,NARRATOR,Response,Joy,3,0.0483159783736542
65,NARRATOR,Response,Joy,5,0.07891261412897012
66,NARRATOR,Response,Joy,7,0.10905835785332534
67,NARRATOR,Response,Joy,9,0.1390376036516779
68,NARRATOR,Response,Joy,16,0.24121197389881
69,NARRATOR,Response,Joy,21,0.3135606384476629
70,NARRATOR,Response,Joy,26,0.38588069055792723
71,NARRATOR,Response,Joy,31,0.45817698220926034
72,NARRATOR,Response,Sadness,1,0.010512477427509522
73,NARRATOR,Response,Sadness,3,0.03153612216131684
74,NARRATOR,Response,Sadness,5,0.05255801136732739
75,NARRATOR,Response,Sadness,7,0.07357813456958862
76,NARRATOR,Response,Sadness,9,0.09459648125017876
77,NARRATOR,Response,Sadness,16,0.1674434881983154
78,NARRATOR,Response,Sadness,21,0.2172837325732948
79,NARRATOR,Response,Sadness,26,0.2660818911518264
80,NARRATOR,Response,Sadness,31,0.3144571633536367
81,NARRATOR,Response,Surprise,1,0.014177747293626803
82,NARRATOR,Response,Surprise,3,0.041284585520392936
83,NARRATOR,Response,Surprise,5,0.06792415203637894
84,NARRATOR,Response,Surprise,7,0.09440978948204592
85,NARRATOR,Response,Surprise,9,0.12074100366178396
86,NARRATOR,Response,Surprise,16,0.21225247837059574
87,NARRATOR,Response,Surprise,21,0.27757874173463265
88,NARRATOR,Response,Surprise,26,0.34288592182795263
89,NARRATOR,Response,Surprise,31,0.40751707112372965
90,NARRATOR,Response,Trust,1,0.01768449372751472
91,NARRATOR,Response,Trust,3,0.05214720943618783
92,NARRATOR,Response,Trust,5,0.0858300309278835
93,NARRATOR,Response,Trust,7,0.11897226191598471
94,NARRATOR,Response,Trust,9,0.15161955833893642
95,NARRATOR,Response,Trust,16,0.2636231544341031
96,NARRATOR,Response,Trust,21,0.3424235164223316
97,NARRATOR,Response,Trust,26,0.4209845441175237
98,NARRATOR,Response,Trust,31,0.4994685973250584
99,NARRATOR,Response,Valence,1,0.12650644973078085
100,NARRATOR,Response,Valence,3,0.3519719347981365
101,NARRATOR,Response,Valence,5,0.5573847487239318
102,NARRATOR,Response,Valence,7,0.7518670113061228
103,NARRATOR,Response,Valence,9,0.93342312902274
104,NARRATOR,Response,Valence,16,1.4785505246721145
105,NARRATOR,Response,Valence,21,1.7985784953910418
106,NARRATOR,Response,Valence,26,2.080165357917138
107,NARRATOR,Response,Valence,31,2.335516010195358
108,NARRATOR,Stimulus,Anger,1,0.22938070373555366
109,NARRATOR,Stimulus,Anger,3,0.688072859449323
110,NARRATOR,Stimulus,Anger,5,1.1464507126595822
111,NARRATOR,Stimulus,Anger,7,1.6039372224772832
112,NARRATOR,Stimulus,Anger,9,2.0603548394685296
113,NARRATOR,Stimulus,Anger,16,3.6317292428943966
114,NARRATOR,Stimulus,Anger,21,4.7140288142531395
115,NARRATOR,Stimulus,Anger,26,5.747166863543795
116,NARRATOR,Stimulus,Anger,31,6.723124014467154
117,NARRATOR,Stimulus,Anticipation,1,0.34950163759803415
118,NARRATOR,Stimulus,Anticipation,3,1.0481343570275898
