,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.17758270420859498
1,NARRATOR,Other,Unknown,3,0.4936344510942515
2,NARRATOR,Other,Unknown,5,0.7912483889552777
3,NARRATOR,Other,Unknown,7,1.080325469073358
4,NARRATOR,Other,Unknown,9,1.361042815151559
5,NARRATOR,Other,Unknown,16,2.2501990645733456
6,NARRATOR,Other,Unknown,21,2.8233867237632233
7,NARRATOR,Other,Unknown,26,3.366004320886213
8,NARRATOR,Other,Unknown,31,3.8795216609783556
9,NARRATOR,Response,Anger,1,0.005617897014496311
10,NARRATOR,Response,Anger,3,0.016853659424594256
11,NARRATOR,Response,Anger,5,0.028089378638357566
12,NARRATOR,Response,Anger,7,0.03932505340810971
13,NARRATOR,Response,Anger,9,0.05056068248353064
14,NARRATOR,Response,Anger,16,0.08875705180190994
15,NARRATOR,Response,Anger,21,0.1160325750169469
16,NARRATOR,Response,Anger,26,0.14330309045265552
17,NARRATOR,Response,Anger,31,0.16974236570661563
18,NARRATOR,Response,Anticipation,1,0.014993821237350581
19,NARRATOR,Response,Anticipation,3,0.044507311238666206
20,NARRATOR,Response,Anticipation,5,0.07370158044347273
21,NARRATOR,Response,Anticipation,7,0.10195583881496566
22,NARRATOR,Response,Anticipation,9,0.1295921431380658
23,NARRATOR,Response,Anticipation,16,0.22262223840705042
24,NARRATOR,Response,Anticipation,21,0.2863656567637539
25,NARRATOR,Response,Anticipation,26,0.3494730151656439
26,NARRATOR,Response,Anticipation,31,0.41219228259117346
27,NARRATOR,Response,Arousal,1,0.05109552490190146
28,NARRATOR,Response,Arousal,3,0.14568663729273357
29,NARRATOR,Response,Arousal,5,0.2360834467674025
30,NARRATOR,Response,Arousal,7,0.3221203987830497
31,NARRATOR,Response,Arousal,9,0.40488268284867296
32,NARRATOR,Response,Arousal,16,0.6708451313744168
33,NARRATOR,Response,Arousal,21,0.8427449139740453
34,NARRATOR,Response,Arousal,26,1.0042993587932556
35,NARRATOR,Response,Arousal,31,1.155068295154577
36,NARRATOR,Response,Disgust,1,0.005617897014496311
