,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.17970644498512747
1,NARRATOR,Other,Unknown,3,0.5054486979512044
2,NARRATOR,Other,Unknown,5,0.8174468843015552
3,NARRATOR,Other,Unknown,7,1.1220190210911123
4,NARRATOR,Other,Unknown,9,1.4176506206920567
5,NARRATOR,Other,Unknown,16,2.3850136247441833
6,NARRATOR,Other,Unknown,21,3.039163792447345
7,NARRATOR,Other,Unknown,26,3.666653217697095
8,NARRATOR,Other,Unknown,31,4.262082454135178
9,NARRATOR,Response,Anger,1,0.016975955221634666
10,NARRATOR,Response,Anger,3,0.04800207949762581
11,NARRATOR,Response,Anger,5,0.07869572516084698
12,NARRATOR,Response,Anger,7,0.10810308064987248
13,NARRATOR,Response,Anger,9,0.13743170193047177
14,NARRATOR,Response,Anger,16,0.23784991822997595
15,NARRATOR,Response,Anger,21,0.308169094638163
16,NARRATOR,Response,Anger,26,0.37668189399221236
17,NARRATOR,Response,Anger,31,0.4448763504598479
18,NARRATOR,Response,Anticipation,1,0.025218973499881014
19,NARRATOR,Response,Anticipation,3,0.07396569291191886
20,NARRATOR,Response,Anticipation,5,0.12126818262590838
21,NARRATOR,Response,Anticipation,7,0.16745867719681004
22,NARRATOR,Response,Anticipation,9,0.2119139540365889
23,NARRATOR,Response,Anticipation,16,0.3618361619243032
24,NARRATOR,Response,Anticipation,21,0.4678919737400488
25,NARRATOR,Response,Anticipation,26,0.5711815641918712
26,NARRATOR,Response,Anticipation,31,0.6697833421875626
27,NARRATOR,Response,Arousal,1,0.0759770384521576
28,NARRATOR,Response,Arousal,3,0.2080562803773299
29,NARRATOR,Response,Arousal,5,0.33276536250353816
30,NARRATOR,Response,Arousal,7,0.45388865453805355
31,NARRATOR,Response,Arousal,9,0.57052626404634
32,NARRATOR,Response,Arousal,16,0.9481988468401069
33,NARRATOR,Response,Arousal,21,1.1998808937128487
34,NARRATOR,Response,Arousal,26,1.4388920216146557
35,NARRATOR,Response,Arousal,31,1.6648191083733583
36,NARRATOR,Response,Disgust,1,0.015120399803591679
37,NARRATOR,Response,Disgust,3,0.04150195265603869
38,NARRATOR,Response,Disgust,5,0.06663528861072628
39,NARRATOR,Response,Disgust,7,0.09058738973093973
40,NARRATOR,Response,Disgust,9,0.11448816633690995
41,NARRATOR,Response,Disgust,16,0.19809392943534132
42,NARRATOR,Response,Disgust,21,0.25623932023373847
43,NARRATOR,Response,Disgust,26,0.312483871325788
44,NARRATOR,Response,Disgust,31,0.3687151143185129
45,NARRATOR,Response,Dominance,1,0.12025380419970304
46,NARRATOR,Response,Dominance,3,0.3345236575721121
47,NARRATOR,Response,Dominance,5,0.5367633919639534
48,NARRATOR,Response,Dominance,7,0.7284303751693317
49,NARRATOR,Response,Dominance,9,0.9121274560356007
50,NARRATOR,Response,Dominance,16,1.4823737616948476
51,NARRATOR,Response,Dominance,21,1.83693710802975
52,NARRATOR,Response,Dominance,26,2.1604370777844903
53,NARRATOR,Response,Dominance,31,2.4608563694254895
54,NARRATOR,Response,Fear,1,0.02407668799784524
55,NARRATOR,Response,Fear,3,0.06977093758786027
56,NARRATOR,Response,Fear,5,0.1146142137898285
57,NARRATOR,Response,Fear,7,0.15879689664723157
58,NARRATOR,Response,Fear,9,0.20289551909061176
59,NARRATOR,Response,Fear,16,0.3499871498997128
60,NARRATOR,Response,Fear,21,0.45168657882206686
61,NARRATOR,Response,Fear,26,0.5496481714701471
62,NARRATOR,Response,Fear,31,0.6451764274742925
63,NARRATOR,Response,Joy,1,0.024649117082636545
64,NARRATOR,Response,Joy,3,0.07222220470676312
65,NARRATOR,Response,Joy,5,0.11892605707354176
66,NARRATOR,Response,Joy,7,0.16391051695959602
67,NARRATOR,Response,Joy,9,0.20802245436734984
68,NARRATOR,Response,Joy,16,0.35891260724719176
69,NARRATOR,Response,Joy,21,0.46347464348722256
70,NARRATOR,Response,Joy,26,0.563186616931262
71,NARRATOR,Response,Joy,31,0.6599750252664026
72,NARRATOR,Response,Sadness,1,0.0187957564927625
73,NARRATOR,Response,Sadness,3,0.053053078650737155
74,NARRATOR,Response,Sadness,5,0.08620915897699966
75,NARRATOR,Response,Sadness,7,0.1186557269108776
76,NARRATOR,Response,Sadness,9,0.1510420078919236
77,NARRATOR,Response,Sadness,16,0.2643374725800984
78,NARRATOR,Response,Sadness,21,0.34400632093568706
79,NARRATOR,Response,Sadness,26,0.42227338471550435
80,NARRATOR,Response,Sadness,31,0.4996679725405109
81,NARRATOR,Response,Surprise,1,0.0187957564927625
82,NARRATOR,Response,Surprise,3,0.05577956527840752
83,NARRATOR,Response,Surprise,5,0.09231807810650768
84,NARRATOR,Response,Surprise,7,0.12541557840660028
85,NARRATOR,Response,Surprise,9,0.15810416942564973
86,NARRATOR,Response,Surprise,16,0.26973030421356603
87,NARRATOR,Response,Surprise,21,0.34893930324947625
88,NARRATOR,Response,Surprise,26,0.42697646723959276
89,NARRATOR,Response,Surprise,31,0.5043891404281085
90,NARRATOR,Response,Trust,1,0.03024202309896013
91,NARRATOR,Response,Trust,3,0.08882441278194621
92,NARRATOR,Response,Trust,5,0.14641742078752829
93,NARRATOR,Response,Trust,7,0.20288989397193186
94,NARRATOR,Response,Trust,9,0.258362560311425
95,NARRATOR,Response,Trust,16,0.4432083658349006
96,NARRATOR,Response,Trust,21,0.5668957630532226
97,NARRATOR,Response,Trust,26,0.684655187064604
98,NARRATOR,Response,Trust,31,0.7972908880262339
99,NARRATOR,Response,Valence,1,0.13627308023599177
100,NARRATOR,Response,Valence,3,0.3741393615493335
101,NARRATOR,Response,Valence,5,0.5969035768379075
102,NARRATOR,Response,Valence,7,0.8089120747998044
103,NARRATOR,Response,Valence,9,1.0107330603662135
104,NARRATOR,Response,Valence,16,1.635264866096549
105,NARRATOR,Response,Valence,21,2.0159613497593503
106,NARRATOR,Response,Valence,26,2.3584436847430883
107,NARRATOR,Response,Valence,31,2.6757431332183543
108,NARRATOR,Stimulus,Anger,1,0.2659892539690633
109,NARRATOR,Stimulus,Anger,3,0.7958449319809965
110,NARRATOR,Stimulus,Anger,5,1.3243795232541347
111,NARRATOR,Stimulus,Anger,7,1.8492117571899975
112,NARRATOR,Stimulus,Anger,9,2.3697196146633925
113,NARRATOR,Stimulus,Anger,16,4.129405607194075
114,NARRATOR,Stimulus,Anger,21,5.293991377509074
115,NARRATOR,Stimulus,Anger,26,6.351425223758386
116,NARRATOR,Stimulus,Anger,31,7.308217708061678
117,NARRATOR,Stimulus,Anticipation,1,0.3116469567503648
118,NARRATOR,Stimulus,Anticipation,3,0.9341896417801078
119,NARRATOR,Stimulus,Anticipation,5,1.5539670324722117
120,NARRATOR,Stimulus,Anticipation,7,2.170574718084565
121,NARRATOR,Stimulus,Anticipation,9,2.7817975890462407
122,NARRATOR,Stimulus,Anticipation,16,4.848688475965783
123,NARRATOR,Stimulus,Anticipation,21,6.195650248385865
124,NARRATOR,Stimulus,Anticipation,26,7.401253868892239
125,NARRATOR,Stimulus,Anticipation,31,8.460822823909714
126,NARRATOR,Stimulus,Arousal,1,0.7731791382919542
127,NARRATOR,Stimulus,Arousal,3,2.3104216940676565
128,NARRATOR,Stimulus,Arousal,5,3.8427327131539095
129,NARRATOR,Stimulus,Arousal,7,5.3694028474472
130,NARRATOR,Stimulus,Arousal,9,6.876670005658504
131,NARRATOR,Stimulus,Arousal,16,11.23320530497442
132,NARRATOR,Stimulus,Arousal,21,12.782426284103733
133,NARRATOR,Stimulus,Arousal,26,13.460258336608444
134,NARRATOR,Stimulus,Arousal,31,13.734979849595467
135,NARRATOR,Stimulus,Disgust,1,0.20972212779026247
136,NARRATOR,Stimulus,Disgust,3,0.6264988634766563
137,NARRATOR,Stimulus,Disgust,5,1.0412971283622696
138,NARRATOR,Stimulus,Disgust,7,1.452759977039669
139,NARRATOR,Stimulus,Disgust,9,1.8599384197239819
140,NARRATOR,Stimulus,Disgust,16,3.2438641355208384
141,NARRATOR,Stimulus,Disgust,21,4.184221983991885
142,NARRATOR,Stimulus,Disgust,26,5.072226140370621
143,NARRATOR,Stimulus,Disgust,31,5.900083102234465
144,NARRATOR,Stimulus,Dominance,1,0.919802058240053
145,NARRATOR,Stimulus,Dominance,3,2.746669183264883
146,NARRATOR,Stimulus,Dominance,5,4.5650950893233055
147,NARRATOR,Stimulus,Dominance,7,6.375200077757503
148,NARRATOR,Stimulus,Dominance,9,8.169742354347006
149,NARRATOR,Stimulus,Dominance,16,12.814327721303329
