,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.12066919071875047
1,NARRATOR,Other,Unknown,3,0.3332682998750208
2,NARRATOR,Other,Unknown,5,0.5363146518583877
3,NARRATOR,Other,Unknown,7,0.7357995249170869
4,NARRATOR,Other,Unknown,9,0.9287402936511499
5,NARRATOR,Other,Unknown,16,1.5687443534209795
6,NARRATOR,Other,Unknown,21,2.0023143726232564
7,NARRATOR,Other,Unknown,26,2.424634316273623
8,NARRATOR,Other,Unknown,31,2.8382164675347683
9,NARRATOR,Response,Anger,1,0.06053721272747336
10,NARRATOR,Response,Anger,3,0.18086374306994926
11,NARRATOR,Response,Anger,5,0.300390536500717
12,NARRATOR,Response,Anger,7,0.41792117741095824
13,NARRATOR,Response,Anger,9,0.5331200362710672
14,NARRATOR,Response,Anger,16,0.92802378076407
15,NARRATOR,Response,Anger,21,1.2031369530906322
16,NARRATOR,Response,Anger,26,1.468951070479417
17,NARRATOR,Response,Anger,31,1.7266672655087865
18,NARRATOR,Response,Anticipation,1,0.11613503036924713
19,NARRATOR,Response,Anticipation,3,0.34378741156363607
20,NARRATOR,Response,Anticipation,5,0.5685710214167247
21,NARRATOR,Response,Anticipation,7,0.7905237902129794
22,NARRATOR,Response,Anticipation,9,1.0101445867014538
23,NARRATOR,Response,Anticipation,16,1.7555168084466704
24,NARRATOR,Response,Anticipation,21,2.2627184080215565
25,NARRATOR,Response,Anticipation,26,2.740257348858768
26,NARRATOR,Response,Anticipation,31,3.181870369704132
27,NARRATOR,Response,Arousal,1,0.30978598152415565
28,NARRATOR,Response,Arousal,3,0.8946419295285057
29,NARRATOR,Response,Arousal,5,1.4621005097014015
30,NARRATOR,Response,Arousal,7,2.015154054047005
31,NARRATOR,Response,Arousal,9,2.5522515128135597
32,NARRATOR,Response,Arousal,16,4.222380788467347
33,NARRATOR,Response,Arousal,21,5.154737803094665
34,NARRATOR,Response,Arousal,26,5.868412943372417
35,NARRATOR,Response,Arousal,31,6.4154103911151585
36,NARRATOR,Response,Disgust,1,0.04050391626896555
37,NARRATOR,Response,Disgust,3,0.12077480226314863
38,NARRATOR,Response,Disgust,5,0.2002475116016401
39,NARRATOR,Response,Disgust,7,0.2782430181782364
40,NARRATOR,Response,Disgust,9,0.3553315382210943
41,NARRATOR,Response,Disgust,16,0.6200280225351491
42,NARRATOR,Response,Disgust,21,0.8031422309698991
43,NARRATOR,Response,Disgust,26,0.9792598225909726
44,NARRATOR,Response,Disgust,31,1.1520730810493924
45,NARRATOR,Response,Dominance,1,0.42021697773683075
46,NARRATOR,Response,Dominance,3,1.1855278021679143
47,NARRATOR,Response,Dominance,5,1.9072593024506628
48,NARRATOR,Response,Dominance,7,2.6009149425065257
49,NARRATOR,Response,Dominance,9,3.2746532359994895
50,NARRATOR,Response,Dominance,16,5.213718438860115
51,NARRATOR,Response,Dominance,21,6.087960503767215
52,NARRATOR,Response,Dominance,26,6.687114333673923
53,NARRATOR,Response,Dominance,31,7.125689708155335
54,NARRATOR,Response,Fear,1,0.0703684359394779
55,NARRATOR,Response,Fear,3,0.20864246870952935
56,NARRATOR,Response,Fear,5,0.3457448274404727
57,NARRATOR,Response,Fear,7,0.48127510540381635
58,NARRATOR,Response,Fear,9,0.6148970106002078
59,NARRATOR,Response,Fear,16,1.073803603322708
60,NARRATOR,Response,Fear,21,1.3910658442491544
61,NARRATOR,Response,Fear,26,1.6983329482291352
62,NARRATOR,Response,Fear,31,1.99583357352874
63,NARRATOR,Response,Joy,1,0.09857385143380387
64,NARRATOR,Response,Joy,3,0.28958879421321815
65,NARRATOR,Response,Joy,5,0.4792185502801717
66,NARRATOR,Response,Joy,7,0.6676161787358482
67,NARRATOR,Response,Joy,9,0.8547846502635995
68,NARRATOR,Response,Joy,16,1.492766338879427
69,NARRATOR,Response,Joy,21,1.9278424431058996
70,NARRATOR,Response,Joy,26,2.3440822505733085
71,NARRATOR,Response,Joy,31,2.738570476631145
72,NARRATOR,Response,Sadness,1,0.06656524248209125
73,NARRATOR,Response,Sadness,3,0.198591950800878
74,NARRATOR,Response,Sadness,5,0.33005158099298504
75,NARRATOR,Response,Sadness,7,0.46097328200080595
76,NARRATOR,Response,Sadness,9,0.5907174709754145
77,NARRATOR,Response,Sadness,16,1.0357926339338397
78,NARRATOR,Response,Sadness,21,1.3443122601219177
79,NARRATOR,Response,Sadness,26,1.6425015522945166
80,NARRATOR,Response,Sadness,31,1.9282929058938096
81,NARRATOR,Response,Surprise,1,0.06805065753370157
82,NARRATOR,Response,Surprise,3,0.2008647909615441
83,NARRATOR,Response,Surprise,5,0.33289499120976535
84,NARRATOR,Response,Surprise,7,0.4638681960651032
85,NARRATOR,Response,Surprise,9,0.5942914273543739
86,NARRATOR,Response,Surprise,16,1.0474908218062757
87,NARRATOR,Response,Surprise,21,1.3670925960787648
88,NARRATOR,Response,Surprise,26,1.6797278278659806
89,NARRATOR,Response,Surprise,31,1.9821963286335669
90,NARRATOR,Response,Trust,1,0.11831808546344334
91,NARRATOR,Response,Trust,3,0.3505762255400141
92,NARRATOR,Response,Trust,5,0.5807227536607736
93,NARRATOR,Response,Trust,7,0.8089066297478478
94,NARRATOR,Response,Trust,9,1.034709770197098
95,NARRATOR,Response,Trust,16,1.800906863123164
96,NARRATOR,Response,Trust,21,2.3168966792204353
97,NARRATOR,Response,Trust,26,2.8029292075784613
98,NARRATOR,Response,Trust,31,3.2558248159317635
99,NARRATOR,Response,Valence,1,0.47004938145528086
100,NARRATOR,Response,Valence,3,1.3095100104641557
