,Subject,Category,Feature,k,$H(k)$
0,NARRATOR,Other,Unknown,1,0.1908402376416251
1,NARRATOR,Other,Unknown,3,0.5278563361761389
2,NARRATOR,Other,Unknown,5,0.8466766231638286
3,NARRATOR,Other,Unknown,7,1.1583995730879681
4,NARRATOR,Other,Unknown,9,1.458556167296325
5,NARRATOR,Other,Unknown,16,2.4092643716572453
6,NARRATOR,Other,Unknown,21,3.0250406573057758
7,NARRATOR,Other,Unknown,26,3.6020855594870027
8,NARRATOR,Other,Unknown,31,4.146028697210072
9,NARRATOR,Response,Anger,1,0.016214917135204787
10,NARRATOR,Response,Anger,3,0.04828331165243532
11,NARRATOR,Response,Anger,5,0.07996322010913241
12,NARRATOR,Response,Anger,7,0.11162187022222263
13,NARRATOR,Response,Anger,9,0.14327219129513302
14,NARRATOR,Response,Anger,16,0.2537412222149433
15,NARRATOR,Response,Anger,21,0.33196945520386506
16,NARRATOR,Response,Anger,26,0.409058602895601
17,NARRATOR,Response,Anger,31,0.4836119642294707
18,NARRATOR,Response,Anticipation,1,0.035580582518909505
19,NARRATOR,Response,Anticipation,3,0.10540171926703652
20,NARRATOR,Response,Anticipation,5,0.17359074645703076
21,NARRATOR,Response,Anticipation,7,0.2409353544358363
22,NARRATOR,Response,Anticipation,9,0.3067755922581399
23,NARRATOR,Response,Anticipation,16,0.5296085342434622
24,NARRATOR,Response,Anticipation,21,0.6787813744453022
25,NARRATOR,Response,Anticipation,26,0.8201544079958268
26,NARRATOR,Response,Anticipation,31,0.9566072783404351
27,NARRATOR,Response,Arousal,1,0.1282359047157613
28,NARRATOR,Response,Arousal,3,0.36383731037675254
29,NARRATOR,Response,Arousal,5,0.5864073469755756
30,NARRATOR,Response,Arousal,7,0.8021387600621891
31,NARRATOR,Response,Arousal,9,1.0082993489547392
32,NARRATOR,Response,Arousal,16,1.6581529671548625
33,NARRATOR,Response,Arousal,21,2.0525084465013945
34,NARRATOR,Response,Arousal,26,2.4025780742217355
35,NARRATOR,Response,Arousal,31,2.7200597604555954
36,NARRATOR,Response,Disgust,1,0.01303431742138842
37,NARRATOR,Response,Disgust,3,0.03865099033332972
38,NARRATOR,Response,Disgust,5,0.06362004095629979
39,NARRATOR,Response,Disgust,7,0.08839059897570607
40,NARRATOR,Response,Disgust,9,0.11313737754309844
41,NARRATOR,Response,Disgust,16,0.1993874916808359
42,NARRATOR,Response,Disgust,21,0.2601275259317054
43,NARRATOR,Response,Disgust,26,0.32007701889539764
44,NARRATOR,Response,Disgust,31,0.37866523241812206
45,NARRATOR,Response,Dominance,1,0.18555869541218872
46,NARRATOR,Response,Dominance,3,0.5156270878419267
47,NARRATOR,Response,Dominance,5,0.8215300660894717
48,NARRATOR,Response,Dominance,7,1.1125571803065952
49,NARRATOR,Response,Dominance,9,1.388406485256965
50,NARRATOR,Response,Dominance,16,2.191150652636652
51,NARRATOR,Response,Dominance,21,2.6374930985589384
52,NARRATOR,Response,Dominance,26,3.015046287082261
53,NARRATOR,Response,Dominance,31,3.35069591774764
54,NARRATOR,Response,Fear,1,0.020416531690581247
55,NARRATOR,Response,Fear,3,0.06080818028864152
56,NARRATOR,Response,Fear,5,0.09943515320053294
57,NARRATOR,Response,Fear,7,0.13768780024862579
58,NARRATOR,Response,Fear,9,0.17587001552436027
59,NARRATOR,Response,Fear,16,0.30846894984395296
60,NARRATOR,Response,Fear,21,0.4016055396779208
61,NARRATOR,Response,Fear,26,0.49159516359135375
62,NARRATOR,Response,Fear,31,0.5779310554675092
63,NARRATOR,Response,Joy,1,0.026613692140630526
64,NARRATOR,Response,Joy,3,0.07892973123785701
65,NARRATOR,Response,Joy,5,0.13046341320404556
66,NARRATOR,Response,Joy,7,0.1814636484367315
67,NARRATOR,Response,Joy,9,0.23124142999298383
68,NARRATOR,Response,Joy,16,0.39952376637248527
69,NARRATOR,Response,Joy,21,0.5158538024387306
70,NARRATOR,Response,Joy,26,0.6277648578298984
71,NARRATOR,Response,Joy,31,0.7344987031115251
72,NARRATOR,Response,Sadness,1,0.020041583959045157
73,NARRATOR,Response,Sadness,3,0.059848724878529075
74,NARRATOR,Response,Sadness,5,0.09899852907171187
75,NARRATOR,Response,Sadness,7,0.13791374209191404
