,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,captain,delvile,doctor,dr lyster,gentleman,lady honoria,miss beverley,miss larolles,morrice,mr arnott,mr briggs,mr delvile,mr harrel,mr hobson,mr monckton,mrs belfield,mrs charlton,mrs delvile,mrs harrel,servant,sir robert,son
0,Subject,Category,Feature,62482,1,0.13211509205904673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Subject,Category,Feature,62478,5,0.606782529207992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Subject,Category,Feature,62473,10,1.1663267064919463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Subject,Category,Feature,62468,15,1.6939638399612853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Subject,Category,Feature,62463,20,2.1959808956622173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Subject,Category,Feature,62453,30,3.1477118835791718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Subject,Category,Feature,62443,40,3.1017940503849437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Subject,Category,Feature,62433,50,2.998980502068327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Subject,Category,Feature,62423,60,2.8752569078993964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Subject,Category,Feature,62413,70,2.8168520368508405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Subject,,,62482,1,0.03402682840679885,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Subject,,,62478,5,0.16679812450079487,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Subject,,,62473,10,0.3275250727821293,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Subject,,,62468,15,0.4809479391318461,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Subject,,,62463,20,0.6288768543488243,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Subject,,,62453,30,0.9123523085990822,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Subject,,,62443,40,0.9908397243494915,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Subject,,,62433,50,1.021988056745413,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Subject,,,62423,60,1.05209076223138,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Subject,,,62413,70,1.0628433630743752,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Subject,,,62482,1,0.04887951991009011,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Subject,,,62478,5,0.2374192701297246,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Subject,,,62473,10,0.46457186965567393,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Subject,,,62468,15,0.6837177597820709,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Subject,,,62463,20,0.8931378099175643,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Subject,,,62453,30,1.2882542110288466,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Subject,,,62443,40,1.3383986252745355,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Subject,,,62433,50,1.3344064485321303,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Subject,,,62423,60,1.348085481898501,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Subject,,,62413,70,1.3565120323464184,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Subject,,,62482,1,0.1238545124788894,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Subject,,,62478,5,0.5761842779781291,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Subject,,,62473,10,1.098833617318271,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Subject,,,62468,15,1.580221949285351,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Subject,,,62463,20,2.011693713606964,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Subject,,,62453,30,2.741326092923167,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Subject,,,62443,40,2.320020047405012,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Subject,,,62433,50,2.1128858119797154,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Subject,,,62423,60,2.0402016290477323,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Subject,,,62413,70,2.0267285148394385,Category,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Subject,,,62482,1,0.02124873195865004,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Subject,,,62478,5,0.1043918760479394,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Subject,,,62473,10,0.20687158451223034,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Subject,,,62468,15,0.30697911520838267,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Subject,,,62463,20,0.40495018998199217,Category,,,,Feature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
