,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,abbot,ambrosio,brother,elvira,grave,lorenzo,marquis,monk,nuns,raymond,segnor,theodore
0,Subject,Category,Feature,26029,1,0.1417467409914701,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Subject,Category,Feature,26025,5,0.6461404009246079,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Subject,Category,Feature,26020,10,1.2417628565621321,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Subject,Category,Feature,26015,15,1.7964181213940205,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Subject,Category,Feature,26010,20,2.3217462338382235,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Subject,Category,Feature,26000,30,3.296682435637406,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Subject,Category,Feature,25990,40,3.2187857924365364,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Subject,Category,Feature,25980,50,3.0684329743724184,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Subject,Category,Feature,25970,60,2.9285131692456057,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Subject,Category,Feature,25960,70,2.8796743798566724,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Subject,,,26029,1,0.04241564102430685,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,
11,Subject,,,26025,5,0.2072917138008628,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,
12,Subject,,,26020,10,0.4084998765188527,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,
13,Subject,,,26015,15,0.6022138434195179,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,
14,Subject,,,26010,20,0.7885265662259604,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,
15,Subject,,,26000,30,1.1473628637763875,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,
16,Subject,,,25990,40,1.254751488772896,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,
17,Subject,,,25980,50,1.2940985644756322,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,
18,Subject,,,25970,60,1.3028267772008526,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,
19,Subject,,,25960,70,1.3005071130195225,Category,Feature,,,,,,,,,,,,,,,,,,,,,,,,
20,Subject,,,26029,1,0.055681189945345086,Category,,Feature,,,,,,,,,,,,,,,,,,,,,,,
