,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,emma
0,Subject,Category,Feature,10833,1,0.1311258468263493,,,,,,,,,,,,,,,
1,Subject,Category,Feature,10829,5,0.5696973246242161,,,,,,,,,,,,,,,
2,Subject,Category,Feature,10824,10,1.0632670244394546,,,,,,,,,,,,,,,
3,Subject,Category,Feature,10819,15,1.5010705495908332,,,,,,,,,,,,,,,
4,Subject,Category,Feature,10814,20,1.9179190783400852,,,,,,,,,,,,,,,
5,Subject,Category,Feature,10804,30,2.6841274938876514,,,,,,,,,,,,,,,
6,Subject,Category,Feature,10794,40,2.6819778529555918,,,,,,,,,,,,,,,
7,Subject,Category,Feature,10784,50,2.631067037962234,,,,,,,,,,,,,,,
8,Subject,Category,Feature,10774,60,2.586627545102468,,,,,,,,,,,,,,,
9,Subject,Category,Feature,10764,70,2.561474550504495,,,,,,,,,,,,,,,
10,Subject,,,10833,1,0.12952909776384566,Category,Feature,,,,,,,,,,,,,
11,Subject,,,10829,5,0.639903511133548,Category,Feature,,,,,,,,,,,,,
12,Subject,,,10824,10,1.2630240644330843,Category,Feature,,,,,,,,,,,,,
13,Subject,,,10819,15,1.8639170867281665,Category,Feature,,,,,,,,,,,,,
14,Subject,,,10814,20,2.435137475888428,Category,Feature,,,,,,,,,,,,,
15,Subject,,,10804,30,3.488746273452895,Category,Feature,,,,,,,,,,,,,
16,Subject,,,10794,40,3.34125755892262,Category,Feature,,,,,,,,,,,,,
17,Subject,,,10784,50,3.0367669166185736,Category,Feature,,,,,,,,,,,,,
18,Subject,,,10774,60,2.8082100591993093,Category,Feature,,,,,,,,,,,,,
19,Subject,,,10764,70,2.7132942836100895,Category,Feature,,,,,,,,,,,,,
20,Subject,,,10833,1,0.18078855988905101,Category,,Feature,,,,,,,,,,,,
21,Subject,,,10829,5,0.8959772931014449,Category,,Feature,,,,,,,,,,,,
22,Subject,,,10824,10,1.7661266549670371,Category,,Feature,,,,,,,,,,,,
23,Subject,,,10819,15,2.5996445109405015,Category,,Feature,,,,,,,,,,,,
24,Subject,,,10814,20,3.3798274578911234,Category,,Feature,,,,,,,,,,,,
25,Subject,,,10804,30,4.745234426558657,Category,,Feature,,,,,,,,,,,,
26,Subject,,,10794,40,4.0404270867082195,Category,,Feature,,,,,,,,,,,,
27,Subject,,,10784,50,3.3308053979498564,Category,,Feature,,,,,,,,,,,,
28,Subject,,,10774,60,2.8678947178904135,Category,,Feature,,,,,,,,,,,,
29,Subject,,,10764,70,2.727496165411327,Category,,Feature,,,,,,,,,,,,
30,Subject,,,10833,1,0.4529020217314236,Category,,,Feature,,,,,,,,,,,
31,Subject,,,10829,5,2.176535049634938,Category,,,Feature,,,,,,,,,,,
32,Subject,,,10824,10,4.182279900659632,Category,,,Feature,,,,,,,,,,,
33,Subject,,,10819,15,5.835309435294203,Category,,,Feature,,,,,,,,,,,
34,Subject,,,10814,20,7.013557014551983,Category,,,Feature,,,,,,,,,,,
35,Subject,,,10804,30,8.354968229503314,Category,,,Feature,,,,,,,,,,,
36,Subject,,,10794,40,4.027150603033797,Category,,,Feature,,,,,,,,,,,
37,Subject,,,10784,50,2.7235268725789057,Category,,,Feature,,,,,,,,,,,
38,Subject,,,10774,60,2.205631339205633,Category,,,Feature,,,,,,,,,,,
39,Subject,,,10764,70,2.0534487433681523,Category,,,Feature,,,,,,,,,,,
40,Subject,,,10833,1,0.07936387548850801,Category,,,,Feature,,,,,,,,,,
41,Subject,,,10829,5,0.39367939227310444,Category,,,,Feature,,,,,,,,,,
42,Subject,,,10824,10,0.7785918319338685,Category,,,,Feature,,,,,,,,,,
43,Subject,,,10819,15,1.1501661817224085,Category,,,,Feature,,,,,,,,,,
44,Subject,,,10814,20,1.5171367037169134,Category,,,,Feature,,,,,,,,,,
45,Subject,,,10804,30,2.2343832496320064,Category,,,,Feature,,,,,,,,,,
46,Subject,,,10794,40,2.4128091868560904,Category,,,,Feature,,,,,,,,,,
47,Subject,,,10784,50,2.360494421752816,Category,,,,Feature,,,,,,,,,,
48,Subject,,,10774,60,2.2620706688707277,Category,,,,Feature,,,,,,,,,,
49,Subject,,,10764,70,2.2124505865284574,Category,,,,Feature,,,,,,,,,,
50,Subject,,,10833,1,0.5517680796873206,Category,,,,,Feature,,,,,,,,,
51,Subject,,,10829,5,2.5954899191423233,Category,,,,,Feature,,,,,,,,,
52,Subject,,,10824,10,4.9503692530251495,Category,,,,,Feature,,,,,,,,,
53,Subject,,,10819,15,6.74033240028117,Category,,,,,Feature,,,,,,,,,
54,Subject,,,10814,20,7.805915994482923,Category,,,,,Feature,,,,,,,,,
55,Subject,,,10804,30,8.867885441579187,Category,,,,,Feature,,,,,,,,,
56,Subject,,,10794,40,3.6166406243098015,Category,,,,,Feature,,,,,,,,,
57,Subject,,,10784,50,2.5225478100501473,Category,,,,,Feature,,,,,,,,,
58,Subject,,,10774,60,2.1441547918652146,Category,,,,,Feature,,,,,,,,,
59,Subject,,,10764,70,2.0427774272521266,Category,,,,,Feature,,,,,,,,,
60,Subject,,,10833,1,0.17504589404047446,Category,,,,,,Feature,,,,,,,,
61,Subject,,,10829,5,0.8641750884050285,Category,,,,,,Feature,,,,,,,,
62,Subject,,,10824,10,1.705158133834821,Category,,,,,,Feature,,,,,,,,
63,Subject,,,10819,15,2.5036100641456644,Category,,,,,,Feature,,,,,,,,
64,Subject,,,10814,20,3.2474090336548507,Category,,,,,,Feature,,,,,,,,
65,Subject,,,10804,30,4.572660244541423,Category,,,,,,Feature,,,,,,,,
66,Subject,,,10794,40,3.9542250441562965,Category,,,,,,Feature,,,,,,,,
67,Subject,,,10784,50,3.28909461498438,Category,,,,,,Feature,,,,,,,,
68,Subject,,,10774,60,2.8519484206145043,Category,,,,,,Feature,,,,,,,,
69,Subject,,,10764,70,2.699872610945054,Category,,,,,,Feature,,,,,,,,
70,Subject,,,10833,1,0.15236255997774092,Category,,,,,,,Feature,,,,,,,
71,Subject,,,10829,5,0.749810745789787,Category,,,,,,,Feature,,,,,,,
72,Subject,,,10824,10,1.4691781232581484,Category,,,,,,,Feature,,,,,,,
73,Subject,,,10819,15,2.1502257470985993,Category,,,,,,,Feature,,,,,,,
74,Subject,,,10814,20,2.7928448152295755,Category,,,,,,,Feature,,,,,,,
75,Subject,,,10804,30,3.975211765299456,Category,,,,,,,Feature,,,,,,,
76,Subject,,,10794,40,3.6671284939304147,Category,,,,,,,Feature,,,,,,,
77,Subject,,,10784,50,3.247027663955797,Category,,,,,,,Feature,,,,,,,
78,Subject,,,10774,60,2.8775425647697213,Category,,,,,,,Feature,,,,,,,
79,Subject,,,10764,70,2.7606265255598395,Category,,,,,,,Feature,,,,,,,
80,Subject,,,10833,1,0.16186671900422114,Category,,,,,,,,Feature,,,,,,
81,Subject,,,10829,5,0.7961395736203198,Category,,,,,,,,Feature,,,,,,
82,Subject,,,10824,10,1.567486662403737,Category,,,,,,,,Feature,,,,,,
83,Subject,,,10819,15,2.303296758183021,Category,,,,,,,,Feature,,,,,,
84,Subject,,,10814,20,2.985099528268008,Category,,,,,,,,Feature,,,,,,
85,Subject,,,10804,30,4.217455257014636,Category,,,,,,,,Feature,,,,,,
86,Subject,,,10794,40,3.7972437748319754,Category,,,,,,,,Feature,,,,,,
87,Subject,,,10784,50,3.3087091665116946,Category,,,,,,,,Feature,,,,,,
88,Subject,,,10774,60,2.9692656702334155,Category,,,,,,,,Feature,,,,,,
89,Subject,,,10764,70,2.830335296350058,Category,,,,,,,,Feature,,,,,,
90,Subject,,,10833,1,0.09844697298394026,Category,,,,,,,,,Feature,,,,,
91,Subject,,,10829,5,0.48770881192780674,Category,,,,,,,,,Feature,,,,,
92,Subject,,,10824,10,0.9638609036412575,Category,,,,,,,,,Feature,,,,,
93,Subject,,,10819,15,1.4273559245928493,Category,,,,,,,,,Feature,,,,,
94,Subject,,,10814,20,1.876465259362414,Category,,,,,,,,,Feature,,,,,
95,Subject,,,10804,30,2.724682181432121,Category,,,,,,,,,Feature,,,,,
96,Subject,,,10794,40,2.771532133837769,Category,,,,,,,,,Feature,,,,,
97,Subject,,,10784,50,2.6270798706947702,Category,,,,,,,,,Feature,,,,,
98,Subject,,,10774,60,2.533827832469637,Category,,,,,,,,,Feature,,,,,
99,Subject,,,10764,70,2.496244446006305,Category,,,,,,,,,Feature,,,,,
100,Subject,,,10833,1,0.207648678580609,Category,,,,,,,,,,Feature,,,,
101,Subject,,,10829,5,1.0239062778749797,Category,,,,,,,,,,Feature,,,,
102,Subject,,,10824,10,2.0201584920635716,Category,,,,,,,,,,Feature,,,,
103,Subject,,,10819,15,2.955063230645452,Category,,,,,,,,,,Feature,,,,
104,Subject,,,10814,20,3.810150425258974,Category,,,,,,,,,,Feature,,,,
