,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,driver,fellow,his own,justice,wallace,watson
0,Subject,Category,Feature,24832,1,0.04932589627903792,,,,,,,,,,,,,,,,,,,,
1,Subject,Category,Feature,24828,5,0.24116600628520052,,,,,,,,,,,,,,,,,,,,
2,Subject,Category,Feature,24823,10,0.4794653754249795,,,,,,,,,,,,,,,,,,,,
3,Subject,Category,Feature,24818,15,0.7154409410920085,,,,,,,,,,,,,,,,,,,,
4,Subject,Category,Feature,24813,20,0.9498380810297851,,,,,,,,,,,,,,,,,,,,
5,Subject,Category,Feature,24803,30,1.4143688002881234,,,,,,,,,,,,,,,,,,,,
6,Subject,Category,Feature,24793,40,1.6400810368911254,,,,,,,,,,,,,,,,,,,,
7,Subject,Category,Feature,24783,50,1.7345552319136728,,,,,,,,,,,,,,,,,,,,
8,Subject,Category,Feature,24773,60,1.779961467621458,,,,,,,,,,,,,,,,,,,,
9,Subject,Category,Feature,24763,70,1.7951980600749649,,,,,,,,,,,,,,,,,,,,
10,Subject,,,27696,1,0.09254595565764007,Category,Feature,,,,,,,,,,,,,,,,,,
11,Subject,,,27692,5,0.45591691586792893,Category,Feature,,,,,,,,,,,,,,,,,,
12,Subject,,,27687,10,0.9006583180208247,Category,Feature,,,,,,,,,,,,,,,,,,
13,Subject,,,27682,15,1.3345913841198782,Category,Feature,,,,,,,,,,,,,,,,,,
14,Subject,,,27677,20,1.7588683132500338,Category,Feature,,,,,,,,,,,,,,,,,,
15,Subject,,,27667,30,2.5678987355540754,Category,Feature,,,,,,,,,,,,,,,,,,
16,Subject,,,27657,40,2.6667329909943365,Category,Feature,,,,,,,,,,,,,,,,,,
17,Subject,,,27647,50,2.5641161128399,Category,Feature,,,,,,,,,,,,,,,,,,
18,Subject,,,27637,60,2.4371750021160206,Category,Feature,,,,,,,,,,,,,,,,,,
19,Subject,,,27627,70,2.3837803574566196,Category,Feature,,,,,,,,,,,,,,,,,,
20,Subject,,,27696,1,0.14689573673029235,Category,,Feature,,,,,,,,,,,,,,,,,
21,Subject,,,27692,5,0.7297338299408666,Category,,Feature,,,,,,,,,,,,,,,,,
22,Subject,,,27687,10,1.4495852484254668,Category,,Feature,,,,,,,,,,,,,,,,,
23,Subject,,,27682,15,2.154645454331609,Category,,Feature,,,,,,,,,,,,,,,,,
