,NARRATOR,Other,Unknown,n,k,be,Response,Anger,Anticipation,Arousal,Disgust,Dominance,Fear,Joy,Sadness,Surprise,Trust,Valence,Stimulus,READER,colonel brandon,edward,elinor,lucy,mrs. dashwood,mrs. jennings,sir john
0,Subject,Category,Feature,64605,1,0.03533774637830549,,,,,,,,,,,,,,,,,,,,,
1,Subject,Category,Feature,64601,5,0.17231247906976224,,,,,,,,,,,,,,,,,,,,,
2,Subject,Category,Feature,64596,10,0.338365254801151,,,,,,,,,,,,,,,,,,,,,
3,Subject,Category,Feature,64591,15,0.4997525157966387,,,,,,,,,,,,,,,,,,,,,
4,Subject,Category,Feature,64586,20,0.6545238502524687,,,,,,,,,,,,,,,,,,,,,
5,Subject,Category,Feature,64576,30,0.9524148822251717,,,,,,,,,,,,,,,,,,,,,
6,Subject,Category,Feature,64566,40,1.045737869143225,,,,,,,,,,,,,,,,,,,,,
7,Subject,Category,Feature,64556,50,1.0879081422252548,,,,,,,,,,,,,,,,,,,,,
8,Subject,Category,Feature,64546,60,1.1275472966177442,,,,,,,,,,,,,,,,,,,,,
9,Subject,Category,Feature,64536,70,1.142254121789776,,,,,,,,,,,,,,,,,,,,,
10,Subject,,,21578,1,0.021577414683296464,Category,Feature,,,,,,,,,,,,,,,,,,,
11,Subject,,,21574,5,0.10493147847133551,Category,Feature,,,,,,,,,,,,,,,,,,,
12,Subject,,,21569,10,0.20339416206627703,Category,Feature,,,,,,,,,,,,,,,,,,,
13,Subject,,,21564,15,0.29791752769995533,Category,Feature,,,,,,,,,,,,,,,,,,,
14,Subject,,,21559,20,0.3900843296576471,Category,Feature,,,,,,,,,,,,,,,,,,,
15,Subject,,,21549,30,0.5704295982898792,Category,Feature,,,,,,,,,,,,,,,,,,,
16,Subject,,,21539,40,0.6499188498371342,Category,Feature,,,,,,,,,,,,,,,,,,,
17,Subject,,,21529,50,0.6884328761589914,Category,Feature,,,,,,,,,,,,,,,,,,,
18,Subject,,,21519,60,0.7140080307550247,Category,Feature,,,,,,,,,,,,,,,,,,,
19,Subject,,,21509,70,0.7241830183958379,Category,Feature,,,,,,,,,,,,,,,,,,,
20,Subject,,,21578,1,0.04756565646762243,Category,,Feature,,,,,,,,,,,,,,,,,,
21,Subject,,,21574,5,0.2337848791345578,Category,,Feature,,,,,,,,,,,,,,,,,,
22,Subject,,,21569,10,0.45477523746733794,Category,,Feature,,,,,,,,,,,,,,,,,,
23,Subject,,,21564,15,0.6665970814633652,Category,,Feature,,,,,,,,,,,,,,,,,,
24,Subject,,,21559,20,0.8713242090623197,Category,,Feature,,,,,,,,,,,,,,,,,,
