,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",23427,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",23427,1,2.303677627411048e-05,0.61,0.5829466996994327
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",23427,1,0.00016494955925673043,0.06,0.02098162183484864
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",23427,1,0.00011468995687220322,0.2,0.06810348246006659
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",23427,1,3.7194932197281176e-05,0.47,0.41839534933324696
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",23427,1,0.00035796271680410004,0.0,0.00022812094620339174
6,6,"('Other', 'Unknown')","('Response', 'Fear')",23427,1,4.4566135703700006e-05,0.33,0.35204147099575334
7,7,"('Other', 'Unknown')","('Response', 'Joy')",23427,1,0.0002817480932665845,0.01,0.0013600540561390373
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",23427,1,1.4511566278473913e-05,0.65,0.7118073702050617
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",23427,1,6.036748460707793e-06,0.95,0.8681273404967929
10,10,"('Other', 'Unknown')","('Response', 'Trust')",23427,1,9.037768664493119e-05,0.26,0.12036967009593358
11,11,"('Other', 'Unknown')","('Response', 'Valence')",23427,1,0.00026671575423588175,0.0,0.0019341578657525726
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",23427,1,0.0002981546786979719,0.0,0.0009260600253945261
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",23427,1,0.0001709136610571565,0.08,0.018245744140579223
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",23427,1,0.0012757908451887785,0.0,1.0480505352461478e-13
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",23427,1,0.00021507107233254545,0.04,0.006485055257309025
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",23427,1,0.001542141246066743,0.0,2.220446049250313e-16
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",23427,1,0.0002244402333183756,0.01,0.005207075497283498
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",23427,1,0.00031137878934055626,0.0,0.0006793599051324595
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",23427,1,0.0003288156992184164,0.0,0.00045154452696583025
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",23427,1,7.35613841661122e-05,0.44,0.1784853086778605
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",23427,1,0.00043792480830529045,0.0,3.504678904564518e-05
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",23427,1,0.0017632315928933777,0.0,0.0
23,23,"('Response', 'Anger')","('Other', 'Unknown')",23427,1,6.025806044730589e-05,0.39,0.2437516684904486
24,24,"('Response', 'Anger')","('Response', 'Anger')",23427,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",23427,1,0.0005161292173272703,0.0,5.6106552488444095e-06
26,26,"('Response', 'Anger')","('Response', 'Arousal')",23427,1,0.000110440302967147,0.22,0.07523230614341114
27,27,"('Response', 'Anger')","('Response', 'Disgust')",23427,1,0.00013553045269181077,0.03,0.04179676291152046
28,28,"('Response', 'Anger')","('Response', 'Dominance')",23427,1,0.0007933992909149727,0.0,8.474774548794528e-09
29,29,"('Response', 'Anger')","('Response', 'Fear')",23427,1,0.0002282564486273691,0.03,0.0047617712645985355
30,30,"('Response', 'Anger')","('Response', 'Joy')",23427,1,0.00020374381157568688,0.03,0.008455801290073728
31,31,"('Response', 'Anger')","('Response', 'Sadness')",23427,1,0.00015330695221473374,0.04,0.02756058345838519
32,32,"('Response', 'Anger')","('Response', 'Surprise')",23427,1,0.0005201111109853786,0.0,5.110962139065478e-06
33,33,"('Response', 'Anger')","('Response', 'Trust')",23427,1,0.0005072414418965643,0.0,6.909329087534388e-06
34,34,"('Response', 'Anger')","('Response', 'Valence')",23427,1,0.0011509217724317434,0.0,1.9533263895255004e-12
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",23427,1,0.00019896488647849682,0.06,0.009457460002537443
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",23427,1,0.0001382999055473912,0.05,0.03917119642484057
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",23427,1,0.0007017114043254927,0.0,7.260069390113699e-08
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",23427,1,8.953469698508336e-05,0.24,0.1227703414504645
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",23427,1,0.0006650923893324834,0.0,1.711964152661949e-07
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",23427,1,0.00016346012491826585,0.06,0.021726623385137422
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",23427,1,7.236739300391935e-05,0.33,0.18354809485807322
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",23427,1,0.0001244346768847544,0.11,0.05420366566097057
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",23427,1,0.00015641727104330033,0.01,0.02562386868284372
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",23427,1,0.00020518660185648346,0.04,0.008174781134544618
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",23427,1,0.0008326948714506375,0.0,3.3755416239955593e-09
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",23427,1,4.0097316718081034e-05,0.47,0.390893653690518
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",23427,1,0.0001127196272712615,0.17,0.07132060604645918
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",23427,1,0.0,1.0,1.0
