,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",30295,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",30295,1,9.66232474519693e-05,0.05,0.053551864845804764
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",30295,1,4.471427583206509e-05,0.52,0.25805713320205725
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",30295,1,6.688747972178158e-05,0.27,0.13182377177558058
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",30295,1,0.00010904843077883698,0.11,0.03675381820394896
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",30295,1,9.143266154620538e-05,0.12,0.06267071230279542
6,6,"('Other', 'Unknown')","('Response', 'Fear')",30295,1,1.5381790901235695e-05,0.87,0.627522360993296
7,7,"('Other', 'Unknown')","('Response', 'Joy')",30295,1,1.7787479663691505e-05,0.82,0.5834165178143813
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",30295,1,4.1601397357108775e-05,0.44,0.28357667564984657
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",30295,1,7.050241261025464e-05,0.14,0.11815002218079385
10,10,"('Other', 'Unknown')","('Response', 'Trust')",30295,1,3.067032660498505e-05,0.66,0.394898355844427
11,11,"('Other', 'Unknown')","('Response', 'Valence')",30295,1,2.788161856144445e-05,0.5,0.42970955470091565
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",30295,1,6.829746452777765e-06,0.83,0.8131006803437366
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",30295,1,0.00018137092769977362,0.02,0.00410951244620994
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",30295,1,9.935572153290173e-05,0.12,0.04929748427610681
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",30295,1,3.2570751822043224e-07,1.0,0.9901815354155254
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",30295,1,0.00012723869697443021,0.09,0.021182729275288414
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",30295,1,9.343714947346426e-06,0.82,0.7534757077781471
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",30295,1,0.00018018728125250937,0.03,0.004259542587621845
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",30295,1,2.4607617178088102e-05,0.67,0.4745144753838214
