,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",5842,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",5842,1,0.0001114319903551123,0.66,0.5215895747313668
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",5842,1,0.000895005749829962,0.01,0.0053656992023938255
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",5842,1,0.0009695843019106987,0.04,0.0034708980743393125
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",5842,1,7.794080292283902e-05,1.0,0.634287961398354
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",5842,1,0.0011801143923559597,0.02,0.001014815794965318
6,6,"('Other', 'Unknown')","('Response', 'Fear')",5842,1,0.0002895108271134162,0.24,0.1843290614501747
7,7,"('Other', 'Unknown')","('Response', 'Joy')",5842,1,0.00027070728824746867,0.48,0.20572781492087855
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",5842,1,0.00024494902745620463,0.44,0.23913016081557759
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",5842,1,0.00017999524191166755,0.44,0.3494648802657597
10,10,"('Other', 'Unknown')","('Response', 'Trust')",5842,1,0.00039679846563474785,0.3,0.09849989096366618
11,11,"('Other', 'Unknown')","('Response', 'Valence')",5842,1,0.0011700451981460991,0.02,0.0010762914362622
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",5842,1,0.00030346279400478505,0.32,0.1699032401126347
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",5842,1,0.00038261557825282333,0.18,0.10700736741179484
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",5842,1,0.0019398142655204225,0.0,1.2001785532067544e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",5842,1,0.00038216332519234243,0.17,0.10729041284037699
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",5842,1,0.0027004432188536894,0.0,1.4117171631689018e-07
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",5842,1,0.0009576250380945999,0.02,0.003722023349115422
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",5842,1,0.0004892626208021884,0.22,0.057395867782175425
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",5842,1,0.0005249014335951784,0.05,0.046609575616392895
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",5842,1,0.0003933609603389099,0.13,0.10049760633392124
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",5842,1,0.00039305505287160207,0.3,0.10067733653495725
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",5842,1,0.0025782999271437173,0.0,2.881312087810173e-07
23,23,"('Response', 'Anger')","('Other', 'Unknown')",5842,1,0.0002068189026879932,0.19,0.2987855429484787
24,24,"('Response', 'Anger')","('Response', 'Anger')",5842,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",5842,1,0.00017689000794544361,0.05,0.35586119124124826
26,26,"('Response', 'Anger')","('Response', 'Arousal')",5842,1,1.7346215540938345e-05,1.0,0.9036445028660514
