,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",12051,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",12051,1,2.581836043367734e-05,0.63,0.732632370947703
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",12051,1,1.7750842315645965e-05,0.89,0.8074310214366207
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",12051,1,9.814714730552834e-05,0.53,0.306458440980804
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",12051,1,1.2925749317369735e-05,0.84,0.8557685890580151
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",12051,1,6.573586043402413e-05,0.58,0.45288496858448735
6,6,"('Other', 'Unknown')","('Response', 'Fear')",12051,1,1.0793414207705043e-05,0.95,0.8780421837719188
7,7,"('Other', 'Unknown')","('Response', 'Joy')",12051,1,3.0186192571480743e-05,0.56,0.6950693734491724
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",12051,1,1.446556858538998e-05,0.95,0.8400363607672408
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",12051,1,7.725082965797274e-05,0.51,0.39420961342726624
10,10,"('Other', 'Unknown')","('Response', 'Trust')",12051,1,2.1612505042334958e-05,0.83,0.7707195763662307
11,11,"('Other', 'Unknown')","('Response', 'Valence')",12051,1,0.00010200872407565748,0.52,0.29252500607441123
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",12051,1,0.0012702603270437365,0.0,2.2511894259835685e-07
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",12051,1,0.0005372141839608959,0.01,0.0015439195761394187
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",12051,1,0.002122516437128805,0.0,7.804534796207463e-12
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",12051,1,0.00047055554578342,0.01,0.003447195328952102
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",12051,1,0.0031493416305741675,0.0,0.0
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",12051,1,0.0017588077466296308,0.0,6.247725670149862e-10
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",12051,1,0.00028365557432234067,0.1,0.032776297219142214
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",12051,1,0.0009843755414486676,0.0,7.055343574147166e-06
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",12051,1,0.00031043808506077235,0.06,0.023735607671166892
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",12051,1,0.0005852890440351862,0.02,0.0008650415819027035
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",12051,1,0.003484142686473856,0.0,0.0
23,23,"('Response', 'Anger')","('Other', 'Unknown')",12051,1,0.000191576521599126,0.19,0.09941054491627666
24,24,"('Response', 'Anger')","('Response', 'Anger')",12051,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",12051,1,0.0009265606465233466,0.0,1.4160476903946062e-05
26,26,"('Response', 'Anger')","('Response', 'Arousal')",12051,1,0.00034444552341411687,0.01,0.01575545606080031
27,27,"('Response', 'Anger')","('Response', 'Disgust')",12051,1,0.0014787085768405278,0.0,1.8262092948972963e-08
28,28,"('Response', 'Anger')","('Response', 'Dominance')",12051,1,0.0009101673495689872,0.0,1.7253137235329064e-05
29,29,"('Response', 'Anger')","('Response', 'Fear')",12051,1,0.0007608131506020431,0.0,0.0001043459783958145
30,30,"('Response', 'Anger')","('Response', 'Joy')",12051,1,0.0003495068569676532,0.0,0.014823261242708718
31,31,"('Response', 'Anger')","('Response', 'Sadness')",12051,1,0.0006932974776695783,0.01,0.00023539758886181872
32,32,"('Response', 'Anger')","('Response', 'Surprise')",12051,1,0.0004575117229357747,0.0,0.004033921652711436
33,33,"('Response', 'Anger')","('Response', 'Trust')",12051,1,0.0008783466248328373,0.0,2.5315927135949323e-05
34,34,"('Response', 'Anger')","('Response', 'Valence')",12051,1,0.0015065890122148572,0.0,1.3051045466561106e-08
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",12051,1,0.00010358871918358597,0.32,0.2870083222769678
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",12051,1,4.8144798141331094e-05,0.74,0.55981728929686
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",12051,1,0.000565105936078289,0.0,0.001103215115865086
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",12051,1,2.8395662734758187e-05,0.51,0.7102290637678936
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",12051,1,0.0009674359460906957,0.0,8.653011473458427e-06
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",12051,1,0.00010491789439963443,0.45,0.28244805327523825
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",12051,1,8.769939102557978e-05,0.4,0.3475740087412508
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",12051,1,7.530179399642428e-05,0.56,0.4035775495049878
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",12051,1,4.3941096114257e-05,0.44,0.5889051121775898
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",12051,1,0.00019134724902713065,0.16,0.09968556959278785
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",12051,1,0.001131732622528146,0.0,1.1949835940772147e-06
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",12051,1,0.0002915190356843508,0.08,0.029813189581151422
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",12051,1,0.0002583326703285719,0.0,0.04447141403508159
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",12051,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",12051,1,0.0004124660039092181,0.0,0.0069416530088902695
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",12051,1,0.0014757973673207,0.0,1.8914097843492073e-08
