,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",28435,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",28435,1,2.50700537985102e-06,0.96,0.931197216679281
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",28435,1,7.524212051011499e-06,0.9,0.8073940455316011
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",28435,1,2.009231443774043e-05,0.84,0.564787983488438
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",28435,1,2.50700537985102e-06,0.96,0.931197216679281
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",28435,1,3.585619281973502e-05,0.76,0.36076266063223017
6,6,"('Other', 'Unknown')","('Response', 'Fear')",28435,1,4.387958327992515e-06,0.97,0.8827023655136591
7,7,"('Other', 'Unknown')","('Response', 'Joy')",28435,1,5.0150758288071034e-06,0.93,0.8671019964850659
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",28435,1,4.387958327992515e-06,0.88,0.8827023655136591
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",28435,1,3.1339231144884953e-06,0.97,0.9147449736870892
10,10,"('Other', 'Unknown')","('Response', 'Trust')",28435,1,7.5244784911315575e-06,1.0,0.8073879287710912
11,11,"('Other', 'Unknown')","('Response', 'Valence')",28435,1,3.713013429235932e-05,0.78,0.3479285144802916
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",28435,1,8.759415069431845e-05,0.15,0.08285592019755617
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",28435,1,5.698230650265756e-05,0.26,0.19785221752593862
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",28435,1,0.00034835775832642616,0.0,4.9914226269653916e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",28435,1,4.2259558465419745e-05,0.54,0.30071019497990215
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",28435,1,0.0007172185778831123,0.0,1.3907911489141611e-09
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",28435,1,2.1700186696577603e-05,0.67,0.539548225769308
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",28435,1,1.9564736909612044e-05,0.68,0.5733243140423845
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",28435,1,3.520848415467178e-05,0.55,0.36746836765062196
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",28435,1,0.0001665588946015487,0.03,0.00877423573543279
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",28435,1,4.079202363946514e-05,0.45,0.31352367602041575
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",28435,1,0.0009441463842422923,0.0,2.1928014959371467e-12
23,23,"('Response', 'Anger')","('Other', 'Unknown')",28435,1,2.0994000433947415e-06,1.0,0.9420524365441075
24,24,"('Response', 'Anger')","('Response', 'Anger')",28435,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",28435,1,8.571275374380528e-08,1.0,0.9975658110145985
26,26,"('Response', 'Anger')","('Response', 'Arousal')",28435,1,5.7156555484019666e-06,0.0,0.8499999826893365
27,27,"('Response', 'Anger')","('Response', 'Disgust')",28435,1,0.0,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",28435,1,3.640118545760623e-05,0.02,0.3552152599196017
29,29,"('Response', 'Anger')","('Response', 'Fear')",28435,1,2.499207666701076e-08,1.0,0.9992896277259892
30,30,"('Response', 'Anger')","('Response', 'Joy')",28435,1,4.284657490725851e-08,1.0,0.9987824423146503
31,31,"('Response', 'Anger')","('Response', 'Sadness')",28435,1,1.249581848061029e-08,1.0,0.9996447570110605
32,32,"('Response', 'Anger')","('Response', 'Surprise')",28435,1,3.5700454482174837e-08,1.0,0.9989854083237927
33,33,"('Response', 'Anger')","('Response', 'Trust')",28435,1,4.297391257984984e-06,0.0,0.8849784159492347
34,34,"('Response', 'Anger')","('Response', 'Valence')",28435,1,4.532819514387565e-06,0.02,0.8790740072019902
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",28435,1,8.559824519233644e-06,1.0,0.7839656680211765
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",28435,1,1.5096764383627562e-05,1.0,0.6509897392073298
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",28435,1,5.453414820732022e-05,0.57,0.21211557874115639
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",28435,1,6.101176530573879e-06,1.0,0.8407332481318537
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",28435,1,9.666140197773382e-05,0.22,0.064025726243642
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",28435,1,1.0822310544653543e-05,1.0,0.7351199630696517
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",28435,1,1.1694680792272916e-05,1.0,0.7171096267349292
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",28435,1,1.1375556576705043e-05,1.0,0.7236462755252263
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",28435,1,9.070863557741877e-06,1.0,0.772656320226821
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",28435,1,1.6354906760664604e-05,1.0,0.6281128577714047
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",28435,1,0.00011662018001760326,0.33,0.036298524039003244
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",28435,1,6.299102084956463e-06,1.0,0.8360150458061137
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",28435,1,8.568862784867354e-08,1.0,0.9975664953406922
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",28435,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",28435,1,0.0005475339160532998,0.0,1.7324148149366891e-07
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",28435,1,8.568862784867354e-08,1.0,0.9975664953406922
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",28435,1,6.9008784911735565e-06,0.09,0.8218317578540753
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",28435,1,0.0002508786285007341,0.0,0.0007979353947195067
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",28435,1,1.1426758531628069e-07,1.0,0.9967561880423484
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",28435,1,1.499788454035007e-07,1.0,0.9957445815715944
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",28435,1,8.033308847818889e-08,1.0,0.9977184157413881
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",28435,1,1.412726555754883e-05,0.0,0.6691850375285722
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",28435,1,9.881763266019092e-07,1.0,0.9722932663557068
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",28435,1,2.5683329416439975e-05,0.7,0.4817741762960628
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",28435,1,4.757437957515414e-05,0.25,0.25853352346962766
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",28435,1,0.000170149966832959,0.06,0.007922534141856286
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",28435,1,1.8306227710659533e-05,1.0,0.5942119062405989
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",28435,1,0.0002962475604484619,0.01,0.00021964386169215366
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",28435,1,3.247189117800228e-05,0.68,0.3972038103800417
