,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",10833,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",10833,1,0.0001733263629227566,0.3,0.15297646955439514
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",10833,1,4.5818216422929654e-05,0.8,0.6087772021706048
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",10833,1,0.0002699770594571103,0.14,0.053697356383352046
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",10833,1,3.5849013839922726e-05,0.78,0.67819764758366
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",10833,1,0.0005670090697496423,0.03,0.002150957378719509
6,6,"('Other', 'Unknown')","('Response', 'Fear')",10833,1,0.0006839115515616185,0.02,0.0006063034670583667
7,7,"('Other', 'Unknown')","('Response', 'Joy')",10833,1,7.38717907844567e-05,0.64,0.4492484346096265
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",10833,1,5.5386618098446965e-05,0.72,0.5488402588806361
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",10833,1,1.3469868977057257e-05,0.91,0.8642392655811932
10,10,"('Other', 'Unknown')","('Response', 'Trust')",10833,1,9.669225322781204e-05,0.56,0.3508591258395175
11,11,"('Other', 'Unknown')","('Response', 'Valence')",10833,1,0.0005812137352799974,0.02,0.0018442046461105699
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",10833,1,0.00022010437119183616,0.15,0.09216539458538742
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",10833,1,0.0004399043390627897,0.03,0.008522514941865289
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",10833,1,0.0004092758472257012,0.05,0.01187552194043262
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",10833,1,7.164387315510817e-05,0.64,0.46022193704408965
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",10833,1,0.0005577186069361894,0.01,0.0023786838455538417
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",10833,1,8.431540051345704e-05,0.7,0.40119631079543727
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",10833,1,0.00013173100138344244,0.49,0.24004948077715005
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",10833,1,4.315636366175625e-05,0.85,0.6265856944340904
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",10833,1,4.036814373564344e-05,0.85,0.645798506727087
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",10833,1,8.035559654180479e-05,0.5,0.41877905141292193
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",10833,1,0.00037700680437879316,0.08,0.016844388488623574
23,23,"('Response', 'Anger')","('Other', 'Unknown')",10833,1,0.00017344712360092317,0.31,0.15277649496507129
24,24,"('Response', 'Anger')","('Response', 'Anger')",10833,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",10833,1,0.0003199026383719468,0.09,0.03126720861002885
26,26,"('Response', 'Anger')","('Response', 'Arousal')",10833,1,0.00033008931788646047,0.08,0.028000651776488028
27,27,"('Response', 'Anger')","('Response', 'Disgust')",10833,1,0.0007964231259270783,0.0,0.00017922737621367535
28,28,"('Response', 'Anger')","('Response', 'Dominance')",10833,1,0.0007357675000386921,0.0,0.0003457365253479727
29,29,"('Response', 'Anger')","('Response', 'Fear')",10833,1,0.00040829078490634777,0.02,0.012002914518939867
30,30,"('Response', 'Anger')","('Response', 'Joy')",10833,1,0.00018840553213921973,0.22,0.12992359603226744
31,31,"('Response', 'Anger')","('Response', 'Sadness')",10833,1,0.0005050874008507705,0.03,0.004206574055907075
32,32,"('Response', 'Anger')","('Response', 'Surprise')",10833,1,0.00016727760695990133,0.17,0.16333515254293207
33,33,"('Response', 'Anger')","('Response', 'Trust')",10833,1,0.0010134011035867565,0.0,1.70875444593932e-05
34,34,"('Response', 'Anger')","('Response', 'Valence')",10833,1,0.0006229642512392651,0.0,0.0011732838298210702
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",10833,1,0.00020049241841131626,0.17,0.11397981858318273
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",10833,1,0.000747042643779427,0.0,0.0003059876190599775
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",10833,1,0.000808381760552269,0.01,0.00015745179180925994
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",10833,1,0.00016006107987771097,0.21,0.17661525423245517
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",10833,1,0.0009292272248721749,0.02,4.252623834033464e-05
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",10833,1,0.00027961663363414694,0.13,0.04837329491323206
