,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",12003,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",12003,1,6.0110914713303046e-05,0.65,0.4860463941668758
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",12003,1,0.0002358939348877289,0.08,0.05894213927496739
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",12003,1,0.0005013243758518797,0.04,0.002437225056045267
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",12003,1,0.0001617701533558322,0.46,0.1434791743813456
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",12003,1,0.0007218920961980175,0.01,0.00017266643629565426
6,6,"('Other', 'Unknown')","('Response', 'Fear')",12003,1,4.8734777124831484e-05,0.53,0.5571533320103526
7,7,"('Other', 'Unknown')","('Response', 'Joy')",12003,1,0.00016781528310900307,0.23,0.1334379066760787
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",12003,1,1.5153025198354793e-05,0.94,0.8337125432233358
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",12003,1,3.966769421082327e-05,0.69,0.621206536169902
10,10,"('Other', 'Unknown')","('Response', 'Trust')",12003,1,0.0005983631213460261,0.0,0.0007604849908211531
11,11,"('Other', 'Unknown')","('Response', 'Valence')",12003,1,0.000536544782163677,0.02,0.0015970286412074763
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",12003,1,8.134550403428137e-05,0.57,0.37669902994778015
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",12003,1,0.0005579075565149071,0.02,0.0012358373860432703
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",12003,1,0.00036476416460381274,0.06,0.012551695742911928
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",12003,1,0.0001046712540310701,0.41,0.28471562869872435
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",12003,1,0.0007024505710793605,0.0,0.00021804442008055425
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",12003,1,0.0002473804231327424,0.18,0.05135156641293803
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",12003,1,0.00022266801086343277,0.16,0.069081972906049
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",12003,1,1.491502392728116e-06,1.0,0.9822582596041095
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",12003,1,4.674363759439869e-05,0.77,0.5706283605488718
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",12003,1,0.0002432533669751161,0.18,0.05395920880150318
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",12003,1,0.0008501407586345824,0.0,3.704454742259333e-05
23,23,"('Response', 'Anger')","('Other', 'Unknown')",12003,1,7.224645896019708e-08,1.0,0.9991332738238654
24,24,"('Response', 'Anger')","('Response', 'Anger')",12003,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",12003,1,0.00035745947430939674,0.05,0.013701792563430404
26,26,"('Response', 'Anger')","('Response', 'Arousal')",12003,1,9.661647868285172e-05,0.47,0.31361443011989454
27,27,"('Response', 'Anger')","('Response', 'Disgust')",12003,1,0.00033798165139199254,0.02,0.017310261898599855
28,28,"('Response', 'Anger')","('Response', 'Dominance')",12003,1,0.00042616300748935047,0.03,0.006007128594588629
29,29,"('Response', 'Anger')","('Response', 'Fear')",12003,1,0.0009874899791859882,0.0,7.125328481571991e-06
30,30,"('Response', 'Anger')","('Response', 'Joy')",12003,1,0.000574277534821058,0.0,0.0010153935852598162
31,31,"('Response', 'Anger')","('Response', 'Sadness')",12003,1,0.00044233933487115905,0.0,0.004947085334571111
32,32,"('Response', 'Anger')","('Response', 'Surprise')",12003,1,1.4084930196748029e-05,0.92,0.8444689318496488
33,33,"('Response', 'Anger')","('Response', 'Trust')",12003,1,0.0012468476565137838,0.0,3.1690443558218817e-07
34,34,"('Response', 'Anger')","('Response', 'Valence')",12003,1,0.0007622625202717274,0.0,0.00010636066191094251
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",12003,1,3.671693616509968e-05,0.83,0.6436007697527427
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",12003,1,0.0005716477058178148,0.0,0.0010479538134128275
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",12003,1,0.0007020836380080467,0.0,0.00021900679015107727
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",12003,1,2.540974925732441e-05,0.99,0.737147102342687
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",12003,1,0.0014683263503252793,0.0,2.220712047584783e-08
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",12003,1,9.115752103374087e-05,0.57,0.33485001378882884
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",12003,1,0.00032135180114019704,0.04,0.02113416576895477
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",12003,1,0.00025580982676189675,0.07,0.04641050053142881
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",12003,1,0.00018553980630158317,0.2,0.10786781299709858
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",12003,1,0.00027100053101019114,0.1,0.03867552247720307
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",12003,1,0.0017924892121460657,0.0,4.537586972830354e-10
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",12003,1,0.00015925083929517264,0.38,0.147883781590318
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",12003,1,0.0005121252482926894,0.01,0.002140903741445932
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",12003,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",12003,1,0.0007901716583799431,0.0,7.608645915047063e-05
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",12003,1,0.00035834972505177203,0.04,0.013556171147830254
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",12003,1,0.00023157176341900815,0.19,0.06208044067968699
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",12003,1,0.00044111889136221136,0.02,0.005020082384645241
