,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",16492,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",16492,1,4.295852459829041e-05,0.43,0.49241716315786654
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",16492,1,3.739960343640266e-06,1.0,0.9401877533778604
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",16492,1,0.00027090725316799744,0.0,0.011475608317831565
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",16492,1,3.0046096044277884e-05,0.84,0.6092721872240188
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",16492,1,8.236959522767796e-05,0.41,0.25708281853244663
6,6,"('Other', 'Unknown')","('Response', 'Fear')",16492,1,6.5031874637518305e-06,1.0,0.89830640156215
7,7,"('Other', 'Unknown')","('Response', 'Joy')",16492,1,2.696137098757691e-09,1.0,0.9999555389915243
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",16492,1,5.797330424252476e-06,1.0,0.9088240426119367
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",16492,1,1.1968311268940928e-05,1.0,0.8208873241637955
10,10,"('Other', 'Unknown')","('Response', 'Trust')",16492,1,1.2172697087887118e-05,0.66,0.818125159241196
11,11,"('Other', 'Unknown')","('Response', 'Valence')",16492,1,7.299727888867044e-05,0.41,0.3000524080289978
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",16492,1,7.514200316778277e-05,0.38,0.2896254408066
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",16492,1,2.6396207406596457e-05,0.75,0.6470706097586538
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",16492,1,0.0002199555091158262,0.06,0.026588239079671894
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",16492,1,2.447977172902874e-05,0.68,0.6678471723127972
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",16492,1,0.0002400611120100707,0.08,0.01908509150567317
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",16492,1,3.994756719454977e-05,0.82,0.5174846942516473
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",16492,1,9.144383031694787e-05,0.5,0.22135219448522614
