,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",34377,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",34377,1,1.6520844485315953e-05,0.78,0.5667026441033218
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",34377,1,6.01484486640378e-05,0.23,0.12648101371671983
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",34377,1,0.0001509062864984452,0.04,0.005585649806698623
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",34377,1,8.97326137386499e-05,0.15,0.04574611861482636
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",34377,1,0.00012857571449700694,0.03,0.01203520996682439
6,6,"('Other', 'Unknown')","('Response', 'Fear')",34377,1,9.94363831895697e-05,0.09,0.032770547517435356
7,7,"('Other', 'Unknown')","('Response', 'Joy')",34377,1,1.1936598587833845e-05,0.73,0.6634296144481018
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",34377,1,0.00015169550856354398,0.05,0.005436146666959241
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",34377,1,4.371578100099778e-06,0.95,0.8604692760186917
10,10,"('Other', 'Unknown')","('Response', 'Trust')",34377,1,8.160633203295601e-06,0.97,0.7553833373494631
11,11,"('Other', 'Unknown')","('Response', 'Valence')",34377,1,0.00012256109194309266,0.06,0.014799526430906207
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",34377,1,4.776144852604099e-05,0.32,0.19362198445234058
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",34377,1,0.00026775874635653554,0.0,0.00010058829441705885
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",34377,1,0.000740362401113102,0.0,8.849143640077273e-12
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",34377,1,0.0002641716169243302,0.0,0.00011378913636050925
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",34377,1,0.001224733067765966,0.0,0.0
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",34377,1,0.00015036415504104562,0.03,0.005690721749171401
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",34377,1,4.3662610402052766e-05,0.37,0.2229192021930032
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",34377,1,0.00013344663966633356,0.04,0.010179680176806927
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",34377,1,0.00013516828111826627,0.05,0.009594696014115667
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",34377,1,0.00018530450914546823,0.02,0.001712111617269474
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",34377,1,0.0014045654348973596,0.0,0.0
23,23,"('Response', 'Anger')","('Other', 'Unknown')",34377,1,0.00016484849476068266,0.01,0.003458805931794373
24,24,"('Response', 'Anger')","('Response', 'Anger')",34377,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",34377,1,0.0004979164471273968,0.0,3.6851268814253046e-08
26,26,"('Response', 'Anger')","('Response', 'Arousal')",34377,1,0.00021829631976984365,0.01,0.0005507914641541545
27,27,"('Response', 'Anger')","('Response', 'Disgust')",34377,1,0.0003146423005295679,0.0,2.007282348870376e-05
28,28,"('Response', 'Anger')","('Response', 'Dominance')",34377,1,0.0008562930604603144,0.0,1.645350522494482e-13
29,29,"('Response', 'Anger')","('Response', 'Fear')",34377,1,0.0004435114201670928,0.0,2.391562866632668e-07
