,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",26534,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",26534,1,3.187736105341002e-05,0.42,0.4292129823784744
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",26534,1,1.2287937490411932e-05,0.67,0.7217793144758752
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",26534,1,3.649223712984613e-05,0.72,0.3797475733065365
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",26534,1,1.4695009496120501e-05,0.79,0.6771227641664023
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",26534,1,0.00011386838251239074,0.14,0.04873929023300305
6,6,"('Other', 'Unknown')","('Response', 'Fear')",26534,1,4.08940958673941e-05,0.32,0.33788724100589895
7,7,"('Other', 'Unknown')","('Response', 'Joy')",26534,1,1.1841472758687757e-05,0.63,0.7303803912108526
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",26534,1,3.000054666480257e-06,0.77,0.923485250785803
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",26534,1,2.1844620545788045e-06,0.72,0.9436873811740003
10,10,"('Other', 'Unknown')","('Response', 'Trust')",26534,1,1.1085649672320769e-05,0.62,0.7451754814596302
11,11,"('Other', 'Unknown')","('Response', 'Valence')",26534,1,6.148718629198064e-05,0.33,0.1956477336897282
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",26534,1,0.0001371696082092849,0.09,0.02626491621371352
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",26534,1,2.9368596771900292e-05,0.64,0.45875591858503073
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",26534,1,3.713990714047083e-05,0.56,0.3732775044639035
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",26534,1,0.000103386812342348,0.24,0.06436647912411708
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",26534,1,8.483237182161992e-05,0.21,0.10530890225918776
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",26534,1,0.00011233128829358302,0.14,0.050768150874986095
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",26534,1,5.0174641950531853e-05,0.42,0.26413794988350225
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",26534,1,8.912132286014493e-06,0.85,0.7894130329504688
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",26534,1,8.872420399803826e-05,0.21,0.0949771156133895
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",26534,1,3.738629456530178e-05,0.47,0.3708452001560104
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",26534,1,6.655570392025252e-05,0.26,0.17102894084091025
23,23,"('Response', 'Anger')","('Other', 'Unknown')",26534,1,2.540174660092372e-05,0.84,0.5096737098799722
24,24,"('Response', 'Anger')","('Response', 'Anger')",26534,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",26534,1,2.3404762407729012e-05,0.11,0.5374075353877499
26,26,"('Response', 'Anger')","('Response', 'Arousal')",26534,1,2.6801122817207213e-05,0.37,0.49109671662833665
27,27,"('Response', 'Anger')","('Response', 'Disgust')",26534,1,1.0344369594719288e-06,1.0,0.9729265227393021
28,28,"('Response', 'Anger')","('Response', 'Dominance')",26534,1,3.8101345403979005e-05,0.63,0.36387568383550595
29,29,"('Response', 'Anger')","('Response', 'Fear')",26534,1,0.00035788837290098,0.0,7.516294522014189e-05
30,30,"('Response', 'Anger')","('Response', 'Joy')",26534,1,0.00010455017663625205,0.0,0.062409995216055836
31,31,"('Response', 'Anger')","('Response', 'Sadness')",26534,1,3.9197728357571336e-05,0.05,0.3534429027435594
32,32,"('Response', 'Anger')","('Response', 'Surprise')",26534,1,0.00021471833691730845,0.0,0.003355610246558949
33,33,"('Response', 'Anger')","('Response', 'Trust')",26534,1,0.0002533201595397746,0.0,0.001204917965152208
34,34,"('Response', 'Anger')","('Response', 'Valence')",26534,1,5.6733588509281726e-05,0.48,0.22194796778745585
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",26534,1,2.4385883411211196e-06,0.99,0.9373457533304191
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",26534,1,5.0695736125867485e-05,0.52,0.2605110587621867
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",26534,1,6.223611721612646e-05,0.35,0.19179831570367267
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",26534,1,8.23718052308492e-05,0.19,0.1124135150390273
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",26534,1,6.839710270162749e-05,0.3,0.1628736835770651
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",26534,1,4.3216022645087155e-05,0.47,0.3176990497176947
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",26534,1,7.774562095843168e-06,0.88,0.8136032366364214
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",26534,1,1.6907191599080913e-05,0.83,0.638522404598979
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",26534,1,3.033580734649615e-06,1.0,0.9226641323633712
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",26534,1,1.0172865109124245e-05,0.84,0.7634431399838322
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",26534,1,8.717311952035284e-07,1.0,0.9771357959613234
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",26534,1,9.433105590599534e-05,0.17,0.08184845049686529
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",26534,1,8.266249656814941e-06,1.0,0.8030579488924117
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",26534,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",26534,1,0.0002329231002052303,0.02,0.0020701201751843756
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",26534,1,3.958934810763846e-06,1.0,0.9002863340302194
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",26534,1,0.0001909035185347653,0.03,0.006312376447263568
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",26534,1,4.890478495701313e-05,0.0,0.27318920663337143
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",26534,1,5.5263977636726e-05,0.05,0.23077337315060342
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",26534,1,4.288164084207129e-05,0.01,0.3205302650127565
