,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",46777,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",46777,1,3.46475438606035e-05,0.22,0.19776545688461056
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",46777,1,7.236526849606384e-07,1.0,0.9667169092001305
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",46777,1,5.64406135175488e-05,0.2,0.07135655002817176
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",46777,1,1.435155466814926e-05,0.39,0.5110395363837716
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",46777,1,4.402731277063647e-05,0.3,0.12752771286994724
6,6,"('Other', 'Unknown')","('Response', 'Fear')",46777,1,3.6901845599614314e-05,0.19,0.17797347978402345
7,7,"('Other', 'Unknown')","('Response', 'Joy')",46777,1,3.59654318821265e-07,1.0,0.9833175292278807
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",46777,1,3.0388254955364086e-05,0.45,0.2413659545065242
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",46777,1,2.661739558047983e-06,0.98,0.8829333791133905
10,10,"('Other', 'Unknown')","('Response', 'Trust')",46777,1,7.0647075175776895e-06,0.66,0.7185939964529973
11,11,"('Other', 'Unknown')","('Response', 'Valence')",46777,1,5.425085328593235e-05,0.18,0.07905290925352093
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",46777,1,2.3547355194186685e-05,0.45,0.3323884092271373
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",46777,1,5.0294634072779196e-05,0.15,0.09512325536756228
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",46777,1,8.098962999626991e-05,0.05,0.022632441606169396
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",46777,1,3.774298904464921e-05,0.3,0.17110702252124643
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",46777,1,0.0004928257677169614,0.0,9.737821660138479e-11
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",46777,1,1.3450205809544598e-05,0.63,0.5330463878726849
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",46777,1,1.299187633117954e-06,0.98,0.9410389004925419
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",46777,1,3.239081153069195e-05,0.37,0.2197834358044558
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",46777,1,4.4935860774306355e-05,0.3,0.12222155904049192
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",46777,1,3.358734478075551e-05,0.25,0.20782027413409165
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",46777,1,0.0007078465677067215,0.0,4.218847493575595e-15
23,23,"('Response', 'Anger')","('Other', 'Unknown')",46777,1,4.650049544988692e-05,0.13,0.1135959783507301
24,24,"('Response', 'Anger')","('Response', 'Anger')",46777,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",46777,1,0.00010230924318893985,0.0,0.008348969512550264
26,26,"('Response', 'Anger')","('Response', 'Arousal')",46777,1,7.480625300073435e-05,0.05,0.030223446236732898
27,27,"('Response', 'Anger')","('Response', 'Disgust')",46777,1,6.694372205457028e-07,1.0,0.969171597633659
28,28,"('Response', 'Anger')","('Response', 'Dominance')",46777,1,0.0001282741578630649,0.0,0.0024783754146391335
29,29,"('Response', 'Anger')","('Response', 'Fear')",46777,1,2.0493919115943705e-05,0.05,0.383420277719968
30,30,"('Response', 'Anger')","('Response', 'Joy')",46777,1,0.0001161951713606584,0.0,0.004360601224649208
31,31,"('Response', 'Anger')","('Response', 'Sadness')",46777,1,2.6566799192858525e-05,0.07,0.28860722478658773
32,32,"('Response', 'Anger')","('Response', 'Surprise')",46777,1,4.815866210535102e-05,0.03,0.1051182282810268
33,33,"('Response', 'Anger')","('Response', 'Trust')",46777,1,0.00017873685835460387,0.0,0.00023390505182185883
34,34,"('Response', 'Anger')","('Response', 'Valence')",46777,1,0.0002642720101139439,0.0,4.279871615997521e-06
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",46777,1,1.3837500672665007e-06,0.97,0.9373239802679753
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",46777,1,3.4473142412316864e-05,0.36,0.1993853869034764
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",46777,1,9.82521608983994e-05,0.02,0.01009370740825688
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",46777,1,6.235511879013537e-06,0.54,0.7470132893950572
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",46777,1,7.493606353086351e-05,0.12,0.030040484980685456
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",46777,1,7.277264963917687e-05,0.1,0.033239596118928016
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",46777,1,1.3936064711874729e-05,0.68,0.5210687110231558
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",46777,1,3.374867442480372e-05,0.26,0.2062578910434505
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",46777,1,8.64577142526877e-05,0.06,0.017524663596444112
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",46777,1,3.52618798229388e-05,0.4,0.19216331095544703
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",46777,1,0.000120096279378806,0.01,0.0036332650788725163
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",46777,1,7.868642828923267e-06,0.92,0.6920731388527599
