,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",35765,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",35765,1,2.985019663449429e-06,0.95,0.89874472139007
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",35765,1,7.641176564587675e-06,0.75,0.7608804429480137
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",35765,1,3.41299387052693e-05,0.44,0.2950462580886034
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",35765,1,6.467667877531874e-07,1.0,0.9771345026302527
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",35765,1,9.707456523310819e-05,0.11,0.03106185465619249
6,6,"('Other', 'Unknown')","('Response', 'Fear')",35765,1,9.375744255324974e-06,0.56,0.7151134213947329
7,7,"('Other', 'Unknown')","('Response', 'Joy')",35765,1,1.1660982827591694e-05,0.76,0.6589923257482541
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",35765,1,7.503837853037823e-06,0.78,0.7646269149624048
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",35765,1,7.784471130596553e-06,0.73,0.7569910674754369
10,10,"('Other', 'Unknown')","('Response', 'Trust')",35765,1,1.6148145812227146e-05,0.71,0.5612873541687972
11,11,"('Other', 'Unknown')","('Response', 'Valence')",35765,1,4.8771647702046685e-05,0.24,0.1747726647014306
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",35765,1,0.00027750036140584576,0.0,4.89592163741559e-05
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",35765,1,2.253301551340073e-05,0.6,0.44669878667635865
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",35765,1,0.00012642610420123487,0.04,0.010872667686115722
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",35765,1,9.479430379442748e-05,0.09,0.03370114449569506
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",35765,1,2.6386408269519698e-05,0.5,0.3891916024464227
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",35765,1,0.00015325996044738755,0.04,0.004164374372041868
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",35765,1,1.1854341698229368e-05,0.81,0.6544509255558691
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",35765,1,0.00030999727671374627,0.0,1.5314007823619136e-05
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",35765,1,1.0522347257957948e-05,0.71,0.6863818130260335
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",35765,1,6.291052390547562e-05,0.21,0.10540639438186805
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",35765,1,8.729714389052128e-06,0.84,0.7318281902012186
23,23,"('Response', 'Anger')","('Other', 'Unknown')",35765,1,9.262804014053889e-06,0.88,0.7180077452336324
24,24,"('Response', 'Anger')","('Response', 'Anger')",35765,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",35765,1,4.629855283722025e-05,0.1,0.19093514879976747
26,26,"('Response', 'Anger')","('Response', 'Arousal')",35765,1,0.0002844025235784602,0.0,3.824981427491547e-05
27,27,"('Response', 'Anger')","('Response', 'Disgust')",35765,1,9.742357187459235e-05,0.01,0.030676554153343583
28,28,"('Response', 'Anger')","('Response', 'Dominance')",35765,1,0.00035899294881763105,0.0,2.6551117293660553e-06
29,29,"('Response', 'Anger')","('Response', 'Fear')",35765,1,7.383479952889663e-06,1.0,0.7679253300680594
30,30,"('Response', 'Anger')","('Response', 'Joy')",35765,1,7.451874956738656e-05,0.05,0.06959319012028864
31,31,"('Response', 'Anger')","('Response', 'Sadness')",35765,1,3.278017506099488e-05,0.04,0.30963837927546967
32,32,"('Response', 'Anger')","('Response', 'Surprise')",35765,1,2.733783112076177e-05,0.01,0.37617147380258664
33,33,"('Response', 'Anger')","('Response', 'Trust')",35765,1,0.00011526166110815195,0.04,0.016208523261097785
34,34,"('Response', 'Anger')","('Response', 'Valence')",35765,1,0.0002685628663681607,0.01,6.739886683049257e-05
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",35765,1,5.355978410805533e-09,1.0,0.999808467132878
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",35765,1,2.308070339197925e-05,0.56,0.4380342058483786
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",35765,1,7.981614088687755e-05,0.11,0.0575820459182258
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",35765,1,1.771854140149081e-06,1.0,0.9385974509099629
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",35765,1,8.36404732683486e-05,0.08,0.05022120726732715
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",35765,1,1.672907760938345e-05,0.78,0.5497461066432074
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",35765,1,3.84429392057024e-05,0.36,0.2528716382367242
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",35765,1,4.644941149514434e-05,0.38,0.18990776867385195
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",35765,1,6.610571929861659e-05,0.18,0.09402402493101791
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",35765,1,9.89169507504733e-05,0.07,0.02908112831649301
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",35765,1,0.0001622477195367338,0.01,0.003019610463496969
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",35765,1,4.17651332674267e-05,0.42,0.224542961202582
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",35765,1,2.2153766042517407e-05,0.18,0.45279885140568976
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",35765,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",35765,1,0.0003966798740982261,0.0,6.898035311841966e-07
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",35765,1,3.011304231086724e-05,0.03,0.3406284976776649
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",35765,1,0.00018110036223176068,0.0,0.001538613866053029
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",35765,1,3.00374818561305e-05,0.1,0.3415502379585241
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",35765,1,3.288237992613884e-05,0.43,0.3085086381080575
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",35765,1,6.868670207416562e-05,0.03,0.08573353586196797
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",35765,1,4.009773377931037e-05,0.02,0.23834040575899484
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",35765,1,6.078845397337105e-06,0.83,0.8046049826426059
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",35765,1,8.078033223202016e-05,0.2,0.05563026997020604
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",35765,1,6.276137375316186e-05,0.21,0.10597015608198335
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",35765,1,4.836502244782161e-05,0.34,0.17733287501321449
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",35765,1,8.213599851090109e-05,0.14,0.05299743034066173
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",35765,1,3.434346579475389e-06,1.0,0.8844175634125183
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",35765,1,1.3140805535043589e-05,0.66,0.6250224129583859
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",35765,1,0.00018260181245870167,0.0,0.001458172673324043
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",35765,1,2.411937067791295e-05,0.54,0.4220611066567376
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",35765,1,8.073102506592294e-05,0.17,0.055728456130019755
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",35765,1,8.549086836432436e-05,0.09,0.04700527656741904
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",35765,1,3.2144263545851066e-05,0.48,0.3167610922493146
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",35765,1,4.966513736162366e-05,0.31,0.16927613330149704
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",35765,1,7.497291072737231e-05,0.24,0.06847194502721421
70,70,"('Response', 'Arousal')","('Response', 'Anger')",35765,1,0.0008108463129074254,0.0,2.545741395465484e-13
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",35765,1,0.0012312440152207514,0.0,0.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",35765,1,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",35765,1,0.0004224924509955791,0.0,2.740322553318464e-07
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",35765,1,0.0008977448002683762,0.0,1.1324274851176597e-14
75,75,"('Response', 'Arousal')","('Response', 'Fear')",35765,1,0.0010244494326185412,0.0,1.1102230246251565e-16
76,76,"('Response', 'Arousal')","('Response', 'Joy')",35765,1,0.0012811499541523182,0.0,0.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",35765,1,0.000998657129538995,0.0,3.3306690738754696e-16
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",35765,1,0.0008893806944110057,0.0,1.532107773982716e-14
79,79,"('Response', 'Arousal')","('Response', 'Trust')",35765,1,0.0016324045774795198,0.0,0.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",35765,1,0.0008623661647216029,0.0,4.030109579389318e-14
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",35765,1,9.833822642780445e-06,0.72,0.7034933656261979
