,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",26589,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",26589,1,7.623696199198499e-05,0.38,0.1317316545783812
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",26589,1,0.00013415966603742878,0.17,0.028239397527317966
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",26589,1,0.0004171181336707922,0.0,1.5259062974282145e-05
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",26589,1,6.611416648027595e-05,0.23,0.1724162860826438
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",26589,1,0.0001579033251055517,0.08,0.01502058616302826
6,6,"('Other', 'Unknown')","('Response', 'Fear')",26589,1,8.017070118130377e-05,0.19,0.1186498449354505
7,7,"('Other', 'Unknown')","('Response', 'Joy')",26589,1,0.00010039661730530459,0.27,0.06929758229496275
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",26589,1,8.548422401571357e-05,0.11,0.10301769100924574
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",26589,1,7.897879315972236e-05,0.32,0.12247012546056646
10,10,"('Other', 'Unknown')","('Response', 'Trust')",26589,1,0.00016801114765127445,0.08,0.011480786341937166
11,11,"('Other', 'Unknown')","('Response', 'Valence')",26589,1,0.00020700578708748895,0.04,0.004070986738247129
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",26589,1,0.000120333069796424,0.2,0.04078602993549363
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",26589,1,0.00018793938953847383,0.03,0.0067586474585038525
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",26589,1,0.0009661614958735017,0.0,6.977751709769109e-12
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",26589,1,0.00019067965252123553,0.06,0.006283735809567204
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",26589,1,0.0016532034752878475,0.0,0.0
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",26589,1,0.00017210864856382499,0.02,0.010295743227894505
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",26589,1,0.00019879867537644672,0.03,0.005063693197897456
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",26589,1,0.0002554693169095656,0.01,0.0011222516635244206
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",26589,1,0.00011322598113347996,0.15,0.04926938491958832
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",26589,1,0.0004261876104914759,0.0,1.1989537209045054e-05
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",26589,1,0.0021924957086209913,0.0,0.0
23,23,"('Response', 'Anger')","('Other', 'Unknown')",26589,1,5.6873896654127895e-05,0.64,0.22043262987210144
24,24,"('Response', 'Anger')","('Response', 'Anger')",26589,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",26589,1,0.0002992128088098588,0.0,0.0003507383126243324
26,26,"('Response', 'Anger')","('Response', 'Arousal')",26589,1,1.4389834634617093e-05,1.0,0.6820877775979843
27,27,"('Response', 'Anger')","('Response', 'Disgust')",26589,1,0.00015854265031792168,0.0,0.014767418367405138
28,28,"('Response', 'Anger')","('Response', 'Dominance')",26589,1,0.0005911591912635844,0.0,1.4923544988665327e-07
29,29,"('Response', 'Anger')","('Response', 'Fear')",26589,1,0.00015502700969680092,0.0,0.016214357986341188
30,30,"('Response', 'Anger')","('Response', 'Joy')",26589,1,0.0002874452146248372,0.0,0.0004795831032058384
31,31,"('Response', 'Anger')","('Response', 'Sadness')",26589,1,3.852705468836311e-05,0.06,0.35902712722269736
32,32,"('Response', 'Anger')","('Response', 'Surprise')",26589,1,0.00015433541516617446,0.01,0.016515267573261827
33,33,"('Response', 'Anger')","('Response', 'Trust')",26589,1,9.12096364647612e-05,0.0,0.08847088056060415
34,34,"('Response', 'Anger')","('Response', 'Valence')",26589,1,0.00031513113134747095,0.0,0.0002297068745650277
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",26589,1,7.591847767342878e-05,0.1,0.13285187617344907
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",26589,1,0.00012980100306506293,0.08,0.03170917938556195
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",26589,1,4.9287615748324884e-05,0.48,0.26969620300673025
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",26589,1,2.2892114906579223e-05,0.67,0.5440818678182167
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",26589,1,9.309695576618223e-05,0.18,0.08414095422945289
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",26589,1,5.711136066191695e-05,0.36,0.2190452702014939
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",26589,1,2.1311778509586925e-05,0.5,0.5674301805785524
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",26589,1,8.233485807637382e-05,0.27,0.11201536758327146
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",26589,1,1.4916324613407742e-05,0.57,0.6726062154275775
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",26589,1,0.0001385060914268738,0.04,0.025157481315508212
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",26589,1,7.679764440612926e-05,0.28,0.12978243992832894
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",26589,1,0.0001211164539196617,0.1,0.03994529935822566
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",26589,1,1.927338240434839e-05,0.08,0.5990317415514007
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",26589,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",26589,1,0.0003420613702553669,0.0,0.0001122560974724518
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",26589,1,8.770575660821049e-05,0.01,0.0971090547044724
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",26589,1,0.0001633603312875314,0.05,0.012991961118768991
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",26589,1,8.457172984093736e-05,0.01,0.10554760949657416
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",26589,1,1.832028725044568e-05,0.15,0.6144057137830302
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",26589,1,0.000307310020602945,0.0,0.0002828033359710824
