,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",9902,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",9902,1,3.000167618516338e-05,0.79,0.7430093903571602
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",9902,1,6.290228354395385e-05,0.38,0.5364427089058393
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",9902,1,3.0498953659600787e-05,0.85,0.7393601417179311
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",9902,1,5.725480350411094e-05,0.25,0.5672927415311015
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",9902,1,8.452489291929165e-05,0.6,0.4330591458575871
6,6,"('Other', 'Unknown')","('Response', 'Fear')",9902,1,5.4814468345420145e-05,0.72,0.5811664635178808
7,7,"('Other', 'Unknown')","('Response', 'Joy')",9902,1,6.820081521720132e-06,1.0,0.9347037665186849
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",9902,1,1.1181849991876956e-05,0.87,0.8951969788974296
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",9902,1,2.6992039400525653e-05,1.0,0.7654830686896783
10,10,"('Other', 'Unknown')","('Response', 'Trust')",9902,1,5.8610752152939415e-05,0.54,0.5597275916616677
11,11,"('Other', 'Unknown')","('Response', 'Valence')",9902,1,2.581531410884532e-05,0.87,0.7744536817414893
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",9902,1,0.000308222934554787,0.13,0.04727776043997889
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",9902,1,0.00011327192218683328,0.47,0.3257890146139679
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",9902,1,0.00023577510159072723,0.17,0.09686768722672212
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",9902,1,0.00011052778916659769,0.47,0.3347619353465461
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",9902,1,0.0001627776886242383,0.33,0.19955569771651527
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",9902,1,0.00020321509858844725,0.21,0.13371659370102718
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",9902,1,9.149911432268783e-05,0.48,0.40416473230120653
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",9902,1,4.132054083098321e-06,0.93,0.9599141098042409
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",9902,1,5.611519672368549e-05,0.73,0.5737298931953163
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",9902,1,0.00015059879766254956,0.38,0.2251296781076343
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",9902,1,0.0001604923838135593,0.32,0.20412247612295287
23,23,"('Response', 'Anger')","('Other', 'Unknown')",9902,1,0.00012763729654226722,0.46,0.28259602544736595
24,24,"('Response', 'Anger')","('Response', 'Anger')",9902,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",9902,1,4.547506187462439e-06,1.0,0.9559737172145445
26,26,"('Response', 'Anger')","('Response', 'Arousal')",9902,1,5.006052856627594e-05,1.0,0.6091752454333814
27,27,"('Response', 'Anger')","('Response', 'Disgust')",9902,1,3.187544675882421e-06,1.0,0.968932935171437
28,28,"('Response', 'Anger')","('Response', 'Dominance')",9902,1,0.0011067566322443606,0.0,1.7418156550985664e-05
29,29,"('Response', 'Anger')","('Response', 'Fear')",9902,1,0.0004616038355259948,0.0,0.010354443004948144
30,30,"('Response', 'Anger')","('Response', 'Joy')",9902,1,8.162899454162773e-06,1.0,0.9223589011068064
31,31,"('Response', 'Anger')","('Response', 'Sadness')",9902,1,8.745304569655755e-05,0.04,0.4206843010074821
32,32,"('Response', 'Anger')","('Response', 'Surprise')",9902,1,5.021755348363746e-06,1.0,0.9514954257145023
33,33,"('Response', 'Anger')","('Response', 'Trust')",9902,1,0.0002484945402508837,0.02,0.08540552856191685
34,34,"('Response', 'Anger')","('Response', 'Valence')",9902,1,0.0013042813071636472,0.0,2.464086956255329e-06
