,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",30944,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",30944,1,6.550753572236532e-05,0.23,0.13173016174915997
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",30944,1,3.77558862870748e-05,0.46,0.31090111070357374
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",30944,1,4.660337130920358e-05,0.39,0.236442999167095
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",30944,1,2.3827930571292873e-06,0.96,0.9289217578998694
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",30944,1,6.626276352757833e-05,0.16,0.12868744882874772
6,6,"('Other', 'Unknown')","('Response', 'Fear')",30944,1,7.623199749290519e-05,0.18,0.09452918100714902
7,7,"('Other', 'Unknown')","('Response', 'Joy')",30944,1,2.4417255755862316e-05,0.7,0.469755400199491
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",30944,1,2.4702208303264046e-06,1.0,0.9264121627952775
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",30944,1,1.42737789896217e-05,0.88,0.6429594996498863
10,10,"('Other', 'Unknown')","('Response', 'Trust')",30944,1,3.621932693595799e-05,0.53,0.3260401866176984
11,11,"('Other', 'Unknown')","('Response', 'Valence')",30944,1,0.0001017654904686138,0.17,0.042898021561021404
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",30944,1,3.949919573818768e-05,0.46,0.2945744184081881
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",30944,1,5.3569767280320885e-05,0.34,0.19059408745233464
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",30944,1,1.9223480079161055e-05,0.72,0.5516551566752721
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",30944,1,5.8334657363169635e-06,0.86,0.8348485646505708
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",30944,1,6.951747014012252e-05,0.25,0.11635853001121843
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",30944,1,6.929454953721837e-05,0.16,0.11716392617851223
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",30944,1,5.088471674791468e-05,0.39,0.20710574094331924
