,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",19010,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",19010,1,1.182503283423558e-05,0.83,0.7986902750183673
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",19010,1,6.376082173053945e-06,1.0,0.885854160765819
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",19010,1,3.525777201970839e-05,0.58,0.5115985782424578
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",19010,1,0.00012057562609073068,0.26,0.10106190022475747
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",19010,1,6.089878687782875e-05,0.46,0.3142315828974961
6,6,"('Other', 'Unknown')","('Response', 'Fear')",19010,1,6.261945947264009e-05,0.29,0.3041198824596152
7,7,"('Other', 'Unknown')","('Response', 'Joy')",19010,1,1.4809536841043656e-05,0.94,0.7546399840236228
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",19010,1,1.7902297296024115e-05,0.74,0.711553430072289
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",19010,1,3.49489065850986e-05,0.5,0.5146111226117097
10,10,"('Other', 'Unknown')","('Response', 'Trust')",19010,1,1.1872358151119675e-05,0.96,0.7979720907873392
11,11,"('Other', 'Unknown')","('Response', 'Valence')",19010,1,5.966236822062718e-05,0.5,0.3217044675533154
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",19010,1,1.488787545940898e-05,0.88,0.7535170566508872
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",19010,1,8.981727404229328e-06,0.9,0.8430460836465844
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",19010,1,3.2932865645638495e-07,1.0,0.9937593458483189
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",19010,1,6.252720606138133e-05,0.47,0.3046536686986815
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",19010,1,0.00014743716600759663,0.15,0.0606501549581383
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",19010,1,0.00018500094539814182,0.14,0.029697780367322513
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",19010,1,0.00012982812768312874,0.19,0.08476242980342075
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",19010,1,0.00010253300485491545,0.35,0.14240931194258
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",19010,1,0.00011637162347575835,0.26,0.10946962224321566
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",19010,1,3.64838356627492e-05,0.71,0.49981300919765315
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",19010,1,0.0002712179963817079,0.02,0.005767117481497386
23,23,"('Response', 'Anger')","('Other', 'Unknown')",19010,1,6.25605437771016e-05,0.45,0.30446066576100617
24,24,"('Response', 'Anger')","('Response', 'Anger')",19010,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",19010,1,0.00021008788063060568,0.09,0.018433962588299102
26,26,"('Response', 'Anger')","('Response', 'Arousal')",19010,1,0.0001445018501709034,0.23,0.06413047045444598
27,27,"('Response', 'Anger')","('Response', 'Disgust')",19010,1,5.8331059814166106e-05,0.51,0.3299496816463201
28,28,"('Response', 'Anger')","('Response', 'Dominance')",19010,1,0.0006511527305281901,0.0,4.211202782156143e-06
29,29,"('Response', 'Anger')","('Response', 'Fear')",19010,1,0.0001401952879546478,0.24,0.06960128642255403
30,30,"('Response', 'Anger')","('Response', 'Joy')",19010,1,0.0003466258446295172,0.02,0.0013754000007097922
31,31,"('Response', 'Anger')","('Response', 'Sadness')",19010,1,8.026897135639615e-05,0.31,0.21743988085717025
