,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",16492,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",16492,1,4.285211640347304e-06,0.94,0.9317717244347905
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",16492,1,1.8588576254420594e-05,1.0,0.7359859787753835
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",16492,1,3.579767011904808e-05,0.87,0.5541391902056569
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",16492,1,4.285211640347304e-06,0.92,0.9317717244347905
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",16492,1,5.764577524171541e-06,1.0,0.9093150565860788
6,6,"('Other', 'Unknown')","('Response', 'Fear')",16492,1,8.572782506387204e-06,0.93,0.8681647689885156
7,7,"('Other', 'Unknown')","('Response', 'Joy')",16492,1,7.536166211546578e-05,0.18,0.2885782007574679
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",16492,1,1.1433174262803671e-05,1.0,0.8281636685762337
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",16492,1,1.1432474762438025e-05,0.88,0.8281732218806456
10,10,"('Other', 'Unknown')","('Response', 'Trust')",16492,1,8.925289647027844e-05,0.16,0.229496037439055
11,11,"('Other', 'Unknown')","('Response', 'Valence')",16492,1,2.9508659393905154e-06,1.0,0.9525023257933289
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",16492,1,7.840121518380343e-05,0.29,0.2744696909542227
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",16492,1,2.0566553278715214e-05,0.85,0.7123663024584796
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",16492,1,0.00023587590332383414,0.08,0.02044883182261703
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",16492,1,2.5159813144132757e-05,0.64,0.6603993979639636
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",16492,1,0.00023341649128538042,0.09,0.02129524740290878
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",16492,1,2.5586266113346435e-05,0.86,0.6557713422293902
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",16492,1,0.00010966468806690282,0.44,0.16390301944623376
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",16492,1,0.00028644174044622605,0.02,0.008882157927036838
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",16492,1,5.3932247729690194e-05,0.54,0.410903577221581
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",16492,1,0.0001977977010784531,0.17,0.03831622326709061
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",16492,1,0.00032903215497722386,0.0,0.0044003584840481835
23,23,"('Response', 'Anger')","('Other', 'Unknown')",16492,1,3.5015746977481923e-06,1.0,0.9438911106849026
24,24,"('Response', 'Anger')","('Response', 'Anger')",16492,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",16492,1,8.565975863031537e-05,0.01,0.24350566311782873
26,26,"('Response', 'Anger')","('Response', 'Arousal')",16492,1,1.0155505063600067e-05,0.01,0.8457982406870141
27,27,"('Response', 'Anger')","('Response', 'Disgust')",16492,1,1.5919649796759097e-08,1.0,0.9997375035134346
28,28,"('Response', 'Anger')","('Response', 'Dominance')",16492,1,0.00021096210173413918,0.0,0.030838973371662637
29,29,"('Response', 'Anger')","('Response', 'Fear')",16492,1,0.0,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",16492,1,0.00018720619582988373,0.0,0.04562874558521812
31,31,"('Response', 'Anger')","('Response', 'Sadness')",16492,1,2.354714732717799e-05,0.01,0.6781979943743853
32,32,"('Response', 'Anger')","('Response', 'Surprise')",16492,1,4.247172172692436e-08,1.0,0.9992998440606409
33,33,"('Response', 'Anger')","('Response', 'Trust')",16492,1,0.000531320090714506,0.0,0.00015657121305701072
34,34,"('Response', 'Anger')","('Response', 'Valence')",16492,1,0.00016885082008227497,0.01,0.061758795647820386
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",16492,1,9.601308859546969e-06,1.0,0.8535636327982894
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",16492,1,1.8943154767364826e-05,1.0,0.7316949657922021
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",16492,1,6.448130312259107e-05,0.67,0.34529326837013685
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",16492,1,5.723388018510798e-06,1.0,0.9099329242409476
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",16492,1,0.000119541645899123,0.43,0.13926714518849992
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",16492,1,1.2165972204940249e-05,1.0,0.81821589438908
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",16492,1,1.4555968053486898e-05,1.0,0.7865944543435367
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",16492,1,1.2042181766352106e-05,1.0,0.8198879294153613
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",16492,1,1.096035485600532e-05,0.93,0.8346463206625446
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",16492,1,1.9573201106685724e-05,1.0,0.7241319444753195
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",16492,1,0.000146186403330087,0.44,0.08974706291624057
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",16492,1,1.751439592527509e-05,1.0,0.7491396208153589
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",16492,1,2.0703080488525486e-07,1.0,0.9965916765625813
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",16492,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",16492,1,0.0008488482175384742,0.0,8.328969137716413e-07
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",16492,1,2.2296301809477668e-07,1.0,0.9963298683260718
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",16492,1,0.0003199014725944002,0.0,0.005115423002539088
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",16492,1,0.00039963597137692954,0.0,0.0013734948472584607
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",16492,1,0.0009581978006535725,0.0,1.372255478138129e-07
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",16492,1,0.0004801478838886929,0.0,0.00036408661941589315
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",16492,1,0.000942223632058374,0.0,1.7858343603904814e-07
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",16492,1,0.0003782786231151986,0.0,0.0019533825389443926
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",16492,1,0.0004002422273311178,0.0,0.0013598313817645424
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",16492,1,4.8025011292909684e-05,0.71,0.4529468627140496
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",16492,1,0.00010539137305114161,0.16,0.17587018646582486
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",16492,1,0.0003009593334824877,0.02,0.0069910790196677786
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",16492,1,2.8627706278113904e-05,1.0,0.6236914498910753
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",16492,1,0.00045636630664287736,0.0,0.0005389235882646837
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",16492,1,6.0853608017894816e-05,0.67,0.3665806050830678
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",16492,1,8.215769574832655e-05,0.11,0.2579827490132788
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",16492,1,0.0003111550976113809,0.03,0.00590911789700832
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",16492,1,5.435532156279159e-05,0.53,0.408046717322318
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",16492,1,0.00010076411762011452,0.14,0.1898158165284235
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",16492,1,0.0005803022094171327,0.0,6.980787477051109e-05
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",16492,1,2.5195748178545392e-05,1.0,0.6600081581449411
70,70,"('Response', 'Arousal')","('Response', 'Anger')",16492,1,0.00038968445093461,0.0,0.0016184501578223598
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",16492,1,0.0007692799372500173,0.0,3.0935370504137083e-06
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",16492,1,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",16492,1,0.00038968445093461,0.0,0.0016184501578223598
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",16492,1,2.448109251179407e-05,0.18,0.6678326260728645
75,75,"('Response', 'Arousal')","('Response', 'Fear')",16492,1,0.0003237665737525657,0.0,0.004799543029664344
76,76,"('Response', 'Arousal')","('Response', 'Joy')",16492,1,0.0022484890529771754,0.0,1.1102230246251565e-16
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",16492,1,0.00035582085712964446,0.0,0.002828972365720994
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",16492,1,0.001236186080543487,0.0,1.4011890536735905e-09
79,79,"('Response', 'Arousal')","('Response', 'Trust')",16492,1,0.0016980334093487756,0.0,6.898925875020723e-13
80,80,"('Response', 'Arousal')","('Response', 'Valence')",16492,1,3.680348628997817e-05,0.18,0.5450235400997876
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",16492,1,9.221938044880446e-07,1.0,0.9849071580592519
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",16492,1,1.812145367655006e-05,0.89,0.7416774064262815
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",16492,1,0.00019572863197508063,0.17,0.03964617241341761
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",16492,1,5.480331142852283e-06,1.0,0.9135874830381684
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",16492,1,0.00032202162698591894,0.04,0.004939660619616482
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",16492,1,7.145569595079124e-06,1.0,0.8888403990683521
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",16492,1,4.795481183810859e-05,0.45,0.4534715244520662
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",16492,1,0.00014293185987394581,0.09,0.09469545238875388
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",16492,1,1.444739189483969e-05,0.69,0.788004136527385
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",16492,1,4.7127263820955375e-05,0.66,0.4597025138756706
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",16492,1,0.000507644055537779,0.01,0.00023135479425506755
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",16492,1,3.5015746977481923e-06,1.0,0.9438911106849026
93,93,"('Response', 'Disgust')","('Response', 'Anger')",16492,1,1.5919649796759097e-08,1.0,0.9997375035134346
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",16492,1,1.312845698938903e-05,0.03,0.8053314201724726
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",16492,1,6.850051585427368e-05,0.0,0.3231489207843411
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",16492,1,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",16492,1,1.4132446609486799e-05,0.02,0.7921074897170429
98,98,"('Response', 'Disgust')","('Response', 'Fear')",16492,1,3.1847992931271074e-08,1.0,0.9994749326447061
99,99,"('Response', 'Disgust')","('Response', 'Joy')",16492,1,7.426249703047542e-06,0.0,0.8847357343207274
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",16492,1,2.354714732717799e-05,0.0,0.6781979943743853
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",16492,1,8.494602094781349e-08,1.0,0.9986001358936691
102,102,"('Response', 'Disgust')","('Response', 'Trust')",16492,1,1.0620186256069723e-07,1.0,0.9982501578466145
