,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",32714,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",32714,1,1.2768901639109493e-05,0.87,0.658553787474776
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",32714,1,3.064347189177996e-08,1.0,0.9989980623790292
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",32714,1,2.5251212350719927e-05,0.71,0.4377781912141139
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",32714,1,6.757504626142259e-06,0.91,0.8016699825876316
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",32714,1,2.668355487915207e-05,0.57,0.41773871285868114
6,6,"('Other', 'Unknown')","('Response', 'Fear')",32714,1,1.1265635064925347e-05,0.84,0.6917485752982078
7,7,"('Other', 'Unknown')","('Response', 'Joy')",32714,1,3.0077422679679292e-05,0.68,0.373841739283288
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",32714,1,1.2768901639109493e-05,0.86,0.658553787474776
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",32714,1,3.3091298691582886e-05,0.63,0.33874229443653947
10,10,"('Other', 'Unknown')","('Response', 'Trust')",32714,1,4.145387639627728e-05,0.29,0.2576686920664
11,11,"('Other', 'Unknown')","('Response', 'Valence')",32714,1,3.0089203441946553e-05,0.54,0.37369769438809275
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",32714,1,1.695229576736691e-05,0.74,0.5743246492977515
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",32714,1,5.40061759258875e-05,0.34,0.17089532693960463
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",32714,1,0.00035173343749527467,0.0,1.0066918149975734e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",32714,1,6.127858367322558e-06,1.0,0.818353707346686
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",32714,1,0.0007936217640402656,0.0,5.308309347640261e-12
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",32714,1,1.9827146830282157e-05,0.67,0.5227743013379508
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",32714,1,3.431792687379107e-05,0.51,0.3254187899112658
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",32714,1,3.298900673902111e-05,0.64,0.339877718526858
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",32714,1,7.919404078075672e-05,0.11,0.07496944442984677
