,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",19799,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",19799,1,7.548544571592905e-05,0.25,0.224369540003041
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",19799,1,3.862334257186341e-05,0.53,0.46548987363583594
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",19799,1,7.163938728335925e-07,1.0,0.9859169413648919
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",19799,1,5.21067144607119e-05,0.22,0.35643309345180674
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",19799,1,3.224203480804059e-05,0.65,0.5281748973577821
6,6,"('Other', 'Unknown')","('Response', 'Fear')",19799,1,3.784982064717867e-06,0.86,0.927803722106527
7,7,"('Other', 'Unknown')","('Response', 'Joy')",19799,1,0.00013304465639391011,0.2,0.07178942432598778
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",19799,1,1.2561751374710884e-05,0.74,0.7798157901094697
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",19799,1,8.93864084117034e-05,0.21,0.17038884783013852
10,10,"('Other', 'Unknown')","('Response', 'Trust')",19799,1,0.0002051968470507682,0.06,0.017206171043491536
11,11,"('Other', 'Unknown')","('Response', 'Valence')",19799,1,1.9661489972700752e-05,0.79,0.677559316196241
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",19799,1,0.000140184804098009,0.15,0.062325866201370594
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",19799,1,9.764474685884213e-05,0.24,0.144688706176489
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",19799,1,5.912368819720324e-05,0.43,0.3102022487445686
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",19799,1,0.00015869800332304868,0.11,0.04320050604527359
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",19799,1,0.00014194347886449838,0.12,0.0601931335045337
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",19799,1,1.4162422770980126e-05,0.86,0.7554908216747335
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",19799,1,7.749375046016089e-05,0.28,0.21562353797824174
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",19799,1,3.464753257654464e-05,0.61,0.5036106395998488
