,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",14552,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",14552,1,0.0001065810535746751,0.2,0.21206532593668614
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",14552,1,1.6671420423682007e-05,1.0,0.7845963960436535
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",14552,1,1.971751233689265e-05,0.9,0.7505796366987056
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",14552,1,1.5542110140890153e-05,0.83,0.7975958649926327
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",14552,1,2.12064218892252e-06,1.0,0.969613767618867
6,6,"('Other', 'Unknown')","('Response', 'Fear')",14552,1,2.4433512641857354e-05,0.84,0.7008004883934991
7,7,"('Other', 'Unknown')","('Response', 'Joy')",14552,1,4.44694380194067e-05,0.74,0.5235751046297594
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",14552,1,3.624536698400261e-05,1.0,0.5901335953108011
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",14552,1,2.8884008846788184e-05,1.0,0.6568555072748492
10,10,"('Other', 'Unknown')","('Response', 'Trust')",14552,1,4.669453679882849e-05,0.44,0.5068945906678569
11,11,"('Other', 'Unknown')","('Response', 'Valence')",14552,1,1.4567257767900124e-07,0.98,0.9978825632609352
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",14552,1,0.00013170641583468888,0.26,0.1471268621127555
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",14552,1,1.812871735566242e-05,0.86,0.7681340888310719
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",14552,1,0.0002481339321824262,0.1,0.02703570586499382
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",14552,1,0.0003085942316494153,0.03,0.011216664948597299
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",14552,1,0.0009504885345256179,0.0,9.85064549041681e-07
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",14552,1,0.00027691644388394776,0.03,0.01778479900620622
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",14552,1,0.00029605761593020003,0.04,0.013461327024427261
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",14552,1,7.763596909129397e-05,0.6,0.3231363249128517
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",14552,1,0.00023566417020653527,0.12,0.03241450274733748
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",14552,1,0.0002616879193637309,0.07,0.022196494351639284
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",14552,1,0.001310188129112641,0.0,5.252574708514146e-09
23,23,"('Response', 'Anger')","('Other', 'Unknown')",14552,1,1.4177363983347003e-05,1.0,0.8135931746781079
24,24,"('Response', 'Anger')","('Response', 'Anger')",14552,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",14552,1,0.0003576359707817597,0.0,0.005494756468541695
26,26,"('Response', 'Anger')","('Response', 'Arousal')",14552,1,9.52429729423739e-06,0.11,0.8705865928070751
27,27,"('Response', 'Anger')","('Response', 'Disgust')",14552,1,2.386959723094415e-07,1.0,0.9965327597148586
28,28,"('Response', 'Anger')","('Response', 'Dominance')",14552,1,2.5802654452649083e-06,1.0,0.9631506487587187
29,29,"('Response', 'Anger')","('Response', 'Fear')",14552,1,0.00049438416153249,0.0,0.000751241088466581
30,30,"('Response', 'Anger')","('Response', 'Joy')",14552,1,0.00020996179694852816,0.02,0.047115459369973856
31,31,"('Response', 'Anger')","('Response', 'Sadness')",14552,1,2.3209162784162542e-07,1.0,0.9966285309317796
32,32,"('Response', 'Anger')","('Response', 'Surprise')",14552,1,0.00016829220400754722,0.02,0.08639548508364758
33,33,"('Response', 'Anger')","('Response', 'Trust')",14552,1,8.605783317663924e-07,1.0,0.987555802141649
34,34,"('Response', 'Anger')","('Response', 'Valence')",14552,1,2.7413532895751635e-05,0.21,0.6710616172995306
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",14552,1,3.429693228735939e-05,0.28,0.6071043074701502
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",14552,1,5.446479393467597e-05,0.7,0.4527038063161324
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",14552,1,9.672609335903595e-05,0.48,0.24476385644947407
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",14552,1,2.2897456923565544e-05,0.24,0.7166405452402327
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",14552,1,0.00020958917244618083,0.2,0.04737161599742179
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",14552,1,4.0162805046103835e-05,0.16,0.5574352219414653
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",14552,1,4.996564825999087e-05,0.15,0.4833326491293257
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",14552,1,4.674370264763141e-05,0.12,0.5065320817472845
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",14552,1,3.994061980462061e-05,0.21,0.5592403361511441
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",14552,1,5.923943149317107e-05,0.23,0.42231957379894414
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",14552,1,0.0002826172480083755,0.11,0.016369039302835398
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",14552,1,2.622349311606203e-05,1.0,0.6827830938969672
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",14552,1,0.00036783099652945984,0.0,0.004737200969310629
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",14552,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",14552,1,0.0014674222141415451,0.0,5.330208496800992e-10
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",14552,1,0.0003495338872502016,0.0,0.006182283401087729
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",14552,1,4.48639970852582e-06,1.0,0.9368036203079458
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",14552,1,1.652060239139663e-06,1.0,0.9762475098710935
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",14552,1,0.000465154499475603,0.0,0.001149459873829639
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",14552,1,0.0002759001587428439,0.0,0.018049754238940174
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",14552,1,0.00011052678510903833,0.02,0.20023266769326642
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",14552,1,0.0002884155301787777,0.0,0.015044626727178767
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",14552,1,7.318455134012759e-05,0.14,0.3447594310267489
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",14552,1,0.00010115167476822648,0.37,0.22949867577254346
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",14552,1,4.193015996028358e-05,0.51,0.5432825428793391
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",14552,1,0.0003867079863371955,0.01,0.0035994007374618997
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",14552,1,5.904231453075785e-05,0.62,0.42353263030278665
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",14552,1,0.00026381482155433624,0.07,0.021520066179512076
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",14552,1,0.0001211102035599298,0.39,0.1716539801080651
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",14552,1,0.00014234568780300665,0.26,0.1260253624221943
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",14552,1,0.00012088555561799605,0.37,0.17221600969447537
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",14552,1,0.00012004002491906071,0.23,0.1743479258162819
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",14552,1,0.00017970461105506675,0.18,0.07317643797180307
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",14552,1,0.00033268935110942777,0.05,0.007899445214456513
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",14552,1,5.339081890387754e-06,1.0,0.9252521531784641
70,70,"('Response', 'Arousal')","('Response', 'Anger')",14552,1,3.4787742911310273e-05,0.0,0.6027839447125652
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",14552,1,0.0015374995109173548,0.0,1.9226331637867133e-10
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",14552,1,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",14552,1,0.0002326998339006242,0.0,0.033843264402965034
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",14552,1,1.968168049723716e-05,0.93,0.7509710827780735
75,75,"('Response', 'Arousal')","('Response', 'Fear')",14552,1,0.0001896077084389999,0.0,0.06335624704365028
76,76,"('Response', 'Arousal')","('Response', 'Joy')",14552,1,0.0004407067911170857,0.0,0.0016405487039171662
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",14552,1,0.00015028559711714913,0.02,0.11227481321460364
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",14552,1,0.0005164757363152643,0.0,0.0005447201185670991
79,79,"('Response', 'Arousal')","('Response', 'Trust')",14552,1,0.000723548779304087,0.0,2.6766531174837738e-05
80,80,"('Response', 'Arousal')","('Response', 'Valence')",14552,1,6.509968088136587e-06,0.86,0.9096216404558188
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",14552,1,0.00013679304154427598,0.18,0.13663043573029499
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",14552,1,0.00033515327256720403,0.04,0.007621247040035639
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",14552,1,0.0009794542031599921,0.0,6.462766912740392e-07
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",14552,1,4.5446071190175396e-05,0.46,0.5161872034622177
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",14552,1,0.0005406901861203566,0.0,0.0003829588950251539
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",14552,1,0.00019044205702515744,0.12,0.0625917141302651
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",14552,1,0.0002297738656287406,0.03,0.03531528101519632
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",14552,1,3.068809205384251e-05,0.89,0.6398366129571662
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",14552,1,0.00042475296380812286,0.0,0.0020692265758641692
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",14552,1,0.00011602598272443853,0.34,0.1848345691768487
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",14552,1,0.0006683115535093479,0.0,5.9794228495779755e-05
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",14552,1,1.2404753467959994e-05,1.0,0.834851371889165
93,93,"('Response', 'Disgust')","('Response', 'Anger')",14552,1,5.0969265259515334e-05,0.0,0.47632552673656725
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",14552,1,1.1479123012826957e-06,1.0,0.9834354542824322
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",14552,1,3.2890717893999453e-06,1.0,0.9532679180625292
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",14552,1,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",14552,1,1.2944644466027543e-05,0.13,0.8283185125070786
98,98,"('Response', 'Disgust')","('Response', 'Fear')",14552,1,1.5008392719918232e-07,1.0,0.9978185116871146
99,99,"('Response', 'Disgust')","('Response', 'Joy')",14552,1,5.779012013837853e-06,0.01,0.9193481397605296
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",14552,1,3.481494274146377e-07,1.0,0.9949468878252974
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",14552,1,8.166604361261094e-06,0.01,0.8879567340792346
102,102,"('Response', 'Disgust')","('Response', 'Trust')",14552,1,8.605783317663924e-07,1.0,0.987555802141649
103,103,"('Response', 'Disgust')","('Response', 'Valence')",14552,1,4.9390665227559405e-05,0.04,0.48739345331875805
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",14552,1,2.926215483583935e-05,0.19,0.6532511494369239
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",14552,1,4.765487569339832e-05,0.67,0.4998605616193309
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",14552,1,0.00019993991051483218,0.19,0.05451247862630326
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",14552,1,2.256437420196773e-05,0.18,0.7201223081178363
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",14552,1,0.00015959347558607373,0.37,0.09805324188925613
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",14552,1,3.605009523184492e-05,0.31,0.5918127849695307
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",14552,1,4.05094397177347e-05,0.59,0.5546306638318579
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",14552,1,3.90043361591066e-05,0.34,0.5669114867579608
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",14552,1,3.4089069211692514e-05,0.47,0.6089433444258092
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",14552,1,5.103991764570027e-05,0.38,0.4758360857789866
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",14552,1,0.0002177501105932329,0.23,0.04206741370582856
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",14552,1,9.943976280005376e-06,0.92,0.8652863392005999
116,116,"('Response', 'Dominance')","('Response', 'Anger')",14552,1,0.00017915843879821744,0.03,0.07376031398083016
