,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",23655,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",23655,1,2.4486682532440534e-05,0.14,0.5603419880955103
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",23655,1,8.292288140130199e-06,0.84,0.8218924074552306
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",23655,1,3.028611902591031e-05,0.53,0.48851365281829784
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",23655,1,1.2920590382614182e-05,1.0,0.7366638144668829
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",23655,1,5.861190199353443e-05,0.36,0.24997210939709424
6,6,"('Other', 'Unknown')","('Response', 'Fear')",23655,1,3.4741828186202314e-05,0.64,0.4396469748845797
7,7,"('Other', 'Unknown')","('Response', 'Joy')",23655,1,7.685100353072767e-05,0.45,0.1623771379205402
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",23655,1,8.991222613758498e-06,0.67,0.8084160984332251
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",23655,1,6.746248249567643e-05,0.41,0.20275487113413437
10,10,"('Other', 'Unknown')","('Response', 'Trust')",23655,1,8.483116337573255e-05,0.24,0.13444550376839226
11,11,"('Other', 'Unknown')","('Response', 'Valence')",23655,1,0.00012298761483261269,0.1,0.05452210619752351
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",23655,1,0.0002837752451492195,0.01,0.0012157189500451304
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",23655,1,0.0001715021334442984,0.04,0.017305836498982652
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",23655,1,0.00036971424971807596,0.0,0.00015922044605110042
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",23655,1,0.00020067753048884173,0.07,0.008679196652198629
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",23655,1,0.0007944245987385809,0.0,6.9029328919612e-09
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",23655,1,0.00023749109477042666,0.02,0.0036332985360328918
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",23655,1,0.0001112006894806399,0.11,0.07205387982126821
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",23655,1,0.0002562060278144701,0.01,0.002333706782115308
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",23655,1,5.471536188715167e-05,0.56,0.27410688152989293
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",23655,1,0.0001785916858661483,0.08,0.014633999312822943
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",23655,1,0.000818040132815406,0.0,3.948534610387355e-09
23,23,"('Response', 'Anger')","('Other', 'Unknown')",23655,1,3.1533990651995614e-05,0.43,0.474304852690714
24,24,"('Response', 'Anger')","('Response', 'Anger')",23655,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",23655,1,1.7688070069259535e-05,0.07,0.6581031418438934
26,26,"('Response', 'Anger')","('Response', 'Arousal')",23655,1,0.00011918921615803751,0.07,0.05964757894129091
27,27,"('Response', 'Anger')","('Response', 'Disgust')",23655,1,2.205066760141186e-05,0.01,0.5935780940029325
28,28,"('Response', 'Anger')","('Response', 'Dominance')",23655,1,0.0002679956001268091,0.0,0.0017657708788382243
29,29,"('Response', 'Anger')","('Response', 'Fear')",23655,1,9.951587730975412e-07,1.0,0.9767354069054192
30,30,"('Response', 'Anger')","('Response', 'Joy')",23655,1,0.0001268847997545037,0.01,0.04972074376438773
31,31,"('Response', 'Anger')","('Response', 'Sadness')",23655,1,0.00026893221064329154,0.0,0.0017270811178190515
32,32,"('Response', 'Anger')","('Response', 'Surprise')",23655,1,2.9947258777256515e-06,1.0,0.9316135036959772
33,33,"('Response', 'Anger')","('Response', 'Trust')",23655,1,1.9052950681038842e-05,0.08,0.6371956705828533
34,34,"('Response', 'Anger')","('Response', 'Valence')",23655,1,0.000307023744659809,0.0,0.0007014649274471596
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",23655,1,4.8652295754322245e-05,0.18,0.31637678953092907
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",23655,1,6.969757035469814e-05,0.39,0.192313903257478
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",23655,1,3.863821717962885e-05,0.5,0.4009380352540213
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",23655,1,1.9978917344698204e-05,1.0,0.6233910235892637
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",23655,1,7.844708340974912e-05,0.4,0.1563610831224771
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",23655,1,5.4766264291201104e-05,0.19,0.27377704299230154
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",23655,1,6.0915408450211034e-05,0.36,0.23671625971362253
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",23655,1,5.26709228534754e-05,0.21,0.2876882043256188
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",23655,1,5.2287570128098075e-05,0.38,0.2903087742008793
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",23655,1,7.202853012958675e-05,0.29,0.18199740473856219
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",23655,1,6.70511615235191e-06,0.89,0.8533352215136892
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",23655,1,8.925274907988512e-05,0.39,0.12109444184191076
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",23655,1,9.619571274425759e-05,0.0,0.10275442208043795
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",23655,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",23655,1,0.0008945727996911891,0.0,6.459978107997699e-10
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",23655,1,3.1936197694507726e-06,1.0,0.9272408949929308
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",23655,1,0.0001139858006755178,0.18,0.06746002159866726
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",23655,1,7.6111757014770235e-06,1.0,0.835241186240044
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",23655,1,0.000196894905545907,0.02,0.009491561903297807
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",23655,1,1.903879286535441e-05,0.1,0.6374090961209997
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",23655,1,0.0005392659965693661,0.0,2.885541782182699e-06
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",23655,1,0.00019327650198745885,0.01,0.010339721153507786
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",23655,1,2.277853116263101e-05,0.71,0.5834460002359168
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",23655,1,4.893301538009505e-05,0.45,0.31428296206327977
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",23655,1,6.9160296737457455e-06,1.0,0.849088578046489
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",23655,1,0.00014555271409527477,0.08,0.031971707777534775
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",23655,1,8.64092285268891e-05,0.33,0.12951949202844193
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",23655,1,0.00020211558541368088,0.0,0.008388932030439444
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",23655,1,0.00021174878664145114,0.02,0.006679542383682846
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",23655,1,8.21494555443685e-05,0.26,0.14325010055305454
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",23655,1,7.719689847182158e-05,0.26,0.16105402094567856
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",23655,1,9.382098686897537e-05,0.11,0.10869150667212457
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",23655,1,4.211826606659875e-05,0.49,0.36925586817919387
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",23655,1,7.760401929905148e-05,0.27,0.15951050888524843
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",23655,1,5.045416439062804e-05,0.45,0.3031756906162666
70,70,"('Response', 'Arousal')","('Response', 'Anger')",23655,1,9.782977761743167e-05,0.0,0.09885851823223613
