,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",9623,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",9623,1,2.2073672135771347e-05,1.0,0.8086469393673977
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",9623,1,0.0001505649741923865,0.07,0.23486692973250423
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",9623,1,1.1790331703304007e-05,0.83,0.8927518933983338
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",9623,1,1.839182125893408e-05,1.0,0.8378081822592812
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",9623,1,7.309695297475176e-05,0.76,0.49493002921657103
6,6,"('Other', 'Unknown')","('Response', 'Fear')",9623,1,3.312620830353479e-05,0.98,0.7270642879278014
7,7,"('Other', 'Unknown')","('Response', 'Joy')",9623,1,0.00013232097835258203,0.02,0.27993650938862225
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",9623,1,2.944086508572236e-05,0.99,0.7533088289504652
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",9623,1,2.2073672135771347e-05,1.0,0.8086469393673977
10,10,"('Other', 'Unknown')","('Response', 'Trust')",9623,1,0.00015533460254611584,0.09,0.22433169398014752
11,11,"('Other', 'Unknown')","('Response', 'Valence')",9623,1,1.9546987308889194e-05,0.86,0.828547499456612
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",9623,1,0.00017333682100697124,0.32,0.18865281861103944
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",9623,1,0.0002593875112528096,0.14,0.08242828525807233
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",9623,1,2.1783290415469906e-05,0.88,0.810909501090368
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",9623,1,8.703695122891286e-05,0.63,0.4328043309323645
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",9623,1,5.3311251317749806e-05,0.7,0.5987202249493389
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",9623,1,0.0001978696617135538,0.33,0.14898615675941196
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",9623,1,0.00033539204145131374,0.07,0.039670706989622384
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",9623,1,7.508728443977946e-05,0.62,0.48554182295151394
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",9623,1,6.582673346639976e-05,0.61,0.5307921161447422
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",9623,1,3.1466880087680894e-05,0.89,0.7387658020744714
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",9623,1,0.00012694514375112824,0.55,0.2947976255410758
23,23,"('Response', 'Anger')","('Other', 'Unknown')",9623,1,0.00028060739098664393,0.04,0.06720522267644391
24,24,"('Response', 'Anger')","('Response', 'Anger')",9623,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",9623,1,1.9415571591728457e-05,0.02,0.8295958455488207
26,26,"('Response', 'Anger')","('Response', 'Arousal')",9623,1,0.00035387081535965333,0.01,0.033208646992480384
27,27,"('Response', 'Anger')","('Response', 'Disgust')",9623,1,1.5596518588646484e-07,1.0,0.998500428464098
28,28,"('Response', 'Anger')","('Response', 'Dominance')",9623,1,0.0002495196355797271,0.04,0.09063834390578929
29,29,"('Response', 'Anger')","('Response', 'Fear')",9623,1,0.0,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",9623,1,6.24250385963237e-07,1.0,0.9940114659672843
31,31,"('Response', 'Anger')","('Response', 'Sadness')",9623,1,1.2482408974771483e-07,1.0,0.998799663589201
32,32,"('Response', 'Anger')","('Response', 'Surprise')",9623,1,3.744138205098913e-07,1.0,0.9964038718317607
33,33,"('Response', 'Anger')","('Response', 'Trust')",9623,1,4.386100025603078e-05,0.0,0.6557140106548766
34,34,"('Response', 'Anger')","('Response', 'Valence')",9623,1,0.0004558964868070377,0.0,0.012442515567745338
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",9623,1,2.390150276440349e-05,0.83,0.794549287069993
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",9623,1,5.6596285932306905e-08,1.0,0.9994555787877972
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",9623,1,0.0002110921053259755,0.41,0.13118742705383402
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",9623,1,0.0001727148284337279,0.09,0.18978525569722626
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",9623,1,0.00018322112638451856,0.56,0.17153744842117735
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",9623,1,0.0001160557080170627,0.6,0.327362217438969
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",9623,1,0.00012445092621785455,0.62,0.3019581606592965
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",9623,1,6.259250361173243e-05,0.63,0.5475699462454522
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",9623,1,0.0005163598017111133,0.01,0.006954168520633575
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",9623,1,0.00040719883478047006,0.05,0.019879480929957616
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",9623,1,4.2423421678318494e-05,0.81,0.6648471174098822
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",9623,1,0.00021214057233762145,0.06,0.12987061582260329
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",9623,1,7.489835330784192e-07,1.0,0.9928191865779914
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",9623,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",9623,1,1.500389168136955e-06,1.0,0.9856669655424863
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",9623,1,6.240555206077834e-07,1.0,0.9940133297350137
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",9623,1,7.379235067681427e-06,0.1,0.9314590979126236
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",9623,1,1.124001727922459e-06,1.0,0.9892431287829238
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",9623,1,4.993743159147521e-07,1.0,0.9952065457798356
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",9623,1,9.989566177330045e-07,1.0,0.9904340866643772
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",9623,1,4.680416286953992e-07,1.0,0.9955066289834803
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",9623,1,9.429282078004473e-05,0.0,0.40361835168829574
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",9623,1,1.2621319478824334e-05,0.11,0.8856421215213912
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",9623,1,2.8680802360263673e-06,1.0,0.9727806412189058
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",9623,1,5.326058305610249e-05,0.78,0.5990121901938599
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",9623,1,0.0005193811154761126,0.04,0.006754913634221427
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",9623,1,0.00010504585236933365,0.71,0.3639454841073526
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",9623,1,0.0002628849866019918,0.27,0.07970050626410563
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",9623,1,2.0969321975454028e-05,0.9,0.8172854835832368
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",9623,1,0.0002045357704169514,0.12,0.13973001494243031
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",9623,1,2.935808665360186e-06,1.0,0.9721469031843667
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",9623,1,0.00017383929616586585,0.18,0.18774291832182888
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",9623,1,0.00010481213843287276,0.52,0.36476484401416776
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",9623,1,1.8209496807857577e-05,0.88,0.8392792608243576
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",9623,1,0.00017461949852428532,0.29,0.18633878919627656
70,70,"('Response', 'Arousal')","('Response', 'Anger')",9623,1,3.1874955197346536e-06,1.0,0.9697954733914785
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",9623,1,0.0013020978735941665,0.0,3.6209079823379398e-06
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",9623,1,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",9623,1,2.73408637997893e-06,1.0,0.974035645342705
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",9623,1,0.00047748103370696623,0.0,0.01010906729059835
75,75,"('Response', 'Arousal')","('Response', 'Fear')",9623,1,0.0003956341693104864,0.0,0.022219344912176475
76,76,"('Response', 'Arousal')","('Response', 'Joy')",9623,1,0.0010392598193114829,0.0,4.541091871890224e-05
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",9623,1,0.000409243661966185,0.0,0.019492168383582587
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",9623,1,0.0004458306684905488,0.0,0.013707903807925415
79,79,"('Response', 'Arousal')","('Response', 'Trust')",9623,1,0.0009837630607286616,0.0,7.74585060857591e-05
80,80,"('Response', 'Arousal')","('Response', 'Valence')",9623,1,2.6747940106298943e-05,1.0,0.7730831411557082
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",9623,1,5.926559571818564e-05,0.76,0.5653820611163551
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",9623,1,0.00020462989995885503,0.36,0.13960351674276283
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",9623,1,0.0002253305995872312,0.29,0.11439121107807393
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",9623,1,6.536862896143238e-05,0.78,0.5331369489948461
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",9623,1,3.5791231448333436e-05,0.84,0.7086572979798591
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",9623,1,1.8183038215715415e-05,0.89,0.8394929555776387
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",9623,1,7.533322375240155e-06,0.97,0.9300791137593113
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",9623,1,3.3350935307853076e-06,1.0,0.9684191589812425
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",9623,1,0.0001809782560861595,0.3,0.1752796150213729
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",9623,1,0.00022171742163355245,0.3,0.11843807474865886
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",9623,1,0.00014422848233760694,0.38,0.2496322467672908
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",9623,1,5.6556318505240715e-05,0.14,0.5803146069895009
93,93,"('Response', 'Disgust')","('Response', 'Anger')",9623,1,9.358884734254305e-08,1.0,0.9990998934500213
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",9623,1,1.9290682519802326e-05,0.01,0.8305933557082783
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",9623,1,2.1818512163281017e-05,0.06,0.8106347274581212
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",9623,1,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",9623,1,0.0006486134454901487,0.0,0.0019479873404870673
98,98,"('Response', 'Disgust')","('Response', 'Fear')",9623,1,1.4044902665384665e-07,1.0,0.9986495121960378
99,99,"('Response', 'Disgust')","('Response', 'Joy')",9623,1,4.993743159147521e-07,1.0,0.9952065457798356
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",9623,1,1.2482408974771483e-07,1.0,0.998799663589201
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",9623,1,2.8079575557433776e-07,1.0,0.997301829861859
102,102,"('Response', 'Disgust')","('Response', 'Trust')",9623,1,2.1597053244910922e-05,0.0,0.8123639326399695
103,103,"('Response', 'Disgust')","('Response', 'Valence')",9623,1,6.121413892099576e-05,0.03,0.5548805327584072
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",9623,1,0.00012575867496114894,0.26,0.2981823787421405
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",9623,1,0.0001405265836960128,0.65,0.25868432363453076
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",9623,1,0.00016674163818034273,0.57,0.20101252838914552
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",9623,1,7.43132741592067e-05,0.16,0.48917140768715806
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",9623,1,0.0004852407605788699,0.02,0.00938177221517933
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",9623,1,0.00015299069251219902,0.16,0.2294485532738777
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",9623,1,0.00010370243906584412,0.71,0.3686804981478935
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",9623,1,0.00011660991791202667,0.14,0.3256211694758543
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",9623,1,0.00038452241232411446,0.04,0.02472662572443851
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",9623,1,0.00016720226427023837,0.55,0.20012358329152657
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",9623,1,8.708529914713616e-05,0.67,0.4326030355948879
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",9623,1,0.0005684147503825589,0.01,0.004214236982719721
116,116,"('Response', 'Dominance')","('Response', 'Anger')",9623,1,0.0009584438188249098,0.0,9.882633652313899e-05
117,117,"('Response', 'Dominance')","('Response', 'Anticipation')",9623,1,0.0008977399234197533,0.0,0.00017723154026871857
118,118,"('Response', 'Dominance')","('Response', 'Arousal')",9623,1,0.0018360734585485307,0.0,2.1254465631947994e-08
119,119,"('Response', 'Dominance')","('Response', 'Disgust')",9623,1,0.0010157390513560655,0.0,5.694406133149865e-05
120,120,"('Response', 'Dominance')","('Response', 'Dominance')",9623,1,0.0,1.0,1.0
121,121,"('Response', 'Dominance')","('Response', 'Fear')",9623,1,0.002173970051381295,0.0,8.231029191563266e-10
122,122,"('Response', 'Dominance')","('Response', 'Joy')",9623,1,0.0008736696204551765,0.0,0.00022342180117507215
123,123,"('Response', 'Dominance')","('Response', 'Sadness')",9623,1,0.0015213050107400154,0.0,4.393379890998972e-07
124,124,"('Response', 'Dominance')","('Response', 'Surprise')",9623,1,0.0009635077274272727,0.0,9.412646069384412e-05
125,125,"('Response', 'Dominance')","('Response', 'Trust')",9623,1,0.0013262249771535796,0.0,2.870751458661225e-06
126,126,"('Response', 'Dominance')","('Response', 'Valence')",9623,1,1.0695012004351372e-05,1.0,0.9022105093396885
127,127,"('Response', 'Dominance')","('Stimulus', 'Anger')",9623,1,1.2836907626648618e-05,0.96,0.8838068592884633
128,128,"('Response', 'Dominance')","('Stimulus', 'Anticipation')",9623,1,4.969335094766131e-05,0.67,0.6199295584391804
129,129,"('Response', 'Dominance')","('Stimulus', 'Arousal')",9623,1,0.0001449524218714039,0.35,0.2478994141372204
130,130,"('Response', 'Dominance')","('Stimulus', 'Disgust')",9623,1,6.122725559007715e-05,0.88,0.5548105064878557
131,131,"('Response', 'Dominance')","('Stimulus', 'Dominance')",9623,1,1.6236315893393806e-06,1.0,0.9844988163859146
132,132,"('Response', 'Dominance')","('Stimulus', 'Fear')",9623,1,3.756488046689182e-05,0.8,0.6966659301781961
133,133,"('Response', 'Dominance')","('Stimulus', 'Joy')",9623,1,2.3644511684838698e-05,0.87,0.7965164544266699
134,134,"('Response', 'Dominance')","('Stimulus', 'Sadness')",9623,1,6.684621863234168e-06,0.93,0.9377054189731918
135,135,"('Response', 'Dominance')","('Stimulus', 'Surprise')",9623,1,0.00018664924438371478,0.36,0.1659715269956551
136,136,"('Response', 'Dominance')","('Stimulus', 'Trust')",9623,1,0.00010729308252010817,0.51,0.3561604170231717
137,137,"('Response', 'Dominance')","('Stimulus', 'Valence')",9623,1,1.4202985056219284e-05,0.93,0.872265767547848
138,138,"('Response', 'Fear')","('Other', 'Unknown')",9623,1,0.00021214057233762145,0.07,0.12987061582260329
