,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",15627,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",15627,1,2.4234586775929497e-05,0.78,0.6847580923399659
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",15627,1,5.7561244002672024e-05,0.67,0.40679252146648415
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",15627,1,3.0085468064877205e-05,0.78,0.6249300697024669
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",15627,1,7.643404439822904e-06,0.93,0.8874209448932779
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",15627,1,4.773757474355911e-05,0.71,0.4742847767110816
6,6,"('Other', 'Unknown')","('Response', 'Fear')",15627,1,2.824745759882572e-05,1.0,0.6431387629930476
7,7,"('Other', 'Unknown')","('Response', 'Joy')",15627,1,3.218582783419533e-05,1.0,0.6047526510815651
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",15627,1,4.7317180585776457e-05,0.36,0.47741064673263367
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",15627,1,3.190821633801809e-05,1.0,0.6073817405382888
10,10,"('Other', 'Unknown')","('Response', 'Trust')",15627,1,1.1966680140128e-05,1.0,0.8294509161895869
11,11,"('Other', 'Unknown')","('Response', 'Valence')",15627,1,8.616341249434212e-05,0.48,0.260177943590193
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",15627,1,0.00010799600837823164,0.35,0.18497295996863916
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",15627,1,0.00017972157751604037,0.21,0.060305656705805455
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",15627,1,0.0003665391156320571,0.02,0.003255074157736071
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",15627,1,5.153900746594884e-05,0.65,0.4469321298594714
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",15627,1,0.0005805815471162343,0.01,0.00011481743012597967
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",15627,1,0.00018153504418186043,0.17,0.058620747017805286
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",15627,1,0.00012202641135041949,0.33,0.14855727516362072
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",15627,1,0.00010201827048507576,0.42,0.2030836136992351
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",15627,1,0.00014156114033519928,0.21,0.10947770268832091
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",15627,1,0.00017229869003164552,0.2,0.0677223290177138
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",15627,1,0.0007702452021757116,0.0,5.927834852759162e-06
23,23,"('Response', 'Anger')","('Other', 'Unknown')",15627,1,1.9699438672927053e-05,1.0,0.7350450944168957
24,24,"('Response', 'Anger')","('Response', 'Anger')",15627,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",15627,1,2.7188358337572703e-05,0.07,0.6538709393889968
26,26,"('Response', 'Anger')","('Response', 'Arousal')",15627,1,2.1985944574284994e-05,0.23,0.7092463369994608
27,27,"('Response', 'Anger')","('Response', 'Disgust')",15627,1,5.323291827050779e-07,1.0,0.9917163244893231
28,28,"('Response', 'Anger')","('Response', 'Dominance')",15627,1,0.0008510567437360849,0.0,1.676817883544679e-06
29,29,"('Response', 'Anger')","('Response', 'Fear')",15627,1,1.2446533012585725e-06,1.0,0.9807389581970815
30,30,"('Response', 'Anger')","('Response', 'Joy')",15627,1,0.00025003123780139246,0.01,0.020100951597379346
31,31,"('Response', 'Anger')","('Response', 'Sadness')",15627,1,1.0423683383440899e-06,1.0,0.9838438853118727
32,32,"('Response', 'Anger')","('Response', 'Surprise')",15627,1,3.6394964283100984e-05,0.05,0.5662567329207935
33,33,"('Response', 'Anger')","('Response', 'Trust')",15627,1,0.00022541096460234743,0.0,0.02953226947804022
34,34,"('Response', 'Anger')","('Response', 'Valence')",15627,1,0.0008731404475216135,0.0,1.18746160648886e-06
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",15627,1,9.033409064941748e-05,0.21,0.24376259455061233
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",15627,1,0.000127137535342681,0.28,0.13715396840129146
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",15627,1,0.0002325273019213126,0.09,0.026424289901176068
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",15627,1,5.453987804526465e-05,0.74,0.4264585367110998
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",15627,1,0.00041268452900270034,0.03,0.0015827230750302679
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",15627,1,0.00010650875277204567,0.36,0.18932204525926033
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",15627,1,1.6455474484443738e-07,1.0,0.9974319706006459
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",15627,1,9.072984601368588e-05,0.54,0.24225980027697147
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",15627,1,8.696720355645668e-05,0.39,0.2569305349172527
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",15627,1,1.2265454113273713e-05,0.89,0.8255875321147915
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",15627,1,0.0005265240112651094,0.0,0.0002672130707478404
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",15627,1,5.189318356808868e-05,0.67,0.44446548040064315
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",15627,1,0.0004982061234064866,0.0,0.00041594027224312047
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",15627,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",15627,1,0.000756245464169277,0.0,7.3773827504730605e-06
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",15627,1,0.00028881828347770283,0.0,0.010964697364581055
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",15627,1,0.00018001346761315157,0.07,0.060031224432107844
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",15627,1,0.00015608555420770271,0.0,0.08724867798493152
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",15627,1,0.00014040541860398234,0.09,0.11147275462212869
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",15627,1,0.0004704471435756751,0.0,0.0006418171772206716
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",15627,1,0.0002636377868906547,0.02,0.01625094760173973
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",15627,1,2.1644446067730057e-05,0.11,0.7130411728842577
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",15627,1,0.0005642937746499931,0.0,0.0001480953073791369
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",15627,1,9.193387578735909e-06,0.93,0.8661857735581893
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",15627,1,9.391232419446552e-05,0.24,0.23050701622314784
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",15627,1,0.0002395330877595039,0.08,0.023684273196103556
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",15627,1,5.3115589872578844e-05,0.56,0.43605617275014696
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",15627,1,0.0004091009564325273,0.01,0.0016738790774537549
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",15627,1,9.889204271574022e-05,0.4,0.2132506468168478
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",15627,1,9.33804356475133e-05,0.3,0.2324308105145182
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",15627,1,5.588035155795236e-06,0.96,0.9163850546077351
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",15627,1,0.00023321206624690263,0.13,0.026143053947599748
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",15627,1,0.00015956836689640666,0.11,0.08262728706579381
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",15627,1,0.00011770183112734875,0.39,0.1589431300798142
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",15627,1,0.00017013835652159994,0.13,0.07004748155111462
70,70,"('Response', 'Arousal')","('Response', 'Anger')",15627,1,0.0003108584822680766,0.0,0.007770081357622138
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",15627,1,0.0010787171669550681,0.0,4.7809835646006604e-08
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",15627,1,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",15627,1,4.952621085590585e-06,1.0,0.9255291443475766
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",15627,1,0.0008502471252223002,0.0,1.6981662276371878e-06
75,75,"('Response', 'Arousal')","('Response', 'Fear')",15627,1,0.00023086460981842365,0.0,0.027119821629288943
76,76,"('Response', 'Arousal')","('Response', 'Joy')",15627,1,0.0005561888090757557,0.0,0.00016809078617574524
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",15627,1,8.291567253689618e-05,0.06,0.27372254392069373
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",15627,1,0.0003227833368345994,0.03,0.006449114648609644
79,79,"('Response', 'Arousal')","('Response', 'Trust')",15627,1,0.0011293412321520542,0.0,2.1675438333090824e-08
80,80,"('Response', 'Arousal')","('Response', 'Valence')",15627,1,0.0005907009922919696,0.0,9.80244416738385e-05
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",15627,1,8.307016009979872e-05,0.41,0.273062568416099
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",15627,1,0.00010945158755686307,0.35,0.1808132574400192
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",15627,1,0.0006101865156351485,0.0,7.229363321592519e-05
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",15627,1,8.036662143558578e-05,0.43,0.28484536453217413
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",15627,1,0.0004909157329823946,0.0,0.0004661284847087277
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",15627,1,4.575030953637575e-05,0.76,0.4892438041236814
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",15627,1,0.00023964583704087552,0.11,0.023642582500030263
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",15627,1,1.2263889571847153e-05,0.98,0.8256077159327918
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",15627,1,0.00038274268724073843,0.0,0.0025269626505900478
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",15627,1,5.962523353425971e-05,0.69,0.3938820030409459
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",15627,1,0.0007327327795170273,0.0,1.0652857278525829e-05
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",15627,1,6.218235708506704e-06,1.0,0.9074052271573152
93,93,"('Response', 'Disgust')","('Response', 'Anger')",15627,1,2.2494856158308875e-07,1.0,0.9964911243196468
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",15627,1,6.214795877846877e-05,0.01,0.3786571866747892
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",15627,1,4.4216467175887464e-06,1.0,0.9332402098653951
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",15627,1,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",15627,1,0.00036957113348853925,0.01,0.0031044505620613227
98,98,"('Response', 'Disgust')","('Response', 'Fear')",15627,1,5.333543585795008e-07,1.0,0.991700437917853
99,99,"('Response', 'Disgust')","('Response', 'Joy')",15627,1,9.956267251186148e-07,1.0,0.9845627320705117
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",15627,1,2.605419395067795e-07,1.0,0.9959370478681298
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",15627,1,1.2001843952728128e-05,0.02,0.8289952832036325
102,102,"('Response', 'Disgust')","('Response', 'Trust')",15627,1,7.690548331863955e-06,0.02,0.8867674488353956
103,103,"('Response', 'Disgust')","('Response', 'Valence')",15627,1,0.00038131335026494827,0.01,0.0025840369044908273
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",15627,1,2.7484807862725243e-05,1.0,0.6508490044649773
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",15627,1,3.963197751470637e-05,0.82,0.5383269010144727
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",15627,1,0.00014546556940134156,0.32,0.10299807425657781
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",15627,1,1.7215602376150215e-05,1.0,0.7641348480327406
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",15627,1,0.00021904484264453057,0.15,0.03262114076176115
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",15627,1,3.3618977375249915e-05,1.0,0.591360100237431
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",15627,1,3.1780742865967644e-05,1.0,0.6085927902601616
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",15627,1,2.8638634854511893e-05,1.0,0.639219544665586
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",15627,1,2.690856614787141e-05,1.0,0.6567359429354243
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",15627,1,4.037711860636801e-05,0.79,0.5320952015633678
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",15627,1,0.00025977745198850423,0.11,0.017261400335653265
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",15627,1,0.0002964681080226499,0.07,0.009729325995326388
116,116,"('Response', 'Dominance')","('Response', 'Anger')",15627,1,0.00042203939902107093,0.0,0.0013674772649064915
117,117,"('Response', 'Dominance')","('Response', 'Anticipation')",15627,1,0.0015005859606909051,0.0,6.555334053359729e-11
118,118,"('Response', 'Dominance')","('Response', 'Arousal')",15627,1,0.0016333096367198538,0.0,8.239409154953137e-12
119,119,"('Response', 'Dominance')","('Response', 'Disgust')",15627,1,8.687354713503602e-06,1.0,0.8730620885616761
120,120,"('Response', 'Dominance')","('Response', 'Dominance')",15627,1,0.0,1.0,1.0
121,121,"('Response', 'Dominance')","('Response', 'Fear')",15627,1,0.0005213497732011447,0.0,0.0002897153826521004
122,122,"('Response', 'Dominance')","('Response', 'Joy')",15627,1,0.00034857390510916174,0.0,0.0043100066099535095
123,123,"('Response', 'Dominance')","('Response', 'Sadness')",15627,1,0.0001872576216833111,0.0,0.05360635811330783
124,124,"('Response', 'Dominance')","('Response', 'Surprise')",15627,1,6.024175755214082e-05,0.11,0.3901056404809854
125,125,"('Response', 'Dominance')","('Response', 'Trust')",15627,1,0.0014088281208499555,0.0,2.7497304433410363e-10
126,126,"('Response', 'Dominance')","('Response', 'Valence')",15627,1,2.7943679221216238e-05,0.79,0.6461988976360917
127,127,"('Response', 'Dominance')","('Stimulus', 'Anger')",15627,1,0.00012222646740925086,0.25,0.14809359895590302
128,128,"('Response', 'Dominance')","('Stimulus', 'Anticipation')",15627,1,0.00010023289800424093,0.3,0.20882905837077637
129,129,"('Response', 'Dominance')","('Stimulus', 'Arousal')",15627,1,0.0008263931393047851,0.0,2.4652454170270843e-06
130,130,"('Response', 'Dominance')","('Stimulus', 'Disgust')",15627,1,0.00017095830502544313,0.14,0.06915572216024468
