,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",24156,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",24156,1,2.9813359861658756e-05,0.17,0.4866832844219311
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",24156,1,4.221862042564076e-05,0.66,0.3606703930443135
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",24156,1,3.25753376742468e-05,0.64,0.45527334529637786
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",24156,1,3.085493140813125e-05,0.06,0.47459148898769365
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",24156,1,1.9729618998863994e-05,0.72,0.6209101168368573
6,6,"('Other', 'Unknown')","('Response', 'Fear')",24156,1,1.9818713488563443e-05,0.83,0.6195753070299768
7,7,"('Other', 'Unknown')","('Response', 'Joy')",24156,1,4.382682528812524e-05,0.47,0.34692836376308367
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",24156,1,1.8107315919898546e-05,0.7,0.6457245779435146
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",24156,1,1.6391505132547972e-05,0.84,0.6730492269455377
10,10,"('Other', 'Unknown')","('Response', 'Trust')",24156,1,4.6369935799318775e-05,0.37,0.3262583263692638
11,11,"('Other', 'Unknown')","('Response', 'Valence')",24156,1,0.00015225775496953875,0.05,0.02527887856398736
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",24156,1,0.00024384877265370104,0.02,0.002766514364192063
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",24156,1,7.224070308444041e-05,0.31,0.17464949783388017
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",24156,1,0.0006971009935578583,0.0,4.8656788598222533e-08
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",24156,1,8.377839039349465e-05,0.18,0.13216990566469522
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",24156,1,0.0010687301740675966,0.0,6.146305686627329e-12
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",24156,1,0.00020202176954207626,0.03,0.007598261230780445
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",24156,1,0.0001300848552167281,0.18,0.04318769433097969
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",24156,1,0.00027085793325669306,0.0,0.0014407760631612865
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",24156,1,0.0003673984540888329,0.0,0.0001399102155599241
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",24156,1,0.000266495329504938,0.01,0.0016008913930859459
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",24156,1,0.001312655011635481,0.0,1.6986412276764895e-14
23,23,"('Response', 'Anger')","('Other', 'Unknown')",24156,1,4.8559155744990466e-05,0.18,0.3094538198052198
24,24,"('Response', 'Anger')","('Response', 'Anger')",24156,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",24156,1,0.00019814936219287005,0.0,0.0083432884332868
26,26,"('Response', 'Anger')","('Response', 'Arousal')",24156,1,3.441012818430777e-05,0.11,0.43553651228167367
27,27,"('Response', 'Anger')","('Response', 'Disgust')",24156,1,0.00024521710719290385,0.0,0.002676569814432095
28,28,"('Response', 'Anger')","('Response', 'Dominance')",24156,1,0.0004137789018073461,0.0,4.563528379764037e-05
29,29,"('Response', 'Anger')","('Response', 'Fear')",24156,1,0.00023521366592627377,0.0,0.003408148488315388
30,30,"('Response', 'Anger')","('Response', 'Joy')",24156,1,0.00018854299793644554,0.0,0.010522324719388076
31,31,"('Response', 'Anger')","('Response', 'Sadness')",24156,1,0.00023981920083335166,0.0,0.003049331794518495
32,32,"('Response', 'Anger')","('Response', 'Surprise')",24156,1,1.7020146695413213e-06,0.01,0.9597214773817687
33,33,"('Response', 'Anger')","('Response', 'Trust')",24156,1,0.0002177812269636163,0.0,0.005192678962117947
34,34,"('Response', 'Anger')","('Response', 'Valence')",24156,1,0.00042363623064632893,0.0,3.5966120808583746e-05
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",24156,1,3.1713133852151164e-05,0.64,0.46485453597337323
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",24156,1,2.4596194459220217e-05,0.48,0.5520475599082483
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",24156,1,0.00022338190089769646,0.04,0.0045356366644996315
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",24156,1,3.271075902174015e-05,0.16,0.45378653253503143
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",24156,1,0.00025279076678647863,0.04,0.0022290919545016052
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",24156,1,6.292198590561267e-05,0.23,0.21873800937115317
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",24156,1,1.9926228340659574e-05,0.53,0.6179683443514653
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",24156,1,5.5352084871411434e-05,0.1,0.26262460862286807
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",24156,1,6.089036156450752e-05,0.14,0.2297400828613062
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",24156,1,2.617241659387696e-05,0.49,0.5314241913831927
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",24156,1,0.0005220387261553925,0.0,3.338979187139657e-06
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",24156,1,6.641807194964215e-05,0.19,0.20102449193092498
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",24156,1,0.00017189113145078697,0.0,0.0157324427710811
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",24156,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",24156,1,2.661119754108446e-05,0.23,0.5258215004444068
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",24156,1,0.00016742367999246784,0.0,0.017525137674196722
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",24156,1,6.396374997845228e-05,0.17,0.21330240449652849
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",24156,1,0.0001599618568629987,0.01,0.02098644234170799
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",24156,1,2.203005848902116e-06,1.0,0.9481774541902186
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",24156,1,0.00015174087241681995,0.0,0.025596471392476672
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",24156,1,0.00010573615456459076,0.02,0.07776554489954735
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",24156,1,0.00024716567222808156,0.0,0.002553508935241422
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",24156,1,1.0255660875721133e-05,0.84,0.7805741904985687
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",24156,1,1.339507277569755e-05,0.52,0.7235700020211508
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",24156,1,3.704918979482426e-05,0.54,0.4086389892890472
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",24156,1,1.571413975789605e-05,0.86,0.6841520807115274
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",24156,1,5.6117684980654064e-05,0.37,0.2578125056062458
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",24156,1,7.728391076573518e-05,0.3,0.1546187507594785
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",24156,1,0.0001165378852413974,0.08,0.05990635907322173
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",24156,1,3.062016325067849e-05,0.37,0.47729045965596384
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",24156,1,9.969093594103658e-05,0.16,0.08999199494567811
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",24156,1,3.386632673556036e-05,0.38,0.44129525181811347
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",24156,1,3.7671492383030255e-05,0.56,0.4025423788844599
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",24156,1,3.569081660378665e-05,0.61,0.4222694443127014
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",24156,1,0.0001636637887029047,0.11,0.019191288706343457
70,70,"('Response', 'Arousal')","('Response', 'Anger')",24156,1,0.00024002300184663945,0.0,0.003034357391205833
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",24156,1,0.0003653588793147918,0.0,0.00014697563549581627
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",24156,1,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",24156,1,0.00043275674669331836,0.0,2.8854655283572228e-05
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",24156,1,0.000653800871330363,0.0,1.3847721369586452e-07
75,75,"('Response', 'Arousal')","('Response', 'Fear')",24156,1,6.597130401939893e-05,0.02,0.2032056317028914
76,76,"('Response', 'Arousal')","('Response', 'Joy')",24156,1,0.0003575745980093101,0.0,0.00017738032267244908
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",24156,1,0.00037710255652044353,0.0,0.00011067503614592411
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",24156,1,0.00028002484103783554,0.01,0.0011546014779680869
79,79,"('Response', 'Arousal')","('Response', 'Trust')",24156,1,0.0004948238938197745,0.0,6.443290795798973e-06
80,80,"('Response', 'Arousal')","('Response', 'Valence')",24156,1,0.0005768963462141681,0.0,8.874343920828309e-07
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",24156,1,1.9467374934838644e-05,0.86,0.6248557589561369
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",24156,1,8.206030863680334e-05,0.32,0.13777039895544652
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",24156,1,0.0003173523523539939,0.01,0.0004686538737180834
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",24156,1,0.0002609077354025213,0.03,0.0018322210699360797
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",24156,1,0.0006094850816253512,0.0,4.038944939610545e-07
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",24156,1,2.3597233511987874e-05,0.85,0.5655304292109318
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",24156,1,4.655541883798806e-05,0.7,0.3247998469097829
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",24156,1,0.0001869011739502186,0.06,0.010948006908586216
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",24156,1,3.3092914056107335e-05,0.65,0.44961692388178864
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",24156,1,1.455864031319314e-06,0.98,0.9654447570579476
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",24156,1,0.0007911032758862275,0.0,5.023697458028664e-09
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",24156,1,2.9689149795106342e-05,0.49,0.48814567013342003
93,93,"('Response', 'Disgust')","('Response', 'Anger')",24156,1,3.8510108360574125e-07,1.0,0.9907410141731525
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",24156,1,0.00018815757902858408,0.0,0.010620742807179617
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",24156,1,7.345367177920403e-05,0.08,0.16960663382982022
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",24156,1,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",24156,1,0.0005805651922820393,0.0,8.121731995824888e-07
98,98,"('Response', 'Disgust')","('Response', 'Fear')",24156,1,3.64005175699198e-07,1.0,0.9912459963632775
99,99,"('Response', 'Disgust')","('Response', 'Joy')",24156,1,0.00017076202815928456,0.04,0.016167426186735945
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",24156,1,0.00025827783843338214,0.0,0.0019523896651794104
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",24156,1,3.407470273957626e-05,0.0,0.4390796511460541
102,102,"('Response', 'Disgust')","('Response', 'Trust')",24156,1,0.0001711627969977366,0.0,0.016011671379032477
103,103,"('Response', 'Disgust')","('Response', 'Valence')",24156,1,0.0008775879019878726,0.0,6.219659232087338e-10
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",24156,1,1.548193255432702e-05,0.69,0.6880002478169733
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",24156,1,4.932182178935975e-06,0.81,0.887686303228146
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",24156,1,0.00011842610123238425,0.1,0.05723541234208296
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",24156,1,2.573612547622453e-05,0.25,0.5370542792636059
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",24156,1,0.00023920124694307675,0.03,0.0030951895836417442
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",24156,1,4.763842760692482e-05,0.5,0.31641323346733985
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",24156,1,9.887147279523038e-07,1.0,0.9764005235552369
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",24156,1,4.1558236664692303e-05,0.21,0.3664697836944214
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",24156,1,4.4311525409820404e-05,0.65,0.3428902354577026
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",24156,1,7.234230297332538e-07,1.0,0.9826775065792651
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",24156,1,0.00030754128766269167,0.02,0.0005939830326973095
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",24156,1,0.00011801865243144503,0.18,0.057801500150393315
116,116,"('Response', 'Dominance')","('Response', 'Anger')",24156,1,0.0003192789332732814,0.01,0.00044734402288681974
117,117,"('Response', 'Dominance')","('Response', 'Anticipation')",24156,1,0.001363244479454943,0.0,4.9960036108132044e-15
118,118,"('Response', 'Dominance')","('Response', 'Arousal')",24156,1,0.001184305457981807,0.0,3.7680969455777813e-13
119,119,"('Response', 'Dominance')","('Response', 'Disgust')",24156,1,0.0005007058815192603,0.0,5.589892129176377e-06
120,120,"('Response', 'Dominance')","('Response', 'Dominance')",24156,1,0.0,1.0,1.0
121,121,"('Response', 'Dominance')","('Response', 'Fear')",24156,1,0.00027578373129347444,0.0,0.0012791544191432802
122,122,"('Response', 'Dominance')","('Response', 'Joy')",24156,1,0.0010155068784439229,0.0,2.2230217666674434e-11
123,123,"('Response', 'Dominance')","('Response', 'Sadness')",24156,1,0.0001323325041671506,0.0,0.040905463695938615
124,124,"('Response', 'Dominance')","('Response', 'Surprise')",24156,1,0.0007491105318419767,0.0,1.3852987867934985e-08
125,125,"('Response', 'Dominance')","('Response', 'Trust')",24156,1,0.0011482663914355528,0.0,9.000578060636144e-13
126,126,"('Response', 'Dominance')","('Response', 'Valence')",24156,1,8.987457538745223e-05,0.28,0.11407257977451346
127,127,"('Response', 'Dominance')","('Stimulus', 'Anger')",24156,1,0.0001407199650637634,0.06,0.033403628201384095
128,128,"('Response', 'Dominance')","('Stimulus', 'Anticipation')",24156,1,5.257360474769807e-05,0.51,0.28085537476860767
129,129,"('Response', 'Dominance')","('Stimulus', 'Arousal')",24156,1,0.000524532745431339,0.0,3.143768036339978e-06
130,130,"('Response', 'Dominance')","('Stimulus', 'Disgust')",24156,1,0.00047629140306113687,0.0,1.0081395716787789e-05
131,131,"('Response', 'Dominance')","('Stimulus', 'Dominance')",24156,1,0.0008452900533832003,0.0,1.3570111701000087e-09
132,132,"('Response', 'Dominance')","('Stimulus', 'Fear')",24156,1,3.081225444365346e-05,0.74,0.47508097961105233
133,133,"('Response', 'Dominance')","('Stimulus', 'Joy')",24156,1,4.638352453045983e-05,0.52,0.32615125427967684
134,134,"('Response', 'Dominance')","('Stimulus', 'Sadness')",24156,1,0.00024404511993620083,0.0,0.0027534244923632656
135,135,"('Response', 'Dominance')","('Stimulus', 'Surprise')",24156,1,3.605312124615619e-05,0.79,0.41859008987505386
136,136,"('Response', 'Dominance')","('Stimulus', 'Trust')",24156,1,1.1222875922786724e-05,0.84,0.762548956043099
137,137,"('Response', 'Dominance')","('Stimulus', 'Valence')",24156,1,0.0009641531688253069,0.0,7.685352354513952e-11
138,138,"('Response', 'Fear')","('Other', 'Unknown')",24156,1,3.408453075721141e-05,0.3,0.4389754278675173
139,139,"('Response', 'Fear')","('Response', 'Anger')",24156,1,1.7861299443530325e-06,0.03,0.9577734906349414
140,140,"('Response', 'Fear')","('Response', 'Anticipation')",24156,1,0.0002065772306997977,0.01,0.006806528815093804
141,141,"('Response', 'Fear')","('Response', 'Arousal')",24156,1,2.0422464522266936e-06,1.0,0.9518665210010041
142,142,"('Response', 'Fear')","('Response', 'Disgust')",24156,1,4.753367896027857e-07,1.0,0.9885839037027603
143,143,"('Response', 'Fear')","('Response', 'Dominance')",24156,1,6.5580232134719235e-06,1.0,0.8535005855235859
144,144,"('Response', 'Fear')","('Response', 'Fear')",24156,1,0.0,1.0,1.0
145,145,"('Response', 'Fear')","('Response', 'Joy')",24156,1,0.00017950555036203142,0.0,0.013089347218834035
146,146,"('Response', 'Fear')","('Response', 'Sadness')",24156,1,3.813624744528333e-07,1.0,0.9908304881742667
147,147,"('Response', 'Fear')","('Response', 'Surprise')",24156,1,7.503896810760588e-05,0.03,0.1632346937750222
148,148,"('Response', 'Fear')","('Response', 'Trust')",24156,1,0.00016666276267771947,0.0,0.017850227379677897
149,149,"('Response', 'Fear')","('Response', 'Valence')",24156,1,6.1309987086787176e-06,1.0,0.8623498141089161
150,150,"('Response', 'Fear')","('Stimulus', 'Anger')",24156,1,1.1337102101726677e-05,0.68,0.760447881690808
151,151,"('Response', 'Fear')","('Stimulus', 'Anticipation')",24156,1,0.00014874153129564103,0.03,0.02751974069321772
152,152,"('Response', 'Fear')","('Stimulus', 'Arousal')",24156,1,7.973581507164124e-05,0.34,0.14572724155846573
153,153,"('Response', 'Fear')","('Stimulus', 'Disgust')",24156,1,3.099552051878547e-05,0.39,0.4729825430079295
154,154,"('Response', 'Fear')","('Stimulus', 'Dominance')",24156,1,0.00018764144085316235,0.06,0.010753983834454361
155,155,"('Response', 'Fear')","('Stimulus', 'Fear')",24156,1,6.387961663579932e-05,0.12,0.21373632713358337
156,156,"('Response', 'Fear')","('Stimulus', 'Joy')",24156,1,3.5172562749455686e-05,0.5,0.4275888169601566
157,157,"('Response', 'Fear')","('Stimulus', 'Sadness')",24156,1,5.4190756022409486e-05,0.17,0.2700960313046157
158,158,"('Response', 'Fear')","('Stimulus', 'Surprise')",24156,1,9.547740708773549e-05,0.08,0.09963350571470231
159,159,"('Response', 'Fear')","('Stimulus', 'Trust')",24156,1,0.0001449537123166565,0.05,0.030156435746004795
160,160,"('Response', 'Fear')","('Stimulus', 'Valence')",24156,1,0.00042381475011531584,0.0,3.581136384689376e-05
161,161,"('Response', 'Joy')","('Other', 'Unknown')",24156,1,0.00018664035125582352,0.02,0.011017198969255126
162,162,"('Response', 'Joy')","('Response', 'Anger')",24156,1,0.00019519759099066248,0.0,0.008959885685607238
163,163,"('Response', 'Joy')","('Response', 'Anticipation')",24156,1,0.00023913561848709947,0.0,0.0031001001407163775
164,164,"('Response', 'Joy')","('Response', 'Arousal')",24156,1,7.036956517838845e-05,0.05,0.18272429499928666
165,165,"('Response', 'Joy')","('Response', 'Disgust')",24156,1,0.000418581854884554,0.0,4.063646650387387e-05
166,166,"('Response', 'Joy')","('Response', 'Dominance')",24156,1,3.924751166999257e-06,1.0,0.9095526766595535
167,167,"('Response', 'Joy')","('Response', 'Fear')",24156,1,0.00015450667695859733,0.0,0.0239422934880551
168,168,"('Response', 'Joy')","('Response', 'Joy')",24156,1,0.0,1.0,1.0
169,169,"('Response', 'Joy')","('Response', 'Sadness')",24156,1,0.00014838139198021034,0.0,0.027760183773516967
170,170,"('Response', 'Joy')","('Response', 'Surprise')",24156,1,0.00027625121654528673,0.0,0.001264791318970837
171,171,"('Response', 'Joy')","('Response', 'Trust')",24156,1,0.0002464178599475558,0.0,0.0026000531105383473
172,172,"('Response', 'Joy')","('Response', 'Valence')",24156,1,4.0491781231958006e-05,0.36,0.3760327735635458
173,173,"('Response', 'Joy')","('Stimulus', 'Anger')",24156,1,1.0626227363991591e-05,0.66,0.7736184218523481
174,174,"('Response', 'Joy')","('Stimulus', 'Anticipation')",24156,1,1.4870973271286608e-05,0.81,0.6982288536715777
175,175,"('Response', 'Joy')","('Stimulus', 'Arousal')",24156,1,4.521861892290992e-05,0.51,0.33545893143836725
176,176,"('Response', 'Joy')","('Stimulus', 'Disgust')",24156,1,5.1616731156202696e-05,0.56,0.28742246528605575
177,177,"('Response', 'Joy')","('Stimulus', 'Dominance')",24156,1,0.00011074872186403109,0.2,0.06889750065214217
178,178,"('Response', 'Joy')","('Stimulus', 'Fear')",24156,1,1.6783316961508135e-05,0.56,0.6667093926376966
179,179,"('Response', 'Joy')","('Stimulus', 'Joy')",24156,1,4.962582756372051e-05,0.41,0.3015824407700465
180,180,"('Response', 'Joy')","('Stimulus', 'Sadness')",24156,1,9.405961230340946e-05,0.25,0.10310473783948249
181,181,"('Response', 'Joy')","('Stimulus', 'Surprise')",24156,1,2.4765986922159184e-05,0.62,0.5497880635021772
182,182,"('Response', 'Joy')","('Stimulus', 'Trust')",24156,1,4.655398520127389e-05,0.43,0.32481109475915526
183,183,"('Response', 'Joy')","('Stimulus', 'Valence')",24156,1,0.00013834106398051487,0.08,0.035379299122107355
184,184,"('Response', 'Sadness')","('Other', 'Unknown')",24156,1,3.496371914691986e-05,0.41,0.4297512887041427
185,185,"('Response', 'Sadness')","('Response', 'Anger')",24156,1,4.288524638922408e-06,0.05,0.9015954952600789
186,186,"('Response', 'Sadness')","('Response', 'Anticipation')",24156,1,0.00017895663561926347,0.0,0.01326405500865302
187,187,"('Response', 'Sadness')","('Response', 'Arousal')",24156,1,0.0001530197536137844,0.0,0.024817849456671093
188,188,"('Response', 'Sadness')","('Response', 'Disgust')",24156,1,4.753367896027857e-07,1.0,0.9885839037027603
189,189,"('Response', 'Sadness')","('Response', 'Dominance')",24156,1,0.00037584814934053443,0.0,0.00011407983503786134
190,190,"('Response', 'Sadness')","('Response', 'Fear')",24156,1,4.1601453990317893e-07,1.0,0.9900014895968394
191,191,"('Response', 'Sadness')","('Response', 'Joy')",24156,1,0.00015959105919059247,0.0,0.021175254179772618
192,192,"('Response', 'Sadness')","('Response', 'Sadness')",24156,1,0.0,1.0,1.0
193,193,"('Response', 'Sadness')","('Response', 'Surprise')",24156,1,4.963168968771756e-05,0.0,0.3015397398388021
194,194,"('Response', 'Sadness')","('Response', 'Trust')",24156,1,0.00015710780722894368,0.0,0.022484275435794898
195,195,"('Response', 'Sadness')","('Response', 'Valence')",24156,1,0.00015410894614180647,0.0,0.02417342006035661
196,196,"('Response', 'Sadness')","('Stimulus', 'Anger')",24156,1,1.3648948170645137e-05,0.61,0.719146387625353
197,197,"('Response', 'Sadness')","('Stimulus', 'Anticipation')",24156,1,2.044942039099652e-05,0.63,0.6102077844656635
198,198,"('Response', 'Sadness')","('Stimulus', 'Arousal')",24156,1,0.0001318328168562822,0.1,0.04140218212678337
199,199,"('Response', 'Sadness')","('Stimulus', 'Disgust')",24156,1,3.4105865419870565e-05,0.13,0.43874926508782297
200,200,"('Response', 'Sadness')","('Stimulus', 'Dominance')",24156,1,0.00027802447176539913,0.0,0.0012117603820102074
201,201,"('Response', 'Sadness')","('Stimulus', 'Fear')",24156,1,6.565468669728018e-05,0.24,0.20476568426153474
202,202,"('Response', 'Sadness')","('Stimulus', 'Joy')",24156,1,2.4093019191592625e-05,0.65,0.5587981967700678
203,203,"('Response', 'Sadness')","('Stimulus', 'Sadness')",24156,1,5.787870031427732e-05,0.08,0.24707582489301871
204,204,"('Response', 'Sadness')","('Stimulus', 'Surprise')",24156,1,3.5244244854998124e-06,0.89,0.9183906139720316
205,205,"('Response', 'Sadness')","('Stimulus', 'Trust')",24156,1,1.0653079856711419e-05,0.87,0.7731167986534977
206,206,"('Response', 'Sadness')","('Stimulus', 'Valence')",24156,1,0.00048799718657641013,0.0,7.598406210895803e-06
207,207,"('Response', 'Surprise')","('Other', 'Unknown')",24156,1,3.259808480263955e-05,0.58,0.4550232609332232
208,208,"('Response', 'Surprise')","('Response', 'Anger')",24156,1,0.0002961482169489475,0.0,0.0007821530031134616
209,209,"('Response', 'Surprise')","('Response', 'Anticipation')",24156,1,0.00027447152742229484,0.0,0.0013203482586306992
210,210,"('Response', 'Surprise')","('Response', 'Arousal')",24156,1,0.00018412399239586805,0.0,0.011707623872846962
211,211,"('Response', 'Surprise')","('Response', 'Disgust')",24156,1,0.000186814584058203,0.0,0.010970929492032933
212,212,"('Response', 'Surprise')","('Response', 'Dominance')",24156,1,0.0002094497724943242,0.01,0.0063502616982722415
213,213,"('Response', 'Surprise')","('Response', 'Fear')",24156,1,0.00018319887634806858,0.0,0.0119721895278867
214,214,"('Response', 'Surprise')","('Response', 'Joy')",24156,1,0.00019622560852620877,0.0,0.008740135605334376
215,215,"('Response', 'Surprise')","('Response', 'Sadness')",24156,1,0.00017239833636285447,0.0,0.015540872116806215
216,216,"('Response', 'Surprise')","('Response', 'Surprise')",24156,1,0.0,1.0,1.0
217,217,"('Response', 'Surprise')","('Response', 'Trust')",24156,1,0.0005376048496901931,0.0,2.2925515555938247e-06
218,218,"('Response', 'Surprise')","('Response', 'Valence')",24156,1,0.0002650815568738213,0.01,0.0016565055160501219
219,219,"('Response', 'Surprise')","('Stimulus', 'Anger')",24156,1,3.3239942761232265e-05,0.47,0.4480229512558568
220,220,"('Response', 'Surprise')","('Stimulus', 'Anticipation')",24156,1,9.829902164692509e-05,0.16,0.09306911704007448
221,221,"('Response', 'Surprise')","('Stimulus', 'Arousal')",24156,1,2.1540035257037586e-06,1.0,0.9493004299675051
222,222,"('Response', 'Surprise')","('Stimulus', 'Disgust')",24156,1,4.3240877682232955e-05,0.66,0.3518735501632214
223,223,"('Response', 'Surprise')","('Stimulus', 'Dominance')",24156,1,2.8294470238036136e-05,0.72,0.50487069671567
224,224,"('Response', 'Surprise')","('Stimulus', 'Fear')",24156,1,9.280773635919142e-05,0.09,0.10627014684837266
225,225,"('Response', 'Surprise')","('Stimulus', 'Joy')",24156,1,8.116125820582536e-05,0.31,0.14079502186415116
226,226,"('Response', 'Surprise')","('Stimulus', 'Sadness')",24156,1,7.88895349440957e-05,0.24,0.14873683888205746
227,227,"('Response', 'Surprise')","('Stimulus', 'Surprise')",24156,1,1.227570228220085e-05,0.65,0.7434010649156306
228,228,"('Response', 'Surprise')","('Stimulus', 'Trust')",24156,1,7.343824291377835e-05,0.19,0.1696698553300835
229,229,"('Response', 'Surprise')","('Stimulus', 'Valence')",24156,1,4.48001403963064e-05,0.53,0.3388670636033383
230,230,"('Response', 'Trust')","('Other', 'Unknown')",24156,1,0.00017430780192109556,0.02,0.014840357438152929
231,231,"('Response', 'Trust')","('Response', 'Anger')",24156,1,2.3248140648969784e-05,0.03,0.5703193354617545
232,232,"('Response', 'Trust')","('Response', 'Anticipation')",24156,1,0.00014710709746589988,0.01,0.02862794502905308
233,233,"('Response', 'Trust')","('Response', 'Arousal')",24156,1,4.901379325192005e-06,1.0,0.8883470257205299
234,234,"('Response', 'Trust')","('Response', 'Disgust')",24156,1,0.00016268958493606883,0.0,0.019648251552727425
235,235,"('Response', 'Trust')","('Response', 'Dominance')",24156,1,5.866752713124222e-06,1.0,0.8678716778877666
236,236,"('Response', 'Trust')","('Response', 'Fear')",24156,1,0.00014953253802930136,0.0,0.02699891885740724
237,237,"('Response', 'Trust')","('Response', 'Joy')",24156,1,8.095279423839553e-06,0.08,0.8223892346886578
238,238,"('Response', 'Trust')","('Response', 'Sadness')",24156,1,0.00014521183000047467,0.0,0.029969000337115692
