,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",4593,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",4593,7,0.00015058285054751977,0.24,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",4593,7,0.00025395870172176114,0.46,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",4593,7,0.001283802975017835,0.45,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",4593,7,6.71772827762613e-05,0.97,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",4593,7,0.002139670473866779,0.44,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",4593,7,0.00011675734315615628,0.9,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",4593,7,0.00030494030608265837,0.52,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",4593,7,0.00012603010579821742,0.71,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",4593,7,0.0002291486633959664,0.17,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",4593,7,0.0003884034024252572,0.49,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",4593,7,0.0014836638916904215,0.76,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",4593,7,0.0011355120594798954,0.33,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",4593,7,0.0028800957004403013,0.21,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",4593,7,0.009898291762561118,0.52,0.9947146857603097
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",4593,7,0.0002555082050635188,0.85,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",4593,7,0.012936808331438858,0.9,0.7111954465425221
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",4593,7,0.0009882256122839101,0.79,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",4593,7,0.001550297619057413,0.67,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",4593,7,0.001071589247434123,0.85,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",4593,7,0.0010616251466004573,0.44,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",4593,7,0.00239111042198357,0.46,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",4593,7,0.013577678018979198,0.96,0.570169383347201
23,23,"('Response', 'Anger')","('Other', 'Unknown')",4593,7,0.00036593240291853726,0.22,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",4593,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",4593,7,6.920697456598606e-05,0.14,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",4593,7,0.00165817196336642,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",4593,7,2.920890893094486e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",4593,7,0.0029028485674529115,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",4593,7,0.00037778052014702,0.03,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",4593,7,0.00031943872584254315,0.05,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",4593,7,5.479019960621766e-06,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",4593,7,7.918590010031274e-06,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",4593,7,0.00038884807549108437,0.11,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",4593,7,0.0023906378551226573,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",4593,7,0.00020633594216569397,0.37,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",4593,7,0.00030920901876477794,0.57,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",4593,7,0.0014160223999128852,0.91,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",4593,7,0.00012060935043223154,0.65,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",4593,7,0.0018089031426315146,0.91,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",4593,7,0.000250166747867329,0.63,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",4593,7,0.0002938319272139196,0.73,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",4593,7,0.00108124936508172,0.13,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",4593,7,0.00017519204487602836,0.23,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",4593,7,0.00038642035577202,0.72,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",4593,7,0.001492999415995031,1.0,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",4593,7,0.00018232577150452357,0.77,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",4593,7,0.0005752314873261557,0.01,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",4593,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",4593,7,0.0041441768960346955,0.0,0.9999999999999996
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",4593,7,1.2196021453395192e-05,0.95,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",4593,7,0.0029122173870928724,0.0,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",4593,7,0.0006026530433205321,0.03,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",4593,7,0.000540936217406362,0.04,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",4593,7,2.1042891603320606e-05,0.99,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",4593,7,0.000640384855058411,0.03,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",4593,7,0.000686864942680078,0.06,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",4593,7,0.0020858470551677103,0.01,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",4593,7,0.0008931128029001886,0.14,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",4593,7,0.0009379307048277209,0.37,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",4593,7,0.0013271711764569838,1.0,1.0
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",4593,7,0.00022163885241115872,0.46,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",4593,7,0.002001225048670559,1.0,1.0
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",4593,7,2.7759361014627e-05,1.0,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",4593,7,0.0016489668730442985,0.09,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",4593,7,0.00011978523238269497,0.97,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",4593,7,3.6837637615985e-05,0.99,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",4593,7,0.0011766285219658407,0.32,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",4593,7,0.0021667741902550094,1.0,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",4593,7,0.00030609633084892975,0.98,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",4593,7,0.0016698107882259464,0.0,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",4593,7,0.002253584038875951,0.0,1.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",4593,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",4593,7,0.000552859103166834,0.05,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",4593,7,0.0059708184723734434,0.0,0.9999999982748162
75,75,"('Response', 'Arousal')","('Response', 'Fear')",4593,7,0.0015152203706385934,0.0,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",4593,7,0.002561608821054502,0.0,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",4593,7,0.0005988075360612876,0.07,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",4593,7,0.00224947795171219,0.0,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",4593,7,0.0052419486946818465,0.0,0.999999999989185
80,80,"('Response', 'Arousal')","('Response', 'Valence')",4593,7,0.005157835678415313,0.0,0.9999999999944028
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",4593,7,0.0017651055541209285,0.1,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",4593,7,0.0007149352835550036,0.99,1.0
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",4593,7,0.004796283965885823,1.0,0.99999999999973
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",4593,7,0.0008474467529839693,0.24,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",4593,7,0.006413471288480865,1.0,0.9999999767623009
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",4593,7,0.0009474919361298238,0.68,1.0
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",4593,7,0.001152076492953719,0.67,1.0
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",4593,7,0.0018768035828164709,0.24,1.0
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",4593,7,0.00043901808594549037,0.73,1.0
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",4593,7,0.0021833636792767423,0.44,1.0
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",4593,7,0.00730617239841999,1.0,0.9999981764895338
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",4593,7,0.00047990997967946374,0.07,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",4593,7,8.414228916051544e-07,1.0,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",4593,7,6.379104185611325e-05,0.06,1.0
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",4593,7,0.0007536397602018548,0.04,1.0
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",4593,7,0.0,1.0,1.0
